区分・年,実数／総数／（千人、％）,実数／15～24歳／（千人、％）,実数／25～34歳／（千人、％）,実数／35～44歳／（千人、％）,実数／45～54歳／（千人、％）,実数／55～64歳／（千人、％）,実数／65歳以上／（千人、％）,対前年増減数／総数／（千人、ポイント）,対前年増減数／15～24歳／（千人、ポイント）,対前年増減数／25～34歳／（千人、ポイント）,対前年増減数／35～44歳／（千人、ポイント）,対前年増減数／45～54歳／（千人、ポイント）,対前年増減数／55～64歳／（千人、ポイント）,対前年増減数／65歳以上／（千人、ポイント）,対前年増減率／総数／（％）,対前年増減率／15～24歳／（％）,対前年増減率／25～34歳／（％）,対前年増減率／35～44歳／（％）,対前年増減率／45～54歳／（％）,対前年増減率／55～64歳／（％）,対前年増減率／65歳以上／（％）
完全失業者数／平成28年平均,142,16,36,28,29,20,12,-27,1,-11,-6,-4,-6,-1,-16,6.7,-23.4,-17.6,-12.1,-23.1,-7.7
完全失業者数／平成29年平均,134,14,28,34,26,19,12,-8,-2,-8,6,-3,-1,0,-5.6,-12.5,-22.2,21.4,-10.3,-5,0
完全失業者数／平成30年平均,123,12,33,28,22,17,11,-11,-2,5,-6,-4,-2,-1,-8.2,-14.3,17.9,-17.6,-15.4,-10.5,-8.3
完全失業者数／平成31年・令和元年平均,113,12,29,22,20,18,11,-10,0,-4,-6,-2,1,0,-8.1,0,-12.1,-21.4,-9.1,5.9,0
完全失業者数／令和２年平均,153,20,37,30,24,26,16,40,8,8,8,4,8,5,35.4,66.7,27.6,36.4,20,44.4,45.5
非労働力人口／平成22年平均,1451,429,60,39,31,112,780,15,-7,3,4,2,-3,16,1,-1.6,5.3,11.4,6.9,-2.6,2.1
非労働力人口／平成23年平均,1418,412,68,44,32,111,750,-33,-17,8,5,1,-1,-30,-2.3,-4,13.3,12.8,3.2,-0.9,-3.8
非労働力人口／平成24年平均,1439,412,65,36,32,122,773,21,0,-3,-8,0,11,23,1.5,0,-4.4,-18.2,0,9.9,3.1
非労働力人口／平成25年平均,1468,399,76,37,36,122,798,29,-13,11,1,4,0,25,2,-3.2,16.9,2.8,12.5,0,3.2
非労働力人口／平成26年平均,1459,387,63,41,41,111,815,-9,-12,-13,4,5,-11,17,-0.6,-3,-17.1,10.8,13.9,-9,2.1
非労働力人口／平成27年平均,1449,372,62,40,37,88,850,-10,-15,-1,-1,-4,-23,35,-0.7,-3.9,-1.6,-2.4,-9.8,-20.7,4.3
非労働力人口／平成28年平均,1489,381,49,38,49,91,881,40,9,-13,-2,12,3,31,2.8,2.4,-21,-5,32.4,3.4,3.6
非労働力人口／平成29年平均,1494,388,53,44,44,86,879,5,7,4,6,-5,-5,-2,0.3,1.8,8.2,15.8,-10.2,-5.5,-0.2
非労働力人口／平成30年平均,1456,361,52,36,48,86,873,-38,-27,-1,-8,4,0,-6,-2.5,-7,-1.9,-18.2,9.1,0,-0.7
非労働力人口／平成31年・令和元年平均,1449,351,56,36,47,86,874,-7,-10,4,0,-1,0,1,-0.5,-2.8,7.7,0,-2.1,0,0.1
非労働力人口／令和２年平均,1426,359,56,33,44,77,858,-23,8,0,-3,-3,-9,-16,-1.6,2.3,0,-8.3,-6.4,-10.5,-1.8
労働力人口比率／平成22年平均,74.2,36.4,93.8,96.4,96.2,86.7,34.5,-0.3,-1.9,-0.5,-0.3,-0.2,0.2,0.1,…,…,…,…,…,…,…
労働力人口比率／平成23年平均,75.3,39.6,93.4,96.1,96.3,86.9,35,1.1,3.2,-0.4,-0.3,0.1,0.2,0.5,…,…,…,…,…,…,…
労働力人口比率／平成24年平均,75,38.5,93.5,97,96.5,85.2,35.4,-0.3,-1.1,0.1,0.9,0.2,-1.7,0.4,…,…,…,…,…,…,…
労働力人口比率／平成25年平均,74.6,39.6,92.2,96.6,96.2,84.4,35.9,-0.4,1.1,-1.3,-0.4,-0.3,-0.8,0.5,…,…,…,…,…,…,…
労働力人口比率／平成26年平均,74.9,40.5,93.6,96.3,95.8,85.3,36.8,0.3,0.9,1.4,-0.3,-0.4,0.9,0.9,…,…,…,…,…,…,…
労働力人口比率／平成27年平均,75.2,42.6,93.7,96.4,96.2,88.2,36,0.3,2.1,0.1,0.1,0.4,2.9,-0.8,…,…,…,…,…,…,…
労働力人口比率／平成28年平均,74.8,45.7,94.8,96.5,95.2,87.8,34.5,-0.4,3.1,1.1,0.1,-1,-0.4,-1.5,…,…,…,…,…,…,…
労働力人口比率／平成29年平均,74.9,45.4,94.3,95.9,95.9,88.4,35.5,0.1,-0.3,-0.5,-0.6,0.7,0.6,1,…,…,…,…,…,…,…
労働力人口比率／平成30年平均,75.7,49.9,94.4,96.7,95.6,88.8,36.5,0.8,4.5,0.1,0.8,-0.3,0.4,1,…,…,…,…,…,…,…
労働力人口比率／平成31年・令和元年平均,75.9,51,94,96.5,95.7,88.9,37,0.2,1.1,-0.4,-0.2,0.1,0.1,0.5,…,…,…,…,…,…,…
労働力人口比率／令和２年平均,76.4,49.1,94.2,96.9,96.1,90.5,38.5,0.5,-1.9,0.2,0.4,0.4,1.6,1.5,…,…,…,…,…,…,…
就業率／平成22年平均,69.9,31.7,87.2,92.2,92.5,81.3,33,-1.3,-4,-1.4,-0.9,-0.7,-1.6,-0.1,…,…,…,…,…,…,…
就業率／平成23年平均,71.6,36.1,87.7,91.9,93.2,81.7,34,1.7,4.4,0.5,-0.3,0.7,0.4,1,…,…,…,…,…,…,…
就業率／平成24年平均,71.6,35.7,88.8,92.6,93.1,80.6,34.1,0,-0.4,1.1,0.7,-0.1,-1.1,0.1,…,…,…,…,…,…,…
就業率／平成25年平均,71.4,37.1,87.2,92.9,92.8,80.6,34.7,-0.2,1.4,-1.6,0.3,-0.3,0,0.6,…,…,…,…,…,…,…
就業率／平成26年平均,71.9,38.4,88.8,92.9,92.9,81.8,35.8,0.5,1.3,1.6,0,0.1,1.2,1.1,…,…,…,…,…,…,…
就業率／平成27年平均,72.3,40.3,88.8,93.4,92.9,84.8,35,0.4,1.9,0,0.5,0,3,-0.8,…,…,…,…,…,…,…
就業率／平成28年平均,72.4,43.4,91,94.1,92.4,85.1,33.6,0.1,3.1,2.2,0.7,-0.5,0.3,-1.4,…,…,…,…,…,…,…
就業率／平成29年平均,72.7,43.6,91.4,92.9,93.5,85.8,34.7,0.3,0.2,0.4,-1.2,1.1,0.7,1.1,…,…,…,…,…,…,…
就業率／平成30年平均,73.6,48.1,91,94.1,93.6,86.6,35.8,0.9,4.5,-0.4,1.2,0.1,0.8,1.1,…,…,…,…,…,…,…
就業率／平成31年・令和元年平均,74,49.2,91,94.6,94,86.6,36.2,0.4,1.1,0,0.5,0.4,0,0.4,…,…,…,…,…,…,…
就業率／令和２年平均,73.9,46.2,90.4,94,93.9,87.3,37.3,-0.1,-3,-0.6,-0.6,-0.1,0.7,1.1,…,…,…,…,…,…,…
完全失業率／平成22年平均,5.7,13,7,4.5,4,6.2,4.1,1.3,6.4,1,0.8,0.5,2.1,0.3,…,…,…,…,…,…,…
完全失業率／平成23年平均,4.9,8.5,6.2,4.5,3.2,5.9,3,-0.8,-4.5,-0.8,0,-0.8,-0.3,-1.1,…,…,…,…,…,…,…
完全失業率／平成24年平均,4.6,7.4,5,4.5,3.3,5.4,3.5,-0.3,-1.1,-1.2,0,0.1,-0.5,0.5,…,…,…,…,…,…,…
完全失業率／平成25年平均,4.3,6.1,5.3,3.8,3.4,4.5,3.4,-0.3,-1.3,0.3,-0.7,0.1,-0.9,-0.1,…,…,…,…,…,…,…
完全失業率／平成26年平均,3.9,5.7,5.2,3.5,3,4.3,2.7,-0.4,-0.4,-0.1,-0.3,-0.4,-0.2,-0.7,…,…,…,…,…,…,…
完全失業率／平成27年平均,3.8,5.4,5.1,3.1,3.4,3.9,2.7,-0.1,-0.3,-0.1,-0.4,0.4,-0.4,0,…,…,…,…,…,…,…
完全失業率／平成28年平均,3.2,5,4,2.6,2.9,3.1,2.6,-0.6,-0.4,-1.1,-0.5,-0.5,-0.8,-0.1,…,…,…,…,…,…,…
完全失業率／平成29年平均,3,4.3,3.1,3.2,2.5,2.9,2.5,-0.2,-0.7,-0.9,0.6,-0.4,-0.2,-0.1,…,…,…,…,…,…,…
完全失業率／平成30年平均,2.7,3.3,3.7,2.7,2.1,2.5,2.2,-0.3,-1,0.6,-0.5,-0.4,-0.4,-0.3,…,…,…,…,…,…,…
完全失業率／平成31年・令和元年平均,2.5,3.3,3.2,2.1,1.9,2.6,2.1,-0.2,0,-0.5,-0.6,-0.2,0.1,-0.1,…,…,…,…,…,…,…
完全失業率／令和２年平均,3.3,5.8,4,3,2.2,3.6,3,0.8,2.5,0.8,0.9,0.3,1,0.9,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（令和２年平均）,,,,,,,,,,,,,,,,,,,,,
第３表　年齢階級別就業状態（男）,,,,,,,,,,,,,,,,,,,,,
