男女・年,15歳以上人口（千人）,15歳以上人口／労働力人口（千人）,15歳以上人口／労働力人口／就業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数／主に仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／通学のかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／家事などのかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／休業者数（千人）,15歳以上人口／労働力人口／就業者数／自営業主数（千人）,15歳以上人口／労働力人口／就業者数／家族従業者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち正規の職員・従業員（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち非正規の職員･従業員（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち非正規の職員･従業員／うちパート･アルバイト（千人）,15歳以上人口／労働力人口／完全失業者数（千人）,15歳以上人口／非労働力人口（千人）,15歳以上人口／非労働力人口／通学（千人）,15歳以上人口／非労働力人口／家事（千人）,15歳以上人口／非労働力人口／その他（千人）,労働力人口比率（％、ポイント）,就業率（％、ポイント）,完全失業率（％、ポイント）
実数／男／平成27年平均,5853,4401,4232,4155,3983,107,65,77,394,17,3792,2595,789,403,169,1449,387,74,988,75.2,72.3,3.8
実数／男／平成28年平均,5920,4429,4288,4226,4041,118,67,62,379,22,3859,2672,774,403,142,1489,389,70,1030,74.8,72.4,3.2
実数／男／平成29年平均,5962,4466,4332,4261,4074,118,70,71,384,17,3909,2720,770,412,134,1494,399,72,1022,74.9,72.7,3
実数／男／平成30年平均,6000,4542,4418,4337,4107,147,82,81,405,16,3959,2772,814,462,123,1456,370,70,1016,75.7,73.6,2.7
実数／男／平成31年・令和元年平均,6040,4584,4470,4385,4151,154,80,86,425,17,3997,2784,839,462,113,1449,368,71,1010,75.9,74,2.5
実数／男／令和２年平均,6067,4638,4485,4339,4114,137,88,146,422,12,4028,2817,817,443,153,1426,363,71,991,76.4,73.9,3.3
実数／女／平成22年平均,5753,2938,2787,2694,1903,91,700,93,172,98,2497,   －,   －,   －,151,2811,342,1691,779,51.1,48.4,5.1
実数／女／平成23年平均,5938,3084,2940,2849,2019,89,741,91,160,101,2658,   －,   －,   －,144,2853,365,1753,735,51.9,49.5,4.7
実数／女／平成24年平均,5962,3078,2940,2848,2047,86,715,92,154,87,2680,   －,   －,   －,138,2883,351,1714,818,51.6,49.3,4.5
実数／女／平成25年平均,5989,3160,3033,2932,2106,92,733,101,164,90,2757,1240,1400,1004,127,2826,330,1618,877,52.8,50.6,4
実数／女／平成26年平均,6026,3247,3129,3005,2163,102,740,124,174,84,2849,1282,1441,1015,117,2776,328,1537,912,53.9,51.9,3.6
実数／女／平成27年平均,6072,3274,3168,3048,2192,102,755,119,159,82,2909,1321,1461,1056,106,2796,336,1526,934,53.9,52.2,3.2
実数／女／平成28年平均,6144,3338,3229,3103,2234,119,750,126,155,72,2984,1386,1473,1078,110,2804,345,1489,970,54.3,52.6,3.3
実数／女／平成29年平均,6197,3442,3349,3206,2326,126,754,143,168,72,3088,1450,1511,1084,92,2750,345,1449,957,55.5,54,2.7
実数／女／平成30年平均,6250,3591,3504,3341,2390,140,811,163,180,75,3221,1521,1572,1160,87,2654,319,1383,951,57.5,56.1,2.4
実数／女／平成31年・令和元年平均,6303,3670,3590,3428,2469,159,800,162,183,63,3315,1614,1579,1157,80,2627,315,1304,1008,58.2,57,2.2
実数／女／令和２年平均,6342,3724,3619,3380,2498,137,744,239,188,64,3346,1697,1535,1098,105,2613,288,1227,1098,58.7,57.1,2.8
対前年増減数／男女計／平成22年平均,15,2,-53,-45,-67,5,17,-7,-16,0,-41,   －,   －,   －,55,11,-4,28,-13,-0.1,-0.5,0.8
対前年増減数／男女計／平成23年平均,306,303,334,333,309,-11,35,-1,1,1,335,   －,   －,   －,-31,7,4,72,-69,1,1.3,-0.7
対前年増減数／男女計／平成24年平均,36,-14,8,6,21,3,-17,3,-9,-13,28,   －,   －,   －,-22,51,-22,-40,114,-0.4,-0.1,-0.3
対前年増減数／男女計／平成25年平均,46,69,93,87,65,2,18,7,15,4,74,   －,   －,   －,-24,-27,-27,-95,94,0.4,0.5,-0.3
対前年増減数／男女計／平成26年平均,64,124,149,125,99,20,7,23,-7,-9,162,78,64,13,-25,-58,-12,-77,30,0.7,1,-0.4
対前年増減数／男女計／平成27年平均,85,76,88,86,65,7,15,1,-18,-3,107,96,22,55,-12,9,-14,-5,29,0.2,0.3,-0.2
対前年増減数／男女計／平成28年平均,140,93,117,126,100,28,-3,-8,-19,-5,142,142,-2,22,-24,47,11,-42,78,0,0.2,-0.4
対前年増減数／男女計／平成29年平均,93,140,165,138,125,7,7,26,18,-5,154,111,33,16,-25,-48,10,-37,-21,0.6,0.9,-0.3
対前年増減数／男女計／平成30年平均,93,225,240,211,97,44,69,30,32,2,183,123,105,125,-15,-134,-54,-68,-11,1.4,1.5,-0.3
対前年増減数／男女計／平成31年・令和元年平均,92,121,139,135,123,25,-13,4,24,-11,132,105,31,-3,-18,-33,-7,-78,50,0.5,0.6,-0.3
対前年増減数／男女計／令和２年平均,66,108,43,-94,-8,-39,-47,137,2,-4,61,116,-65,-78,65,-38,-32,-77,71,0.5,0,0.8
対前年増減数／男／平成22年平均,-2,-18,-70,-60,-73,9,4,-10,-18,2,-57,   －,   －,   －,52,15,-2,5,11,-0.3,-1.3,1.3
対前年増減数／男／平成23年平均,121,157,181,179,193,-8,-6,2,13,-2,174,   －,   －,   －,-24,-33,-19,10,-25,1.1,1.7,-0.8
対前年増減数／男／平成24年平均,12,-8,8,7,-7,4,10,0,-3,1,7,   －,   －,   －,-16,21,-8,-1,31,-0.3,0,-0.3
対前年増減数／男／平成25年平均,19,-13,0,3,6,-3,-1,-2,5,2,-5,   －,   －,   －,-13,29,-7,1,35,-0.4,-0.2,-0.3
対前年増減数／男／平成26年平均,28,38,53,52,42,10,1,1,-18,-4,71,36,23,2,-15,-9,-8,4,-5,0.3,0.5,-0.4
対前年増減数／男／平成27年平均,38,48,49,43,36,7,0,6,-2,-1,47,57,2,14,-1,-10,-23,6,7,0.3,0.4,-0.1
対前年増減数／男／平成28年平均,67,28,56,71,58,11,2,-15,-15,5,67,77,-15,0,-27,40,2,-4,42,-0.4,0.1,-0.6
対前年増減数／男／平成29年平均,42,37,44,35,33,0,3,9,5,-5,50,48,-4,9,-8,5,10,2,-8,0.1,0.3,-0.2
対前年増減数／男／平成30年平均,38,76,86,76,33,29,12,10,21,-1,50,52,44,50,-11,-38,-29,-2,-6,0.8,0.9,-0.3
対前年増減数／男／平成31年・令和元年平均,40,42,52,48,44,7,-2,5,20,1,38,12,25,0,-10,-7,-2,1,-6,0.2,0.4,-0.2
対前年増減数／男／令和２年平均,27,54,15,-46,-37,-17,8,60,-3,-5,31,33,-22,-19,40,-23,-5,0,-19,0.5,-0.1,0.8
対前年増減数／女／平成22年平均,17,21,17,14,6,-4,12,3,2,-2,16,   －,   －,   －,4,-5,-2,22,-25,0.2,0.1,0.1
対前年増減数／女／平成23年平均,185,146,153,155,116,-2,41,-2,-12,3,161,   －,   －,   －,-7,42,23,62,-44,0.8,1.1,-0.4
対前年増減数／女／平成24年平均,24,-6,0,-1,28,-3,-26,1,-6,-14,22,   －,   －,   －,-6,30,-14,-39,83,-0.3,-0.2,-0.2
対前年増減数／女／平成25年平均,27,82,93,84,59,6,18,9,10,3,77,   －,   －,   －,-11,-57,-21,-96,59,1.2,1.3,-0.5
対前年増減数／女／平成26年平均,37,87,96,73,57,10,7,23,10,-6,92,42,41,11,-10,-50,-2,-81,35,1.1,1.3,-0.4
対前年増減数／女／平成27年平均,46,27,39,43,29,0,15,-5,-15,-2,60,39,20,41,-11,20,8,-11,22,0,0.3,-0.4
対前年増減数／女／平成28年平均,72,64,61,55,42,17,-5,7,-4,-10,75,65,12,22,4,8,9,-37,36,0.4,0.4,0.1
対前年増減数／女／平成29年平均,53,104,120,103,92,7,4,17,13,0,104,64,38,6,-18,-54,0,-40,-13,1.2,1.4,-0.6
対前年増減数／女／平成30年平均,53,149,155,135,64,14,57,20,12,3,133,71,61,76,-5,-96,-26,-66,-6,2,2.1,-0.3
対前年増減数／女／平成31年・令和元年平均,53,79,86,87,79,19,-11,-1,3,-12,94,93,7,-3,-7,-27,-4,-79,57,0.7,0.9,-0.2
対前年増減数／女／令和２年平均,39,54,29,-48,29,-22,-56,77,5,1,31,83,-44,-59,25,-14,-27,-77,90,0.5,0.1,0.6
,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（令和２年平均）,,,,,,,,,,,,,,,,,,,,,,
第２表　就業状態、活動状態別15歳以上人口,,,,,,,,,,,,,,,,,,,,,,
