年・期,建設業（千人）,製造業（千人）,情報通信業（千人）,"運輸業,郵便業（千人）","卸売業,小売業（千人）","金融業,保険業（千人）","不動産業,物品賃貸業（千人）","学術研究,専門･技術ｻｰﾋﾞｽ業（千人）","宿泊業,飲食ｻｰﾋﾞｽ業（千人）","生活関連ｻｰﾋﾞｽ業,娯楽業（千人）","教育,学習支援業（千人）","医療,福祉（千人）",ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
対前年・対前年同期増減数／男女計／平成31年・令和元年７～９月平均,19,76,83,-55,-106,28,-4,-21,7,13,50,-8,88
対前年・対前年同期増減数／男女計／平成31年・令和元年10～12月平均,12,-20,55,-8,24,63,-9,50,-40,-2,33,-18,-25
対前年・対前年同期増減数／男女計／令和２年１～３月平均,-19,-71,2,28,27,19,25,7,11,29,7,75,-50
対前年・対前年同期増減数／男女計／令和２年４～６月平均,-24,-78,25,14,-40,85,37,-11,-107,-80,80,28,31
対前年・対前年同期増減数／男女計／令和２年７～９月平均,-62,-11,44,24,-77,76,64,-7,-94,-27,42,-17,5
対前年・対前年同期増減数／男女計／令和２年10～12月平均,-8,90,70,13,13,-13,52,30,-46,-22,61,-4,46
対前年・対前年同期増減数／男／平成29年平均,-18,2,21,6,7,-1,2,20,-7,-8,-18,21,4
対前年・対前年同期増減数／男／平成30年平均,21,-4,17,8,21,-27,-5,29,19,-10,0,-12,22
対前年・対前年同期増減数／男／平成31年・令和元年平均,-15,13,14,-20,-15,19,3,-4,-7,16,14,-6,35
対前年・対前年同期増減数／男／平成30年７～９月平均,2,-46,-21,18,76,-47,-9,35,45,-3,13,-3,-18
対前年・対前年同期増減数／男／平成30年10～12月平均,27,9,40,-2,-23,-43,-4,14,16,1,13,8,46
対前年・対前年同期増減数／男／平成31年・令和元年１～３月平均,-47,4,40,24,2,-31,33,-11,-16,-2,-16,-15,34
対前年・対前年同期増減数／男／平成31年・令和元年４～６月平均,-29,34,-44,-50,12,7,-16,-5,5,31,37,2,67
対前年・対前年同期増減数／男／平成31年・令和元年７～９月平均,-3,37,43,-43,-85,33,5,-29,9,22,21,4,73
対前年・対前年同期増減数／男／平成31年・令和元年10～12月平均,17,-24,22,-14,11,66,-11,28,-23,10,15,-15,-37
対前年・対前年同期増減数／男／令和２年１～３月平均,-9,-72,2,2,1,34,11,13,-4,11,42,28,-16
対前年・対前年同期増減数／男／令和２年４～６月平均,-21,-47,12,13,-14,36,5,-17,-43,-16,26,2,28
対前年・対前年同期増減数／男／令和２年７～９月平均,-41,-12,46,7,-27,20,27,-12,-57,10,26,-17,10
対前年・対前年同期増減数／男／令和２年10～12月平均,-3,54,28,3,-17,-28,38,20,-18,9,0,-8,36
対前年・対前年同期増減数／女／平成29年平均,6,-18,10,5,49,21,2,22,-10,2,12,16,-2
対前年・対前年同期増減数／女／平成30年平均,11,-19,6,1,11,-3,4,2,34,23,-4,19,22
対前年・対前年同期増減数／女／平成31年・令和元年平均,7,24,34,-1,3,-16,2,0,-21,-2,26,15,18
対前年・対前年同期増減数／女／平成30年７～９月平均,-4,-35,20,6,19,-55,-5,-1,24,24,35,43,4
対前年・対前年同期増減数／女／平成30年10～12月平均,9,-17,-10,-4,0,3,14,-22,52,22,-35,-20,26
対前年・対前年同期増減数／女／平成31年・令和元年１～３月平均,6,0,44,6,-61,-14,2,2,-51,9,37,53,30
対前年・対前年同期増減数／女／平成31年・令和元年４～６月平均,5,54,18,-6,82,-39,12,-30,-16,4,20,23,17
対前年・対前年同期増減数／女／平成31年・令和元年７～９月平均,20,39,40,-11,-20,-5,-9,8,-2,-9,28,-12,14
対前年・対前年同期増減数／女／平成31年・令和元年10～12月平均,-4,3,33,6,12,-3,3,22,-16,-12,19,-2,12
対前年・対前年同期増減数／女／令和２年１～３月平均,-10,0,-1,26,27,-15,15,-7,14,18,-35,46,-34
対前年・対前年同期増減数／女／令和２年４～６月平均,-3,-31,12,0,-25,49,32,6,-63,-63,54,25,3
対前年・対前年同期増減数／女／令和２年７～９月平均,-19,1,-2,17,-50,56,38,4,-38,-37,17,-1,-4
対前年・対前年同期増減数／女／令和２年10～12月平均,-5,37,42,11,32,14,14,10,-29,-30,61,2,10
,,,,,,,,,,,,,
東京の労働力統計データ（令和２年10～12月期平均）,,,,,,,,,,,,,
第４表　主な産業別就業者数  ,,,,,,,,,,,,,
