区分・年,実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年増減率／総数（％）,対前年増減率／15～24歳（％）,対前年増減率／25～34歳（％）,対前年増減率／35～44歳（％）,対前年増減率／45～54歳（％）,対前年増減率／55～64歳（％）,対前年増減率／65歳以上（％）
労働力人口比率／平成29年平均,65,47.4,88.6,84.9,86.6,76.8,25.4,0.6,0.2,0.2,0.5,0.5,1.8,1.3,…,…,…,…,…,…,…
労働力人口比率／平成30年平均,66.4,51.7,89,86.6,87,77.8,26.9,1.4,4.3,0.4,1.7,0.4,1,1.5,…,…,…,…,…,…,…
労働力人口比率／平成31年・令和元年平均,66.9,53.1,88.7,87.4,88.2,78.2,26.7,0.5,1.4,-0.3,0.8,1.2,0.4,-0.2,…,…,…,…,…,…,…
労働力人口比率／令和２年平均,67.4,52.3,89.9,87.4,88.1,79.6,27.5,0.5,-0.8,1.2,0,-0.1,1.4,0.8,…,…,…,…,…,…,…
就業率／平成22年平均,59.1,36.1,79.6,78.3,80.6,66.7,23.1,-0.5,-2.6,0.1,-0.3,-0.9,-1,0.5,…,…,…,…,…,…,…
就業率／平成23年平均,60.4,38.7,80.2,78.2,81,67.7,24,1.3,2.6,0.6,-0.1,0.4,1,0.9,…,…,…,…,…,…,…
就業率／平成24年平均,60.3,38.6,80.8,78.9,80.8,67.4,23.9,-0.1,-0.1,0.6,0.7,-0.2,-0.3,-0.1,…,…,…,…,…,…,…
就業率／平成25年平均,60.8,40.6,80.8,80.4,81.6,67.9,24.3,0.5,2,0,1.5,0.8,0.5,0.4,…,…,…,…,…,…,…
就業率／平成26年平均,61.8,41.2,82.8,81.5,82.4,69.3,25.4,1,0.6,2,1.1,0.8,1.4,1.1,…,…,…,…,…,…,…
就業率／平成27年平均,62.1,42,82.5,81.9,83.2,71.9,25,0.3,0.8,-0.3,0.4,0.8,2.6,-0.4,…,…,…,…,…,…,…
就業率／平成28年平均,62.3,44.9,85.2,82,83.4,72.7,23.5,0.2,2.9,2.7,0.1,0.2,0.8,-1.5,…,…,…,…,…,…,…
就業率／平成29年平均,63.2,45.5,85.9,82.2,84.6,74.7,24.8,0.9,0.6,0.7,0.2,1.2,2,1.3,…,…,…,…,…,…,…
就業率／平成30年平均,64.7,50,85.8,84.5,85.1,75.9,26.4,1.5,4.5,-0.1,2.3,0.5,1.2,1.6,…,…,…,…,…,…,…
就業率／平成31年・令和元年平均,65.3,51.2,86.1,85.6,86.5,76.5,26.2,0.6,1.2,0.3,1.1,1.4,0.6,-0.2,…,…,…,…,…,…,…
就業率／令和２年平均,65.3,49.9,86.5,85.1,85.9,77,26.9,0,-1.3,0.4,-0.5,-0.6,0.5,0.7,…,…,…,…,…,…,…
完全失業率／平成22年平均,5.5,10.2,6.5,4.8,4.1,5.6,3.4,0.8,3.5,0.2,0.4,0.5,1.6,0.3,…,…,…,…,…,…,…
完全失業率／平成23年平均,4.8,7.5,5.7,4.8,3.9,5.1,2.3,-0.7,-2.7,-0.8,0,-0.2,-0.5,-1.1,…,…,…,…,…,…,…
完全失業率／平成24年平均,4.5,7.1,4.7,4.5,3.9,4.8,2.9,-0.3,-0.4,-1,-0.3,0,-0.3,0.6,…,…,…,…,…,…,…
完全失業率／平成25年平均,4.2,5.7,4.9,3.9,3.7,4.2,2.9,-0.3,-1.4,0.2,-0.6,-0.2,-0.6,0,…,…,…,…,…,…,…
完全失業率／平成26年平均,3.8,5.2,4.7,3.6,3.2,3.7,2.4,-0.4,-0.5,-0.2,-0.3,-0.5,-0.5,-0.5,…,…,…,…,…,…,…
完全失業率／平成27年平均,3.6,4.8,4.5,3.2,3.5,3.4,2.3,-0.2,-0.4,-0.2,-0.4,0.3,-0.3,-0.1,…,…,…,…,…,…,…
完全失業率／平成28年平均,3.2,4.8,3.7,2.9,3.1,3.1,2.4,-0.4,0,-0.8,-0.3,-0.4,-0.3,0.1,…,…,…,…,…,…,…
完全失業率／平成29年平均,2.9,4.1,3,3.1,2.4,2.7,2.2,-0.3,-0.7,-0.7,0.2,-0.7,-0.4,-0.2,…,…,…,…,…,…,…
完全失業率／平成30年平均,2.6,3.1,3.5,2.3,2.2,2.4,1.9,-0.3,-1,0.5,-0.8,-0.2,-0.3,-0.3,…,…,…,…,…,…,…
完全失業率／平成31年・令和元年平均,2.3,3.4,3,2.1,1.9,2.2,1.9,-0.3,0.3,-0.5,-0.2,-0.3,-0.2,0,…,…,…,…,…,…,…
完全失業率／令和２年平均,3.1,4.5,3.9,2.6,2.5,3.2,2.5,0.8,1.1,0.9,0.5,0.6,1,0.6,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（令和２年平均）,,,,,,,,,,,,,,,,,,,,,
第３表　年齢階級別就業状態（男女計）,,,,,,,,,,,,,,,,,,,,,
