年・期,建設業（千人）,製造業（千人）,情報通信業（千人）,"運輸業,郵便業（千人）","卸売業,小売業（千人）","金融業,保険業（千人）","不動産業,物品賃貸業（千人）","学術研究,専門･技術ｻｰﾋﾞｽ業（千人）","宿泊業,飲食ｻｰﾋﾞｽ業（千人）","生活関連ｻｰﾋﾞｽ業,娯楽業（千人）","教育,学習支援業（千人）","医療,福祉（千人）",ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
対前年・対前年同期増減数／男／令和２年７～９月平均,-41,-8,47,4,-21,22,29,-28,-50,9,23,-21,-9
対前年・対前年同期増減数／女／平成29年平均,8,-18,9,5,45,21,5,10,-13,3,9,21,-5
対前年・対前年同期増減数／女／平成30年平均,9,-16,4,2,17,-3,1,0,28,19,-10,23,20
対前年・対前年同期増減数／女／平成31年・令和元年平均,5,10,39,-2,10,-15,5,5,-13,0,28,14,12
対前年・対前年同期増減数／女／平成30年４～６月平均,12,-14,10,1,-22,20,-1,9,23,24,-14,31,40
対前年・対前年同期増減数／女／平成30年７～９月平均,0,-28,25,6,23,-54,-12,4,25,15,21,47,0
対前年・対前年同期増減数／女／平成30年10～12月平均,4,-15,-14,-5,-4,3,20,-20,53,24,-40,-4,22
対前年・対前年同期増減数／女／平成31年・令和元年１～３月平均,5,-10,50,5,-50,-16,6,17,-40,10,37,47,21
対前年・対前年同期増減数／女／平成31年・令和元年４～６月平均,4,5,26,-6,90,-40,7,-23,-13,0,7,33,-5
対前年・対前年同期増減数／女／平成31年・令和元年７～９月平均,14,41,39,-12,-13,-6,0,4,5,2,41,-11,18
対前年・対前年同期増減数／女／平成31年・令和元年10～12月平均,-1,6,42,5,16,-1,7,18,-2,-10,27,-10,13
対前年・対前年同期増減数／女／令和２年１～３月平均,-11,4,-2,25,28,-14,14,-6,18,19,-24,50,-28
対前年・対前年同期増減数／女／令和２年４～６月平均,-6,-20,8,0,-43,49,20,9,-54,-55,59,18,2
対前年・対前年同期増減数／女／令和２年７～９月平均,-16,1,-1,18,-51,56,29,9,-45,-31,13,-5,-4
,,,,,,,,,,,,,
東京の労働力統計データ（令和２年７～９月期平均）,,,,,,,,,,,,,
第５表　主な産業別雇用者数,,,,,,,,,,,,,
