,法人名,医療機関名,病床数,郵便番号,所在地,電話番号,事業開始日
34,東京保健生活協同組合,大泉生協病院,94,178-0063,練馬区東大泉６－３－３,03-5387-3111,H26.9.1
35,社会福祉法人勝楽堂病院  ,勝楽堂病院,105,120-0032,足立区千住柳町５－１,03-3881-0137,S27.7.20
36,医療法人財団健和会,柳原病院,90,120-0023,足立区千住曙町３５－１,03-3882-1928,H26.9.1
37,医療法人財団健和会,柳原リハビリテーション病院,100,120-0022,足立区柳原１－２７－５,03-5813-2121,H26.9.1
38,医療法人社団成和会,西新井病院,196,123-0845,足立区西新井本町１－１２－１２,03-5647-1700,R5.10.1
39,医療法人社団成和会,西新井ハートセントラルクリニック,-,123-0845,足立区西新井本町１－１２－８,03-5838-0730,R6.2.1
40,医療法人社団成和会,西新井病院附属成和クリニック,-,123-0845,足立区西新井本町５－７－１４　E・M・Sビル２，３階,03-5838-0730,R6.4.1
41,社会福祉法人仁生社 ,江戸川病院 ,447,133-0052,江戸川区東小岩２－２４－１８,03-3673-1221,S27.5.17
42,社会福祉法人仁生社 ,メディカルプラザ江戸川,-,133-0052,江戸川区東小岩２－６－１,03-3673-1566,S27.5.17
43,社会医療法人社団健生会,立川相互病院,291,190-8578,立川市緑町４－１,042-525-2585,H23.2.1
44,社会医療法人社団健生会,立川相互ふれあいクリニック,-,190-0022,立川市錦町１－２３－４,042-524-1371,H23.2.1
45,社会医療法人社団健生会,相互歯科,-,190-0022,立川市錦町１－１７－１０　健生会歯科ビル,042-525-6480,H23.2.1
46,社会医療法人社団健生会,健生会ふれあい相互病院,60,190-0022,立川市錦町１－１６－１５,042-512-8720,R3.8.1
47,社会福祉法人恩賜財団東京都同胞援護会,昭島病院 ,199,196-0022,昭島市中神町１２６０  ,042-546-3111,S27.11.11
48,社会福祉法人聖ヨハネ会 ,桜町病院,199,184-0005,小金井市桜町１－２－２０,042-383-4111,S26.7.26
49,社会福祉法人多摩済生医療団,多摩済生病院,293,187-0041,小平市美園町３－１１－１,042-341-1611,S28.10.1
50,社会福祉法人黎明会,南台病院,122,187-0032,小平市小川町１－４８５,042-341-7111 ,S32.8.1
51,社会福祉法人白十字会,東京白十字病院,125,189-0021,東村山市諏訪町２－２６－１,042-391-6111,S27.5.17
52,社会福祉法人緑風会,緑風荘病院,199,189-0012,東村山市萩山町３－３１－１,042-392-1101,S29.2.27
53,社会福祉法人浴光会,国分寺病院,158,185-0014,国分寺市東恋ケ窪４－２－２,042-322-0123,S27.5.21
54,宗教法人救世軍,救世軍清瀬病院,142,204-0023,清瀬市竹丘１－１７－９,042-491-1411,S28.9.1
55,社会福祉法人上宮会,清瀬リハビリテーション病院 ,168,204-0023,清瀬市竹丘３－３－３３,042-493-6111,S27.5.17
56,社会福祉法人信愛報恩会,信愛病院,199,204-0024,清瀬市梅園２－５－９ ,042-491-3211,S26.6.1
57,社会福祉法人慈生会,ベトレヘムの園病院,96,204-0024,清瀬市梅園３－１４－７２,042-491-2525,S27.5.20
58,社会福祉法人桜ケ丘社会事業協会,桜ケ丘記念病院,467,206-0021,多摩市連光寺１－１－１,042-375-6311,S27.5.17
59,社会福祉法人桜ケ丘社会事業協会,風と森メンタルクリニック,-,206-0033,多摩市落合１－３５　ライオンズプラザ多摩センター３階,042-400-6111,44531
