"area","name","telephone number","summary"
"Shibaura/Daiba Area","Fuji Television Main Office Spherical Observation Room “Hachitama”",,"The spherical Hachitama observation room is located about 100 m above the ground， and offers a 270-degree panoramic seaside view， which includes Rainbow Bridge and Tokyo Tower. On clear days， you can see Mt. Fuji， the Chichibu mountain range， and even the Tanzawa Mountains."
"The Seven Gods of Fortune","Sakurada-jinja Shrine (Jurojin)","03-3408-5898","The one who bestows longevity， Jurojin，is enshrined here."
"The Seven Gods of Fortune","Tenso-jinja Shrine (Fukurokuju)","03-3583-2896","Enshrined here is Fukurokuju， who is said to bestow the three virtues of happiness (Fuku)， retainer's stipend (Roku)， and longevity (Ju)."
"The Seven Gods of Fortune","Hisakuni-jinja Shrine (Hotei)","03-3431-0987","Hotei the god of fortune and wealth is en-shrined here."
"The Seven Gods of Fortune","Daihoji Temple (Daikokuten)","03-3589-6008","Enshrines Daikokuten， who is said to bring fortune and grace to assets."
"The Seven Gods of Fortune","Hoshuin Temple (Benzaiten)","03-3583-6250","The goddess Benzaiten， who is said to grant fortune in social success and material wealth， is enshrined here."
"The Seven Gods of Fortune","Azabu Hikawa Shrine (Bishamonten)","03-3446-8796","Bishamonten， who takes away illnesses and disasters while realizing great ambitions， is enshrined here."
"The Seven Gods of Fortune","Juban Inari-jinja Shrine (Takarabune)","03-3451-6039","The shrine for the lucky treasure ship that carried the seven gods of fortune."
"The Seven Gods of Fortune","Iikura kumano-jinja Shrine (Ebisu)","03-3405-0868","Enshrined here is Ebisu， who brings business fortune."

"Minato City tourist map","Ver202312",,
