,,,,,,,,令和6年3月31日
19,優っくりグループホーム文京小日向,大塚,112-0006,東京都文京区小日向1丁目23-26,35.714215,139.737279,(03)5810-1758,認知症対応型共同生活介護（介護予防）
20,愛の家グループホーム文京本駒込,駒込,113-0021,東京都文京区本駒込5丁目66-5,35.733998,139.751616,(03)5832-6332,認知症対応型共同生活介護（介護予防）
21,花物語ぶんきょう いつつ星,富坂,112-0002,東京都文京区小石川5丁目11-8,35.716991,139.74129,(03)3868-3533,認知症対応型共同生活介護（介護予防）
22,グッドライフケアホーム向丘,本富士,113-0024,東京都文京区西片2丁目19-15,35.716457,139.754828,(03)3868-2052,認知症対応型共同生活介護（介護予防）
23,グッドライフケア２４,本富士,113-0024,東京都文京区西片2丁目19-15,35.716457,139.754828,(03)5844-6093,定期巡回 ・随時対応型訪問介護看護
24,せら定期巡回・随時対応型訪問介護看護,本富士,113-0033,東京都文京区本郷3丁目15-2,35.704703,139.761665,(03)5840-7040,定期巡回 ・随時対応型訪問介護看護
25,千石にじの家,富坂,112-0011,東京都文京区千石4丁目1-2,35.726468,139.741053,(03)6304-1822,看護小規模多機能型居宅介護
26,地域密着型特別養護老人ホーム洛和ヴィラ文京春日,富坂,112-0003,東京都文京区春日1丁目9-21,35.708093,139.744094,(03)5804-6511,地域密着型介護老人福祉施設入所者生活介護
27,特別養護老人ホーム文京小日向の家,大塚,112-0006,東京都文京区小日向1丁目23-26,35.714215,139.737279,(03)5810-1756,地域密着型介護老人福祉施設入所者生活介護
28,地域密着型特別養護老人ホーム文京大塚みどりの郷,大塚,112-0012,東京都文京区大塚4丁目50-1,35.724744,139.730825,(03)3941-6669,地域密着型介護老人福祉施設入所者生活介護
29,リハビリ・デイサービス 虎ＳＵＮ,富坂,112-0001,東京都文京区白山5丁目18-11,35.724427,139.746961,(03)6912-1840,地域密着型通所介護
30,文京区介護予防拠点 いきいき礫川,富坂,112-0002,東京都文京区小石川2丁目16-1,35.711145,139.747578,(03)5840-9828,地域密着型通所介護
31,ＧＥＮＫＩＮＥＸＴ 茗荷谷,富坂,112-0002,東京都文京区小石川5丁目21-5,35.719197,139.740045,(03)3868-0936,地域密着型通所介護
32,あしつよ・文京,富坂,112-0003,東京都文京区春日2丁目13-1,35.712284,139.742965,(03)6801-6402,地域密着型通所介護
33,信和リハビリデイサービス 千石,富坂,112-0011,東京都文京区千石4丁目16-2,35.730226,139.736856,(03)6902-9880,地域密着型通所介護
34,レコードブック千石,富坂,112-0011,東京都文京区千石4丁目38-10,35.728096,139.742295,(03)6902-5977,地域密着型通所介護
35,デイサービスセンターファンライフ文京,富坂,112-0011,東京都文京区千石3丁目13-11,35.724346,139.738026,(03)6912-0355,地域密着型通所介護
36,リハビリ道場,大塚,112-0012,東京都文京区大塚6丁目27-6,35.725996,139.724621,(03)3943-3408,地域密着型通所介護
37,ＭＥＤＩＣＡＬ ＰＲＯ ＳＰＯＲＴＳ 介護デイサービス,大塚,112-0012,東京都文京区大塚4丁目12-10,35.722577,139.735607,(03)6902-9270,地域密着型通所介護
38,リハビリ・デイサービス 虎ＳＵＮ動坂店,駒込,113-0021,東京都文京区本駒込4丁目42-11,35.732643,139.758105,(03)5842-1356,地域密着型通所介護
39,いきいきらいふ　ＳＰＡ　駒込,駒込,113-0021,東京都文京区本駒込5丁目72-1,35.732845,139.749661,(03)3943-8778,地域密着型通所介護
40,デイサービス With 千駄木,駒込,113-0022,東京都文京区千駄木4丁目16-2,35.717508,139.757661,(03)5834-7470,地域密着型通所介護
41,ＭＥＤＩＣＡＬ ＰＲＯ ＳＰＯＲＴＳ 介護デイサービス 教育の森,大塚,112-0012,東京都文京区大塚3丁目20-7,35.721883,139.735029,(03)6902-9568,地域密着型通所介護
42,デイサービスだるま,駒込,113-0022,東京都文京区千駄木3丁目42-16,35.727624,139.764616,(03)3823-7705,地域密着型通所介護
43,ゆらら デイサービス,大塚,112-0005,東京都文京区水道2丁目10-17,35.710664,139.733418,(03)6912-0069,地域密着型通所介護
