育成室名称,育成室名称（英語）,郵便番号,住所,緯度,経度,電話番号,カテゴリ,入室可能児童数,配慮を要する児童入室可能数,保育時間（月曜日から金曜日）,保育時間（土曜日）,保育時間（長期休業日　月曜日から金曜日まで）,保育時間(振替休業日　月曜日から金曜日まで)
神明育成室,Shinmei Children’s Club,113-0021,東京都文京区本駒込４丁目３５番地１５号（勤労福祉会館内）,35.733276,139.755369,03-3823-4303,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
千駄木育成室,Sendagi Children’s Club,113-0022,東京都文京区千駄木５丁目４４番地２号（千駄木小学校内）,35.72914,139.758951,03-3824-6674,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
窪町育成室,Kubomachi Children’s Club,112-0012,東京都文京区大塚３丁目２番地３号（窪町小学校内）,35.718877,139.735629,03-3946-1509,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
本郷第二育成室,Hongo Daini Children’s Club,113-0033,東京都文京区本郷４丁目５番地１５号（本郷小学校内）,35.708093,139.758136,03-3811-9215,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
本郷第三育成室,Hongo Daisan Children’s Club,113-0033,東京都文京区本郷４丁目５番地１５号（本郷小学校別棟）,35.707769,139.758134,03-3812-3800,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
駒本育成室,Komamoto Children’s Club,113-0023,東京都文京区向丘２丁目３７番地５号（駒本小学校内）,35.724618,139.754577,03-3827-6175,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
向丘育成室,Mukogaoka Children’s Club,113-0023,東京都文京区向丘１丁目３番地１３号（向丘保育園敷地内）,35.71751494,139.7565222,03-5800-1521,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
大塚小学校育成室,Otsuka Elementary School Children’s Club,112-0012,東京都文京区大塚４丁目１番地７号（大塚小学校内）,35.72375,139.736374,03-3946-4431,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
第三中学校育成室,Daisan Junior High School Children’s Club,112-0003,東京都文京区春日１丁目９番地９号（第三中学校敷地内）,35.70810807,139.7471843,03-3815-5535,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
茗台育成室,Meidai Children’s Club,112-0003,東京都文京区春日２丁目９番地５号（アカデミー茗台内）,35.713398,139.741276,03-5684-7681,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
文林中学校育成室,Bunrin Junior High School Children’s Club,113-0022,東京都文京区千駄木５丁目４４番地１２号（文林中学校内）,35.728461,139.758484,03-3823-4811,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
誠之育成室,Seishi Children's Club,113-0023,東京都文京区向丘２丁目５番地７号（旧アカデミー向丘内）,35.717335,139.75788,03-3868-3486,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
湯島小学校育成室,Yushima Elementary School Children’s Club,113-0034,東京都文京区湯島２丁目２８番地１４号（湯島小学校内）,35.706572,139.766568,03-6801-6173,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
音羽育成室,Otowa Children's Club,112-0015,東京都文京区目白台３丁目４番地１４号（テンダーラビング保育園音羽内）,35.716464,139.727714,03-6902-0223,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
誠之第二育成室,Seishi Daini Children’s Club,113-0001,東京都文京区白山１丁目２９番地１１号,35.71924,139.7528,03-3813-6501,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
文林中学校第二育成室,Bunrin Junior High School Daini Children’s Club,113-0022,東京都文京区千駄木５丁目４４番地１２号（文林中学校内）,35.728461,139.758484,03-3827-4820,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
根津第二育成室,Nezu Daini Children’s Club,113-0031,東京都文京区根津２丁目２４番地９号,35.7201,139.765,03-3827-4851,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
根津第三育成室,Nezu Daisan Children’s Club,113-0031,東京都文京区根津２丁目２４番地９号,35.7201,139.765,03-3827-4851,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
茗台臨時育成室,Meidai Rinji Children’s Club,112-0003,東京都文京区春日２丁目９番地５号（アカデミー茗台内）,35.713398,139.741276,090-6659-2136,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
