施術所（令和6年7月31日現在）,,,,,,,
No,施設名称,施設所在地,施設方書,施設電話番号,開設者氏名,開設届出日,業務の種類
51,白山はりきゅう院,文京区白山五丁目２２番７‐１０１号,白山ファミー,6304-1210,株式会社パワーエール,令和3年4月2日,あん摩、はり、きゅう
52,白山整骨院,文京区白山五丁目２２番７‐１０１号,白山ファミー,6304-1210,株式会社パワーエール,令和3年4月2日,柔道整復
53,鍼灸治療院ふぁんふぁん,文京区白山五丁目３１番２０号,コート白山１階,6240-0245,株式会社プロモッソラ,平成29年12月25日,はり、きゅう
54,鍼灸マッサージ治療処靭,文京区千石一丁目１６番７号,千石グリーンパーク２階,6902-9604,浅野　英佐,平成30年4月13日,あん摩、はり、きゅう
55,美と健康の鍼灸治療センターＢｅａｕｔｙ　ａｎｄ　Ｔｈｅ　Ｈｅａｌｔｈ,文京区千石一丁目２２番１号,斉藤ビル１階,080-2747-0319,佐野　弘子,令和4年3月7日,はり、きゅう
56,鍼灸サロンＨａｒｉｅｎｊｕ,文京区千石一丁目２９番１２号,千石片岡ビル５０２,070-9001-4432,佐原　ちひろ,令和5年12月15日,はり、きゅう
57,柚の木治療院,文京区千石二丁目４６番７号,,5978-4566,平野　洋子,平成20年2月1日,あん摩、はり、きゅう
58,リーベ・鍼灸,文京区千石三丁目２番２号,１階,6902-9805,渡邊　順子,平成25年12月25日,あん摩、はり、きゅう
59,元気の泉整骨院,文京区千石三丁目３番５号,,3942-8341,㈱アンビシャス・エンタープライズ,平成19年8月3日,柔道整復
60,元気の泉鍼灸院,文京区千石三丁目３番５号,,3942-8341,㈱アンビシャス・エンタープライズ,平成19年8月3日,はり、きゅう
61,千石名倉堂　池田接骨院,文京区千石三丁目３２番８号,,3944-4227,池田　俊幸,平成1年5月16日,柔道整復
62,医療法人社団　光永会　光永鍼療所,文京区千石四丁目４番２０号,,3943-0270,医療法人社団　光永会,平成2年1月18日,はり、きゅう
63,長谷川整骨院,文京区千石四丁目２４番８号,ピーアイビル１階,5978-3877,長谷川　久則,平成9年1月29日,柔道整復
64,整骨院シケヤス,文京区千石四丁目３３番１４号,大河原ビル１階,5978-3088,四家　靖彦,平成18年6月14日,柔道整復
65,シケヤスはりきゅうマッサージ院,文京区千石四丁目３３番１４号,大河原ビル１階,5978-3088,四家　靖彦,平成18年6月14日,あん摩、はり、きゅう
66,一代接骨院,文京区千石四丁目３７番１０号,入舟荘１階,5984-2609,篠?　和信,平成13年6月7日,柔道整復
67,整骨院プラスのみらいＬＡＢＯ,文京区千石四丁目４１番３号,奥野ビル１階,080-4135-1048,?島　俊哉,平成29年4月10日,柔道整復
68,まめの木鍼灸院,文京区千石四丁目４３番６号,千石柳沢マンション１階,3944-8343,有限会社ＲＤ・ピーンズ,平成18年3月16日,はり、きゅう
69,まめの木整骨院,文京区千石四丁目４３番６号,千石柳沢マンション１階,3944-8343,有限会社ＲＤ・ピーンズ,平成18年3月16日,柔道整復
70,むくの木整骨院,文京区千石四丁目４６番７号,,5395-5820,上原　隆司,平成23年8月19日,柔道整復
71,小桜はり灸院,文京区水道二丁目３番２１号,クボタマンション２０４,5615-8442,関根　健太,令和5年7月19日,はり、きゅう
72,しろくま鍼灸治療院,文京区水道二丁目１２番２号,ロジェ坂田４０１,5981-8993,?橋　貴子,平成29年8月2日,はり、きゅう
73,はりきゅうｒｏｋｕｍｏｎ,文京区水道二丁目１２番２号,ロジェ坂田２０１,6824-5189,加畑　聡子,令和5年4月18日,あん摩、はり、きゅう
74,大地堂鍼灸治療院,文京区水道二丁目１２番１３号,１Ｆ,3944-8118,株式会社大地堂ラボ,令和4年9月28日,あん摩、はり、きゅう
75,ｔａｋｅ整骨院,文京区小日向三丁目１番８号,ヴィラホワイト１階,6304-1305,吉田　岳生,平成29年4月6日,柔道整復
76,秀和整骨院,文京区小日向三丁目１８番８号,,6912-0020,照内　秀一,平成26年7月10日,柔道整復
77,秀和鍼灸治療院,文京区小日向三丁目１８番８号,,6912-0020,照内　秀一,平成26年7月10日,はり、きゅう
78,鍼灸マッサージＳＡＫＵＲＡ,文京区小日向四丁目５番１０号,小日向サニーハイツ７０４,03-6304-1254,瀬尾　展子,平成30年8月6日,あん摩、はり、きゅう
79,ＨＡＮＡＲｅ鍼灸院,文京区小日向四丁目７番１２号,茗荷谷ＪＫＨビル２階,,株式会社Ｅｉｒ,令和5年6月6日,はり、きゅう
80,茗荷谷クラーレ鍼灸院,文京区小日向四丁目７番１７号,ＫハウスＡ,6755-2448,株式会社Ｅｉｒ,令和2年12月11日,はり、きゅう
81,茗荷谷クラーレ整骨院,文京区小日向四丁目７番１７号,ＫハウスＡ,6755-2448,株式会社Ｅｉｒ,令和2年12月11日,柔道整復
82,安藤鍼灸院,文京区大塚一丁目１番７号,メゾン茗荷谷１０１,3945-7822,安藤　淳,平成25年8月2日,はり、きゅう
83,安藤整骨院,文京区大塚一丁目１番７号,メゾン茗荷谷１０１,3945-7822,安藤　淳,平成25年8月2日,柔道整復
84,あおやま整骨院,文京区大塚一丁目４番１５‐２０５号,アトラスタワー茗荷谷,3942-5244,株式会社レメディ,平成28年4月27日,柔道整復
85,あおやま鍼灸院,文京区大塚一丁目４番１５‐２０５号,アトラスタワー茗荷谷,3942-5244,株式会社レメディ,令和1年5月7日,はり、きゅう
86,茗荷谷「風」整骨院,文京区大塚三丁目１５番２号,ラメール文京１階,4500-5863,田中　理絵,平成30年2月20日,柔道整復
87,筑波大学理療科教員養成施設理療臨床部（はり・きゅう・あん摩マッサージ指圧治療室）,文京区大塚三丁目２９番１号,,3942-6890,筑波大学理療科教員養成施設,平成23年9月8日,あん摩、はり、きゅう
88,ゆうあい整骨院,文京区大塚三丁目３４番９号,ライオンズマンション小石川植物園１０４,6310-0872,村山　弘樹,平成27年12月7日,柔道整復
89,小石川指圧治療室,文京区大塚三丁目４３番３号,小石川ハイツ星座２０６,3943-2257,星　せつ子,平成3年5月15日,あん摩
90,千石白洲整骨院,文京区大塚四丁目１番１４号,グレースコート白鷺坂１０１,6902-2417,冨島　渉,令和4年11月1日,柔道整復
91,はり灸治療院平安堂,文京区大塚四丁目３９番９号,,3941-1984,㈱織田興安,昭和50年12月27日,あん摩、はり、きゅう
92,大塚整骨院,文京区大塚五丁目１０番７号,パールモアシャトー１階,5981-9036,渡邊　條仁,平成30年3月23日,柔道整復
93,大塚鍼灸マッサージ院,文京区大塚五丁目１０番７号,パールモアシャトー１階,5981-9034,渡邊　條仁,平成30年3月23日,あん摩、はり、きゅう
94,坂下通りべんてん整骨院,文京区大塚六丁目１５番１１号,シティハイツ新大塚１０２,6902-9822,株式会社ＣＵＲＥ,平成27年8月17日,柔道整復
95,坂下通りべんてん鍼灸院,文京区大塚六丁目１５番１１号,シティハイツ新大塚１０２,6902-9822,株式会社ＣＵＲＥ,平成27年8月17日,はり、きゅう
96,リバーサイドはり灸治療室,文京区関口一丁目１番３号,プラザ飯田橋１０５,3260-5772,萩澤　武勇,平成18年1月12日,はり、きゅう
97,神楽坂鍼灸センター,文京区関口一丁目２番３号,１階,6280-7765,株式会社ノーブル・ハウス,令和2年8月28日,はり、きゅう
98,こころ整骨院,文京区関口一丁目６番８号,ラフィネ小石川１０３,3269-6246,株式会社ｇｉｖｅｒｓ,平成26年4月15日,柔道整復
99,こころ鍼灸院,文京区関口一丁目６番８号,ラフィネ小石川１０３,3269-6246,株式会社ｇｉｖｅｒｓ,令和3年9月24日,はり、きゅう
100,ふじみ整骨院,文京区関口一丁目１１番１号,,5228-6216,㈱オベロン,平成20年7月8日,柔道整復
101,ふじみ鍼灸院,文京区関口一丁目１１番１号,,5228-6216,㈱オベロン,平成20年7月8日,はり、きゅう
102,永島鍼灸院,文京区関口一丁目１５番６号,,3268-2980,永島　照基,平成25年8月2日,はり、きゅう
103,永島接骨院,文京区関口一丁目１５番６号,,3268-2980,永島　照基,平成25年8月2日,柔道整復
104,市原接骨院,文京区関口一丁目２８番１１号,,3204-7537,市原　功,令和3年3月18日,柔道整復
105,ベストリハ鍼灸院,文京区関口一丁目３５番１５号,パレヴェール文京２０５,080-7474-9941,ベストリハ株式会社,令和2年6月19日,はり、きゅう
106,西原指圧,文京区目白台一丁目５番１号,,090-8729-1938,西原　一郎,平成24年1月10日,あん摩
107,長尾鍼療院,文京区目白台三丁目２０番１５号,,3941-7673,長尾　栄一,平成8年11月11日,あん摩、はり、きゅう
108,音羽鍼灸院,文京区目白台三丁目２１番１号,,3944-8699,伊藤　尚子,平成9年7月29日,あん摩、はり、きゅう
109,護国寺鍼灸治療室,文京区目白台三丁目２６番７号,303,3944-9366,上坂　満,昭和56年11月17日,はり、きゅう
110,筑波大学附属視覚特別支援学校鍼灸手技療法科治療室,文京区目白台三丁目２７番６号,筑波大学附属視覚特別支援学校,3943-5421,筑波大学附属視覚特別支援学校,昭和40年8月17日,あん摩、はり、きゅう
111,マキ鍼灸院,文京区音羽一丁目１番９号,１階,6318-1990,小谷　真希子,平成25年4月8日,はり、きゅう
112,マキ接骨院,文京区音羽一丁目１番９号,１階,6318-1990,小谷　真希子,平成25年4月8日,柔道整復
113,音羽ハリ灸指圧治療院,文京区音羽一丁目１５番１５号,シティ音羽１０９,3941-6069,朴　房江,令和4年1月5日,あん摩、はり、きゅう
114,音羽接骨院,文京区音羽一丁目１７番１１号,花和ビル５０８,3945-0618,井手　浩樹,平成29年11月13日,柔道整復
115,すずき鍼灸院,文京区音羽一丁目１７番１１号,花和ビル８０１,080-3690-1737,鈴木　裕太郎,令和5年4月14日,はり、きゅう
116,ユリア鍼灸マッサージ院,文京区音羽一丁目２０番２号,音羽ダイコクビル５０２,3941-3371,秋元　朋美,平成19年4月6日,あん摩、はり、きゅう
117,音羽の手鍼灸院,文京区音羽一丁目２０番５‐１０２号,,6902-2553,山田　洋介,平成28年8月1日,はり、きゅう
118,音羽の手整骨院,文京区音羽一丁目２０番５‐１０２号,,6902-2553,山田　洋介,平成28年8月1日,柔道整復
119,江戸川橋駅前ＣｕｒｅＳｔａ鍼灸院,文京区音羽一丁目２５番１５号,坪田ビル１階,5810-1811,株式会社ＢＬＵＣＫ,令和5年7月3日,はり、きゅう
120,江戸川橋駅前ＣｕｒｅＳｔａ整骨院,文京区音羽一丁目２５番１５号,坪田ビル１階,5810-1811,株式会社ＢＬＵＣＫ,令和5年7月3日,柔道整復
121,温活めぐり鍼灸サロン～護国寺～,文京区音羽二丁目１１番１８‐５０１号,,090-6565-5594,坂下　隆信,平成28年11月7日,はり、きゅう
122,この花鍼灸院,文京区音羽二丁目１１番１８号,音羽ダイヤモンドマンション７０３号室,080-5060-3425,柏野　一也,令和6年2月13日,はり、きゅう
123,Ｏｈａｎａ鍼灸院,文京区本郷一丁目２５番２号,ＴＲＵＳＴ　ＶＡＬＵＥ本郷３０２号室,080-9711-5033,三浦　有紗（菊間　有紗）,令和5年10月5日,はり、きゅう
124,Ｏｈａｎａ接骨院,文京区本郷一丁目２５番２号,ＴＲＵＳＴ　ＶＡＬＵＥ本郷３０２号室,080-9711-5033,三浦　有紗（菊間　有紗）,令和5年10月5日,柔道整復
125,水道橋ＨＯＢＯ整骨院,文京区本郷一丁目２５番３号,松尾ビル１階,3868-3399,保々　健介,平成31年4月18日,柔道整復
126,Ｙ２ＢＡＳＥ鍼灸マッサージ院,文京区本郷一丁目３３番３号,後楽園キャステール１０２,5801-0787,合同会社Ｙ２ＢＡＳＥ,令和1年8月14日,あん摩、はり、きゅう
127,健康工房はり灸院,文京区本郷一丁目３５番２４‐３０２号,,3812-8400,大城戸　孝,平成29年5月9日,はり、きゅう
128,くつろぎ鍼灸院,文京区本郷一丁目３５番２８号,804,6312-1687,今井　寛子,平成23年5月18日,はり、きゅう
129,ＢＬＵＥ　ＯＲＧＡＮＩＣ　ＳＰＡＣＥ鍼灸マッサージ院,文京区本郷二丁目４番１５号,リヨンドール本郷３階,080-6974-1968,平沼　穂香,令和6年4月2日,あん摩、はり、きゅう
130,鍼灸マッサージ星空散歩治療院,文京区本郷二丁目１６番１０号,西澤ビル５０３,070-3976-7374,千葉　佐恵子,平成30年4月3日,あん摩、はり、きゅう
131,本郷壱岐坂鍼灸院,文京区本郷二丁目１８番１０号,２階,3815-4692,小林　貞仁,昭和63年5月7日,あん摩、はり、きゅう
132,本郷壱岐坂整骨院,文京区本郷二丁目１８番１０号,２階,3815-4692,小林　貞仁,平成21年7月23日,柔道整復
133,永井接骨院,文京区本郷二丁目２７番６号,204,3812-3362,永井　英次,平成14年9月8日,柔道整復
134,いち鍼灸院,文京区本郷二丁目２８番７号,本郷ビルⅠ１階,4361-9828,株式会社ＯｎｅＲｉｖｅｒ,令和2年11月6日,はり、きゅう
135,いち接骨院,文京区本郷二丁目２８番７号,本郷ビルⅠ１階,4361-9828,株式会社ＯｎｅＲｉｖｅｒ,令和2年11月6日,柔道整復
136,鍼灸治療院Ｍｉｎｅ,文京区本郷二丁目２９番３号,Ｕｋ’Ｓビル１階,3812-7708,美根　大介,平成28年7月20日,あん摩、はり、きゅう
137,あん摩治療院ユタカ,文京区本郷二丁目３９番１０号,第２片岡ビル２階,5800-6777,沼田　明美,平成30年3月20日,あん摩
138,おひるね堂はり灸院,文京区本郷二丁目４０番７号,和田ビル２階,070-5010-1192,飯塚　邦彦,平成15年8月26日,あん摩、はり、きゅう
139,あおやま整骨院　本郷三丁目院,文京区本郷二丁目４０番１１号,かねやすビル５階,3830-0042,株式会社レメディ本郷,平成29年5月1日,柔道整復
140,あおやま鍼灸院　本郷三丁目院,文京区本郷二丁目４０番１１号,かねやすビル５階,3830-0042,株式会社レメディ本郷,平成29年5月1日,はり、きゅう
141,整骨院ホスピスト,文京区本郷二丁目４０番１３号,本郷コーポレイション３０１,5802-5515,岩間　良充,平成19年1月9日,柔道整復
142,鍼灸院ホスピスト,文京区本郷二丁目４０番１３号,本郷コーポレイション３０１,5802-5515,岩間　良充,平成21年5月14日,はり、きゅう
143,本郷三丁目駅前整骨院,文京区本郷二丁目４０番１８号,本郷協同ビル５階,3812-5222,株式会社エルフレッチェ,令和5年3月1日,柔道整復
144,真救堂はり・灸,文京区本郷三丁目１４番１２号,サンパーク本郷３０７,3815-4951,都築　修治,平成31年4月11日,あん摩、はり、きゅう
145,鍼灸あん摩マッサージ指圧　本郷まこと治療院,文京区本郷三丁目１７番７号,太田Ｕ．Ｔビル６階,6801-6573,渡邉　眞一,平成25年7月24日,あん摩、はり、きゅう
146,グラウベ鍼灸院,文京区本郷三丁目３７番１５号,２階,3815-7711,株式会社グラウベ,平成22年1月14日,あん摩、はり、きゅう
147,グラウベ整骨院,文京区本郷三丁目３７番１５号,１階,3815-7711,株式会社グラウベ,平成22年1月14日,柔道整復
148,湯島鍼灸接骨院,文京区本郷三丁目３９番１２号,,3816-1957,鈴木　公男,平成9年7月18日,あん摩、はり、きゅう
149,湯島鍼灸接骨院,文京区本郷三丁目３９番１２号,,3816-1957,鈴木　公男,平成9年7月18日,柔道整復
150,本郷三丁目駅前鍼灸院,文京区本郷二丁目４０番１８号,本郷協同ビル５階,3812-5222,株式会社エルフレッチェ,令和5年3月1日,はり、きゅう
151,リバティ文京鍼灸治療院,文京区本郷四丁目１７番８号,201,5842-7890,町田　裕介,平成23年10月3日,はり、きゅう
152,春日接骨院,文京区本郷四丁目２２番１１号,ルミエール本郷１階,3868-3536,芦野　真宏,令和1年5月14日,柔道整復
153,春日鍼灸マッサージ院,文京区本郷四丁目２２番１１号,ルミエール本郷１階,3868-3536,芦野　真宏,令和1年5月14日,あん摩、はり、きゅう
154,整骨院ティップ,文京区本郷四丁目２６番８号,山憲ビル２０１,090-9826-4652,株式会社Ｋａｉｓｅｒ,令和5年6月12日,柔道整復
155,鍼灸院ティップ,文京区本郷四丁目２６番８号,山憲ビル２０１,090-9826-4652,株式会社Ｋａｉｓｅｒ,令和5年6月12日,はり、きゅう
156,はりきゅうるーむ　ソット・ヴォーチェ,文京区本郷四丁目３０番１１号,,5802-3194,江口　久美子,令和2年6月18日,はり、きゅう
157,小池整骨院,文京区本郷五丁目１番３号,コーポ菊坂１０１,3868-2845,小池　英明,平成25年2月1日,柔道整復
158,小池鍼灸院,文京区本郷五丁目１番３号,コーポ菊坂１０１,3868-2845,小池　英明,平成25年2月1日,はり、きゅう
159,本郷スポーツマッサージ治療院,文京区本郷五丁目１番１５号,安野ビル４階,3812-9536,矢?　千賀子,平成18年7月6日,あん摩、はり、きゅう
160,本郷赤門前鍼灸院,文京区本郷五丁目２５番１３号,岡本ビル１階,5801-0710,株式会社ＨＴ,令和3年2月5日,はり、きゅう
161,本郷赤門前整骨院,文京区本郷五丁目２５番１３号,岡本ビル１階,5801-0710,株式会社ＨＴ,令和3年2月5日,柔道整復
162,東大赤門鍼灸治療院,文京区本郷五丁目２９番１２‐１２０４号,赤門ロイヤルハイツ,,合同会社ソフィアラボ,令和6年1月4日,はり、きゅう
163,さくら鍼灸院,文京区本郷六丁目２１番８号,,3811-5105,菅野　麗子,平成31年4月23日,はり、きゅう
164,お茶の水はりきゅう専門学校附属お茶の水鍼灸治療院,文京区湯島一丁目３番６号,,5689-3366,学校法人都築学園,平成20年4月1日,はり、きゅう
165,導龍鍼灸治療院,文京区湯島二丁目２番５号,ハピネスイン湯島５０３号,5802-0788,松坂　孝志,平成29年6月16日,あん摩、はり、きゅう
166,はちまん鍼灸院,文京区湯島二丁目３１番１０号,レックス湯島１０１,5615-8918,株式会社ヘッジホッグ,令和4年5月24日,あん摩、はり、きゅう
167,天神鍼灸治療院,文京区湯島二丁目３３番１０号,深野ビル４階,5818-0952,公手　聡,平成19年11月26日,はり、きゅう
168,小橋指圧治療所,文京区湯島三丁目１番２号,ルミエル湯島４０４,3837-3293,小橋　美和子,平成6年6月6日,あん摩
169,くまがい整骨院,文京区湯島三丁目１０番９号,沢井ビル１階,3831-3437,熊谷　伸幸,平成19年5月15日,柔道整復
170,丸山耕整骨院,文京区湯島三丁目１６番１２号,モーリオン湯島１階,5816-6633,丸山　耕,平成27年8月18日,柔道整復
171,丸山耕鍼灸院,文京区湯島三丁目１６番１２号,モーリオン湯島１階,5816-6633,丸山　耕,平成27年8月18日,はり、きゅう
172,ウェルネス湯島鍼灸マッサージ治療室,文京区湯島三丁目１７番８号,セレニティ湯島１０１,3837-4474,有限会社ウェルネス,平成29年12月5日,あん摩、はり、きゅう
173,湯島指圧治療室,文京区湯島三丁目２３番８号,第六川田ビル４０３,3833-5059,神庭　政良,昭和60年6月12日,あん摩
174,しんどう鍼灸院,文京区湯島三丁目２８番１８号,Ｂ１,6240-1797,新藤　義嗣,平成23年10月31日,はり、きゅう
175,五味針灸院,文京区湯島三丁目２８番１８号,アド・ホームズ７０４,,五味　彰,平成28年1月7日,あん摩、はり、きゅう
176,湯島白梅鍼灸院,文京区湯島三丁目２８番１８号,ＡＤ・ＨＯＭＥＳ５０５,6803-2816,中嶋　恵子,平成28年10月17日,あん摩、はり、きゅう
177,整骨・指圧竹森治療室,文京区湯島三丁目３０番６号,サンハイム湯島３０３,3833-0069,竹森　善則,平成7年7月6日,あん摩
178,ライフさんわ鍼灸院,文京区湯島三丁目３９番７‐５０１号,ユシマＡＳビル,3834-4733,増渕　登（内田　登）,令和5年10月3日,はり、きゅう
179,もみの手指圧・はり・美容メディカルフロア,文京区湯島三丁目４６番５号,湯島平松ビル３階,3833-2155,有限会社東都マッサージ・ＴＭＧ,令和2年2月5日,あん摩、はり、きゅう
180,佐川指圧マッサージ治療院,文京区湯島四丁目６番１２号,湯島ハイタウンＡー２０８,5802-1855,佐川　邦夫,平成13年12月5日,あん摩
181,プライベート鍼灸サロンａ?Ａ×Ｍ,文京区湯島四丁目１０番８号,,070-8416-4655,芦刈　文香,令和4年2月22日,はり、きゅう
182,整骨・指圧竹森治療室,文京区湯島三丁目３０番６号,サンハイム湯島３０３,3833-0069,竹森　善則,平成7年7月6日,柔道整復
183,鍼灸三幸堂治療院,文京区西片二丁目１８番１６号,,3812-2465,古米　大暉,平成30年7月2日,あん摩、はり、きゅう
184,三幸堂整骨院,文京区西片二丁目１８番１６号,,3812-2465,古米　大暉,平成30年7月2日,柔道整復
185,坂本接骨院,文京区向丘一丁目６番８号,,3816-7995,坂本　恒夫,昭和54年4月11日,柔道整復
