診療所（令和6年7月31日現在）,,,,,,,
No,施設名称,施設所在地,施設方書,施設電話番号,開設者氏名,開設届出日,診療科目
62,渋谷眼科,文京区千石一丁目２８番４号,エムズビル１階,3944-1103,渋谷　潔,平成11年9月21日,眼科
63,医療法人社団しんけん会　千石耳鼻咽喉科・アレルギー科,文京区千石一丁目２９番１２号,千石片岡ビル１０１号室,5395-8733,医療法人社団しんけん会,令和2年9月9日,耳鼻咽喉科、アレルギー科　
64,医療法人社団光永会　光永クリニック,文京区千石四丁目４番１号,,3943-0270,医療法人社団光永会,昭和62年8月1日,内科、小児科、胃腸内科、消化器内科、内視鏡内科
65,水間クリニック,文京区千石四丁目８番１号,,5976-7350,水間　宏,平成7年12月15日,内科、小児科
66,祐ホームクリニック千石,文京区千石四丁目２５番５号,ＫＳＴビル３階,050-3784-2001,医療法人社団鉄祐会,平成23年3月1日,内科、外科、整形外科、神経内科、皮膚科、緩和ケア内科、精神科
67,三輪医院,文京区千石四丁目２６番８号,,5976-9933,三輪　一彦,令和1年7月9日,内科
68,掛川整形外科,文京区千石四丁目３９番１８号,,5319-8500,掛川　裕治,平成19年2月20日,整形外科、リハビリテーション科
69,赤池耳鼻咽喉科医院,文京区千石四丁目４０番２号,,5976-3355,赤池　洋,平成4年5月1日,耳鼻咽喉科
70,近藤クリニック,文京区千石四丁目３番１６号,,3944-1820,近藤　和喜夫,平成6年11月18日,内科、消化器科、小児科
71,矢野医院,文京区水道一丁目３番３１号,,3811-5787,矢野　雅彦,令和1年5月17日,内科、外科
72,守谷医院,文京区水道二丁目１０番１号,,3941-9673,守谷　直樹,平成18年1月4日,内科、精神科
73,坂巻クリニック,文京区水道二丁目１４番７号,Ｃ＆Ｈ中原１階,3941-6074,石川　広己,令和6年1月4日,内科
74,石原医院,文京区小日向一丁目６番６号,,3941-8526,藤原　陽子,平成9年4月1日,内科、小児科
75,医療法人社団五日向会小日向診療所,文京区小日向二丁目１９番９号,トワベール小日向１０１号室,5810-1505,医療法人社団五日向会,令和5年10月5日,内科
76,医療法人社団ＴＫＧ会　小日向台町クリニック,文京区小日向三丁目７番４号,メゾンたかむら２０２号室,5981-9876,医療法人社団ＴＫＧ会　,平成28年4月1日,内科
77,こひなた眼科,文京区小日向四丁目４番３号,カーネ小日向１０２号室,3944-5566,藤巻　拓郎,平成28年2月2日,眼科
78,しおざわクリニック,文京区小日向四丁目４番３号,カーネ小日向１０３号室,3945-3711,塩澤　真司,平成29年4月3日,泌尿器科、内科、形成外科、皮膚科、美容皮膚科
79,茗荷谷なかむらクリニック,文京区小日向四丁目５番１６号,ツインヒルズ茗荷谷ビル１階,3945-6161,中村　陽一,平成29年4月3日,内科、外科、肛門外科
80,茗荷谷かさい眼科,文京区小日向四丁目６番１２号,茗荷谷駅ＭＦビル２階,6912-2844,葛西　用莓,平成28年8月1日,眼科
81,医療法人社団健永いずみ会　岩瀬クリニック,文京区小日向四丁目６番１５号,茗荷谷駅ＭＦビル４階,5940-7151,医療法人社団健永いずみ会,平成18年8月1日,内科、アレルギー科、外科、皮膚科、循環器内科、消化器内科
82,医療法人社団春日会　伝通院クリニック,文京区小日向四丁目６番１８号,ステラメゾン茗荷谷２０１号室,6912-1565,医療法人社団春日会,平成22年1月19日,内科、小児科、耳鼻咽喉科
83,こひなたクリニック,文京区小日向四丁目６番２２号,アセント茗荷谷８階,5395-5072,医療法人社団筑陽会,平成22年6月7日,内科、皮膚科
84,コパーズ・茗荷谷クリニック,文京区小日向四丁目７番２０号,コパーズ・茗荷谷ビル１階,5976-2207,松浦　本,平成21年7月28日,外科、内科、消化器外科、肛門外科、皮膚科、麻酔科、リハビリテーション科、アレルギー科
85,茗荷谷整形外科・スポーツクリニック,文京区大塚一丁目４番１０号,銀嶺ビル３階,5319-1100,医療法人社団慈清会,令和3年11月10日,整形外科、リハビリテーション科、リウマチ科
86,医療法人栄仁会　みらいメディカルクリニック茗荷谷,文京区大塚一丁目４番１５号,アトラスタワー茗荷谷２０２,3943-0123,医療法人栄仁会,令和3年8月3日,内科、胃腸内科、循環器内科、小児科、アレルギー科、、呼吸器内科
87,皮ふと子どものあざクリニック茗荷谷,文京区大塚一丁目５番１８号,大伴ビル１１階Ａ号室,6304-1725,廣田　貴子,令和6年6月3日,形成外科、皮膚科、美容皮膚科、美容外科
88,はりまざかクリニック耳鼻咽喉科・アレルギー科,文京区大塚一丁目５番１８号,大伴ビル９Ａ号室,6304-1510,三輪　正人,平成31年1月4日,耳鼻咽喉科、アレルギー科、小児耳鼻咽喉科
89,茗荷谷乳腺クリニック,文京区大塚一丁目５番１８号,大伴ビル４階Ａ号室,5981-8288,医療法人社団　厚博会,令和2年7月1日,乳腺外科
90,吉村小児科,文京区大塚二丁目１８番６号,,3943-3806,内海　裕美,平成10年9月1日,小児科
91,めぐみクリニック,文京区大塚三丁目１番６号,ラ・トゥール小石川３階３Ａ号室,5981-8990,皆川　恵子,平成26年9月1日,精神科、心療内科、児童精神科
92,医療法人社団千秋双葉会　茗荷谷キッズクリニック,文京区大塚三丁目１番６号,ラ・トゥール小石川地下１階Ａ１号室,5976-3077,医療法人社団千秋双葉会,平成29年12月1日,小児科、アレルギー科、小児循環器内科
93,えなのさとクリニック,文京区大塚三丁目１番１０号,ラ・ネージュ小石川２０６,5976-3065,福島　幸江,平成16年4月9日,内科、小児科、心療内科、麻酔科、皮膚科
94,矢吹女性心身クリニック,文京区大塚三丁目１番１０号,ラ・ネージュ小石川３０３号室,3946-2580,矢吹　弘子,平成28年5月2日,心療内科、女性精神科
95,ようようインターナショナルクリニック,文京区大塚三丁目１番１０号,ラ・ネージュ小石川３０１号室,3946-5886,楊　陽,令和5年10月2日,内科、病理診断科、麻酔科
96,茗荷谷あかね皮膚科,文京区大塚三丁目５番１号,茗荷谷クリアビル２階,6912-0213,後藤　あかね,令和5年9月1日,皮膚科、アレルギー科
97,医療法人社団心緑会　小石川メンタルクリニック,文京区大塚三丁目６番５号,白井ビル１階、２階、３階、４階,3943-5858,医療法人社団心緑会,平成28年11月1日,精神科、心療内科
98,斉藤整形外科,文京区大塚三丁目７番１５号,,3941-8052,斉藤　勝之,平成6年10月31日,整形外科、リハビリテーション科
99,森内科,文京区大塚三丁目３５番８号,１階,3945-8188,森　俊也,平成21年2月26日,内科、呼吸器内科、糖尿病内科、代謝内科、腎臓内科、感染症内科、アレルギー科、内分泌内科、脂質代謝内科、老年内科
100,医療法人社団拓諭会　やすだクリニック,文京区大塚四丁目４５番４号,地下１階～地上１・２,3945-5055,医療法人社団拓諭会,平成14年9月2日,内科、消化器科、外科、整形外科、眼科、肛門科、リハビリテーション科
101,医療法人社団護友会　友成第二医院,文京区大塚五丁目４０番１８号,,3941-8583,医療法人社団護友会,令和2年4月2日,内科、循環器内科、外科、消化器内科、整形外科、リハビリテーション科
102,東京保健生活協同組合　大塚診療所,文京区大塚六丁目９番１０号,,3947-5521,東京保健生活協同組合,平成12年4月1日,内科、呼吸器科、循環器科、小児科、外科、整形外科、眼科、皮膚科
103,田中医院,文京区関口一丁目１番３号,プラザ飯田橋１階,3266-1407,田中　盛久,平成2年12月10日,内科、消化器科、循環器科、皮膚科、リハビリテーション科
104,江戸川橋さくらクリニック,文京区関口一丁目１番６号,新星ビル４階,5227-3433,千葉　悦子,平成23年4月1日,内科、消化器内科
105,江戸川橋皮フ科クリニック,文京区関口一丁目３番７号,ＣＲＯＳＳ神楽坂１階,5227-8715,岡本　麻里江,平成26年1月31日,皮膚科、アレルギー科、小児皮膚科
106,あんず心のクリニック,文京区関口一丁目１３番１２号,武田ビル４階,5579-8836,石原　麻紀,平成28年3月24日,精神科、心療内科
107,医療法人社団一専会　神楽坂ホームケアクリニック,文京区関口一丁目１３番１４号,向井ビル２階・３階,5227-7878,医療法人社団一専会,平成30年2月1日,内科、泌尿器科、精神科
108,医療法人社団秀志会　松平小児科,文京区関口一丁目１５番９号,１階,3267-4077,医療法人社団秀志会,平成17年10月3日,内科、小児科、眼科
109,医療法人社団誠仁メディカル　誠ウィメンズクリニック,文京区関口一丁目１８番６号,２階,3513-0355,医療法人社団誠仁メディカル,平成25年5月7日,産婦人科
110,江戸川橋クリニック耳鼻咽喉科,文京区関口一丁目１９番６号,弥助ビル４階,3235-3387,中原　はるか,平成26年10月2日,耳鼻咽喉科
111,医療法人社団康善会江戸川橋胃腸肛門クリニック,文京区関口一丁目１９番６号,弥助ビル５階,3269-2020,医療法人社団康善会,令和3年12月2日,消化器内科、肛門外科、内科
112,岡崎ハートクリニック,文京区関口一丁目２１番１５号,プリームス青柳１階,6280-8234,医療法人社団ＯＨＣ,令和5年6月1日,循環器内科、内科、アレルギー科、皮膚科
113,ソレイユクリニック江戸川橋,文京区関口一丁目２１番１９号,九條ビル３階,3268-7770,岩永　温子,令和3年12月3日,美容皮膚科、美容外科、皮膚科
114,佐野眼科,文京区関口一丁目４５番１５号,日火江戸川橋ビル２０４,5229-4018,佐野　信昭,平成9年6月2日,眼科
115,江戸川橋レディースクリニック,文京区関口一丁目４８番６号,日火江戸川橋ビル第二　Ｂ２０２号室,5206-3710,井野　奈央,令和4年3月1日,産婦人科
116,Ｎ２クリニックホテル椿山荘東京院,文京区関口二丁目１０番８号,ホテル椿山荘東京　ホテル棟３階,3943-0022,野村　絋史,令和3年5月18日,形成外科、美容外科、皮膚科、美容皮膚科、腫瘍内科、整形外科
117,医療法人社団すずき医院,文京区目白台一丁目２３番７号,グリーンヒルズ目白台１０１,3941-1590,医療法人社団すずき医院,平成22年3月1日,内科、小児科、消化器内科
118,三浦内科クリニック,文京区目白台二丁目１２番５号,,5319-3321,三浦　誠司,平成24年3月19日,内科、消化器内科、肛門外科、外科、アレルギー科
119,早期緩和ケア大津秀一クリニック,文京区目白台二丁目１３番２号,Ｋ・Ｂビル４０２,6912-0217,大津　秀一,平成30年8月1日,緩和ケア内科、疼痛緩和内科、がん内科、がん精神科
120,向井内科クリニック,文京区目白台三丁目１６番１２号,,6912-1304,向井　拓治,平成28年4月1日,内科
121,医療法人社団幸樹会　おとわ内科・脳神経外科クリニック,文京区音羽一丁目５番１７号,音羽クリニックビル１階、２階、３階,6662-7755,医療法人社団幸樹会,平成24年6月1日,内科、脳神経外科
122,音羽皮膚科クリニック,文京区音羽一丁目９番４号,,3942-0193,青木　幹泰,平成12年7月3日,皮膚科
123,友成整形・形成外科,文京区音羽一丁目１４番２号,三井音羽ハイツ１０１,5940-0102,友成　博,平成12年10月27日,内科、整形外科、形成外科、リハビリテーション科
124,医療法人社団和幸会　上田医院,文京区音羽一丁目２０番１５号,サンビュー１０２号,3943-0268,医療法人社団　和幸会,平成10年8月3日,内科、外科、胃腸科
125,水道橋ひふ科クリニック,文京区本郷一丁目１４番４号,ＡＵ南陽堂ビル１階,5684-4112,医療法人社団カミシマメディカル,令和4年5月2日,皮膚科、美容皮膚科、小児皮膚科、アレルギー科
126,本郷さいとうクリニック,文京区本郷一丁目２０番９号,コハタビル２階,5842-2215,齊藤　洋,平成14年11月12日,精神科、心療内科
127,アリビオクリニック,文京区本郷一丁目２５番９号,斉藤ビル４階,070-9007-8973,医療法人社団春風会,令和6年4月2日,内科
128,医療法人社団大地の会　本郷ファミリークリニック,文京区本郷一丁目３３番８号,ハウス本郷ビル６階,3868-7501,医療法人社団大地の会,平成29年6月9日,内科、糖尿病・内分泌内科、精神科、皮膚科、呼吸器内科、循環器内科、脳神経内科、腎臓内科
129,後楽園ウィメンズクリニック,文京区本郷一丁目３３番８号,ハウス本郷ビル４階,5689-5500,医療法人社団リエゾン,令和5年4月3日,婦人科、産科
130,一般財団法人近藤記念医学財団　富坂診療所,文京区本郷一丁目３３番９号,ドン・キホーテ後楽園ビル３階,3814-2662,一般財団法人近藤記念医学財団,平成27年1月5日,内科、循環器内科、消化器内科、神経内科
131,太田明々堂眼科医院,文京区本郷一丁目３３番１２号,１０３号,3811-0318,太田　剛,平成20年7月23日,眼科
132,睡眠呼吸障害オンラインクリニック,文京区本郷二丁目４番３号,パークサイド山口４０２,070-9009-8369,大貫　慧介,令和4年4月18日,内科
133,てのひら眼科,文京区本郷二丁目５番２号,本郷福々ビル２０２号,050-5482-0339,添田　尚一,令和5年7月3日,眼科
134,ＪＦリハビリテーションクリニック,文京区本郷二丁目１３番１０号,湯淺ビル３階,6801-5326,小関　克,令和5年10月2日,リハビリテーション科
135,本郷三丁目・植村クリニック,文京区本郷二丁目２５番１４号,第一ライトビル２０２号,3811-0515,植村　秀治,平成24年8月27日,神経内科
136,文京眼科医院,文京区本郷二丁目２６番８号,本郷和可奈ビル４階,3813-1117,藤本　真理,令和4年3月1日,眼科
137,本三クリニック,文京区本郷二丁目２６番８号,本郷和可奈ビル５階,070-8470-7771,安斎　翔,令和4年4月1日,消化器内科、内科、内視鏡内科
138,医療法人社団千秋双葉会　本郷みみ・はな・のどクリニック,文京区本郷二丁目２６番８号,和可奈ビル３階,5684-3387,医療法人社団千秋双葉会,令和4年9月7日,耳鼻咽喉科、アレルギー科
139,医療法人うえむらクリニック形成外科　本郷院,文京区本郷二丁目２６番８号,本郷和可奈ビル２Ｆ,3868-2335,医療法人うえむらクリニック形成外科,令和4年12月1日,形成外科
140,東京皮膚科・病理診断科クリニック,文京区本郷二丁目２６番１４号,壱岐坂センタービル５階,070-8907-8986,医療法人社団一二三,令和5年8月9日,皮膚科、病理診断科、内科、婦人科
141,本郷レディースクリニック,文京区本郷二丁目２７番８号,クローチェ本郷１階,3818-5371,早野　知加子,令和2年11月2日,産科、婦人科
142,心陽クリニック,文京区本郷二丁目２９番３号,ＵＫ’Ｓビル３階,050-3692-2107,石田　陽子,平成27年6月2日,内科、心療内科、麻酔科、ペインクリニック内科、精神科
143,飯田医院,文京区本郷二丁目３２番１２号,,3811-4952,飯田　晃,昭和54年4月10日,内科、小児科
144,きたなかこども成長クリニック,文京区本郷二丁目３７番６号,稲毛屋ビル４階,3817-0976,北中　幸子,平成30年10月1日,小児科、小児糖尿病内科、小児内分泌内科、思春期内科
145,医療法人社団一如会　相田医院,文京区本郷二丁目３９番１３号,,3811-4859,医療法人社団一如会,平成9年9月5日,内科
146,本郷東大前こころのクリニック,文京区本郷二丁目４０番１１号,かねやすビル３階・４階,6801-8115,医療法人社団銀陽会,平成27年11月5日,精神科、心療内科
147,そめのまち診療所,文京区本郷二丁目４０番１３号,本郷コーポレイション９０３号室,4361-0501,原田　正則,令和2年8月3日,整形外科、リハビリテーション科
148,エムズクリニック,文京区本郷二丁目４０番１７号,本郷若井ビル６階,3813-7600,医療法人東和会,平成26年2月3日,リウマチ科、整形外科
149,やおさか皮フ科クリニック,文京区本郷二丁目４０番１８号,本郷協同ビル４階,3868-8088,八百坂　遵,令和4年3月1日,皮膚科、小児皮膚科、アレルギー科
150,風メンタルクリニック本郷,文京区本郷三丁目５番２号,第二田中ビル２階,5802-7181,森　大輔,平成12年5月24日,内科、精神科、神経科、心療内科
151,仙頭クリニック,文京区本郷三丁目１４番１６号,美工本郷第２ビル６階,3868-3350,仙頭　正四郎,平成30年2月9日,漢方内科
152,ＣＳ眼科クリニック,文京区本郷三丁目１５番１号,美工本郷ビル５階・８階,5684-2333,宇井　牧子,令和1年11月1日,眼科、小児眼科
153,本郷いきざかうえ皮膚科,文京区本郷三丁目１５番１号,美工本郷ビル４階,3868-2681,平澤　祐輔,令和5年4月3日,皮膚科、小児皮膚科、美容皮膚科
154,和田秀樹こころと体のクリニック,文京区本郷三丁目２１番１２号,,3814-4530,和田　秀樹,令和5年9月22日,内科、精神科
155,本郷三丁目眼科,文京区本郷三丁目２４番１１号,スカーラ文京本郷スカイプラザ１階,3830-0500,澁谷　香弥子,平成29年10月2日,眼科、小児眼科
156,本郷の森診療所,文京区本郷三丁目３１番３号,本郷スズヨシビル３階,3830-0652,岡野　憲一郎,令和4年4月1日,精神科、心療内科
157,桜皮膚科,文京区本郷三丁目３２番７号,ＭＳＫビル２階,5684-1431,三谷　弘子,平成11年9月27日,皮膚科
158,後楽園こころのあかりクリニック,文京区本郷一丁目３５番２６号,２階,3812-5562,吉川　大輝,平成30年12月19日,心療内科、精神科
159,旭中央病院附属病理診断科診療所,文京区本郷三丁目４０番１０号,三翔ビル本郷５階,3812-7770,地方独立行政法人総合病院国保旭中央病院,令和3年6月2日,病理診断科
160,漢方・免疫　たかはし内科クリニック,文京区本郷四丁目１番１号,玉屋ビル８階,3816-3318,高橋　秀実,平成31年4月1日,内科
161,コーラルクリニック,文京区本郷四丁目１番７号,近江屋第二ビル３階３０１号室,5844-3133,医療法人社団悠輝会,平成30年10月1日,神経内科、脳神経外科、内科
162,本郷耳鼻咽喉科クリニック,文京区本郷四丁目２番８号,フローラビルディング２階,5689-4133,医療法人社団鉄音会,平成29年5月1日,アレルギー科、耳鼻咽喉科
163,山田眼科医院,文京区本郷四丁目５番１０号,サンファミリー本郷２０１号,3814-1817,山田　美也子,昭和55年5月1日,眼科
164,坂口医院,文京区本郷四丁目９番２２号,本郷フジビル１階,3811-1560,坂口　正巳,令和1年5月24日,内科、消化器内科、肝臓内科
