No,施設漢字名称,施設所在地,施設方書,施設電話番号１,開設者漢字名称,許可番号,許可開始日,許可終了日
76,ＥＤＯゆしま調剤薬局,文京区本郷三丁目３番１号,お茶の水ＫＳビル１階,3830-2121,株式会社ＥＤＯ－ＩＳＥＮ,2020文文生薬第401号,令和2年10月1日,令和8年9月30日
77,本郷三丁目薬局,文京区本郷三丁目３番１２号,Ｋ’ｓビル１階,5800-0683,有限会社本三薬局,2021文文生薬第1596号,令和4年4月4日,令和10年4月3日
78,オアシス薬局,文京区本郷三丁目３２番７号,,5804-3129,岡本醫化学株式会社,2023文文生薬第1655号,令和6年5月28日,令和12年5月27日
79,芙蓉堂薬局,文京区本郷四丁目２番１号,芙蓉堂第二ビル４階,3816-2410,株式会社芙蓉堂薬局,2022文文生薬第1673号,令和5年3月31日,令和11年3月30日
80,芙蓉堂薬局１９１３,文京区本郷四丁目２番１号,芙蓉堂第二ビル１階,03-3816-2410,株式会社芙蓉堂薬局,2021文文生薬第560号,令和3年9月3日,令和9年9月2日
81,今尾薬局,文京区本郷四丁目６番３号,,3811-4033,篠田　隆,30文文生薬第424号,平成30年9月1日,令和6年8月31日
82,竹内薬局　本郷店,文京区本郷四丁目１７番６号,ＴＲＭ本郷真砂１階１０２号室,03-6801-5535,株式会社竹内調剤薬局,2023文文生薬第21号,令和5年5月1日,令和11年4月30日
83,みその薬局,文京区本郷四丁目２５番１２号,,3811-5320,有限会社みその薬局,2023文文生薬第292号,令和5年7月2日,令和11年7月1日
84,いちご薬局,文京区本郷四丁目２７番１０号,リビオレゾン本郷１０１,5684-1702,株式会社ティーエムエス,30文文生薬第677号,平成30年11月5日,令和6年11月4日
85,高島堂薬局,文京区本郷五丁目２４番４号,,3811-1657,株式会社高島堂薬局,2023文文生薬第1068号,令和6年1月1日,令和11年12月31日
86,ＹＯＪＯ薬局,文京区本郷五丁目２５番１８号,ハイテク本郷ビル１０２,03-4500-1406,ＰｈａｒｍａＸ株式会社,2023文文生薬第350号,令和5年7月1日,令和11年6月30日
87,ＷＡＫＡＲＵ薬局　東大前店,文京区本郷六丁目２番２号,平尾ビル１Ｆ,5990-9371,青天株式会社,2023文文生薬第1559号,令和6年3月6日,令和12年3月5日
88,竹内調剤薬局　東大店,文京区本郷七丁目３番１号,南研究棟１階Ａ,5844-6361,株式会社竹内調剤薬局,30文文生薬第1425号,平成31年3月1日,令和7年2月28日
89,アイン薬局　東大店,文京区本郷七丁目３番１号,南研究棟１階Ｂ,5844-6335,株式会社アインファーマシーズ,30文文生薬第1428号,平成31年3月1日,令和7年2月28日
90,和同会薬局湯島店,文京区湯島一丁目８番４号,山川ビル１階,5684-3939,一般財団法人和同会,2022文文生薬第676号,令和4年10月26日,令和10年10月25日
91,ケイワ薬局湯島店,文京区湯島一丁目９番１４号,プチモンドお茶の水１０１号室,5805-7898,株式会社エスシーグループ,2021文文生薬第355号,令和3年8月1日,令和9年7月31日
92,ファーマライズ薬局文京店,文京区湯島三丁目３番８号,,5812-7377,ファーマライズ株式会社,2020文文生薬第1539号,令和3年6月1日,令和9年5月31日
93,日本調剤湯島薬局,文京区湯島三丁目４番１３号,松田ビル１階,3834-3327,日本調剤株式会社,2020文文生薬第1104号,令和3年2月1日,令和9年1月31日
94,ファーマライズ薬局湯島店,文京区湯島三丁目３２番８号,,3832-1606,ファーマライズ株式会社,2020文文生薬第1538号,令和3年6月1日,令和9年5月31日
95,竹内薬局　天神下店,文京区湯島三丁目３８番１３号,坂東ビル,03-5846-8511,株式会社竹内調剤薬局,2022文文生薬第1927号,令和5年4月1日,令和11年3月31日
96,スギ薬局上野広小路店,文京区湯島三丁目３９番１０号,上野ＴＨビル１階,5812-5923,株式会社スギ薬局,2023文文生薬第647号,令和5年9月29日,令和11年9月28日
97,竹内調剤薬局,文京区湯島四丁目１番２１号,,3816-5891,株式会社竹内調剤薬局,2021文文生薬第440号,令和3年8月1日,令和9年7月31日
98,好仁会薬局,文京区湯島四丁目１番２２号,三和ビル１階、２階,3812-4085,一般財団法人好仁会,2023文文生薬第800号,令和5年10月31日,令和11年10月30日
99,水野薬局,文京区湯島四丁目１番２４号,地下１階、１階、２階,5684-7755,合同会社水野,2022文文生薬第700号,令和4年11月6日,令和10年11月5日
100,鉄門前薬局,文京区湯島四丁目１１番１０号,,3868-3130,一般財団法人好仁会,2022文文生薬第1772号,令和5年3月9日,令和11年3月8日
101,スギ薬局　白山通り店,文京区西片一丁目１５番１９号,シャトー文京１階,5805-2844,株式会社スギ薬局,30文文生薬第1197号,平成31年2月6日,令和7年2月5日
102,三幸堂薬局,文京区西片二丁目１８番１６号,,3812-2465,有限会社三幸堂薬品,2023文文生薬第201号,令和5年7月9日,令和11年7月8日
103,不二薬局,文京区西片二丁目２５番８号,,3811-4451,有限会社不二薬局,2023文文生薬第221号,令和5年6月18日,令和11年6月17日
104,さくら薬局向丘店,文京区向丘二丁目１４番１号,,3827-0011,株式会社ニック,2024文文生薬第187号,令和6年7月1日,令和12年6月30日
105,雄飛堂薬局　千駄木店,文京区向丘二丁目１４番６号,,3823-8551,株式会社雄飛堂,2020文文生薬第657号,令和2年12月1日,令和8年11月30日
106,健生堂薬局向丘店,文京区向丘二丁目１４番１０号,,5815-7621,有限会社グロース,2021文文生薬第1597号,令和4年4月1日,令和10年3月31日
107,さくら薬局団子坂店,文京区向丘二丁目３４番３号,土橋ビル１階,3821-5898,クラフト株式会社,2021文文生薬第1578号,令和4年4月1日,令和10年3月31日
108,日本調剤根津薬局,文京区弥生一丁目２番１６号,サンピア西須賀地下１階,5805-9331,日本調剤株式会社,2020文文生薬第717号,令和2年11月21日,令和8年11月20日
109,にしすが水野薬局,文京区弥生一丁目５番８号,100,5684-7755,合同会社水野,2023文文生薬第965号,令和6年1月1日,令和11年12月31日
110,虎薬局,文京区弥生一丁目５番１２号,,3812-0063,有限会社虎薬局,30文文生薬第581号,平成30年10月29日,令和6年10月28日
111,三恵漢方薬局,文京区根津一丁目１番８号,シーアイマンション根津宮永１階,3824-9373,夏目　和稔,30文文生薬第1140号,平成31年1月26日,令和7年1月25日
112,根津調剤薬局,文京区根津一丁目４番４号,根津フェニックスビル１階,5842-1499,越智　誠也,2020文文生薬第232号,令和2年8月6日,令和8年8月5日
113,さくら薬局　根津店,文京区根津一丁目１６番９号,タウンシップ文京根津１０５号室,5685-1023,さくら薬局株式会社,2020文文生薬第885号,令和2年12月1日,令和8年11月30日
114,あおぞら薬局　根津１丁目店,文京区根津一丁目１８番１３号,アールヴェール根津弥生坂１０１号室,03-5832-9946,株式会社ＴＩＭＥＬＥＦＴ,2024文文生薬第204号,令和6年6月1日,令和12年5月31日
115,ぱぱす薬局根津店,文京区根津一丁目２２番１３号,ＮＹ根津八重垣１階,5815-2055,株式会社ぱぱす,31文文生薬第590号,令和1年11月11日,令和7年11月10日
116,ごんげん坂薬局,文京区根津一丁目２７番２号,サングレース町田１階,3822-6371,一般社団法人東京メディエール,2022文文生薬第1430号,令和5年2月1日,令和11年1月31日
117,有限会社ダルマ薬局,文京区根津二丁目１５番１５号,,3828-1159,有限会社ダルマ薬局,2023文文生薬第893号,令和6年1月1日,令和11年12月31日
118,あおぞら薬局　根津店,文京区根津二丁目３７番４号,グランドメゾン根津１０２号室,03-5834-2015,株式会社ＴＩＭＥＬＥＦＴ,2023文文生薬第1443号,令和6年3月1日,令和12年2月28日
119,千駄木すみれ薬局,文京区千駄木一丁目２３番６号,コスモリード文京千駄木１０１号室,5815-2065,さくら薬局株式会社,2021文文生薬第1240号,令和4年1月1日,令和9年12月31日
120,なの花薬局さつき店,文京区千駄木二丁目２番１６号,,5834-8170,株式会社なの花東日本,30文文生薬第1487号,令和1年5月1日,令和7年4月30日
121,日生薬局根津店,文京区千駄木二丁目２番１７号,石崎ビル１階,3823-9181,ミアヘルサ株式会社,2020文文生薬第510号,令和2年10月30日,令和8年10月29日
122,日本調剤弥生薬局,文京区千駄木二丁目２番１７号,増田ビル１階２階,3821-8410,日本調剤株式会社,30文文生薬第1182号,平成31年3月1日,令和7年2月28日
123,なぎさ薬局　せんだぎ店,文京区千駄木二丁目１３番１号,ルネ千駄木プラザ１階,5834-1280,水野エムアンドエム株式会社,2020文文生薬第1070号,令和3年2月1日,令和9年1月31日
124,山松薬局,文京区千駄木二丁目３３番９号,,5834-2680,有限会社濟寿会,2020文文生薬第1479号,令和3年4月1日,令和9年3月31日
125,谷根千薬局,文京区千駄木二丁目３４番６号,102,5842-1455,有限会社スドウ薬局,31文文生薬第1436号,令和2年3月28日,令和8年3月27日
126,リボーン薬局千駄木店,文京区千駄木二丁目４３番２号,千駄木ビル１階,5815-8731,株式会社ミサワ薬局,2020文文生薬第776号,令和2年11月25日,令和8年11月24日
127,竹内薬局　千駄木店,文京区千駄木三丁目２８番９号,前田ビル,5842-1216,株式会社竹内調剤薬局,2022文文生薬第476号,令和4年10月1日,令和10年9月30日
128,ぱぱす薬局　谷中店,文京区千駄木三丁目４２番１６号,,3823-9311,株式会社ぱぱす,2022文文生薬第884号,令和5年2月28日,令和11年2月27日
129,ローソンクオール薬局千駄木不忍通店,文京区千駄木三丁目４３番１７号,ＫＤＸレジデンス千駄木１階,5834-7089,クオール株式会社,30文文生薬第600号,平成30年10月1日,令和6年9月30日
130,アイセイハート薬局　千駄木店,文京区千駄木三丁目４８番５号,Ｇｒａｎｄ　Ｔｅｒｒａｃｅ　ＳＥＮＤＡＧＩ,03-3827-4112,株式会社Ａ＆Ｍ,2023文文生薬第1208号,令和5年12月19日,令和11年12月18日
131,どうかん薬局,文京区千駄木三丁目４８番６号,アパートメンツ千駄木１階,3828-1230,株式会社メディフォ,2022文文生薬第477号,令和4年9月6日,令和10年9月5日
132,ニック千駄木薬局,文京区千駄木四丁目７番１５号,朝日動坂マンション１０４号,5814-0595,株式会社ニック,30文文生薬第706号,平成30年12月1日,令和6年11月30日
133,アイン薬局　動坂店,文京区千駄木四丁目１６番２号,,5814-0006,株式会社アインファーマシーズ,2023文文生薬第627号,令和5年10月1日,令和11年9月30日
134,ことぶき薬局　千駄木店,文京区千駄木五丁目４２番１号,滝浦ビル１階,3823-2617,株式会社ことぶきメディカル,30文文生薬第1004号,平成30年12月1日,令和6年11月30日
135,アップル薬局千駄木店,文京区千駄木五丁目４９番３号,ベレーザ千駄木１０１,5685-5891,株式会社アップルケアネット,2022文文生薬第367号,令和4年9月1日,令和10年8月31日
136,スエヤス調剤薬局文京店,文京区千駄木五丁目４９番４号,作田ビル１０２号,3828-8177,株式会社スエヤス,2023文文生薬第1018号,令和5年12月28日,令和11年12月27日
137,ミネ薬局駒込店,文京区千駄木五丁目４９番４号,赤松ビル,3827-7841,ミネ医薬品株式会社,2020文文生薬第1341号,令和3年3月26日,令和9年3月25日
138,あさひ薬局駒込店,文京区千駄木五丁目４９番４号,作田ビル１０１号,5842-1276,城南あさひ薬局株式会社,30文文生薬第628号,平成30年10月5日,令和6年10月4日
139,ユニスマイル薬局　駒込病院前店,文京区千駄木五丁目５０番１号,,3828-8833,株式会社ユニスマイル,2022文文生薬第1811号,令和5年4月1日,令和11年3月31日
140,寿々薬局,文京区本駒込一丁目１番８号,,5689-4644,有限会社濟寿会,2021文文生薬第1067号,令和4年1月30日,令和10年1月29日
141,合資会社?木薬局,文京区本駒込一丁目１番２９号,,3811-2064,合資会社?木薬局,2021文文生薬第546号,令和3年10月13日,令和9年10月12日
142,本郷通り星薬局,文京区本駒込一丁目６番１６号,浅嘉ハウス１０２,5842-1959,合同会社星薬局,31文文生薬第1102号,令和2年1月1日,令和7年12月31日
143,ココカラファイン薬局本駒込店,文京区本駒込一丁目１１番１号,トラビ文京白山１階,03-6902-0630,株式会社ココカラファインヘルスケア,2022文文生薬第28号,令和4年5月1日,令和10年4月30日
144,かもめ薬局,文京区本駒込二丁目９番２号,パークサイド本駒込１階,5981-9237,西山　哲也,2022文文生薬第1040号,令和5年1月1日,令和10年12月31日
145,星薬局,文京区本駒込二丁目１０番２号,101,03-6801-6979,秋元　敦夫,2023文文生薬第51号,令和5年5月1日,令和11年4月30日
146,なぎさ薬局　千石駅前店,文京区本駒込二丁目１０番４号,四季ビル千石１階,6902-2477,水野エムアンドエム株式会社,2020文文生薬第1072号,令和3年2月1日,令和9年1月31日
147,ウエルシア薬局文京グリーンコート店,文京区本駒込二丁目２８番１０号,イーストウイングＢ１Ｆ,5976-4197,ウエルシア薬局株式会社,2022文文生薬第575号,令和4年9月1日,令和10年8月31日
148,中川薬局本駒込店,文京区本駒込二丁目２８番３８号,オーナーズプラザ本郷８　１階,5319-0871,株式会社グラム,2021文文生薬第756号,令和3年11月26日,令和9年11月25日
149,共創未来　本駒込薬局,文京区本駒込三丁目１７番１号,駒込ビル１階,3823-6111,株式会社ファーマみらい,2020文文生薬第1324号,令和3年4月1日,令和9年3月31日
150,パイン薬局,文京区本駒込四丁目２０番１１号,エクセレント文京動坂１階,3823-8487,株式会社メディカル・アクト・ジャパン,2021文文生薬第491号,令和3年10月1日,令和9年9月30日
151,ウイング薬局,文京区本駒込四丁目３４番５号,石井ビル１階,5832-5757,株式会社メディカル・アクト・ジャパン,2023文文生薬第969号,令和5年12月7日,令和11年12月6日
152,はやぶさ薬局,文京区本駒込五丁目１９番２号,小林ビルデンス１階,6304-1986,有限会社ケイ・アンド・アイ調剤,2022文文生薬第721号,令和4年11月1日,令和10年10月31日
153,アーク薬局　駒込店,文京区本駒込五丁目３８番１０号,,3821-1855,株式会社メディカルジャパン,31文文生薬第1468号,令和2年3月1日,令和8年2月28日
154,本駒込調剤薬局,文京区本駒込五丁目４５番４号,テリービル１階,5685-3619,ＨＩＮＯ　ｐｈａｒｍａｃｙ株式会社,2021文文生薬第337号,令和3年7月1日,令和9年6月30日
155,アーク薬局,文京区本駒込六丁目１番１９号,石田ビル１０２号,3947-7076,株式会社アークゾーン,31文文生薬第24号,令和1年6月25日,令和7年6月24日
156,ワカバ薬局　千石店,文京区本駒込六丁目２番１号,栄泉堂ビル１０２,6902-9680,有限会社カナイメディカル,2020文文生薬第1326号,令和3年5月1日,令和9年4月30日
157,駒込あおい薬局,文京区本駒込六丁目２４番６号,大島ビル１、２階,5981-8536,株式会社東京ファーマシー,30文文生薬第1109号,平成31年1月1日,令和6年12月31日
