歯科診療所（令和6年7月31日現在）,,,,,,,
No,施設名称,施設所在地,施設方書,施設電話番号,開設者氏名,開設届出日,診療科目
38,土居歯科クリニック,文京区白山一丁目７番１１号,小澤ビル２階,5800-1033,土居　浩,平成5年7月21日,歯科、小児歯科
39,白山きりん子ども矯正歯科,文京区白山一丁目３１番７号,白山下ビル２０１号室,6801-8057,茂木　悦子,平成28年4月26日,歯科、矯正歯科、小児歯科、歯科口腔外科
40,医療法人社団敬和会　広野歯科クリニック,文京区白山一丁目３３番８号,朝日白山マンション１０７,3813-1182,医療法人社団敬和会,平成2年10月30日,歯科
41,文京ながはま矯正歯科,文京区白山一丁目３３番８号,朝日白山マンション２１８,3868-0770,長濱　浩平,平成24年5月29日,矯正歯科
42,このは歯科クリニック,文京区白山一丁目３３番２７号,白山ＨＤＣフットＢ１・１・２階,6240-0318,小西　浩介,令和3年8月2日,歯科、歯科口腔外科、小児歯科、矯正歯科
43,医療法人社団ＤＢＨ　デンタル文京白山,文京区白山一丁目３７番３号,ＥＸＡＭ白山２階,6801-8602,医療法人社団ＤＢＨ,令和4年4月22日,歯科、歯科口腔外科、小児歯科、矯正歯科
44,白山コーラル歯科クリニック,文京区白山二丁目２番１０号,第１田口ビル１階,6801-5434,伊東　紗弥香,令和6年6月3日,歯科、歯科口腔外科、小児歯科、矯正歯科
45,たけ歯科クリニック,文京区白山二丁目２６番１４号,パラスト白山１階,3816-8241,武　義弘,平成17年4月25日,歯科、矯正歯科、小児歯科、歯科口腔外科
46,あかり歯科医院,文京区白山二丁目２９番６号,白山スカイビュー１０３号,6240-0046,湯上　圭,平成27年10月26日,歯科、矯正歯科
47,佐藤歯科医院,文京区白山三丁目６番３号,,5689-3010,佐藤　勇,平成19年7月2日,歯科
48,医療法人社団徳和会　白山歯科医院,文京区白山五丁目１番３号,東京富山会館ビル２階,3816-7007,医療法人社団徳和会,平成8年9月2日,歯科
49,今井歯科医院,文京区白山五丁目１４番５号,,3941-2768,今井　瑠璃,平成16年3月30日,歯科、小児歯科、歯科口腔外科
50,谷口デンタルクリニック,文京区白山五丁目１７番１号,,5940-9090,谷口　次郎,平成10年6月18日,歯科、歯科口腔外科、小児歯科
51,片桐デンタルオフィス千石,文京区白山五丁目１７番２０号,プラティーク白山１階,6902-1847,片桐　康平,令和2年1月6日,歯科、歯科口腔外科、小児歯科、矯正歯科
52,いしの歯科クリニック,文京区白山五丁目２０番１０号,アークコート白山１階,6902-1742,石野　大輔,平成25年10月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
53,川村歯科医院,文京区白山五丁目２９番６号,白山グリーンハイツ地下１階,6304-1004,川村　浩樹,平成24年6月5日,歯科、矯正歯科、小児歯科、歯科口腔外科
54,オズデンタルクリニック白山,文京区白山五丁目３６番７号,,6240-0630,吉井　穣,令和3年9月1日,歯科、小児歯科、矯正歯科、歯科口腔外科
55,ステラデンタルクリニック,文京区千石一丁目６番１０号,ユーガ千石１階,6304-1008,安東　未央,平成28年3月7日,歯科、矯正歯科、小児歯科、歯科口腔外科
56,にいくに小児・矯正歯科,文京区千石一丁目１６番８号,ＫＩＮＫＩＤＯＵビル１階,6902-1886,新国　七生子,平成28年11月29日,歯科、矯正歯科、小児歯科
57,千石ひかり歯科,文京区千石二丁目２１番３号,谷ビル１階・２階,6902-1353,天野　大地,平成29年4月3日,歯科、矯正歯科、小児歯科、歯科口腔外科
58,西井歯科医院,文京区千石二丁目２６番７号,,3941-5215,西井　達哉,令和3年3月2日,歯科
59,医療法人社団　中崎歯科,文京区千石二丁目３５番１８号,千石メーゾン２０３,5319-2881,医療法人社団中崎歯科,平成11年10月27日,歯科
60,?橋歯科クリニック文京,文京区千石三丁目１番８号,,6304-1118,?橋　大輔,平成24年3月2日,歯科、小児歯科、歯科口腔外科
61,はんざわ歯科,文京区千石三丁目１４番１２号,コスモパレス守中館１０１号,3945-3177,半澤　淳人,平成9年2月21日,歯科、矯正歯科、小児歯科、歯科口腔外科
62,飯島歯科医院,文京区千石四丁目１３番６号,,3941-7605,飯島　善浩,平成22年5月13日,歯科
63,矯正歯科クリニック　グレイスデンタル,文京区千石四丁目２５番７号,,6304-1342,仲宗根　愛子,令和6年6月5日,矯正歯科、歯科、小児歯科
64,ひまわり歯科医院,文京区千石四丁目３２番８号,プラネット千石１０２,3946-1243,中井　隆子,平成17年6月23日,歯科、矯正歯科、小児歯科、歯科口腔外科
65,山川歯科医院,文京区千石四丁目３６番１９号,,3941-8513,山川　克己,平成8年2月14日,歯科
66,船崎歯科医院,文京区千石四丁目３９番４号,,3941-8912,舩崎　透,平成12年10月31日,歯科
67,いなだ歯科医院,文京区千石四丁目４４番９号,,3942-8148,稲田　勝紀,平成8年8月22日,歯科、小児歯科
68,おざわデンタルクリニック,文京区千石四丁目４５番１２号,Ａｄｄｒｅｓｓ千石１階,5810-1570,小澤　大輔,令和3年3月29日,歯科、歯科口腔外科、矯正歯科、小児歯科
69,医療法人社団オリーブ歯科・矯正歯科千石駅前,文京区千石四丁目４６番１２号,地下１階・１階・２階,6902-9462,医療法人社団オリーブ歯科・矯正歯科,平成26年3月10日,歯科、矯正歯科、小児歯科、歯科口腔外科
70,藤田デンタルクリニック　文京,文京区水道二丁目１４番１１号,,6912-0465,藤田　和則,平成27年7月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
71,医療法人社団ＴＫＧ会　小日向台町歯科,文京区小日向三丁目７番４号,メゾンたかむら１階,5395-6480,医療法人社団ＴＫＧ会,平成23年5月2日,歯科、矯正歯科、小児歯科、歯科口腔外科
72,岩佐歯科クリニック,文京区小日向四丁目４番３号,カーネ小日向１０１,3946-6480,岩佐　宗行,平成20年6月3日,歯科、矯正歯科、小児歯科、歯科口腔外科
73,佐藤歯科医院,文京区小日向四丁目５番１０号,サニーハイツ２０１,3944-6716,佐藤　文彦,昭和62年8月21日,歯科
74,医療法人社団　ＭＥＤＩＱＯＬ　デンタルクリニック小日向,文京区小日向四丁目６番１２号,茗荷谷駅ＭＦビル２０５号室,5319-1182,医療法人社団ＭＥＤＩＱＯＬ,平成28年12月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
75,坪田デンタルクリニック,文京区小日向四丁目７番１４号,坪田ビル１階,6304-1511,坪田　有史,平成23年11月30日,歯科、矯正歯科、小児歯科、歯科口腔外科
76,医療法人社団進盛会　デンタル茗荷谷,文京区小日向四丁目８番１１号,地下１階,3947-0418,医療法人社団進盛会,平成13年4月2日,歯科、矯正歯科
77,医療法人社団石門会　茗荷谷・石渡歯科クリニック,文京区大塚一丁目４番１５号,アトラスタワー茗荷谷２０３,3945-4180,医療法人社団石門会,令和2年5月1日,歯科、小児歯科、歯科口腔外科
78,茗荷谷けいき歯科医院,文京区大塚一丁目５番１８号,大伴ビル２階２０１号室,5810-1878,中村　圭喜,令和5年9月28日,歯科、小児歯科、矯正歯科、歯科口腔外科
79,岡野歯科医院,文京区大塚二丁目１番１２号,,3947-4180,岡野　欣之,平成25年4月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
80,医療法人社団凌成會　やまもと矯正歯科,文京区大塚三丁目１番６号,ラ・トゥール小石川２Ａ室,3944-0418,医療法人社団凌成會,平成19年4月3日,歯科、矯正歯科
81,まり矯正歯科クリニック,文京区大塚三丁目１番１０号,笹?ビル１、２階,6912-1425,納村　麻里,令和5年6月8日,矯正歯科
82,チェレステ矯正歯科茗荷谷,文京区大塚三丁目５番１号,茗荷谷クリアビル３階,5810-1637,簡野　瑞誠,令和2年3月9日,矯正歯科
83,加賀谷歯科医院,文京区大塚三丁目６番１３号,グランドメゾン茗荷谷１０１,3945-1184,加賀谷　昇,平成4年9月24日,歯科、歯科口腔外科、小児歯科、矯正歯科
84,音羽ファミリー歯科,文京区大塚三丁目９番３号,ヒルズ音羽２階,6902-8020,坂井　啓子,平成21年11月26日,歯科、矯正歯科、小児歯科
85,小家歯科医院,文京区大塚三丁目１０番３号,高田ビル２０１,3946-8308,小家　公,昭和56年8月12日,歯科
86,茗和歯科,文京区大塚三丁目２３番４号,ペナテス協和２階,3946-0418,鴨井　初子,平成20年4月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
87,東京保健生活協同組合氷川下セツルメント歯科,文京区大塚三丁目３６番７号,,3944-1321,東京保健生活協同組合,平成24年1月20日,歯科、矯正歯科、小児歯科、歯科口腔外科
88,医療法人社団重仁会　石橋歯科医院,文京区大塚三丁目３６番１０号,小林ビル１階,5395-1484,医療法人社団重仁会,平成17年4月22日,歯科、矯正歯科、小児歯科
89,石川歯科医院,文京区大塚三丁目３８番４号,,3946-8697,石川　晃史,平成17年1月4日,歯科
90,なかまち歯科クリニック,文京区大塚四丁目４５番１０号,,5940-2110,中嶋　裕佳子,平成24年10月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
91,いちかわデンタルオフィス,文京区大塚四丁目４８番６号,アネックスヒルズカミクラ１階,5977-1788,医療法人社団正安会,令和2年4月3日,歯科、歯科口腔外科、矯正歯科
92,大塚くすのせ歯科,文京区大塚五丁目９番２号,新大塚プラザ１０１,5981-8648,楠瀬　有紗,令和1年8月6日,歯科、小児歯科、矯正歯科、歯科口腔外科
93,西村歯科医院,文京区大塚六丁目１７番２号,シャルム・ドゥ・タナカ１０２号室,5940-2021,西村　健,平成12年4月27日,歯科、矯正歯科、小児歯科、歯科口腔外科
94,鈴木歯科医院,文京区大塚六丁目３５番５号,,3943-8868,鈴木　康夫,昭和60年6月11日,歯科
95,平川歯科,文京区関口一丁目１番３号,プラザ飯田橋１Ｆ,5261-1584,平川　郁夫,平成1年3月23日,歯科
96,いるか歯科医院,文京区関口一丁目４番７号,１階,3260-0118,医療法人社団海羊会,平成23年10月4日,歯科、矯正歯科、小児歯科、歯科口腔外科
97,さやかデンタルクリニック,文京区関口一丁目８番６号,メゾン文京関口Ⅱ１０１,6265-0418,荒井　さやか,平成22年8月26日,歯科、矯正歯科、小児歯科、歯科口腔外科
98,すずき歯科口腔外科クリニック,文京区関口一丁目９番１２号,ローレル文京１階,5946-8455,鈴木　泰明,平成31年1月4日,歯科、歯科口腔外科、矯正歯科
99,Ｏｓ．デンタルクリニック,文京区関口一丁目１０番８号,パークハウス文京関口１０２,3268-9365,篠原　由布子,令和6年5月7日,歯科、矯正歯科
100,福本歯科医院,文京区関口一丁目１０番２０号,103,5261-1852,福本　千枝子,平成21年1月5日,歯科
101,地蔵通り歯科医院,文京区関口一丁目１４番１１号,,3267-3456,安藤　龍明,平成19年9月3日,歯科
102,?橋歯科医院,文京区関口一丁目１７番４号,,3268-7890,高橋　義一,平成8年5月8日,歯科
103,ＫＩＫＩデンタルクリニック,文京区関口一丁目１８番９号,リビオ文京関口シティクロス１０１,6280-8580,金子　かおり,令和4年6月1日,歯科、小児歯科、矯正歯科、歯科口腔外科
104,まなぶ歯科クリニック,文京区関口一丁目２１番１３号,グリーン江戸川橋ビル１Ｆ,5261-1011,高橋　学,平成11年12月14日,歯科、矯正歯科、小児歯科
105,医療法人社団ＭＥＤＩＱＯＬ　ＥＢＭデンタルクリニック,文京区関口一丁目２３番６号,プラザ江戸川橋１階１０３・１０４,5228-4618,医療法人社団ＭＥＤＩＱＯＬ,平成13年6月1日,歯科
106,医療法人社団正峰会　吉田歯科クリニック,文京区関口一丁目２４番４号,タキザワハウス２階,3267-5525,医療法人社団正峰会,平成8年3月1日,歯科、歯科口腔外科
107,ヒトミ歯科,文京区関口一丁目２４番６号,朝日関口マンション１０２号,6280-8779,医療法人社団　美澄会,平成28年12月1日,歯科、矯正歯科、歯科口腔外科
108,デンタルクリニック江戸川橋,文京区関口一丁目４４番４号,新・荒井ビル２階,5228-3788,小川　理栄,令和1年7月8日,歯科、歯科口腔外科、小児歯科、矯正歯科
109,あかし歯科医院,文京区関口一丁目４７番１２号,江戸川橋ビル１Ｆ,3268-2688,赤司　幸勇,昭和57年5月1日,歯科
110,伊藤歯科,文京区関口一丁目４８番７号,マツダビル１Ｆ,5229-4016,伊藤　英俊,平成10年2月2日,歯科
111,江戸川橋菊地歯科医院,文京区関口一丁目４８番９号,関口ＲＡビル１階,6280-7250,菊地　正浩,令和4年3月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
112,医療法人社団建部会　タケルデンタルクリニック椿山荘東京,文京区関口二丁目１０番８号,ホテル椿山荘東京　ホテル棟４階,5940-4188,医療法人社団建部会,平成26年6月26日,歯科、矯正歯科、小児歯科、歯科口腔外科
113,鈴木歯科医院,文京区目白台一丁目９番９号,,3941-2539,鈴木　昌之,昭和59年11月30日,歯科
114,三井歯科クリニック,文京区目白台一丁目２３番７号,グリーンヒルズ目白台１０２号室,5395-1945,医療法人社団弘志会,平成29年11月9日,歯科、小児歯科
115,入野歯科医院,文京区目白台二丁目１番２号,,3945-8662,入野　和夫,昭和44年5月29日,歯科
116,千葉歯科医院,文京区目白台二丁目６番１２号,,3941-3689,千葉　幹男,平成17年4月1日,歯科、小児歯科
117,柴田歯科医院,文京区目白台三丁目７番５号,,3941-8250,柴田　芳樹,平成6年6月1日,歯科
118,石原奈保歯科クリニック,文京区音羽一丁目２番１８号,ネオマイム文京音羽１０２,3943-8846,石原　奈保,令和3年11月26日,歯科、小児歯科、歯科口腔外科、矯正歯科
119,江戸川橋駅前はなびら矯正歯科医院,文京区音羽一丁目５番１１号,中村ビル２階,6685-6863,石澤　万里子,令和4年8月2日,歯科、小児歯科、歯科口腔外科、矯正歯科
120,おかのデンタルクリニック,文京区音羽一丁目１５番１２号,アルス音羽１階,5977-7227,岡野　順,平成19年2月19日,歯科、矯正歯科、小児歯科
121,山口歯科医院,文京区音羽一丁目１７番１３号,,5395-5553,山口　学,平成13年5月28日,歯科、小児歯科、歯科口腔外科
122,もりた歯科クリニック,文京区音羽一丁目２１番１２号,ストーク音羽１００,3943-8241,森田　純,平成22年12月1日,歯科、小児歯科、歯科口腔外科
123,医療法人社団伸正会　志賀歯科医院,文京区音羽一丁目２３番２２号２Ｆ,,3941-5478,医療法人社団伸正会,平成21年4月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
124,佐久間歯科医院,文京区音羽二丁目２番２号,アベニュー音羽１０１,3941-0280,佐久間　暁美,平成5年12月24日,歯科、小児歯科、歯科口腔外科
125,ミューズ矯正歯科,文京区音羽二丁目１１番１９号,オトワＫＳビル３階,3944-5020,大原　久子,平成24年5月10日,矯正歯科
126,ほしの歯科,文京区音羽二丁目１１番２１号,ライオンズマンション護国寺第三１階,6304-1188,星野　高之,平成21年5月26日,歯科、小児歯科、歯科口腔外科
127,講談社歯科診療所,文京区音羽二丁目１２番２１号,ＫＫ講談社内,3945-1111,木村　賢亮,昭和45年4月11日,歯科
128,医療法人社団仁和会　佐藤歯科医院,文京区本郷一丁目１６番２号,亀山ビル２階,3816-2466,医療法人社団仁和会　,平成26年5月1日,歯科
129,医療法人社団誠羽会　三羽歯科医院,文京区本郷一丁目１９番６号,田中水道橋ビル１階,3811-6487,医療法人社団誠羽会,平成1年9月1日,歯科、小児歯科
130,壱岐坂歯科診療所,文京区本郷一丁目２２番６号,本郷ハイホーム３００号室,6801-5418,久野木　克典,平成27年5月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
131,岡地歯科医院,文京区本郷一丁目２３番６号,,6240-0080,山口　明子,令和5年2月2日,歯科、小児歯科
132,医療法人社団ｒｉｓｅ　アールエフ矯正歯科,文京区本郷一丁目３３番６号,ヘミニスⅡ２階,5803-1488,医療法人社団ｒｉｓｅ,令和3年4月20日,歯科、矯正歯科
133,松井医院歯科,文京区本郷一丁目３３番８号,ハウス本郷ビル５階５０１,3812-2226,松井　真理,平成28年2月1日,歯科、歯科口腔外科
134,医療法人社団憲清会　堀江歯科クリニック,文京区本郷二丁目１３番１０号,湯浅ビル２階,3811-8844,医療法人社団憲清会,平成12年11月1日,歯科、矯正歯科、小児歯科
135,本郷壱岐坂矯正歯科,文京区本郷二丁目１９番５号,１階,5840-8418,大原　輝久,平成19年4月6日,矯正歯科
136,大野歯科医院,文京区本郷二丁目２５番１４号,第一ライトビル１０１,3813-8281,大野　博史,平成15年1月6日,歯科
137,ファミリー歯科医院,文京区本郷二丁目２６番１１号,種苗会館４Ｆ,3816-6474,雨宮　正樹,昭和62年8月1日,歯科
138,本田歯科医院,文京区本郷二丁目２７番６号,ガーラ本郷三丁目１階,3816-5681,本田　英人,平成14年8月27日,歯科、矯正歯科、小児歯科、歯科口腔外科
139,一般財団法人日本口腔保健協会　歯科保健センター,文京区本郷二丁目２８番３号,山越ビル２階,5689-3767,一般財団法人日本口腔保健協会,平成4年10月8日,歯科
140,医療法人社団ＤＢＨ　デンタル文京本郷,文京区本郷二丁目２８番４号,１階,6240-0008,医療法人社団ＤＢＨ,令和6年5月8日,歯科、矯正歯科、小児歯科、歯科口腔外科
141,スマイルプレイス本郷矯正歯科,文京区本郷二丁目３７番４号,ラメゾンドコンフィアンス１階,3868-2338,福田　雄,令和3年4月1日,矯正歯科
142,本郷三丁目鈴木歯科,文京区本郷二丁目３８番２１号,アラミドビル２階,5802-6480,鈴木　嵩秀,平成28年4月5日,歯科、矯正歯科、小児歯科、歯科口腔外科
143,医療法人社団スマイルイノベーション　本郷さくら矯正歯科,文京区本郷二丁目３９番５号,片岡ビル２階,5800-0010,医療法人社団スマイルイノベーション,平成26年10月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
144,すみれ矯正歯科　本郷,文京区本郷二丁目４０番７号,ＹＧビル２階,6240-0139,岡安　麻里,令和4年7月7日,矯正歯科
145,須川歯科医院,文京区本郷二丁目４０番９号,小林ビル６階,3816-5756,須川　直機,令和3年1月5日,歯科
146,いちはし歯科医院,文京区本郷二丁目４０番１１号,かねやすビル２Ｆ,5800-0830,市橋　晶,平成8年3月25日,歯科、矯正歯科
147,大高歯科医院,文京区本郷三丁目３番１号,２０１・２０２,5689-2114,大高　至,平成6年11月22日,歯科、矯正歯科、小児歯科
148,酒井歯科クリニック,文京区本郷三丁目３番１２号,ケイズビルディング２階,6801-8703,酒井　和人,平成26年12月1日,歯科、矯正歯科、歯科口腔外科
149,サッカー通りみなみデンタルオフィス,文京区本郷三丁目１２番９号,橋本ビル１階,6801-5495,橋村　威慶,平成31年4月4日,歯科、矯正歯科、小児歯科
150,医療法人社団ＢＴＤＣ　本郷瀧田歯科医院,文京区本郷三丁目１４番１６号,美工本郷第２ビル２階,3868-2901,医療法人社団ＢＴＤＣ,令和4年5月2日,歯科
151,医療法人社団ＢＴＤＣ　文京瀧田歯科医院,文京区本郷三丁目１５番１号,美工本郷ビル２階,5615-8424,医療法人社団ＢＴＤＣ,令和4年5月2日,歯科、小児歯科、歯科口腔外科
152,医療法人社団徳洋会　大谷歯科本郷三丁目アネックス,文京区本郷三丁目２７番１号,本郷モトフジビル２階,3816-9955,医療法人社団徳洋会,平成29年4月3日,歯科、矯正歯科、小児歯科、歯科口腔外科
153,ＴＳＵＲＵデンタルクリニック,文京区本郷三丁目３５番６号,大石グリーンビル３階,6240-0028,?砂　真代,平成30年11月1日,歯科、小児歯科、歯科口腔外科、矯正歯科
154,和久本歯科医院,文京区本郷三丁目４３番１４号,,3811-4407,和久本　雅彦,平成17年6月1日,歯科
155,こうたろう歯科クリニック,文京区本郷四丁目１番１号,玉屋ビル３階,3815-6480,重松　武,令和6年3月25日,歯科、小児歯科、矯正歯科、歯科口腔外科
156,本郷明和デンタルクリニック,文京区本郷四丁目１番３号,明和本郷ビル８階,3816-2080,湯田　憲太郎,平成21年2月25日,歯科
157,タク歯科クリニック,文京区本郷四丁目１番３号,明和本郷ビル２階,6801-5584,田中　拓久,平成22年2月2日,歯科、矯正歯科、小児歯科、歯科口腔外科
158,歯科真砂診療所,文京区本郷四丁目５番９号,202,3811-8655,石原　忍,平成8年4月1日,歯科
159,本郷四丁目歯科,文京区本郷四丁目９番３号,本郷真砂パークハウス弐番館１階,6801-8484,林　以庸,平成25年11月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
160,平井歯科医院,文京区本郷四丁目１７番９号,平井ビル２・３階,3812-1155,平井　基之,平成28年4月21日,歯科、矯正歯科、小児歯科、歯科口腔外科
161,ひきた矯正歯科,文京区本郷四丁目２４番８号,春日タワービル５階,6240-0364,疋田　理奈,令和2年4月3日,矯正歯科
162,医療法人社団鶴寿会　榎歯科クリニック,文京区本郷四丁目２５番９号,ブラウンハイツ本郷１０１,5800-0005,医療法人社団鶴寿会,平成10年8月21日,歯科、矯正歯科、小児歯科
163,よしむら歯科医院,文京区本郷四丁目３４番１０号,,3817-0118,吉村　公一,平成11年10月25日,歯科
164,本郷こしきや歯科,文京区本郷四丁目３７番１５号,ブラウンハウス１階,5615-8217,古敷谷　昇,平成29年4月3日,歯科、矯正歯科、小児歯科、歯科口腔外科
165,グレース横山歯科医院,文京区本郷五丁目１番１４号,アールクレエ本郷２０２号室,3811-4440,横山　恵以子,平成13年3月21日,歯科、歯科口腔外科
