回答ID,Q1補助金・融資等,Q1許認可,Q1申請・届出,Q1納税,Q1その他の行政手続,Q2-1補助金・融資で利用した行政手続,Q2-2利用した手続名,Q2-3補助金・融資でのデジタル行政手続の利用,Q2-4デジタル行政手続を利用しなかった理由,Q2-4デジタル行政手続を利用しなかった理由_その他FA,Q2-5補助金・融資で利用した行政手続の満足度,Q2-6補助金・融資で利用した行政手続の探しやすさの満足度,Q2-7リンクが切れているなど、閲覧できなかった,Q2-7検索や選択機能などが不十分で、探したい情報に辿り着くことが難しかった,Q2-7耳が聞こえづらい人への配慮が少なかった,Q2-7色がカラフルすぎる、文字が小さすぎるなど、視認性が悪かった,Q2-7知りたい情報を見つけたが、情報が雑多で整理されておらず分かりにくかった,Q2-7知りたい情報を見つけたが、難しい表現や専門用語で書かれていて分かりにくかった,Q2-7その他,Q2-8Q2-7その他FA,Q2-9補助金・融資等で利用した行政手続の使いやすさの満足度,Q2-10ページ表示に時間がかかった,Q2-10申請時、同じ情報を何度もフォームに入力させられた,Q2-10申請時、フォームに何を入力すればよいか分かりにくかった,Q2-10文字のサイズが小さすぎて読みづらかった,Q2-10情報が点在し、理解できなかった,Q2-10手続き方法を説明している内容が分かりづらかった,Q2-10行政手続そのものが複雑で難しかった,Q2-10問い合わせする方法が電話しかなかった,Q2-10プロセスの一部がデジタル化されていなかった（添付書類の郵送や窓口での受け取りが必要だった等）,Q2-10その他,Q2-11Q2-10その他FA,Q2-12補助金・融資等で利用した行政手続にかかる時間,Q2-13手続を探すのに時間がかかった,Q2-13制度を理解するのに時間がかかった,Q2-13申請時のフォームの入力に時間がかかった,Q2-13行政側の確認や不備等への対応、内容の審査に時間がかかった,Q2-13郵送などにより通知等を手元に受け取るまでに時間がかかった,Q2-13その他,Q2-14Q2-13その他FA,Q2-15補助金・融資のデジタル行政手続のアップデート,Q2-15補助金・融資のデジタル行政手続のアップデート_その他FA,Q3-1許認可で利用した行政手続,Q3-2利用した手続名,Q3-3許認可でのデジタル行政手続の利用,Q3-4デジタル行政手続を利用しなかった理由,Q3-4デジタル行政手続を利用しなかった理由_その他FA,Q3-5許認可で利用した行政手続の満足度,Q3-6許認可で利用した行政手続の探しやすさの満足度,Q3-7リンクが切れているなど、閲覧できなかった,Q3-7検索や選択機能などが不十分で、探したい情報に辿り着くことが難しかった,Q3-7耳が聞こえづらい人への配慮が少なかった,Q3-7色がカラフルすぎる、文字が小さすぎるなど、視認性が悪かった,Q3-7知りたい情報を見つけたが、情報が雑多で整理されておらず分かりにくかった,Q3-7知りたい情報を見つけたが、難しい表現や専門用語で書かれていて分かりにくかった,Q3-7その他,Q3-8Q3-7その他FA,Q3-9許認可等で利用した行政手続の使いやすさの満足度,Q3-10ページ表示に時間がかかった,Q3-10申請時、同じ情報を何度もフォームに入力させられた,Q3-10申請時、フォームに何を入力すればよいか分かりにくかった,Q3-10文字のサイズが小さすぎて読みづらかった,Q3-10情報が点在し、理解できなかった,Q3-10手続き方法を説明している内容が分かりづらかった,Q3-10行政手続そのものが複雑で難しかった,Q3-10問い合わせする方法が電話しかなかった,Q3-10プロセスの一部がデジタル化されていなかった（添付書類の郵送や窓口での受け取りが必要だった等）,Q3-10その他,Q3-11Q3-10その他FA,Q3-12許認可等で利用した行政手続にかかる時間,Q3-13手続を探すのに時間がかかった,Q3-13制度を理解するのに時間がかかった,Q3-13申請時のフォームの入力に時間がかかった,Q3-13行政側の確認や不備等への対応、内容の審査に時間がかかった,Q3-13郵送などにより通知等を手元に受け取るまでに時間がかかった,Q3-13その他,Q3-14Q3-13その他FA,Q3-15許認可のデジタル行政手続のアップデート,Q3-15許認可のデジタル行政手続のアップデート_その他FA,Q4-1申請・届出で利用した行政手続,Q4-2利用した手続名,Q4-3申請・届出でのデジタル行政手続の利用,Q4-4デジタル行政手続を利用しなかった理由,Q4-4デジタル行政手続を利用しなかった理由_その他FA,Q4-5申請・届出で利用した行政手続の満足度,Q4-6申請・届出で利用した行政手続の探しやすさの満足度,Q4-7リンクが切れているなど、閲覧できなかった,Q4-7検索や選択機能などが不十分で、探したい情報に辿り着くことが難しかった,Q4-7耳が聞こえづらい人への配慮が少なかった,Q4-7色がカラフルすぎる、文字が小さすぎるなど、視認性が悪かった,Q4-7知りたい情報を見つけたが、情報が雑多で整理されておらず分かりにくかった,Q4-7知りたい情報を見つけたが、難しい表現や専門用語で書かれていて分かりにくかった,Q4-7その他,Q4-8Q4-7その他FA,Q4-9申請・届出等で利用した行政手続の使いやすさの満足度,Q4-10ページ表示に時間がかかった,Q4-10申請時、同じ情報を何度もフォームに入力させられた,Q4-10申請時、フォームに何を入力すればよいか分かりにくかった,Q4-10文字のサイズが小さすぎて読みづらかった,Q4-10情報が点在し、理解できなかった,Q4-10手続き方法を説明している内容が分かりづらかった,Q4-10行政手続そのものが複雑で難しかった,Q4-10問い合わせする方法が電話しかなかった,Q4-10プロセスの一部がデジタル化されていなかった（添付書類の郵送や窓口での受け取りが必要だった等）,Q4-10その他,Q4-11Q4-10その他FA,Q4-12申請・届出等で利用した行政手続にかかる時間,Q4-13手続を探すのに時間がかかった,Q4-13制度を理解するのに時間がかかった,Q4-13申請時のフォームの入力に時間がかかった,Q4-13行政側の確認や不備等への対応、内容の審査に時間がかかった,Q4-13郵送などにより通知等を手元に受け取るまでに時間がかかった,Q4-13その他,Q4-14Q4-13その他FA,Q4-15申請・届出のデジタル行政手続のアップデート,Q4-15申請・届出のデジタル行政手続のアップデート_その他FA,Q5-1納税でのデジタル行政手続の利用,Q5-2デジタル行政手続を利用しなかった理由,Q5-2デジタル行政手続を利用しなかった理由_その他FA,Q5-3納税で利用した行政手続の満足度,Q5-4納税で利用した行政手続の探しやすさの満足度,Q5-5リンクが切れているなど、閲覧できなかった,Q5-5検索や選択機能などが不十分で、探したい情報に辿り着くことが難しかった,Q5-5耳が聞こえづらい人への配慮が少なかった,Q5-5色がカラフルすぎる、文字が小さすぎるなど、視認性が悪かった,Q5-5知りたい情報を見つけたが、情報が雑多で整理されておらず分かりにくかった,Q5-5知りたい情報を見つけたが、難しい表現や専門用語で書かれていて分かりにくかった,Q5-5その他,Q5-6Q5-7その他FA,Q5-7納税等で利用した行政手続の使いやすさの満足度,Q5-8ページ表示に時間がかかった,Q5-8申請時、同じ情報を何度もフォームに入力させられた,Q5-8申請時、フォームに何を入力すればよいか分かりにくかった,Q5-8文字のサイズが小さすぎて読みづらかった,Q5-8情報が点在し、理解できなかった,Q5-8手続き方法を説明している内容が分かりづらかった,Q5-8行政手続そのものが複雑で難しかった,Q5-8問い合わせする方法が電話しかなかった,Q5-8プロセスの一部がデジタル化されていなかった（添付書類の郵送や窓口での受け取りが必要だった等）,Q5-8その他,Q5-9Q5-8その他FA,Q5-10納税等で利用した行政手続にかかる時間,Q5-11手続を探すのに時間がかかった,Q5-11制度を理解するのに時間がかかった,Q5-11申請時のフォームの入力に時間がかかった,Q5-11行政側の確認や不備等への対応、内容の審査に時間がかかった,Q5-11郵送などにより通知等を手元に受け取るまでに時間がかかった,Q5-11その他,Q5-12Q5-11その他FA,Q5-13納税のデジタル行政手続のアップデート,Q5-13納税のデジタル行政手続のアップデート_その他FA,Q6-1その他で利用した行政手続,Q6-2利用した手続名,Q6-3その他でのデジタル行政手続の利用,Q6-4デジタル行政手続を利用しなかった理由,Q6-4デジタル行政手続を利用しなかった理由_その他FA,Q6-5その他で利用した行政手続の満足度,Q6-6その他で利用した行政手続の探しやすさの満足度,Q6-7リンクが切れているなど、閲覧できなかった,Q6-7検索や選択機能などが不十分で、探したい情報に辿り着くことが難しかった,Q6-7耳が聞こえづらい人への配慮が少なかった,Q6-7色がカラフルすぎる、文字が小さすぎるなど、視認性が悪かった,Q6-7知りたい情報を見つけたが、情報が雑多で整理されておらず分かりにくかった,Q6-7知りたい情報を見つけたが、難しい表現や専門用語で書かれていて分かりにくかった,Q6-7その他,Q6-8Q6-7その他FA,Q6-9その他等で利用した行政手続の使いやすさの満足度,Q6-10ページ表示に時間がかかった,Q6-10申請時、同じ情報を何度もフォームに入力させられた,Q6-10申請時、フォームに何を入力すればよいか分かりにくかった,Q6-10文字のサイズが小さすぎて読みづらかった,Q6-10情報が点在し、理解できなかった,Q6-10手続き方法を説明している内容が分かりづらかった,Q6-10行政手続そのものが複雑で難しかった,Q6-10問い合わせする方法が電話しかなかった,Q6-10プロセスの一部がデジタル化されていなかった（添付書類の郵送や窓口での受け取りが必要だった等）,Q6-10その他,Q6-11Q6-10その他FA,Q6-12その他等で利用した行政手続にかかる時間,Q6-13手続を探すのに時間がかかった,Q6-13制度を理解するのに時間がかかった,Q6-13申請時のフォームの入力に時間がかかった,Q6-13行政側の確認や不備等への対応、内容の審査に時間がかかった,Q6-13郵送などにより通知等を手元に受け取るまでに時間がかかった,Q6-13その他,Q6-14Q6-13その他FA,Q6-15その他のデジタル行政手続のアップデート,Q6-15その他のデジタル行政手続のアップデート_その他FA,Q7現在のデジタル行政手続の総合的な満足度,Q8-1従業員数,Q8-2業種,Q8-3クラウドサービス、SaaSなどの活用,Q8-4GビズIDの利用状況
240,AO02,AO02,AO02,AO01,AO01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,AO02,AO02,,,,,,,,,AO02,,,,,,,,,,,,AO03,,,,,,,,AO03,,AO03,,2,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO01,AO10,1,AO03
241,AO02,AO02,AO02,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,AO02,AO02,,,,,,,,,AO02,,,,,,,,,,,,AO02,,,,,,,,AO03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO02,AO02,AO05,1,AO01
245,AO02,AO01,AO01,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO04,産業廃棄物収集運搬業更新,2,-oth-,行政書士に依頼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,出生時育児休業給付金申請,2,-oth-,社労士に依頼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,AO02,AO02,,,,,,,,,AO02,,,,,,,,,,,,AO02,,,,,,,,AO01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO02,AO03,AO13,2,AO02
248,AO02,AO02,AO01,AO01,AO01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO07,,2,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,AO01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO07,,2,AO01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO05,AO02,AO08,2,AO02
249,AO02,AO02,AO01,AO02,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO02,厚生年金に係る届出,1,,,AO02,AO04,2,2,2,2,2,1,2,,AO03,,,,,,,,,,,,AO04,1,1,2,2,2,2,,AO01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO04,AO01,AO01,2,AO01
250,AO02,AO02,AO02,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,AO01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO01,AO02,2,AO03
253,AO02,AO02,AO02,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-oth-,分割納税だった,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO01,AO03,2,AO02
254,AO01,AO02,AO01,AO01,AO02,AO01,,2,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO04,,1,,,AO03,AO02,,,,,,,,,AO02,,,,,,,,,,,,AO02,,,,,,,,AO03,,1,,,AO02,AO02,,,,,,,,,AO02,,,,,,,,,,,,AO02,,,,,,,,AO03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO02,AO02,2,AO03
255,AO02,AO02,AO02,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,AO02,AO02,,,,,,,,,AO02,,,,,,,,,,,,AO02,,,,,,,,AO05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO01,AO06,1,AO01
257,AO02,AO02,AO02,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,AO02,AO02,,,,,,,,,AO03,,,,,,,,,,,,AO02,,,,,,,,AO01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO02,AO03,AO13,1,AO01
258,AO02,AO02,AO02,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,AO03,AO03,,,,,,,,,AO03,,,,,,,,,,,,AO03,,,,,,,,AO05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO01,AO02,1,AO01
259,AO02,AO01,AO02,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO01,,1,,,AO02,AO02,,,,,,,,,AO02,,,,,,,,,,,,AO03,,,,,,,,AO05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,AO02,AO02,,,,,,,,,AO02,,,,,,,,,,,,AO02,,,,,,,,AO05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO02,AO02,AO14,1,AO02
264,AO02,AO02,AO01,AO02,AO01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO05,宅地建物取引士,2,AO01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO06,消防設備点検結果報告,2,AO01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO04,AO02,AO07,1,AO01
265,AO02,AO02,AO02,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-oth-,知っていたが理解が得られなかった,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO02,AO03,2,AO02
268,AO02,AO02,AO02,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO02,AO01,2,AO03
271,AO02,AO02,AO02,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO02,AO03,2,AO03
273,AO02,AO02,AO02,AO02,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO01,AO01,2,AO03
275,AO01,AO02,AO02,AO01,AO02,AO07,アジア等ゼロエミッション化人材育成等事業　,2,AO01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,AO02,AO03,,,,,,,,,AO03,,,,,,,,,,,,AO02,,,,,,,,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO02,AO02,2,AO01
276,AO02,AO02,AO02,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,AO03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO01,AO02,2,AO03
278,AO01,AO02,AO01,AO01,AO02,AO07,女性活躍,2,AO04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO07,働き方改革,1,,,AO03,AO04,2,1,2,2,2,1,2,,AO04,2,1,2,2,1,2,2,2,1,2,,AO04,2,2,2,1,2,2,,AO02,,1,,,AO03,AO04,2,2,2,2,2,1,2,,AO03,,,,,,,,,,,,AO04,2,1,1,2,2,2,,AO03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO01,AO02,2,AO02
279,AO01,AO02,AO02,AO01,AO01,AO08,,1,,,AO05,AO05,2,2,2,2,1,2,2,,AO05,2,2,2,2,2,1,2,2,2,2,,AO05,2,2,1,2,2,2,,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,AO03,AO03,,,,,,,,,AO03,,,,,,,,,,,,AO03,,,,,,,,AO05,,AO08,,2,AO04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO04,AO02,AO14,1,AO01
280,AO02,AO02,AO01,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO08,,2,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,AO02,AO02,,,,,,,,,AO02,,,,,,,,,,,,AO02,,,,,,,,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO02,AO04,AO05,1,AO03
281,AO01,AO02,AO01,AO01,AO01,AO08,,2,AO01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO08,納税証明書申請,1,,,AO03,AO04,2,2,2,2,1,2,2,,AO03,,,,,,,,,,,,AO04,1,2,2,2,2,2,,AO02,,1,,,AO02,AO02,,,,,,,,,AO02,,,,,,,,,,,,AO02,,,,,,,,AO02,,AO08,,2,AO04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO03,AO08,2,AO03
282,AO01,AO02,AO01,AO01,AO02,AO02,,1,,,AO02,AO03,,,,,,,,,AO03,,,,,,,,,,,,AO04,2,2,2,1,1,2,,AO03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO08,,2,AO01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,AO02,AO03,,,,,,,,,AO03,,,,,,,,,,,,AO02,,,,,,,,AO03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO01,AO01,1,AO03
285,AO02,AO01,AO01,AO02,AO01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO04,土壌汚染関係条例申請,1,,,AO02,AO02,,,,,,,,,AO02,,,,,,,,,,,,AO02,,,,,,,,AO03,,AO07,不明,1,,,AO02,AO02,,,,,,,,,AO02,,,,,,,,,,,,AO02,,,,,,,,AO04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO07,雇用助成金,1,,,AO02,AO02,,,,,,,,,AO02,,,,,,,,,,,,AO02,,,,,,,,AO02,,AO02,AO01,AO14,1,AO01
286,AO02,AO02,AO01,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO07,,1,,,AO02,AO03,,,,,,,,,AO02,,,,,,,,,,,,AO02,,,,,,,,AO02,,1,,,AO02,AO02,,,,,,,,,AO02,,,,,,,,,,,,AO02,,,,,,,,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO02,AO04,AO08,1,AO03
287,AO02,AO02,AO02,AO01,AO01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-oth-,税理士事務所に代行を依頼(税理士はデジタル手段にて手続き),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO08,年金事務所への手続き,2,AO04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO01,AO13,2,AO03
288,AO02,AO02,AO02,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO05,AO02,AO13,2,AO03
289,AO02,AO02,AO02,AO02,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO04,AO01,AO01,1,AO01
290,AO02,AO02,AO02,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,AO03,AO03,,,,,,,,,AO03,,,,,,,,,,,,AO04,2,2,1,2,2,2,,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO05,AO06,1,AO03
291,AO02,AO02,AO02,AO02,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO04,AO02,AO07,1,AO01
296,AO02,AO02,AO02,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,AO02,AO02,,,,,,,,,AO02,,,,,,,,,,,,AO02,,,,,,,,AO05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO02,AO02,AO09,2,AO03
297,AO02,AO02,AO01,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO07,,2,AO04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,AO04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO04,AO03,AO03,1,AO03
298,AO02,AO02,AO02,AO02,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO05,AO04,AO05,2,AO01
300,AO02,AO02,AO02,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,AO02,AO02,,,,,,,,,AO02,,,,,,,,,,,,AO02,,,,,,,,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO02,AO01,2,AO01
301,AO02,AO02,AO02,AO02,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO02,AO05,1,AO02
302,AO02,AO02,AO02,AO01,AO02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,AO02,AO02,,,,,,,,,AO02,,,,,,,,,,,,AO02,,,,,,,,AO03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO03,AO01,AO01,1,AO01
