行,EPSGコード,経度,緯度,認定番号,認定年度,事業者名,認定商品名,業務内容,郵便番号,所在地,電話番号,ＵＲＬ
19,EPSG:6677,-32526.47068,-51413.86214,19,2016年度,ニューロネット株式会社,映像型コールセンターシステム『Moshi Moshi Interactive』,映像型コンタクトセンター型サービスMoshiMoshiInteractiveや、Web会議SaasBoardなど、ビデオチャットを主軸としてクラウド型サービスを事業展開。政府、りそな中小企業振興財団、東京都他多くの公的機関から表彰や認定を受けており、官公庁や大学へ導入されている。,194-0045,町田市南成瀬5-1-6台益ナルセビル2階,042-785-4737,www.neuronet.co.jp/
20,EPSG:6677,-33382.22331,-52811.78102,20,2017年度,光テック株式会社,LEDオゾン濃度測定装置『光テック』,表面処理（亜鉛めっき、金めっき、銀めっき、錫めっき）,194-0012,町田市金森4-9-48,042-795-0276,www.hikari-tech.server-shared.com/
21,EPSG:6677,-35243.53454,-50169.90226,21,2017年度,株式会社インターバディ,システムデバッグ支援周辺モデル『SyDAP model(サイダップモデル)』,仮想検証向けモデルの開発及びラインセンス、半導体設計向けEDAツール・組込システム等ソフトウエアの受託開発等を行っております。,194-0012,町田市中町1-4-2町田新産業創造センター2階,050-3772-0225,www.interbuddy.co.jp
22,EPSG:6677,-41592.44927,-43907.3944,22,2017年度,株式会社イズミ,災害・停電時LED街路灯Wi-Fi『まちだ君』,各種濾過装置の設計・製造・販売及び保守業務と環境保全のためのLED照明器具類やスーパーマイザー等の省エネ機器類の取り扱い,194-0215,町田市小山ヶ丘2-2-5まちだテクノパーク,042-798-7011,www.izumi-co.com/
23,EPSG:6677,-35798.42825,-50241.22997,23,2017年度,株式会社静科,SHIZUKA Stillness Panel,吸遮音材製造販売、パネル材、キット化材製造販売、簡易無響試験室製造販売、道路ジョイント騒音対策材製造販売、低周波音対策材製造販売、調湿系断熱吸遮音パネル材製造販売、防音工事、鉄骨を用いた防音架台の制作、音響測定,194-0012,神奈川県厚木市金田492-1町田市中町2-18-8-105,046-224-7200,www.hitori-shizuka.jp/
24,EPSG:6677,-32718.46131,-49554.94339,24,2017年度,株式会社Duco,透き通る漆シート,建築内装工事、漆製造、漆製品開発,194-0042,町田市東玉川学園2-29-22,042-724-6623,www.rhus.jp/
25,EPSG:6677,-31797.97267,-45578.34342,25,2018年度,toy-spice!,POSTCARD TOY series,主に子どもを対象とした商品の企画・制作・デザイン・販売,195-0053,町田市能ヶ谷6-9-7,090-6536-2574,www.toy-spice.jp/
26,EPSG:6677,-34613.78479,-50311.06393,26,2018年度,株式会社オンザウェイ,耳にやさしい理念商品オープンイヤホン＆マイク『FreePhone』,無線機の販売・リース・レンタル、無線機のサービス＆サポート、無線機のアクセサリの企画開発、オフィス用品の通販,194-0013,町田市原町田5-14-18,042-722-3611,www.ontheway.co.jp
27,EPSG:6677,-31595.37378,-52176.19884,27,2018年度,株式会社TRYL,SOLR　LANTERN,輸入雑貨・玩具・アウトドアグッズの卸売、Jリーグ・プロ野球グッズ、ノベルティグッズの企画販売,194-0001,町田市つくし野1-28-6,042-706-1355,trylplus.com/
28,EPSG:6677,-34696.62529,-51114.33049,28,2018年度,グラドコジャパン株式会社,Near-line ATB,マルチ・ファンクション・プリンターやデジタル複合機などのプリンティングおよびイメージング機器のペーパー・ハンドリング装置の企画、開発、販売,194-0013,品川区東品川2-2-20天王洲郵船ビル（支店）町田市原町田1-13-1,03-5783-7133,www.gradco.co.jp
29,EPSG:6677,-32132.58557,-52153.4349,29,2018年度,レデックス株式会社,脳バランサーキッズ,ソフトウエアの開発・販売,194-0001,町田市つくし野1-3-6,042-799-0269,www.ledex.co.jp/
30,EPSG:6677,-32624.84854,-53793.52818,30,2018年度,株式会社寺田電機製作所,低床用フロアコンセントLSFシリーズ,電源設備等の通信機器・フロアコンセント等の電設資材の開発・製造・販売,194-0005,町田市南町田5-2-2,042-795-1612,www.terada-ele.co.jp/
31,EPSG:6677,-32624.84854,-53793.52818,31,2018年度,株式会社寺田電機製作所,プラグ収納コンセントLCRシリーズ,電源設備等の通信機器・フロアコンセント等の電設資材の開発・製造・販売,194-0005,町田市南町田5-2-2,042-795-1612,www.terada-ele.co.jp/
32,EPSG:6677,-32624.84854,-53793.52818,32,2018年度,株式会社寺田電機製作所,埋込USB+AC給電用コンセント,電源設備等の通信機器・フロアコンセント等の電設資材の開発・製造・販売,194-0005,町田市南町田5-2-2,042-795-1612,www.terada-ele.co.jp/
33,EPSG:6677,-32624.84854,-53793.52818,33,2018年度,株式会社寺田電機製作所,まもれーるシリーズ,電源設備等の通信機器・フロアコンセント等の電設資材の開発・製造・販売,194-0005,町田市南町田5-2-2,042-795-1612,www.terada-ele.co.jp/
34,EPSG:6677,-35243.53454,-50169.90226,34,2019年度,株式会社アジラ,やさしいAI-OCR『Jijilla』,AIテクノロジーによる、ディープラーニングを活用した画像認識技術の提供,194-0021,町田市中町1-4-2町田新産業創造センター204,050-5275-8262,www.asilla.jp/
35,EPSG:6677,-35126.45825,-49854.85717,35,2019年度,シー・エイチ・シー・システム株式会社,ニオイCO2デュアルセンサー・コントローラー,空気調和・衛生設備工事の設計・施工、人造大理石の設計・開発及び販売、CO2センサー及びコントローラーの開発及び販売,194-0012,町田市中町1-25-9,042-728-6660,www.chcsys.net/
36,EPSG:6677,-31595.37378,-52176.19884,36,2019年度,株式会社TRYL,ユニマグ（ユニフォーム型クリップマグネット）,輸入雑貨・玩具・アウトドアグッズの卸売、Jリーグ・プロ野球グッズ、ノベルティグッズの企画販売,194-0001,町田市つくし野1-28-6,042-706-1355,trylplus.com/
37,EPSG:6677,-32624.84854,-53793.52818,37,2019年度,株式会社寺田電機製作所,壁用プッシュコンセントUCWシリーズ,電源設備等の通信機器・フロアコンセント等の電設資材の開発・製造・販売,194-0005,町田市南町田5-2-2,042-795-1612,www.terada-ele.co.jp/
38,EPSG:6677,-34694.98011,-50485.47179,38,2019年度,株式会社KATOホールディングス,ソーラーシェアらぼハウス（5シリーズタイプ）,KATOソーラー太陽光発電の設計・開発・製造、ソーラーシェアらぼハウス架台の設計・開発・製造など,194-0013,町田市原町田5-5-15,042-862-2939,www.kato-holdings.co.jp
