年度,所得金額（百万）,業種
H8,1103317,サービス業
H8,68278,その他の産業
H9,7060248,総計
H9,16050,農林・水産・鉱業
H9,499424,建設業
H9,2024621,製造業
H9,1758470,卸売・小売業
H9,515659,金融業
H9,90189,証券業・商品先物取引業
H9,31308,保険業
H9,394762,不動産業
H9,441020,運輸・通信業
H9,0,電気・ガス供給業
H9,1220082,サービス業
H9,68663,その他の産業
H10,6419019,総計
H10,14492,農林・水産・鉱業
H10,352706,建設業
H10,1752186,製造業
H10,1433665,卸売・小売業
H10,586809,金融業
H10,134573,証券業・商品先物取引業
H10,34583,保険業
H10,391252,不動産業
H10,399585,運輸・通信業
H10,372,電気・ガス供給業
H10,1238849,サービス業
H10,79948,その他の産業
H11,6155762,総計
H11,8940,農林・水産・鉱業
H11,312725,建設業
H11,1492022,製造業
H11,1472028,卸売・小売業
H11,351099,金融業
H11,145520,証券業・商品先物取引業
H11,29815,保険業
H11,395640,不動産業
H11,523475,運輸・通信業
H11,53,電気・ガス供給業
H11,1330410,サービス業
H11,94035,その他の産業
H12,8156819,総計
H12,16865,農林・水産・鉱業
H12,323642,建設業
H12,1890006,製造業
H12,1778715,卸売・小売業
H12,661050,金融業
H12,420690,証券業・商品先物取引業
H12,33681,保険業
H12,534599,不動産業
H12,688994,運輸・通信業
H12,7917,電気・ガス供給業
H12,1688332,サービス業
H12,112328,その他の産業
H13,8620822,総計
H13,15805,農林・水産・鉱業
H13,326022,建設業
H13,2075887,製造業
H13,1910211,卸売・小売業
H13,372216,金融業
H13,383687,証券業・商品先物取引業
H13,38696,保険業
H13,554524,不動産業
H13,979198,運輸・通信業
H13,17075,電気・ガス供給業
H13,1808722,サービス業
H13,138779,その他の産業
H14,7235135,総計
H14,13274,農林・水産・鉱業
H14,226162,建設業
H14,1612830,製造業
H14,1527220,卸売・小売業
H14,364673,金融業
H14,190622,証券業・商品先物取引業
H14,35319,保険業
H14,558902,不動産業
H14,811102,運輸・通信業
H14,2954,電気・ガス供給業
H14,1757448,サービス業
H14,134628,その他の産業
H15,7533265,総計
H15,10803,農林・水産・鉱業
H15,220039,建設業
H15,1660074,製造業
H15,1638455,卸売・小売業
H15,424955,金融業
H15,235062,証券業・商品先物取引業
H15,36569,保険業
H15,620889,不動産業
H15,737972,運輸・通信業
H15,835,電気・ガス供給業
H15,1786009,サービス業
H15,161604,その他の産業
H16,8997060,総計
H16,13068,農林・水産・鉱業
H16,260301,建設業
H16,1892547,製造業
H16,1883119,卸売・小売業
H16,462178,金融業
H16,397507,証券業・商品先物取引業
H16,49197,保険業
H16,861494,不動産業
H16,987926,運輸・通信業
H16,15582,電気・ガス供給業
H16,1977748,サービス業
H16,196393,その他の産業
H17,10165635,総計
H17,16001,農林・水産・鉱業
H17,283760,建設業
H17,2152920,製造業
H17,2126817,卸売・小売業
H17,677795,金融業
H17,561093,証券業・商品先物取引業
H17,58896,保険業
H17,1005803,不動産業
H17,774578,運輸・通信業
H17,27621,電気・ガス供給業
H17,2244097,サービス業
H17,236255,その他の産業
H18,11738364,総計
H18,77697,農林・水産・鉱業
H18,290776,建設業
H18,2444762,製造業
H18,2012458,卸売・小売業
H18,966303,金融業
H18,1313401,証券業・商品先物取引業
H18,82742,保険業
H18,1153927,不動産業
H18,731623,運輸・通信業
H18,88827,電気・ガス供給業
H18,2306742,サービス業
H18,269106,その他の産業
H19,13137419,総計
H19,63371,農林・水産・鉱業
H19,366036,建設業
H19,2591039,製造業
H19,2431379,卸売・小売業
H19,988316,金融業
H19,1389033,証券業・商品先物取引業
H19,82177,保険業
H19,1447556,不動産業
H19,709620,運輸・通信業
H19,76303,電気・ガス供給業
H19,2664540,サービス業
H19,328050,その他の産業
H20,12287203,総計
H20,81727,農林・水産・鉱業
H20,300843,建設業
H20,2449024,製造業
H20,2375978,卸売・小売業
H20,702297,金融業
H20,1030683,証券業・商品先物取引業
H20,73786,保険業
H20,1398115,不動産業
H20,1000493,運輸・通信業
H20,61236,電気・ガス供給業
H20,2514909,サービス業
H20,298112,その他の産業
H21,8149592,総計
H21,12222,農林・水産・鉱業
H21,239716,建設業
H21,1383507,製造業
H21,1520246,卸売・小売業
H21,640951,金融業
H21,277350,証券業・商品先物取引業
H21,103182,保険業
H21,860101,不動産業
H21,899933,運輸・通信業
H21,42546,電気・ガス供給業
H21,1981019,サービス業
H21,188818,その他の産業
H22,7552209,総計
H22,12804,農林・水産・鉱業
H22,258678,建設業
H22,1461853,製造業
H22,1445657,卸売・小売業
H22,434114,金融業
H22,440871,証券業・商品先物取引業
H22,46419,保険業
H22,692481,不動産業
H22,695529,運輸・通信業
H22,24682,電気・ガス供給業
H22,1873460,サービス業
H22,165660,その他の産業
H23,7534024,総計
H23,24271,農林・水産・鉱業
H23,229657,建設業
H23,1513163,製造業
H23,1598767,卸売・小売業
H23,398548,金融業
H23,199329,証券業・商品先物取引業
H23,45773,保険業
H23,703089,不動産業
H23,584071,運輸・通信業
H23,10650,電気・ガス供給業
H23,2068206,サービス業
H23,158501,その他の産業
H24,8277857,総計
H24,14912,農林・水産・鉱業
H24,255062,建設業
H24,1621006,製造業
H24,1723172,卸売・小売業
H24,475533,金融業
H24,186052,証券業・商品先物取引業
H24,53297,保険業
H24,698816,不動産業
H24,762756,運輸・通信業
H24,19557,電気・ガス供給業
H24,2299160,サービス業
H24,168534,その他の産業
H25,10419713,総計
H25,30282,農林・水産・鉱業
H25,316309,建設業
H25,1803888,製造業
H25,1894830,卸売・小売業
H25,938574,金融業
H25,290506,証券業・商品先物取引業
H25,55629,保険業
H25,881859,不動産業
H25,919414,運輸・通信業
H25,42936,電気・ガス供給業
H25,2744850,サービス業
H25,500636,その他の産業
H26,11402486,総計
H26,17688,農林・水産・鉱業
H26,437475,建設業
H26,2045093,製造業
H26,2090259,卸売・小売業
H26,1181011,金融業
H26,526935,証券業・商品先物取引業
H26,59887,保険業
H26,896556,不動産業
H26,963852,運輸・通信業
H26,30351,電気・ガス供給業
H26,2949292,サービス業
H26,204086,その他の産業
H27,12975133,総計
H27,39054,農林・水産・鉱業
H27,520156,建設業
H27,1948241,製造業
H27,2119158,卸売・小売業
H27,1779862,金融業
H27,649562,証券業・商品先物取引業
H27,66578,保険業
H27,1126371,不動産業
H27,1074454,運輸・通信業
H27,36849,電気・ガス供給業
H27,3390652,サービス業
H27,224195,その他の産業
H28,14042723,総計
H28,13667,農林・水産・鉱業
H28,703856,建設業
H28,2175701,製造業
H28,2182245,卸売・小売業
H28,1564663,金融業
H28,603709,証券業・商品先物取引業
H28,72601,保険業
H28,1347939,不動産業
H28,1281506,運輸・通信業
H28,55570,電気・ガス供給業
H28,3782688,サービス業
H28,258578,その他の産業
H29,15254810,総計
H29,21648,農林・水産・鉱業
H29,875112,建設業
H29,2190089,製造業
H29,2411310,卸売・小売業
H29,1592764,金融業
H29,614037,証券業・商品先物取引業
H29,79293,保険業
H29,1490867,不動産業
H29,1177269,運輸・通信業
H29,471466,電気・ガス供給業
H29,4055620,サービス業
H29,275336,その他の産業
H30,17295985,総計
H30,16302,農林・水産・鉱業
H30,1000265,建設業
H30,2725219,製造業
H30,2642044,卸売・小売業
H30,1938162,金融業
H30,670215,証券業・商品先物取引業
H30,81277,保険業
H30,1826426,不動産業
H30,1236238,運輸・通信業
H30,468533,電気・ガス供給業
H30,4406887,サービス業
H30,284419,その他の産業
R1,18486741,総計
R1,15744,農林・水産・鉱業
R1,1037953,建設業
R1,2442812,製造業
R1,2785887,卸売・小売業
R1,1889424,金融業
R1,759289,証券業・商品先物取引業
R1,82358,保険業
R1,1804236,不動産業
R1,1525621,運輸・通信業
R1,512809,電気・ガス供給業
R1,5341652,サービス業
R1,288956,その他の産業
R2,16457271,総計
R2,20056,農林・水産・鉱業
R2,1054588,建設業
R2,2227135,製造業
R2,2490465,卸売・小売業
R2,1524785,金融業
R2,732990,証券業・商品先物取引業
R2,77510,保険業
R2,1756469,不動産業
R2,1441871,運輸・通信業
R2,563463,電気・ガス供給業
R2,4285059,サービス業
R2,282880,その他の産業
R3,20137955,総計
R3,26859,農林・水産・鉱業
R3,1015746,建設業
R3,2825306,製造業
R3,2906224,卸売・小売業
R3,1779598,金融業
R3,955815,証券業・商品先物取引業
R3,99484,保険業
R3,1919725,不動産業
R3,1551161,運輸・通信業
R3,665377,電気・ガス供給業
R3,6021128,サービス業
R3,371532,その他の産業
R4,22108673,総計
R4,39722,農林・水産・鉱業
R4,983179,建設業
R4,3153941,製造業
R4,3343186,卸売・小売業
R4,2462535,金融業
R4,1003765,証券業・商品先物取引業
R4,140101,保険業
R4,2112371,不動産業
R4,1440613,運輸・通信業
R4,753765,電気・ガス供給業
R4,6323342,サービス業
R4,352154,その他の産業
