年度,区分,区分2,基金名,区分3,金額（億円）,備考
2023,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2023年度末残高,"3,300",
2023,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2022年度末残高（決算）,0,
2023,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2023年度積立額,0,
2023,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2023年度取崩額,0,
2023,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2023年度末残高,0,
2023,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2022年度末残高（決算）,"4,978",
2023,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2023年度積立額,75,
2023,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2023年度取崩額,"-1,159",
2023,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2023年度末残高,"3,895",
2023,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2022年度末残高（決算）,840,
2023,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2023年度積立額,54,
2023,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2023年度取崩額,-10,
2023,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2023年度末残高,885,
2023,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2022年度末残高（決算）,448,
2023,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2023年度積立額,"1,000",
2023,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2023年度取崩額,-233,
2023,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2023年度末残高,"1,215",
2023,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2022年度末残高（決算）,278,
2023,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2023年度積立額,0,
2023,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2023年度取崩額,-44,
2023,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2023年度末残高,234,
2023,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2022年度末残高（決算）,296,
2023,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2023年度積立額,"1,000",
2023,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2023年度取崩額,-272,
2023,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2023年度末残高,"1,024",
2023,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2022年度末残高（決算）,"1,500",
2023,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2023年度積立額,0,
2023,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2023年度取崩額,-202,
2023,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2023年度末残高,"1,298",
2023,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2022年度末残高（決算）,0,
2023,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2023年度積立額,0,
2023,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2023年度取崩額,1,
2023,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2023年度末残高,0,
2023,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2022年度末残高（決算）,"2,949",
2023,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2023年度積立額,0,
2023,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2023年度取崩額,-652,
2023,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2023年度末残高,"2,297",
2023,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2022年度末残高（決算）,0,
2023,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2023年度積立額,0,
2023,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2023年度取崩額,0,
2023,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2023年度末残高,0,
2023,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金,2022年度末残高（決算）,"1,489",
2023,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金,2023年度積立額,0,
2023,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金,2023年度取崩額,-498,
2023,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金,2023年度末残高,991,
2023,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2022年度末残高（決算）,-1,
2023,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2023年度積立額,0,
2023,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2023年度取崩額,0,
2023,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2023年度末残高,0,
2023,国の交付金等により積み立てた基金,その他基金,その他基金,2022年度末残高（決算）,"1,340",
2023,国の交付金等により積み立てた基金,その他基金,その他基金,2023年度積立額,283,
2023,国の交付金等により積み立てた基金,その他基金,その他基金,2023年度取崩額,-259,
2023,国の交付金等により積み立てた基金,その他基金,その他基金,2023年度末残高,"1,364",
2023,財政調整基金,財政調整基金,財政調整基金,2022年度末残高（決算）,"6,498",
2023,財政調整基金,財政調整基金,財政調整基金,2023年度積立額,486,
2023,財政調整基金,財政調整基金,財政調整基金,2023年度取崩額,-984,
2023,財政調整基金,財政調整基金,財政調整基金,2023年度末残高,"6,001",
2023,合計,合計,合計,2022年度末残高（決算）,"23,615",
2023,合計,合計,合計,2023年度積立額,"4,398",
2023,合計,合計,合計,2023年度取崩額,"-5,512",
2023,合計,合計,合計,2023年度末残高,"22,505",
2022,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2020年度末残高（決算）,2304,
2022,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2021年度末残高（決算）,2304,
2022,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2022年度積立額,0,
2022,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2022年度取崩額,-2305,
2022,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2022年度末残高,0,
2022,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2020年度末残高（決算）,297,
2022,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2021年度末残高（決算）,298,
2022,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2022年度積立額,0,
2022,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2022年度取崩額,-298,
2022,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2022年度末残高,0,
2022,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金（仮称）,2020年度末残高（決算）,0,
2022,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金（仮称）,2021年度末残高（決算）,0,
2022,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金（仮称）,2022年度積立額,3000,
2022,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金（仮称）,2022年度取崩額,0,
2022,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金（仮称）,2022年度末残高,3000,
2022,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2020年度末残高（決算）,0,
2022,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2021年度末残高（決算）,0,
2022,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2022年度積立額,0,
2022,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2022年度取崩額,1,
2022,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2022年度末残高,0,
2022,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2020年度末残高（決算）,4865,
2022,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2021年度末残高（決算）,4885,
2022,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2022年度積立額,118,
2022,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2022年度取崩額,-603,
2022,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2022年度末残高,4401,
2022,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2020年度末残高（決算）,21,
2022,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2021年度末残高（決算）,21,
2022,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2022年度積立額,0,
2022,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2022年度取崩額,-21,
2022,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2022年度末残高,0,
2022,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2020年度末残高（決算）,29,
2022,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2021年度末残高（決算）,29,
2022,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2022年度積立額,0,
2022,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2022年度取崩額,-29,
2022,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2022年度末残高,0,
2022,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2020年度末残高（決算）,760,
2022,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2021年度末残高（決算）,802,
2022,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2022年度積立額,43,
2022,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2022年度取崩額,-8,
2022,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2022年度末残高,838,
2022,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2020年度末残高（決算）,448,
2022,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2021年度末残高（決算）,448,
2022,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2022年度積立額,0,
2022,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2022年度取崩額,0,
2022,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2022年度末残高,448,
2022,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2020年度末残高（決算）,300,
2022,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2021年度末残高（決算）,278,
2022,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2022年度積立額,0,
2022,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2022年度取崩額,-34,
2022,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2022年度末残高,244,
2022,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2020年度末残高（決算）,295,
2022,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2021年度末残高（決算）,295,
2022,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2022年度積立額,0,
2022,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2022年度取崩額,0,
2022,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2022年度末残高,296,
2022,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金（仮称）,2020年度末残高（決算）,0,
2022,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金（仮称）,2021年度末残高（決算）,0,
2022,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金（仮称）,2022年度積立額,1500,
2022,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金（仮称）,2022年度取崩額,0,
2022,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金（仮称）,2022年度末残高,1500,
2022,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2020年度末残高（決算）,1,
2022,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2021年度末残高（決算）,0,
2022,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2022年度積立額,1,
2022,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2022年度取崩額,1,
2022,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2022年度末残高,0,
2022,３つのシティ実現に向けた基金,ダイバーシティ,人に優しく快適な街づくり基金,2020年度末残高（決算）,143,
2022,３つのシティ実現に向けた基金,ダイバーシティ,人に優しく快適な街づくり基金,2021年度末残高（決算）,143,
2022,３つのシティ実現に向けた基金,ダイバーシティ,人に優しく快適な街づくり基金,2022年度積立額,0,
2022,３つのシティ実現に向けた基金,ダイバーシティ,人に優しく快適な街づくり基金,2022年度取崩額,-143,
2022,３つのシティ実現に向けた基金,ダイバーシティ,人に優しく快適な街づくり基金,2022年度末残高,0,
2022,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2020年度末残高（決算）,1947,
2022,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2021年度末残高（決算）,1948,
2022,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2022年度積立額,1000,
2022,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2022年度取崩額,-660,
2022,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2022年度末残高,2288,
2022,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2020年度末残高（決算）,42,
2022,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2021年度末残高（決算）,42,
2022,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2022年度積立額,0,
2022,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2022年度取崩額,-42,
2022,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2022年度末残高,0,
2022,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2020年度末残高（決算）,0,
2022,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2021年度末残高（決算）,0,
2022,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2022年度積立額,0,
2022,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2022年度取崩額,0,
2022,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2022年度末残高,0,
2022,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2020年度末残高（決算）,4290,
2022,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2021年度末残高（決算）,1780,
2022,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2022年度積立額,4,
2022,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2022年度取崩額,-1785,
2022,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2022年度末残高,0,
2022,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金（仮称）,2020年度末残高（決算）,0,
2022,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金（仮称）,2021年度末残高（決算）,0,
2022,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金（仮称）,2022年度積立額,1485,
2022,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金（仮称）,2022年度取崩額,0,
2022,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金（仮称）,2022年度末残高,1485,
2022,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2020年度末残高（決算）,1,
2022,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2021年度末残高（決算）,0,
2022,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2022年度積立額,0,
2022,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2022年度取崩額,0,
2022,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2022年度末残高,0,
2022,国の交付金等により積み立てた基金,その他基金,その他基金,2020年度末残高（決算）,"1,348",
2022,国の交付金等により積み立てた基金,その他基金,その他基金,2021年度末残高（決算）,"1,326",
2022,国の交付金等により積み立てた基金,その他基金,その他基金,2022年度積立額,332,
2022,国の交付金等により積み立てた基金,その他基金,その他基金,2022年度取崩額,-288,
2022,国の交付金等により積み立てた基金,その他基金,その他基金,2022年度末残高,1371,
2022,財政調整基金,財政調整基金,財政調整基金,2020年度末残高（決算）,5327,
2022,財政調整基金,財政調整基金,財政調整基金,2021年度末残高（決算）,7272,
2022,財政調整基金,財政調整基金,財政調整基金,2022年度積立額,2041,
2022,財政調整基金,財政調整基金,財政調整基金,2022年度取崩額,-3650,
2022,財政調整基金,財政調整基金,財政調整基金,2022年度末残高,5664,
2022,合計,合計,合計,2020年度末残高（決算）,22417,
2022,合計,合計,合計,2021年度末残高（決算）,21872,
2022,合計,合計,合計,2022年度積立額,"9,524",
2022,合計,合計,合計,2022年度取崩額,"-9,865",
2022,合計,合計,合計,2022年度末残高,21534,
2021,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2019年度末残高（決算）,"2,304",
2021,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2020年度末残高（決算）,2304,
2021,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2021年度取崩額,0,
2021,３つのシティ実現に向けた基金,セーフ シティ,防災街づくり基金,2021年度末残高,2304,
2021,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2019年度末残高（決算）,405,
2021,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2020年度末残高（決算）,297,
2021,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2021年度取崩額,-111,
2021,３つのシティ実現に向けた基金,セーフ シティ,無電柱化推進基金,2021年度末残高,187,
2021,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2019年度末残高（決算）,0,
2021,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2020年度末残高（決算）,1,
2021,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2021年度取崩額,0,
2021,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2021年度末残高,0,
2021,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2019年度末残高（決算）,5712,
2021,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2020年度末残高（決算）,4865,
2021,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2021年度取崩額,-5,
2021,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2021年度末残高,4894,
2021,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2019年度末残高（決算）,28,
2021,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2020年度末残高（決算）,21,
2021,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2021年度取崩額,-5,
2021,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2021年度末残高,16,
2021,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2019年度末残高（決算）,53,
2021,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2020年度末残高（決算）,29,
2021,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2021年度取崩額,-14,
2021,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2021年度末残高,15,
2021,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2019年度末残高（決算）,691,
2021,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2020年度末残高（決算）,760,
2021,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2021年度取崩額,-2,
2021,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2021年度末残高,802,
2021,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2019年度末残高（決算）,500,
2021,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2020年度末残高（決算）,448,
2021,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2021年度取崩額,-230,
2021,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2021年度末残高,218,
2021,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2019年度末残高（決算）,300,
2021,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2020年度末残高（決算）,300,
2021,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2021年度取崩額,-22,
2021,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2021年度末残高,278,
