日付,曜日,排水量５街区青果棟（ｍ３）,排水量６街区水産仲卸売場棟西（ｍ３）,排水量６街区水産仲卸売場棟東（ｍ３）,排水量６街区水産仲卸売場棟合計（ｍ３）,排水量６街区加工パッケージ棟（ｍ３）,排水量６街区６街区合計（ｍ３）,排水量７街区水産卸売場棟（ｍ３）,排水量全街区合計（ｍ３）
1月28日,土,,,,,,,,
1月29日,日,,,,,,,,
1月30日,月,17,94,,94,6,100,35,152
1月31日,火,6,17,,17,4,21,10,37
2月1日,水,1,61,,61,2,63,0,64
2月2日,木,7,48,,48,,48,5,60
2月3日,金,1,4,,4,10,14,9,24
2月4日,土,,,,,,,,
2月5日,日,,,,,,,,
2月6日,月,15,124,,124,8,132,25,172
2月7日,火,2,22,,22,2,24,25,51
2月8日,水,2,4,49,53,3,56,21,79
2月9日,木,3,15,36,51,10,61,37,101
2月10日,金,4,28,33,61,,61,54,119
2月11日,土,,,,,,,,
2月12日,日,,,,,,,,
2月13日,月,4,2,87,89,17,106,32,142
2月14日,火,1,5,32,37,5,42,35,78
2月15日,水,1,8,30,38,,38,44,83
2月16日,木,3,5,10,15,1,16,34,53
2月17日,金,1,10,14,24,2,26,87,114
2月18日,土,,,,,,,,
2月19日,日,,,,,,,,
2月20日,月,1,41,84,125,9,134,79,214
2月21日,火,,7,14,21,1,22,65,87
2月22日,水,,5,13,18,2,20,81,101
2月23日,木,1,7,21,28,2,30,94,125
2月24日,金,,29,17,46,2,48,93,141
2月25日,土,,,,,,,,
2月26日,日,,,,,,,,
2月27日,月,,59,9,68,4,72,74,146
2月28日,火,2,4,12,16,1,17,42,61
3月1日,水,,8,28,36,15,51,52,103
3月2日,木,,13,30,43,18,61,64,125
3月3日,金,,10,22,32,5,37,52,89
3月4日,土,,,,,,,,
3月5日,日,,,,,,,,
3月6日,月,,26,55,81,10,91,56,147
3月7日,火,,7,12,19,2,21,67,88
3月8日,水,,3,5,8,2,10,50,60
3月9日,木,,8,14,22,1,23,49,72
3月10日,金,,4,19,23,3,26,37,63
3月11日,土,,,,,,,,
3月12日,日,,,,,,,,
3月13日,月,,11,50,61,9,70,30,100
3月14日,火,1,12,29,41,1,42,35,78
3月15日,水,,1,22,23,3,26,28,54
3月16日,木,,,20,20,5,25,21,46
3月17日,金,,3,10,13,4,17,19,36
3月18日,土,,,,,,,,
3月19日,日,,,,,,,,
3月20日,月,,,,,,,,
3月21日,火,1,13,35,48,33,81,31,113
3月22日,水,,12,17,29,7,36,34,70
3月23日,木,,4,22,26,5,31,29,60
3月24日,金,,4,22,26,17,43,23,66
3月25日,土,,,,,,,,
3月26日,日,,,,,,,,
3月27日,月,,,78,78,69,147,44,191
3月28日,火,,,29,29,1,30,45,75
3月29日,水,,,28,28,,28,39,67
3月30日,木,,,31,31,4,35,34,69
3月31日,金,,,53,53,22,75,41,116
4月1日,土,,,,,,,,
4月2日,日,,,,,,,,
4月3日,月,,,80,80,54,134,44,178
4月4日,火,,,30,30,9,39,50,89
4月5日,水,,,30,30,8,38,38,76
4月6日,木,,,33,33,12,45,34,79
4月7日,金,,,12,12,23,35,41,76
4月8日,土,,,,,,,,
4月9日,日,,,,,,,,
4月10日,月,,,63,63,56,119,59,178
4月11日,火,,,78,78,87,165,61,226
4月12日,水,,,49,49,29,78,70,148
4月13日,木,,19,33,52,16,68,49,117
4月14日,金,,54,14,68,6,74,50,124
4月15日,土,,,,,,,,
4月16日,日,,,,,,,,
4月17日,月,16,4,69,73,81,154,72,242
4月18日,火,7,,100,100,52,152,162,321
4月19日,水,,,80,80,25,105,106,211
4月20日,木,,16,39,55,19,74,67,141
4月21日,金,,7,19,26,15,41,23,64
4月22日,土,,,,,,,,
4月23日,日,,,,,,,,
4月24日,月,13,40,56,96,43,139,86,238
4月25日,火,,10,18,28,14,42,47,89
4月26日,水,,17,30,47,44,91,63,154
4月27日,木,,21,36,57,14,71,53,124
4月28日,金,,18,32,50,27,77,17,94
4月29日,土,,,,,,,,
4月30日,日,,,,,,,,
5月1日,月,,,,,,,,
5月2日,火,,,,,,,,
5月3日,水,,,,,,,,
5月4日,木,,,,,,,,
5月5日,金,,,,,,,,
5月6日,土,,,,,,,,
5月7日,日,,,,,,,,
5月8日,月,11,82,103,185,65,250,133,394
5月9日,火,7,24,50,74,20,94,49,150
5月10日,水,3,21,48,69,47,116,16,135
5月11日,木,6,19,43,62,40,102,46,154
5月12日,金,9,19,34,53,41,94,19,122
5月15日,月,,57,97,154,117,271,79,350
合計,,3065,6680,8346,15026,2678,17704,10792,31561
