経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
営利法人,就労支援センター　ひゅーまにあ八王子,192-0082,八王子市東町３－１１　プレイム八王子ビル５階,139.341,35.6585,JGD2011,042-646-0536
他の法人,ソレモ,190-0011,立川市高松町３－２９－１５　浦野ハイツ１階　２０２号,139.42036,35.70288,JGD2011,042-849-2771
営利法人,立川おりおん,190-0012,立川市曙町二丁目９番１号　菊谷ビルディング５０２,139.41559,35.7011,JGD2011,042-595-7484
他の法人,すぺぃろ,190-0012,立川市曙町２－３４－６　小杉ビル３階,139.41466,35.70255,JGD2011,042-525-7579
他の法人,就労定着支援事業所　ＷＯＲＫ　ＳＰＡＣＥ　hinata,190-0021,立川市羽衣町２－４１－１　羽衣第一ビル１階,139.42598,35.69376,JGD2011,042-512-9763
他の法人,スマイルパークＣＨＯＦＵ,182-0005,調布市東つつじケ丘２－２７－４　新井ビル２０１,139.57738,35.65658,JGD2011,03-5315-5981
区市町村,調布市知的障害者援護施設すまいる分室,182-0022,調布市国領町３－１９－１,139.56012,35.64961,JGD2011,042-426-9481
社福法人,シンフォニー,182-0026,調布市小島町２－５５－４,139.5425,35.64894,JGD2011,042-488-4436
社福法人,原町田スクエア,194-0013,町田市原町田５－４－１９,139.44977,35.54497,JGD2011,042-725-0786
社福法人,ひあたり野津田,195-0063,町田市野津田町１８３２番地５,139.436,35.58799,JGD2011,042-736-8421
他の法人,あん工房,184-0004,小金井市本町３－８－１　第二佐藤ビル,139.50818,35.70604,JGD2011,042-385-1126
社福法人,ワークセンター夢の樹,187-0001,小平市大沼町２－１－３,139.49225,35.73862,JGD2011,042-349-2586
社福法人,おだまき工房,187-0043,小平市学園東町１－２３－２３,139.47992,35.72692,JGD2011,042-341-7107
社福法人,福祉事業センター,189-0024,東村山市富士見町２－７－５,139.45242,35.74027,JGD2011,042-395-3636
社福法人,就労定着支援事業所カノン,188-0004,西東京市西原町４－５－６　西東京市西原総合教育施設内,139.52879,35.73684,JGD2011,042-468-5665
