経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
他の法人,台東区精神障害者地域生活支援センターあさがお,111-0051,台東区蔵前３－１８－４　ライフコア蔵前２０１号,139.79115,35.70564,JGD2011,03-5823-4298
社福法人,墨田区精神障害者地域生活支援センター友の家,130-0012,墨田区太平１－１１－７　グランドステータスＫＩＹＡ４階,139.8112,35.70078,JGD2011,03-3626-6165
医療法人,医療法人社団草思会　錦糸町相談支援センター,130-0013,墨田区錦糸３－５－１　４階,139.81421,35.69836,JGD2011,03-5637-7266
営利法人,エリアサポートすみだ,131-0033,墨田区向島３－３５－１３,139.81015,35.71286,JGD2011,03-5637-8195
社福法人,地域活動支援センター　ウィル・オアシス,135-0002,江東区住吉１－１７－２０　住吉ビル４階,139.81212,35.68932,JGD2011,03-6284-0545
他の法人,江東区地域生活支援センター　ステップ,135-0016,江東区東陽３－１６－１２　田中ビル２階,139.81184,35.67038,JGD2011,03-5633-7714
他の法人,地域活動支援センター　ロータス,136-0072,江東区大島５－１０－１０－１０１,139.83414,35.68932,JGD2011,03-5858-8696
営利法人,ケアメイト品川居宅介護支援事業所,140-0015,品川区西大井１－１－１　Ｊタワー西大井ウエストコート２０３,139.72179,35.60097,JGD2011,03-3772-1331
社福法人,品川区障害者生活支援センター,142-0064,品川区旗の台５－２－２,139.70041,35.605,JGD2011,03-5750-4995
社福法人,地域生活相談支援センターセサミ,152-0001,目黒区中央町２－３２－５　スマイルプラザ中央町３階,139.68837,35.63137,JGD2011,03-5794-4101
他の法人,目黒障害者相談センター,152-0031,目黒区中根１－３－９　森戸ビル３０２,139.67522,35.61792,JGD2011,03-3725-8808
社福法人,大田地域生活相談室,143-0015,大田区大森西３－３－９,139.73035,35.57467,JGD2011,080-4195-4578
区市町村,大田区立障がい者総合サポートセンター相談支援事業所,143-0024,大田区中央４－３０－１１,139.7179,35.5793,JGD2011,03-5728-9433
医療法人,おおた相談支援センター,144-0031,大田区東蒲田２－１－１３,139.72658,35.56306,JGD2011,03-6424-9020
社福法人,こうじや生活支援センター,144-0033,大田区東糀谷１－１４－１４,139.73901,35.55826,JGD2011,03-5705-0738
他の法人,糀谷作業所,144-0044,大田区本羽田１－１８－２１　日興ビル２０１号室,139.72626,35.54726,JGD2011,03-6319-7458
社福法人,かまた生活支援センター,144-0051,大田区西蒲田４－４－１,139.71672,35.56979,JGD2011,03-5700-6761
他の法人,team shien m.a,156-0042,世田谷区羽根木１－１３－９,139.65958,35.66668,JGD2011,03-6379-5484
社福法人,地域生活支援センターＭＯＴＡ,156-0043,世田谷区松原３－４０－７　パインフィールドビル２０１,139.64273,35.66717,JGD2011,03-3325-0951
社福法人,まつばらけやき相談支援センター,156-0043,世田谷区松原６－４３－１７,139.64902,35.65631,JGD2011,03-6265-7140
社福法人,ジョイントステーション　ここから,157-0061,世田谷区北烏山三丁目１１番５号,139.60226,35.67389,JGD2011,03-5315-7887
医療法人,地域生活支援センターサポートセンターきぬた,157-0072,世田谷区祖師谷３－３６－２６　祖師谷セントラルプラザ３階,139.60715,35.64579,JGD2011,03-3483-2471
営利法人,相談支援アンジュ,157-0077,世田谷区鎌田４－１７－１７　サンエイハイツ１０５,139.60864,35.62299,JGD2011,03-6411-1580
他の法人,プリズム,158-0091,世田谷区中町２－２１－１２,139.64481,35.61373,JGD2011,03-3701-0652
他の法人,世田谷区立身体障害者自立体験ホームなかまっち,158-0091,世田谷区中町２－１７－２１,139.64455,35.61118,JGD2011,03-6411-6590
社福法人,パールケア,150-0035,渋谷区鉢山町３－２７,139.69894,35.65226,JGD2011,03-5458-4811
その他,渋谷区精神障害者地域生活支援センター,151-0053,渋谷区代々木１－２０－８,139.70259,35.68042,JGD2011,03-3299-0317
他の法人,障がい者相談支援センター樹音,151-0053,渋谷区代々木１－３８－８－４７,139.7009,35.68277,JGD2011,03-6276-1407
社福法人,地域活動支援センターふれあい,151-0073,渋谷区笹塚３－４３－１,139.66962,35.67943,JGD2011,03-5302-1190
他の法人,中野区精神障害者地域生活支援センター 通称「せせらぎ」,164-0001,中野区中野５－６８－７　中野区社会福祉会館６階,139.66521,35.70926,JGD2011,03-3387-1326
他の法人,ことり,164-0003,中野区東中野４－２－２　篠木ビル３階,139.68544,35.70688,JGD2011,03-3360-3517
社福法人,社会福祉法人中野あいいく会　中部すこやか障害者相談支援事業所,164-0011,中野区中央３－１９－１,139.67422,35.70008,JGD2011,03-3367-7810
他の法人,南部すこやか障害者相談支援事業所,164-0013,中野区弥生町５－１１－２６,139.66827,35.68792,JGD2011,03-5340-7888
他の法人,北部すこやか障害者相談支援事業所,165-0022,中野区江古田４－３１－１０,139.66159,35.72435,JGD2011,03-5942-5800
社福法人,鷺宮すこやか障害者相談支援事業所,165-0033,中野区若宮３－５８－１０,139.63969,35.7222,JGD2011,03-6265-5770
社福法人,ひゅーまん地域生活相談室,166-0001,杉並区阿佐谷北１－３６－３　ＹＯＫＯＫＡＷＡビル３階,139.63603,35.70877,JGD2011,03-5327-6781
社福法人,相談支援事業所　なでしこ,166-0002,杉並区高円寺北１－２８－１,139.65785,35.70806,JGD2011,03-5345-6741
他の法人,障害者ケアマネジメント　友愛,166-0014,杉並区松ノ木３－１６－１２,139.64572,35.69428,JGD2011,03-5307-6790
医療法人,ユトリロ,167-0022,杉並区下井草１－１０－５,139.6331,35.7161,JGD2011,03-3399-8373
他の法人,あおばケアセンター,167-0032,杉並区天沼３－２６－２５,139.62056,35.70751,JGD2011,03-6383-6080
社福法人,杉並障害者自立生活支援センターすだち,167-0035,杉並区今川２－１４－１２,139.60942,35.71784,JGD2011,03-5310-3362
営利法人,あおいサポートステーション,168-0065,杉並区浜田山３－２５－１６　エスカイア浜田山１０２,139.62877,35.6822,JGD2011,03-6795-8149
営利法人,相談支援センターさくら,171-0043,豊島区要町１－２８－２０,139.69685,35.73521,JGD2011,03-5935-4944
他の法人,生活サポートセンター・こっとん,171-0051,豊島区長崎２－８－１２－１０１,139.69135,35.72783,JGD2011,03-3959-5941
社福法人,就労・生活支援センター　飛鳥晴山苑,114-0024,北区西ケ原４－５１－１,139.73605,35.74216,JGD2011,03-3940-9181
他の法人,北区障害者地域活動支援室支援センターきらきら,114-0032,北区中十条１－２－１８　障害者福祉センターニ階,139.72989,35.75732,JGD2011,03-3905-7201
営利法人,障がい者相談支援センターしらゆり,115-0044,北区赤羽南１－２－６　北都ビル３階,139.72282,35.77581,JGD2011,03-3598-6310
他の法人,相談事業所わくわくかん,115-0044,北区赤羽南２－６－６　スカイブリッジビルＢ１階,139.72285,35.77238,JGD2011,03-3902-9996
営利法人,ヘルパーステーション赤羽,115-0045,北区赤羽２－６９－２　千秀ビル３Ｆ,139.72276,35.78256,JGD2011,03-3598-8690
他の法人,オフィスサプライ相談支援事業所,116-0011,荒川区西尾久７－１９－６　ベルメゾンヤスダ１０３,139.75644,35.75045,JGD2011,03-6240-8195
他の法人,相談支援センターあらかわ,116-0014,荒川区東日暮里１－１７－１２　二村ビル１F,139.78955,35.72997,JGD2011,03-3801-7227
営利法人,レインボーブリッジ板橋ケアセンター,173-0004,板橋区板橋３－５－１５,139.71191,35.75045,JGD2011,03-5943-2951
他の法人,相談支援事業所フェリシダ,173-0004,板橋区板橋１－５３－１７　新板橋ビューハイツ３０５,139.72041,35.7478,JGD2011,03-6915-5596
他の法人,特定非営利活動法人レイ,173-0024,板橋区大山金井町２７－８,139.70555,35.74639,JGD2011,03-5926-6296
社福法人,指定相談事業所　スペースピア,174-0072,板橋区南常盤台２－１－７,139.68803,35.759,JGD2011,03-3554-3081
社福法人,板橋区立障がい者福祉センター,175-0082,板橋区高島平９－２５－１２,139.6682,35.79048,JGD2011,03-6906-5721
その他,練馬区立豊玉障害者地域生活支援センター,176-0012,練馬区豊玉北５－１５－１９　豊玉すこやかセンター６階,139.65497,35.73619,JGD2011,03-3557-2020
社福法人,ねりま相談支援事業所みらい,176-0013,練馬区豊玉中村１－７－１０　マーべラスＡ１０１号,139.65466,35.73171,JGD2011,03-3577-8657
その他,練馬区立石神井障害者地域生活支援センター,177-0041,練馬区石神井町７－３－２８,139.60115,35.7443,JGD2011,03-3997-2183
社福法人,練馬区立大泉障害者地域生活支援センター,178-0063,練馬区東大泉５－３５－２,139.58961,35.74767,JGD2011,03-3925-7371
社福法人,練馬区立光が丘障害者地域生活支援センター,179-0072,練馬区光が丘２－９－６,139.63036,35.75914,JGD2011,03-5997-7856
他の法人,あしたば相談支援センター,120-0013,足立区弘道１－１４－２３　弘道ベルハイム１０３,139.81102,35.76819,JGD2011,03-5888-6576
社福法人,竹の塚相談支援センター,121-0813,足立区竹の塚７－１９－９,139.7959,35.80096,JGD2011,03-5831-1801
医療法人,成仁　相談支援事業所,121-0815,足立区島根３－２－１,139.7964,35.77873,JGD2011,050-3734-5406
区市町村,足立区障がい福祉センター自立生活支援室,121-0816,足立区梅島３－３１－１９,139.79247,35.7775,JGD2011,03-5681-0132
営利法人,地域移行定着支援事業所　星月夜,123-0843,足立区西新井栄町一丁目５番５号　海老原ビル３階,139.79114,35.77382,JGD2011,03-5888-2230
社福法人,糸でんわ,124-0012,葛飾区立石１－７－２９　原町成年寮地域生活援助センター,139.84479,35.73702,JGD2011,03-5670-6464
社福法人,地域活動支援センターコパン,125-0051,葛飾区新宿３－９－１１,139.86243,35.75983,JGD2011,03-5876-6320
他の法人,相談支援事業所　さい,125-0062,葛飾区青戸５－１４－２　仙ノ倉ハイツ１階,139.85443,35.74756,JGD2011,03-6848-5491
社福法人,相談支援センターパラン,125-0062,葛飾区青戸８－２４－２７,139.85507,35.75811,JGD2011,03-6231-2230
他の法人,地域活動支援センター　はるえ野,132-0003,江戸川区春江町２－４１－８,139.89066,35.69924,JGD2011,03-5664-6070
他の法人,地域活動支援センターえどがわ,132-0031,江戸川区松島３－４６－１０　かとりコーポ１０１,139.86574,35.70955,JGD2011,03-5879-0708
他の法人,相談支援センター　ぽこ・あ・ぽこ,132-0031,江戸川区松島３－４２－１１,139.86464,35.71119,JGD2011,03-6231-4278
営利法人,トロールケアサービス,133-0051,江戸川区北小岩５－１－９,139.88614,35.74098,JGD2011,03-5612-1306
他の法人,地域活動・相談支援センターかさい,134-0083,江戸川区中葛西２－８－３,139.87244,35.67318,JGD2011,03-5679-6445
社福法人,「まある」相談支援事業所,134-0083,江戸川区中葛西１－３８－１８,139.87157,35.67128,JGD2011,03-6663-9870
他の法人,相談支援センター　ハート花きりん,134-0084,江戸川区東葛西７－２－５　エビス東葛西１０２,139.87317,35.6599,JGD2011,03-3869-1731
他の法人,相談支援センターくらふと,134-0091,江戸川区船堀１－４－１０　第２乙女屋マンション６０４,139.86429,35.68621,JGD2011,03-5679-6360
他の法人,そらら相談支援室,192-0011,八王子市滝山町２－３６２－１　ラディーナ滝山２１２,139.33612,35.69064,JGD2011,042-659-3006
他の法人,障害者相談支援センター　ぴあらいふ,192-0046,八王子市明神町４－１４－１　１階,139.34248,35.66002,JGD2011,042-646-4991
社福法人,マインドはちおうじ相談支援センター,192-0054,八王子市小門町７５－７　エイビット小門町ビル３階,139.32355,35.65935,JGD2011,042-620-8851
他の法人,障害者生活支援センター　サポート南多摩,192-0364,八王子市南大沢２－２５　フォレストモール南大沢２０８号室,139.38161,35.61315,JGD2011,042-682-5343
他の法人,地域生活支援センターあくせす,192-0904,八王子市子安町３－６－７　サザンエイトビル３Ｆ,139.33838,35.65165,JGD2011,042-646-7929
他の法人,ＰＡＳＴＥＬ,192-0911,八王子市打越町３４７－３　安井ビル１０２号,139.35555,35.64502,JGD2011,042-649-9368
営利法人,ウェーブ・フォー・ネット相談室,192-0914,八王子市片倉町３５９－４　パラグアスＦ１階１０２,139.33772,35.64277,JGD2011,042-632-5655
他の法人,わかこま相談支援室,193-0823,八王子市横川町５２１－１,139.30424,35.66472,JGD2011,042-621-2277
営利法人,サポートＮＡＲＳ,193-0823,八王子市横川町５３８－１　馬場レヂデンス２,139.30481,35.66631,JGD2011,042-623-7774
社福法人,八王子地域生活支援室　高尾,193-0834,八王子市東浅川町９１４－６　東浅川ビル１階,139.28595,35.64232,JGD2011,042-629-9088
他の法人,トマリ相談支援研究所,193-0844,八王子市高尾町１６４２　リバーサイド小林２０７,139.27832,35.64283,JGD2011,042-673-4379
医療法人,こまぎの相談支援センター,193-0844,八王子市高尾町１６１１－１　ライブトピア高尾２階２０３号,139.25798,35.63302,JGD2011,042-661-2150
営利法人,障害者自立支援センター「おあしす」,193-0944,八王子市館町３８１－１－１１０,139.29597,35.63596,JGD2011,042-629-4530
営利法人,相談支援事業所暖,190-0011,立川市高松町１－１７－２０　粕谷ビル２階,139.41808,35.70881,JGD2011,042-512-5868
他の法人,相談支援事業所　介護グループふれあい,190-0021,立川市羽衣町２－４１－１　羽衣第一ビル２階,139.42598,35.69376,JGD2011,042-595-6620
他の法人,イドコロ相談所,190-0021,立川市羽衣町３－１－１２　マンション青３０１,139.42361,35.69176,JGD2011,042-512-8159
他の法人,指定一般相談支援事業　自立生活センター・立川,190-0023,立川市柴崎町２－１０－１６　オオノビル２階,139.40877,35.6961,JGD2011,042-525-0879
社福法人,地域生活支援センターびーと,180-0001,武蔵野市吉祥寺北町４－１１－１６,139.56555,35.71499,JGD2011,0422-54-5171
他の法人,ライフサポートＭＥＷ,180-0006,武蔵野市中町３－４－９　ディアハイム武蔵野１階,139.56412,35.71168,JGD2011,0422-50-1355
社福法人,三鷹市障がい者自立支援センターゆー・あい,181-0012,三鷹市上連雀４－１－８,139.55896,35.69746,JGD2011,0422-43-9047
社福法人,ひまわり,181-0013,三鷹市下連雀４－１５－２　ホワイトマンション１０３,139.56152,35.69614,JGD2011,0422-24-7290
社福法人,野の花,181-0014,三鷹市野崎２－６ー４２,139.54785,35.68307,JGD2011,0422-30-8800
医療法人,長谷川病院一般相談支援事業所,181-0016,三鷹市深大寺２－３０－１７－２０１,139.54089,35.68616,JGD2011,0422-30-5376
社福法人,相談支援事業所　くらやしき,198-0024,青梅市新町１－８－２,139.29781,35.78582,JGD2011,0428-78-2722
社福法人,花の里,198-0052,青梅市長淵５－１０８０－２,139.2606,35.77073,JGD2011,0428-25-1641
医療法人,多機能型支援施設　ほたるの里,198-0052,青梅市長淵５－１０８６,139.26384,35.77064,JGD2011,0428-25-1200
区市町村,府中市立心身障害者福祉センター地域生活支援センターみ～な,183-0026,府中市南町５－３８,139.46718,35.65549,JGD2011,042-360-1313
営利法人,相談支援センター　みさきのいえ,183-0034,府中市住吉町２－１５－９　アローヒルズ府中２０３,139.4581,35.65877,JGD2011,042-368-7155
社福法人,地域生活支援センタープラザ,183-0045,府中市美好町１－７－２　第一市川マンション２０２,139.47237,35.67299,JGD2011,042-358-2288
他の法人,エンパワメントふちゅう,183-0055,府中市府中町２－１０－１１　清田第二ビル１階,139.4821,35.67421,JGD2011,042-334-7511
社福法人,地域生活支援センターあけぼの,183-0056,府中市寿町３－９－１１　山上ビル１階,139.47357,35.67643,JGD2011,042-358-1085
社福法人,昭島市障害者相談支援センター,196-0015,昭島市昭和町４－７－１　昭島市保健福祉センター内,139.36354,35.71101,JGD2011,042-544-5033
社福法人,虹のセンター２５,196-0022,昭島市中神町１１７６－１９－１０１,139.37595,35.7098,JGD2011,042-549-7733
社福法人,地域生活支援センター希望ヶ丘,182-0005,調布市東つつじケ丘２－２９－１,139.57703,35.65601,JGD2011,042-443-9232
社福法人,ちょうふだぞう,182-0024,調布市布田２－２９－１,139.54776,35.65239,JGD2011,042-487-4655
その他,社会福祉法人調布市社会福祉協議会 相談支援事業所ドルチェ,182-0026,調布市小島町２－４７－１,139.54263,35.65127,JGD2011,042-481-7693
他の法人,ＣＩＬちょうふ,182-0026,調布市小島町２－２１－５　１階,139.5388,35.65105,JGD2011,042-446-0683
他の法人,障害者生活支援センターまちだや,194-0013,町田市原町田２－２２－２６　プリモ・レガーロ町田１Ｆ,139.45398,35.53925,JGD2011,042-724-8616
社福法人,町田相談支援センター・ビギン,194-0013,町田市原町田５－４－１９,139.44977,35.54497,JGD2011,042-785-4515
営利法人,セレリアンス・サポート町田,194-0022,町田市森野四丁目１５番１２号　寺田ビル森野Ａ－２１２号室,139.43477,35.55596,JGD2011,042-851-8800
社福法人,ＡＴＯＭ相談支援事業,195-0053,町田市能ヶ谷３－２－１　鶴川地域コミュニティ１階,139.48978,35.58489,JGD2011,042-708-8899
区市町村,小金井市障害者地域自立生活支援センター,184-0003,小金井市緑町４－１７－１０,139.51736,35.70864,JGD2011,042-381-8411
他の法人,小金井市精神障害者地域生活支援センターそら,184-0004,小金井市本町２－２０－３０,139.50815,35.7047,JGD2011,042-381-6922
他の法人,ＮＰＯ法人Ｐａｓｓｏ　ａ　ｐａｓｓｏ,184-0013,小金井市前原町３－４１－２８,139.505,35.69864,JGD2011,042-385-7401
他の法人,障がい者相談支援センター　ぴありす,187-0003,小平市花小金井南町１－１８－４５－１０－１Ｆ,139.51126,35.72493,JGD2011,042-461-7001
その他,小平市立あおぞら福祉センター,187-0011,小平市鈴木町１－４７２,139.49841,35.72109,JGD2011,042-326-4980
社福法人,地域生活支援センターあさやけ,187-0031,小平市小川東町４－２－１　小平元気村おがわ東１階,139.47476,35.74061,JGD2011,042-345-2077
社福法人,地域生活支援センター澄水,187-0032,小平市小川町１－４８５,139.44067,35.72841,JGD2011,042-346-7412
その他,小平市立障害者福祉センター,187-0035,小平市小川西町５－２５－１５,139.45882,35.73611,JGD2011,042-343-4976
他の法人,なんでも相談いるおーる,187-0042,小平市仲町２６９－１,139.49104,35.73172,JGD2011,042-308-3732
その他,小平市障がい者地域自立生活支援センター,187-0043,小平市学園東町１－１９－１３　福祉会館,139.47797,35.72678,JGD2011,042-341-6555
社福法人,地域生活支援センターゆうき,191-0031,日野市高幡８６４－１５,139.40913,35.66392,JGD2011,042-591-6321
他の法人,日野市障害者生活支援センター　ぴあ・たかはた,191-0031,日野市高幡２－９　ウィステリアガーデン１階,139.41141,35.66241,JGD2011,042-592-5454
社福法人,相談支援ステーション　ほたる,191-0034,日野市落川２４５－１,139.43015,35.66227,JGD2011,042-593-2431
社福法人,地域生活相談室おあしす,191-0042,日野市程久保８７２－１　多摩療護園内,139.41302,35.64948,JGD2011,042-591-4016
社福法人,地域生活支援センターふれあいの郷,189-0002,東村山市本町２－８－２　プライムビル２０７,139.46729,35.76345,JGD2011,042-397-6400
その他,東村山市障害者地域自立生活支援センター,189-0022,東村山市野口町１－２５－１５　東村山市地域福祉センター内,139.464,35.75862,JGD2011,042-394-1555
社福法人,地域活動支援センター虹,185-0003,国分寺市戸倉４－１４　福祉センター内,139.45554,35.70816,JGD2011,042-324-7475
社福法人,地域生活支援センタープラッツ,185-0021,国分寺市南町３－４－４,139.47887,35.69793,JGD2011,042-323-5637
社福法人,地域活動支援センターつばさ,185-0024,国分寺市泉町２－３－８,139.46869,35.69611,JGD2011,042-321-1212
社福法人,なびぃ,186-0003,国立市富士見台２－８－７　ラ・フォーレ国立Ⅲ１０１,139.44701,35.68445,JGD2011,042-571-3103
他の法人,指定相談支援事業所福祉サポートライン,186-0004,国立市中１－１８－３５　国立ヒルズ１０１,139.44275,35.69627,JGD2011,042-573-5939
社福法人,相談支援センター「みなも」,186-0011,国立市谷保６３１２,139.43053,35.68021,JGD2011,042-577-0035
その他,福生市障害者自立生活支援センターすてっぷ,197-0004,福生市南田園２－１３－１,139.33234,35.72799,JGD2011,042-539-3217
医療法人,精神障害者地域活動支援センターハッピーウイング,197-0021,福生市東町６－８　ＭＥビル３階,139.32768,35.74402,JGD2011,042-553-9888
他の法人,地域生活支援センターリヒト,201-0013,狛江市元和泉２－３５－１　あいとぴあセンター３階,139.56741,35.6334,JGD2011,03-3480-2236
社福法人,相談支援センターみずき,201-0014,狛江市東和泉１－３２－２１,139.5768,35.63037,JGD2011,03-5761-4796
他の法人,特定非営利活動法人自立生活センター東大和,207-0014,東大和市南街１－２２－６　シティコート南街１階,139.43205,35.74061,JGD2011,042-567-2622
その他,東大和市精神障害者地域生活支援センター,207-0015,東大和市中央３－９１２－３,139.42656,35.74623,JGD2011,042-564-0891
他の法人,はるもにあ,207-0015,東大和市中央２－１１０１－４３　中央コーポ,139.43036,35.74388,JGD2011,042-565-8981
社福法人,東大和市総合福祉センターは～とふる,207-0022,東大和市桜が丘２－５３－６,139.41815,35.73586,JGD2011,042-516-3981
社福法人,地域生活支援センターどんぐり,204-0004,清瀬市元町１－１３－２４,139.51814,35.7742,JGD2011,042-495-5110
区市町村,清瀬市社会福祉協議会相談支援事業所,204-0013,清瀬市上清戸１－１６－６２,139.52586,35.77559,JGD2011,042-495-5511
社福法人,清瀬療護園障害者相談支援センター,204-0023,清瀬市竹丘３－１－７２,139.50537,35.76749,JGD2011,042-321-8155
他の法人,自立生活センターグッドライフ,203-0014,東久留米市東本町１４－７　滝ビル１階,139.53519,35.7628,JGD2011,042-477-8384
社福法人,東久留米市地域生活支援センターめるくまーる,203-0052,東久留米市幸町３－６－２　アトモスビル１階,139.51981,35.75675,JGD2011,042-476-1335
医療法人,武蔵村山市精神障害者　地域活動支援センター　お伊勢の森,208-8502,武蔵村山市学園四丁目５－１　武蔵村山市民総合センター２Ｆ,139.40326,35.74613,JGD2011,042-567-7256
社福法人,社会福祉法人桜ヶ丘社会事業協会桜ヶ丘記念病院,206-0021,多摩市連光寺１－１－１,139.45787,35.64739,JGD2011,042-375-6311
営利法人,ベック多摩,206-0041,多摩市愛宕４－９－７　ハロッズプラザ１０６,139.42937,35.62897,JGD2011,042-311-0575
社福法人,精神障害者地域生活支援センターフィレ,197-0814,あきる野市二宮６７０－５　秋川健康会館１階,139.30292,35.72922,JGD2011,042-559-0368
他の法人,をとん,197-0827,あきる野市油平９８番地　第一中村ビル３０１号,139.28651,35.72517,JGD2011,042-532-0305
社福法人,西多摩地域生活相談室,197-0831,あきる野市下代継９４－６,139.28168,35.72675,JGD2011,090-9804-9239
他の法人,自立生活企画,188-0011,西東京市田無町５－６－２０　第２和光ビル２０２,139.53665,35.73223,JGD2011,042-462-5999
他の法人,プログレスケアセンター,188-0014,西東京市芝久保町１－２３－２４　第一五月コーポ１０１号,139.52242,35.7249,JGD2011,042-451-9551
区市町村,西東京市保谷障害者福祉センター,202-0015,西東京市保谷町１－６－２０,139.55544,35.73482,JGD2011,042-463-9861
その他,社会福祉法人瑞穂町社会福祉協議会,190-1211,西多摩郡瑞穂町石畑２００８,139.35938,35.77695,JGD2011,042-557-0165
他の法人,地域活動支援センター ひまわり,190-1221,西多摩郡瑞穂町箱根ケ崎８０６－１,139.34462,35.78111,JGD2011,042-557-5145
社福法人,ひのきのその,190-0213,西多摩郡檜原村５３５４－６,139.16281,35.72683,JGD2011,042-598-3113
