経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
他の法人,プラーナ新宿,160-0022,新宿区新宿２－９－２３　ＳＶＡＸビルＢ館２階・８階,139.7093,35.68982,JGD2011,03-6273-2633
他の法人,就労センター『風』,161-0032,新宿区中落合４－２３－２５,139.68259,35.71795,JGD2011,03-3952-6014
社福法人,就労センター「街」,161-0032,新宿区中落合１－６－２１,139.69057,35.71664,JGD2011,03-3952-9975
社福法人,みのり舎,161-0032,新宿区中落合３－２８－１４　第２アビタシオン１０２・２０４・２０５,139.68553,35.72229,JGD2011,03-5988-9791
他の法人,フレッシュスタート目白,161-0033,新宿区下落合４－２０－１６　ソレイユ目白１０３,139.69785,35.72135,JGD2011,03-6908-3663
他の法人,寒緋桜,161-0034,新宿区上落合３－３０－６　ヴェルデ落合４・５階,139.68237,35.71399,JGD2011,03-6908-6496
社福法人,西早稲田あした作業所,162-0051,新宿区西早稲田２－１６－１,139.71205,35.70996,JGD2011,03-5155-3340
区市町村,新宿区立新宿福祉作業所,162-0052,新宿区戸山１－２２－２,139.71744,35.70351,JGD2011,03-3232-3715
社福法人,新宿あした作業所,162-0052,新宿区戸山１－２２－２（区立障害者福祉センター内）,139.71744,35.70351,JGD2011,03-3232-3366
区市町村,新宿区立障害者福祉センター,162-0052,新宿区戸山１－２２－２,139.71744,35.70351,JGD2011,03-3232-3711
社福法人,シャロームみなみ風,162-0851,新宿区弁天町３２－６,139.7276,35.70423,JGD2011,03-5579-8412
他の法人,コンフィデンス早稲田,169-0051,新宿区西早稲田２－１８－２２,139.71118,35.71054,JGD2011,03-6233-9714
社福法人,新宿第二あした作業所,169-0051,新宿区西早稲田３－１１－６　コアハイム西早稲田１０１,139.71434,35.71055,JGD2011,03-5285-4837
区市町村,新宿区立高田馬場福祉作業所,169-0075,新宿区高田馬場４－１０－２,139.70285,35.71286,JGD2011,03-3367-2939
社福法人,オフィスクローバー,169-0075,新宿区高田馬場３－１８－２５　第１康洋ビル７階,139.69785,35.71444,JGD2011,03-3365-4177
他の法人,新宿西共同作業所・ラバンス,169-0075,新宿区高田馬場２－１４－５　ＫＭビル１階,139.70677,35.71298,JGD2011,03-6380-2351
他の法人,パイオニア,169-0075,新宿区高田馬場１－９－２３,139.70839,35.70997,JGD2011,03-3208-9001
区市町村,文京区立小石川福祉作業所,112-0002,文京区小石川３－３０－６,139.74905,35.71426,JGD2011,03-3811-1431
社福法人,工房わかぎり,112-0003,文京区春日２－１９－３,139.74449,35.71138,JGD2011,03-3812-3417
社福法人,ワークプレイスぶんぶん,112-0006,文京区小日向２－１６－１５,139.73488,35.71065,JGD2011,03-5940-2822
社福法人,アビーム,112-0011,文京区千石４－３７－４　ウイスタリア千石１Ｆ,139.74194,35.7276,JGD2011,03-3945-2195
区市町村,文京区立大塚福祉作業所,112-0012,文京区大塚４－５０－１,139.73082,35.72464,JGD2011,03-3946-5601
営利法人,ティ・リーフ,113-0021,文京区本駒込２－２７－１０　本駒込ＳＩビル３階,139.75034,35.73058,JGD2011,03-5319-1520
社福法人,ワークショップやまどり,113-0032,文京区弥生２－９－６,139.76443,35.71489,JGD2011,03-3812-3700
社福法人,銀杏企画Ⅱ,113-0033,文京区本郷３－１６－４　本郷天理ビル３階,139.76123,35.70531,JGD2011,03-5684-0999
社福法人,銀杏企画,113-0033,文京区本郷５－２５－８　香川ビル,139.7599,35.70974,JGD2011,03-5684-0991
社福法人,銀杏企画三丁目,113-0033,文京区本郷３－２９－６　カリテス佐々木２階,139.76207,35.70649,JGD2011,03-5684-1016
社福法人,ふる里学舎本郷,113-0033,文京区本郷２－２１－７,139.75932,35.70457,JGD2011,03-5803-2333
他の法人,耕房“輝”,110-0005,台東区上野７－６－１０　ＭＳＫビル４階,139.77867,35.7136,JGD2011,03-3842-7399
他の法人,たいとう福祉作業所,110-0011,台東区三ノ輪１－２７－１１　三ノ輪福祉センター８Ｆ,139.79225,35.72925,JGD2011,03-3871-0681
他の法人,たいとう第二福祉作業所,110-0014,台東区北上野２－３２－３,139.78552,35.71915,JGD2011,03-3843-5580
他の法人,かれん,110-0015,台東区東上野６－２５－５　東京佐藤ビル,139.78375,35.71524,JGD2011,03-5828-1970
他の法人,耕房“光”,110-0015,台東区東上野６－１８－１７　カーサ・ミナガワ２階,139.78471,35.71409,JGD2011,03-6231-7580
社福法人,すてっぷ　つばさ,110-0015,台東区東上野３－８－７　矢口ビル２階,139.78072,35.71049,JGD2011,03-6795-0142
他の法人,RECOVERY,110-0015,台東区東上野６－２１－２　サニーハイツ東上野３０１,139.78387,35.71483,JGD2011,03-6231-6624
営利法人,３Ｂ実用芸術研究所,110-0015,台東区東上野３－９－８,139.78015,35.71011,JGD2011,03-6806-0334
他の法人,たいとう第四福祉作業所,111-0024,台東区今戸２－１８－２,139.80327,35.72191,JGD2011,03-3872-8548
社福法人,おあしす,111-0024,台東区今戸１－１８－１６,139.80403,35.72019,JGD2011,03-6802-4719
他の法人,たいとう第三福祉作業所,111-0041,台東区元浅草３－９－７,139.78596,35.70728,JGD2011,03-5828-8713
他の法人,ラムダ,111-0042,台東区寿３－１９－２　シュロス浅草３０２号室,139.79135,35.7079,JGD2011,03-6802-7248
他の法人,こすもす浅草橋,111-0053,台東区浅草橋１－３４－１０　稲垣ビル６階,139.78442,35.69862,JGD2011,03-6795-1012
社福法人,ユニーク工芸,130-0003,墨田区横川２－３－７　知野ビル１０２,139.81279,35.70324,JGD2011,03-3624-8258
社福法人,空ゆけ未来工房,130-0003,墨田区横川４－１１－２,139.81535,35.70545,JGD2011,03-6658-4933
他の法人,カラコネオフィス,130-0011,墨田区石原３－３０－１０　御谷湯ビル２０１,139.80455,35.7016,JGD2011,03-6284-1787
社福法人,ユニークジョブサポート･ビー,130-0013,墨田区錦糸３－８－２　ＩＫ第５ビル３階・４階,139.8145,35.69867,JGD2011,03-5608-8904
医療法人,錦糸町就労支援センター　ひだまり工房,130-0013,墨田区錦糸３－１１－３　錦糸町北口第２ビル,139.81369,35.69915,JGD2011,03-5809-7301
区市町村,すみだふれあいセンター福祉作業所,130-0021,墨田区緑４－３５－６,139.8075,35.69579,JGD2011,03-5600-2001
他の法人,就労継続支援Ｂ事業所ソフラ,130-0021,墨田区緑１－１４－４,139.79968,35.6944,JGD2011,03-6659-6419
他の法人,すみだ花工房,131-0031,墨田区墨田２－１６－５,139.81712,35.73125,JGD2011,03-3619-3187
他の法人,ルーパス,131-0032,墨田区東向島３－３７－８,139.81702,35.72187,JGD2011,03-3616-6479
他の法人,こらーるカフェ,131-0033,墨田区向島３－２－１　向島パークハイツ１階,139.80711,35.71353,JGD2011,03-5819-3651
社福法人,向島七福福祉作業所,131-0033,墨田区向島３－３０－７,139.80984,35.71316,JGD2011,03-3625-1556
区市町村,墨田福祉作業所,131-0041,墨田区八広１－１６－２２,139.82207,35.71976,JGD2011,03-3613-8735
他の法人,隅田作業所,131-0041,墨田区八広３－１－５　ライフスペース９０　１０１号,139.82495,35.71876,JGD2011,03-3616-3465
社福法人,墨田さんさんプラザ,131-0043,墨田区立花四丁目３０番１６号,139.83484,35.70974,JGD2011,03-5631-3305
他の法人,はあとぴーす,131-0044,墨田区文花２－２－９　海老原ビル１階,139.82617,35.70723,JGD2011,03-6657-4438
区市町村,江東区第二あすなろ作業所,135-0001,江東区毛利２－１－１４,139.81694,35.68953,JGD2011,03-3846-6508
社福法人,ピアワーク・オアシス,135-0001,江東区毛利１－７－３　田中ビル,139.81264,35.69074,JGD2011,03-5638-1775
営利法人,Ｒａｉｎｂｏｗ　Ｈｏｍｅ,135-0003,江東区猿江１－３－３　石上ビル１Ｆ,139.81145,35.6857,JGD2011,03-6666-9690
区市町村,江東区障害者福祉センター,135-0011,江東区扇橋３－７－２,139.8201,35.68285,JGD2011,03-3699-0316
社福法人,ふれあい工房,135-0015,江東区千石２－２－５,139.81573,35.67802,JGD2011,03-6458-7085
社福法人,オアシス・プラス,135-0021,江東区白河４－７－２,139.80928,35.68316,JGD2011,03-5646-7811
他の法人,新生したまち作業所,135-0023,江東区平野３－７－４　オーク・ミューラル２０１,139.80568,35.67806,JGD2011,03-3641-7303
社福法人,ワークセンターつばさ,135-0031,江東区佐賀２－７－４,139.79149,35.67961,JGD2011,03-5621-4503
他の法人,らふぁえる,135-0042,江東区木場６－１０－６　ＴＫＹビル５階,139.806,35.66827,JGD2011,03-5639-5502
営利法人,Ｓｍｉｌｅ　Ｌａｂ　Ｔｏｋｙｏ,135-0042,江東区木場１－４－５　イマス木場ビル５Ｂ,139.80399,35.66864,JGD2011,03-6666-5817
社福法人,若竹作業所,135-0043,江東区塩浜２－５－２０　塩浜福祉プラザ内４階,139.80518,35.66123,JGD2011,03-3648-1053
社福法人,自立センターあけぼの,135-0051,江東区枝川２－３－７　アライビル１・２Ｆ,139.80547,35.65914,JGD2011,03-5633-7804
他の法人,ソフトパワー,136-0071,江東区亀戸４－３８－４－１０１,139.82848,35.70283,JGD2011,03-3684-2360
他の法人,サンフラワーワーキング,136-0072,江東区大島１－６－９,139.82214,35.68856,JGD2011,03-3685-0186
他の法人,すこやか作業所,136-0072,江東区大島４－１－６－１４６,139.82912,35.68723,JGD2011,03-3638-3762
社福法人,のびのび作業所デリバリー,136-0072,江東区大島６－１－４－１０９、１１０、１１１,139.83229,35.69347,JGD2011,03-5628-6617
社福法人,のびのび作業所フーズ,136-0072,江東区大島８－３２－１３　マヒコビル１・２階,139.84183,35.68978,JGD2011,03-6807-0900
他の法人,コミュニティワークＴ＆Ｋ,136-0072,江東区大島８－３２－９,139.84183,35.68978,JGD2011,03-6802-9228
社福法人,ゆめ工房,136-0073,江東区北砂１－１４－４　１階,139.82422,35.67921,JGD2011,03-3644-6773
社福法人,ゆめ工房北砂,136-0073,江東区北砂１－１４－４　２階,139.82422,35.67921,JGD2011,03-3644-0654
社福法人,のびのび作業所エコ,136-0073,江東区北砂３－２２－２０,139.83095,35.68094,JGD2011,03-5665-8180
社福法人,ネットワークゆめ工房,136-0073,江東区北砂１－１７－４　稲見北砂ハイツ１階,139.82475,35.68134,JGD2011,03-3644-1645
社福法人,ドリームクラブハウス,136-0073,江東区北砂１－１５－８,139.82512,35.67831,JGD2011,03-3644-6858
区市町村,江東区あすなろ作業所,136-0074,江東区東砂３－３０－６　東砂福祉プラザ２・３階,139.84464,35.68102,JGD2011,03-3646-6720
社福法人,ドリーム第２,136-0074,江東区東砂６－２０－７,139.8409,35.67519,JGD2011,03-3644-0683
社福法人,高齢障害者通所施設さくら分室,136-0074,江東区東砂６－２－１４,139.84166,35.66997,JGD2011,03-6458-7840
社福法人,第三あすなろ作業所,136-0076,江東区南砂４－３－１０,139.8271,35.67444,JGD2011,03-5606-8531
社福法人,のびのび共同作業所大河,136-0076,江東区南砂３－５－１４　ＯＫ．ＢＬＤＧⅡ４・５階,139.82784,35.673,JGD2011,03-5634-8558
社福法人,コム・オアシス,136-0076,江東区南砂３－４－６,139.82681,35.67319,JGD2011,03-5690-5959
社福法人,かもめ第一工房,140-0001,品川区北品川３－７－２１　北品川つばさの家４階,139.7392,35.61713,JGD2011,03-3458-4307
社福法人,第二しいのき学園,140-0002,品川区東品川３－１－８,139.7466,35.61698,JGD2011,03-5479-2941
社福法人,さつき,140-0003,品川区八潮５－３－８,139.75186,35.60259,JGD2011,03-3790-0593
区市町村,品川区立西大井福祉園,140-0015,品川区西大井５－７－２４,139.71703,35.59929,JGD2011,03-3777-0294
社福法人,かもめ第二工房,140-0015,品川区西大井１－８－７,139.72299,35.60084,JGD2011,03-6429-8401
社福法人,ふれあい作業所西大井,140-0015,品川区西大井４－９－９,139.72026,35.5965,JGD2011,03-3775-4585
区市町村,就労継続支援B型　ガーデン,141-0021,品川区上大崎１－２０－１２,139.72176,35.63323,JGD2011,03-5793-7072
社福法人,かもめ第三工房,141-0031,品川区西五反田２－２４－２,139.71922,35.62586,JGD2011,03-5435-1808
社福法人,トット文化館,141-0033,品川区西品川２－２－１６,139.7269,35.61453,JGD2011,03-3779-0233
その他,ふれあい作業所西品川,141-0033,品川区西品川１－２８－３,139.72659,35.60954,JGD2011,03-3787-5750
社福法人,ブレス（学芸大学）,152-0001,目黒区中央町２－３２－５　スマイルプラザ中央町,139.68837,35.63137,JGD2011,03-5721-6516
他の法人,ＳＵＮ,152-0001,目黒区中央町２－３２－５　スマイルプラザ中央町４Ｆ,139.68837,35.63137,JGD2011,03-3712-0653
他の法人,フードコミュニティ目黒,152-0001,目黒区中央町２－３２－５　スマイルプラザ中央町,139.68837,35.63137,JGD2011,03-5768-0707
他の法人,おおぞら,152-0001,目黒区中央町２－３２－１３,139.68837,35.63137,JGD2011,03-3710-2531
社福法人,あかねの会目黒就労支援室,152-0001,目黒区中央町２－３２－１４,139.68837,35.63137,JGD2011,03-3794-5194
社福法人,しいの実社　学芸大学スマイルプラザ,152-0001,目黒区中央町２－３２－５,139.68837,35.63137,JGD2011,03-5794-9055
社福法人,しいの実社,152-0002,目黒区目黒本町２－７－３,139.69319,35.62667,JGD2011,03-5724-7153
区市町村,目黒区立目黒本町福祉工房,152-0002,目黒区目黒本町１－１４－２４,139.69533,35.6283,JGD2011,03-3714-0514
他の法人,目黒区高次脳機能障害者支援センターいきいき＊せかんど,152-0003,目黒区碑文谷５－１２－１,139.6824,35.62359,JGD2011,03-3713-8207
他の法人,ワークイン翔,152-0032,目黒区平町２－２０－８　マイコート１０１,139.67917,35.61333,JGD2011,03-3723-0571
区市町村,目黒区立かみよん工房,153-0051,目黒区上目黒４－１－２６,139.69232,35.64202,JGD2011,03-3760-3059
区市町村,目黒区立下目黒福祉工房,153-0064,目黒区下目黒３－１０－２,139.71127,35.62822,JGD2011,03-3793-2590
社福法人,のぞみ園,143-0013,大田区大森南２－１５－１,139.74062,35.56245,JGD2011,03-5737-0777
区市町村,大田区立大田福祉作業所,143-0015,大田区大森西三丁目３番９号,139.73035,35.57467,JGD2011,03-3763-8739
社福法人,社会福祉法人東京コロニー　東京都大田福祉工場,143-0015,大田区大森西２－２２－２６,139.72888,35.57563,JGD2011,03-3762-7611
他の法人,P.プロゼクト,143-0016,大田区大森北３－５－３,139.73325,35.5842,JGD2011,03-5493-2533
他の法人,おれんじルーム,143-0024,大田区中央４－２０－３,139.71768,35.58083,JGD2011,03-6303-7150
社福法人,まごめ園,143-0027,大田区中馬込２－３－１９,139.70718,35.59533,JGD2011,03-3773-0777
区市町村,大田区立うめのき園,144-0033,大田区東糀谷五丁目１７番１４－１０１号,139.74431,35.55759,JGD2011,03-3743-3811
区市町村,大田区立しいのき園,144-0034,大田区西糀谷二丁目９番１２号,139.7375,35.56046,JGD2011,03-5705-0033
他の法人,糀谷作業所,144-0044,大田区本羽田１－１８－２１,139.72626,35.54726,JGD2011,03-3742-3460
区市町村,大田区立くすのき園,144-0045,大田区南六郷三丁目２３番９号,139.71411,35.54141,JGD2011,03-3732-0141
区市町村,大田区立はぎなか園,144-0047,大田区萩中２－１２－２３,139.73288,35.55085,JGD2011,03-5705-6531
社福法人,さわやかワークセンター,144-0051,大田区西蒲田３－１９－１,139.70732,35.56783,JGD2011,03-5747-5670
他の法人,樹林館,144-0051,大田区西蒲田３－１９－１,139.70732,35.56783,JGD2011,03-3752-5959
社福法人,とちの実作業所,144-0051,大田区西蒲田１－１９－１９－１０２,139.71153,35.57039,JGD2011,03-5700-4533
他の法人,ステップ夢,144-0051,大田区西蒲田６－２４－５,139.71066,35.56509,JGD2011,03-3733-3490
社福法人,ＥＮＴＡＳ,144-0051,大田区西蒲田４－４－１－２階,139.71672,35.56979,JGD2011,03-3751-7650
他の法人,アルファ企画,144-0051,大田区西蒲田２－９－１６,139.70834,35.56978,JGD2011,03-3752-2274
社福法人,クッキングワーク街の駅,144-0051,大田区西蒲田３－１８－９,139.70831,35.56794,JGD2011,03-6410-6400
他の法人,喫茶　色えんぴつ,144-0054,大田区新蒲田２－１－１０－１０１,139.7083,35.55979,JGD2011,03-3734-3690
営利法人,サンアップ,144-0055,大田区仲六郷４－６－１５,139.70967,35.54439,JGD2011,03-3737-0895
区市町村,大田区立志茂田福祉センター,144-0056,大田区西六郷１－４－２７,139.71115,35.55517,JGD2011,03-3734-0763
社福法人,みどり作業所,144-0056,大田区西六郷２－５－８,139.70816,35.55138,JGD2011,03-3730-9882
区市町村,大田区立上池台障害者福祉会館　身体障害者作業室　,145-0064,大田区上池台５－５－１,139.70192,35.59555,JGD2011,03-3728-3111
社福法人,はすの実作業所,146-0082,大田区池上５－２８－１－１０８,139.71191,35.57342,JGD2011,03-3752-2150
他の法人,みどりの歩み,146-0085,大田区久が原２－１４－９,139.69734,35.58263,JGD2011,03-6410-4530
社福法人,Beステーション凛,146-0092,大田区下丸子４－６－１６,139.68294,35.57127,JGD2011,03-6715-2675
他の法人,沙らの木,146-0094,大田区東矢口３－１５－２３・２４,139.70537,35.56277,JGD2011,03-3737-9190
他の法人,さぽーと・さら,146-0094,大田区東矢口３－１２－１８　ベルス馬場１０１・１０２,139.70364,35.56259,JGD2011,03-3737-9190
区市町村,世田谷区立下馬福祉工房,154-0002,世田谷区下馬２－２０－１４,139.67532,35.64054,JGD2011,03-5712-5103
区市町村,世田谷区立世田谷福祉作業所,154-0002,世田谷区下馬二丁目３１番３４－１０１号,139.67862,35.64265,JGD2011,03-3414-0141
社福法人,Ｎａｖｉｏけやき,154-0011,世田谷区上馬３－７－８　トーヨーＢＬＤＧ,139.66368,35.63454,JGD2011,03-3421-8701
他の法人,アディクションリハビリテーションセンター　すとぉりぃ,154-0015,世田谷区桜新町１－８－６,139.64432,35.62989,JGD2011,03-3704-7344
社福法人,上町工房,154-0017,世田谷区世田谷３－９－１,139.64842,35.64522,JGD2011,03-3706-0645
他の法人,ハーモニー,154-0017,世田谷区世田谷３－４－１　アップビル２階,139.64632,35.64392,JGD2011,03-5477-3225
他の法人,Ｃｒａｚｙ　Ｃａｔｓ,154-0022,世田谷区梅丘１－２１－９　大津ビル２階,139.65375,35.6554,JGD2011,03-3420-1982
社福法人,Factory藍,154-0023,世田谷区若林５－２－９,139.66029,35.64697,JGD2011,03-3412-1366
他の法人,リバティ世田谷,154-0024,世田谷区三軒茶屋１－２９－１３　ハイツ三軒茶屋２Ｃ－２,139.66978,35.64107,JGD2011,03-6450-9970
他の法人,エイト,155-0031,世田谷区北沢５－２３－２７,139.67067,35.66982,JGD2011,03-3469-5055
社福法人,大原福祉作業所,156-0041,世田谷区大原１－２３－１３,139.66162,35.66737,JGD2011,03-3460-9019
他の法人,白梅福祉作業所,156-0043,世田谷区松原６－４３－１７,139.64902,35.65631,JGD2011,03-3325-5407
区市町村,世田谷区立梅丘ウッドペッカーの森,156-0043,世田谷区松原６－４－１,139.65251,35.65794,JGD2011,03-3327-5917
他の法人,のぞみ園,156-0044,世田谷区赤堤４－２７－１４,139.64052,35.6635,JGD2011,03-5376-7761
社福法人,まごの手便,156-0044,世田谷区赤堤４－３６－１９　関口ビル１階,139.64084,35.66462,JGD2011,03-3324-2391
他の法人,風の谷プロジェクト,156-0055,世田谷区船橋２－２１－２８,139.61861,35.65239,JGD2011,03-3484-0395
他の法人,喫茶室パイン作業所Ⅰ,156-0057,世田谷区上北沢２－１－１　都立松沢病院内,139.61752,35.66922,JGD2011,03-3303-1237
他の法人,ワークランド・フレンドパーク,156-0057,世田谷区上北沢３－１７－７,139.62518,35.6683,JGD2011,03-5374-3895
区市町村,世田谷区立烏山福祉作業所,157-0061,世田谷区北烏山１－２９－１５,139.60812,35.67504,JGD2011,03-3326-8001
社福法人,ちぐさ企画,157-0061,世田谷区北烏山１－８－２　ＮＴＫビル２階,139.6068,35.67361,JGD2011,03-3305-1830
他の法人,さくら美術工房,157-0063,世田谷区粕谷４－２０－１８　幸栄マンション２１１,139.6026,35.66512,JGD2011,03-6317-3014
他の法人,すまいるフラワー,157-0064,世田谷区給田４－１０－１９　ストレンジャーイズミ１階,139.59097,35.66872,JGD2011,03-6909-0355
社福法人,喜多見夢工房,157-0067,世田谷区喜多見９－１－３５,139.5885,35.63726,JGD2011,03-3430-5400
営利法人,就労継続支援B型事業所　TODAY喜多見,157-0067,世田谷区喜多見９－３－１３,139.58727,35.63742,JGD2011,03-5761-9417
他の法人,にゃんこの館,157-0071,世田谷区千歳台３－３－１６　ＨＮ千歳台ビル４階,139.61642,35.65029,JGD2011,03-3482-5052
医療法人,nicoRe,157-0072,世田谷区祖師谷３－４－８　石田ビル１階,139.60643,35.64288,JGD2011,03-3482-8967
社福法人,わくわく祖師谷,157-0072,世田谷区祖師谷３－２１－１,139.60466,35.64297,JGD2011,03-3789-8727
社福法人,世田谷更生館,157-0073,世田谷区砧３－９－１１,139.61348,35.63593,JGD2011,03-3416-7131
区市町村,世田谷区立砧工房,157-0073,世田谷区砧４－３２－１４,139.61473,35.64331,JGD2011,03-3417-4604
社福法人,泉の家,157-0076,世田谷区岡本２－３３－２３,139.61679,35.62389,JGD2011,03-3417-3451
区市町村,世田谷区立岡本福祉作業ホーム,157-0076,世田谷区岡本２－３３－２４,139.61679,35.62389,JGD2011,03-3415-3366
社福法人,社会就労センターパイ焼き窯,158-0082,世田谷区等々力２－３６－１３,139.64694,35.60558,JGD2011,03-3702-0459
社福法人,パイ焼き茶房,158-0082,世田谷区等々力２－１８－１,139.65268,35.60634,JGD2011,03-3703-0415
他の法人,One-Self（ワン－セルフ）,158-0083,世田谷区奥沢８－１－３　奥沢レックス１Ｆ,139.65979,35.60225,JGD2011,03-6809-7735
他の法人,アン,158-0091,世田谷区中町２－２１－１２　なかまちNPOセンター２０５,139.64481,35.61373,JGD2011,03-3702-5523
区市町村,世田谷区立玉川福祉作業所,158-0094,世田谷区玉川１－７－２,139.62798,35.61044,JGD2011,03-3707-0498
社福法人,用賀福祉作業所,158-0097,世田谷区用賀４－７－１,139.63055,35.62693,JGD2011,03-3708-5061
社福法人,就労支援施設ゆに（ＵＮＩ）,158-0098,世田谷区上用賀５－１４－１－１　２階,139.62601,35.63015,JGD2011,03-5797-3560
他の法人,ワークセンターひかわ,150-0011,渋谷区東３－１４－１３　渋谷区ひがし健康プラザ２階,139.70973,35.65112,JGD2011,03-6712-5120
他の法人,福祉作業所おかし屋ぱれっと,150-0011,渋谷区東２－１１－４,139.71085,35.65243,JGD2011,03-3409-3774
社福法人,広尾ジョイワーク,150-0012,渋谷区広尾４－２－１２,139.72168,35.65439,JGD2011,03-6427-6576
区市町村,渋谷区立新橋作業所,150-0013,渋谷区恵比寿１－２７－１０　新橋区民複合施設４Ｆ,139.71635,35.64766,JGD2011,03-3444-5541
他の法人,すみれ工房,150-0022,渋谷区恵比寿南２－２３－１２　エビスサニービル２階,139.70956,35.64208,JGD2011,03-6303-2441
他の法人,ストライドクラブ,150-0046,渋谷区松濤１－２９－１０　渋谷Ｅ－ＢＬＤ２０１,139.69507,35.66016,JGD2011,03-6455-3628
他の法人,みどり工房,151-0051,渋谷区千駄ヶ谷５－３－１２,139.70811,35.6823,JGD2011,03-3356-9517
他の法人,むつみ工房,151-0072,渋谷区幡ケ谷３－４４－１０　フォレスト３,139.67235,35.67991,JGD2011,03-5351-9395
他の法人,ＴＥＮ　ＴＯＮＥ,151-0072,渋谷区幡ヶ谷１－８－４　リッツパラシオ１００１・１００２,139.67259,35.67566,JGD2011,03-6276-6181
他の法人,福祉作業所ふれんど,151-0073,渋谷区笹塚２－３３－９,139.66411,35.67509,JGD2011,03-3299-2694
他の法人,ワークささはた,151-0073,渋谷区笹塚３－４８－１－１号棟,139.66818,35.67994,JGD2011,03-3376-8924
他の法人,ワーク＆ショップ＜はらっぱ＞,151-0073,渋谷区笹塚３－９－３　京王ビル２０３,139.66928,35.67737,JGD2011,03-3372-6351
他の法人,ホープ就労支援センター渋谷,151-0073,渋谷区笹塚２－１６－１,139.66618,35.67429,JGD2011,03-6300-5240
社福法人,杉の子　城山,164-0001,中野区中野１－６－１２,139.67828,35.70195,JGD2011,03-3364-5381
社福法人,コロニーもみじやま支援センター,164-0001,中野区中野５－３－３２,139.67239,35.70823,JGD2011,03-5318-9952
他の法人,あとりえふぁんとむ,164-0003,中野区東中野４－２－２　篠木ビル２階・３階,139.68544,35.70688,JGD2011,03-3360-3517
社福法人,中野区仲町就労支援事業所,164-0011,中野区中央３－１９－１,139.67422,35.70008,JGD2011,03-3360-1571
他の法人,ワークセンター翔和,164-0011,中野区中央１－３２－６　フォーチュンハウス２０１,139.68446,35.69791,JGD2011,03-5386-0474
他の法人,中野区東部福祉作業センター,164-0011,中野区中央２－２２－１０,139.681,35.70078,JGD2011,03-3366-2940
他の法人,カサ　デ　オリーバ,164-0012,中野区本町５－３５－９,139.66837,35.69371,JGD2011,03-5340-8898
社福法人,ふらっとなかの,164-0012,中野区本町５－４０－１４,139.66837,35.69168,JGD2011,03-6805-6580
社福法人,杉の子　弥生,164-0013,中野区弥生町２－５－１１,139.6765,35.69173,JGD2011,03-3373-1236
