区市町村名,市町制   施行日,郵便番号,所在地,電話番号,面積（km2）,町丁目数,住民基本台帳記載数・世帯数（世帯）,住民基本台帳記載数・人口・計（人）,住民基本台帳記載数・人口・男（人）,住民基本台帳記載数・人口・女（人）,住民基本台帳記載数・人口・うち外国人人口（人）,住民基本台帳記載数・人口・H27.1.1（人）,住民基本台帳記載数・人口・対前年増減（人）,区分
羽村市,H 3.11. 1,205-8601,羽村市緑ヶ丘5-2-1,042-555-1111,9.9,51,25328,56355,28611,27744,1150,56604,△ 249,羽
あきる野市,H 7. 9. 1,197-0814,あきる野市二宮350,042-558-1111,73.47,56,34570,81483,40682,40801,699,81697,△ 214,あ
西東京市,H13. 1.21,188-8666,西東京市南町5-6-13,042-464-1311,15.75,114,93493,198974,97238,101736,3478,198267,707,西
瑞穂町,S15.11.10,190-1292,西多摩郡瑞穂町大字箱根ヶ崎2335,042-557-0501,16.85,23,14610,33905,17251,16654,637,33808,97,瑞
日の出町,S49. 6. 1,190-0192,　　 〃　　日の出町大字平井2780,042-597-0511,28.07,27,7351,17020,8344,8676,80,17062,△ 42,日
檜原村,-,190-0212,　　 〃　　檜原村467-1,042-598-1011,105.41,32,1187,2343,1166,1177,14,2379,△ 36,檜
奥多摩町,S30. 4. 1,198-0212,　　 〃　　奥多摩町氷川215-6,0428-83-2111,225.53,21,2707,5378,2661,2717,26,5511,△ 133,奥
大島町,S30. 4. 1,100-0101,大島町元町1-1-14,04992-2-1443,90.76,7,4798,8178,4186,3992,75,8253,△ 75,大
利島村,-,100-0301,利島村248,04992-9-0011,4.12,1,170,314,170,144,1,307,7,利
新島村,-,100-0402,新島村本村1-1-1,04992-5-0240,27.54,3,1362,2818,1355,1463,9,2888,△ 70,新
神津島村,-,100-0601,神津島村904,04992-8-0011,18.58,1,885,1927,987,940,2,1938,△ 11,神
三宅村,-,100-1212,三宅村阿古497（村役場臨時庁舎）,04994-5-0981,55.27,5,1699,2619,1409,1210,49,2714,△ 95,三
御蔵島村,-,100-1301,御蔵島村字入かねが沢,04994-8-2121,20.54,1,170,314,175,139,1,298,16,御
八丈町,S30. 4. 1,100-1498,八丈町大賀郷2551-2,04996-2-1121,72.23,5,4447,7834,3872,3962,99,7921,△ 87,八
青ヶ島村,-,100-1701,青ヶ島村無番地,04996-9-0111,5.96,1,109,166,96,70,1,167,△ 1,青
小笠原村,-,100-2101,小笠原村父島字西町,04998-2-3111,104.35,10,1456,2587,1438,1149,20,2553,34,小
市計,,,,,784.21,"2,068",1933673,4124234,2042658,2081576,69386,4109189,15045,
町村計,,,,,780.02,137,40951,85403,43110,42293,1014,85799,△ 396,
市町村計,,,,,"1,564.23","2,205",1974624,4209637,2085768,2123869,70400,4194988,14649,
