区市町村名,区長・氏名,区長・任期,副区長・氏名,副区長・任期,※収入役・氏名,※収入役・任期,教育長・氏名,教育長・任期,給料月額（条例本則）・区長（円）,給料月額（条例本則）・副区長（円）,給料月額（条例本則）・収入役（円）,給料月額（条例本則）・教育長（円）,給料月額（条例本則）・適用年月日,給料月額（減額措置適用後の額）・区長（円）,給料月額（減額措置適用後の額）・副区長（円）,給料月額（減額措置適用後の額）・収入役（円）,給料月額（減額措置適用後の額）・教育長（円）,給料月額（減額措置適用後の額）・適用年月日,区分
江戸川区,多田　正見,H31.4.26,原野　哲也,H30.3.22,－,－,白井　正三郎,H30.3.31,1218000,879000,－,742000,H8.4.1（副区長・教育長はH19.1.1),1096200,879000,－,742000,区長H13.1.1,江
八王子市,,,,,,,,,1110000,940000,,810000,,1110000,940000,,810000,,八
立川市,,,,,,,,,1041000,901000,,799000,,1041000,901000,,799000,,立
武蔵野市,,,,,,,,,1030000,865000,,810000,,1030000,865000,,810000,,武
三鷹市,,,,,,,,,1030000,870000,,810000,,1030000,870000,,810000,,三
青梅市,,,,,,,,,1010000,880000,,805000,,1010000,880000,,805000,,青
府中市,,,,,,,,,1080000,930000,,830000,,1080000,930000,,830000,,府
昭島市,,,,,,,,,1000000,880000,,810000,,1000000,880000,,810000,,昭
調布市,,,,,,,,,1035000,895000,,830000,,1035000,895000,,830000,,調
町田市,,,,,,,,,1060000,900000,,820000,,1060000,900000,,820000,,町
小金井市,,,,,,,,,965000,825000,,765000,,868500,825000,,765000,,金
小平市,,,,,,,,,1050000,900000,,810000,,1050000,900000,,810000,,平
日野市,,,,,,,,,990000,845000,,785000,,990000,845000,,785000,,日
東村山市,,,,,,,,,943000,801000,,740000,,943000,801000,,740000,,東
国分寺市,,,,,,,,,900000,770000,,710000,,900000,770000,,710000,,分
国立市,,,,,,,,,950000,815000,,750000,,807500,757950,,720000,,国
福生市,,,,,,,,,858000,737000,,692000,,858000,737000,,692000,,福
狛江市,,,,,,,,,898000,774000,,721000,,898000,774000,,721000,,狛
東大和市,,,,,,,,,895000,766000,,710000,,895000,766000,,710000,,大
清瀬市,,,,,,,,,963000,829000,,761000,,963000,829000,,761000,,清
東久留米市,,,,,,,,,960000,840000,,770000,,777600,798000,,770000,,久
武蔵村山市,,,,,,,,,853000,740000,,691000,,853000,740000,,691000,,村
多摩市,,,,,,,,,949500,829800,,788400,,949500,829800,,788400,,多
稲城市,,,,,,,,,854000,740000,,695000,,854000,740000,,695000,,稲
羽村市,,,,,,,,,885000,765000,,715000,,885000,765000,,715000,,羽
あきる野市,,,,,,,,,860000,740000,,695000,,860000,740000,,695000,,あ
西東京市,,,,,,,,,990000,877000,,778000,,990000,877000,,778000,,西
瑞穂町,,,,,,,,,763000,666000,,637000,,763000,666000,,637000,,瑞
日の出町,,,,,,,,,790000,690000,,660000,,711000,690000,,660000,,日
檜原村,,,,,,,,,677000,595000,,568000,,677000,595000,,568000,,檜
奥多摩町,,,,,,,,,714000,627000,,598000,,714000,627000,,598000,,奥
大島町,,,,,,,,,800000,690000,,640000,,800000,690000,,640000,,大
利島村,,,,,,,,,620000,535000,,515000,,620000,535000,,515000,,利
新島村,,,,,,,,,650000,580000,,560000,,650000,580000,,560000,,新
神津島村,,,,,,,,,650000,570000,,540000,,650000,570000,,540000,,神
三宅村,,,,,,,,,710000,630000,,590000,,710000,630000,,590000,,三
御蔵島村,,,,,,,,,600000,500000,,500000,,600000,500000,,500000,,御
八丈町,,,,,,,,,776000,659000,,659000,,776000,659000,,659000,,八
青ヶ島村,,,,,,,,,600000,530000,,430000,,600000,530000,,430000,,青
小笠原村,,,,,,,,,650000,580000,,550000,,650000,580000,,550000,,小
区平均,,,,,,,,,1147800,920000,－,805000,,1140300,918200,－,803400,,
区市町村平均,,,,,,,,,976800,816100,－,739700,,965900,813900,－,738700,,
