団体,公共事業等等（千円）,公営住宅建設事業（千円）,災害復旧事業（千円）,（旧）緊急防災・減災事業（千円）,全国防災事業（千円）,教育・福祉施設等整備（千円）,一般単独事業（千円）,辺地対策事業（千円）,過疎対策事業（千円）,公共用地先行取得等（千円）,厚生福祉施設整備（千円）,退職手当債（H18～）（千円）,国予算政府機関貸付（千円）,財源対策債（千円）,減収補填債(S57・61・H5～7・9～25)（千円）,臨時財政特例債（千円）,公共事業等臨時特例債（千円）,減税補填債（千円）,臨時税収補填債（千円）,臨時財政対策債（千円）,調整債（S60～63)（千円）,減収補填債特例分（S50・H14・19～25)（千円）,都道府県貸付金（千円）,その他（千円）,合計（千円）,団体
小金井市,1670278,0,0,0,0,4493406,1642797,0,0,0,50133,0,5000,12875,31710,1141,0,1440007,127691,9711578,0,0,8999322,0,28185938,金
小平市,515650,0,0,52900,0,3868869,4726263,0,0,0,827437,0,0,135325,0,0,0,1875049,189570,14248019,0,0,3068960,0,29508042,平
日野市,433593,343621,0,0,0,2093773,1238168,0,0,0,4307,0,0,267223,0,0,0,1942353,220100,11970109,0,0,15340086,0,33853333,日
東村山市,581433,64919,0,1355425,273700,4581189,3616840,0,0,0,193436,1952481,44760,656647,102978,0,0,1357337,163246,21045000,0,391164,6066263,0,42446818,東
国分寺市,3246294,38890,0,0,20700,3666766,2306198,0,0,704360,18171,0,0,88583,0,5307,0,1450666,127913,4717767,0,0,5995035,0,22386650,分
国立市,227876,0,0,123530,80000,1436538,1372492,0,0,0,0,0,0,62676,0,0,0,956814,75599,4977153,0,0,4130661,0,13443339,国
福生市,0,569466,0,0,0,179419,1280372,0,0,0,0,0,0,0,0,0,0,566637,41129,4204035,0,0,909495,0,7750553,福
狛江市,240028,0,0,367900,0,2263016,3230292,0,0,0,176202,0,0,217354,0,0,0,868696,76206,10797114,0,32846,2449423,0,20719077,狛
東大和市,223192,0,0,326700,103700,631584,1085687,0,0,0,10428,0,0,286379,30304,0,0,779303,94071,12961738,0,175574,1787930,0,18496590,東
清瀬市,178684,205319,0,28000,66000,1952997,1679898,0,0,0,31267,0,0,7679,2480,103,0,604296,79614,11391653,0,0,3117951,0,19345941,清
東久留米市,295172,0,0,31600,0,1930920,2710350,0,0,0,770254,0,0,14502,0,0,0,1136114,128822,16040129,0,0,2225821,0,25283684,久
武蔵村山市,22424,2539,0,20010,0,901434,1036568,0,0,0,0,0,0,45361,20500,0,0,553017,67615,10180791,0,53200,1302479,0,14205938,村
多摩市,20047,161510,0,0,15400,3854442,449099,0,0,0,1068298,0,0,3005,0,0,0,1565602,181801,4445597,0,0,4260006,0,16024807,多
稲城市,280627,0,0,0,5500,6667725,1227397,0,0,0,0,0,0,346559,0,0,0,695790,79817,9949477,0,0,3194106,0,22446998,稲
羽村市,148844,18282,0,0,0,552051,1918436,0,0,0,243001,0,0,84174,0,0,0,593960,50478,6003079,0,0,1998322,75294,11685921,羽
あきる野市,25711,1093288,0,245633,0,566883,4394739,0,0,0,29375,0,0,25986,103914,0,0,677027,77716,12819280,0,220618,6425628,0,26705798,あ
西東京市,1076464,0,0,44400,0,2034902,12092490,0,0,0,154326,0,0,23768,306400,0,0,2007272,185461,29544241,0,360900,6504064,0,54334688,西
瑞穂町,0,0,0,0,0,131228,66469,0,0,0,68247,0,0,19288,0,0,0,315647,28066,2201228,0,0,3033623,0,5863796,瑞
日の出町,0,119129,0,0,0,9084,189629,0,0,0,0,0,0,0,16000,0,0,124504,19424,3543883,0,0,2045327,0,6066980,日
檜原村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16727,4442,1100027,0,0,5822,0,1127018,檜
奥多摩町,0,0,0,0,0,5457,6489,13978,95462,0,0,0,0,0,0,0,0,48729,9480,2093039,0,0,245961,0,2518595,奥
大島町,0,0,700,44780,0,1617806,141304,912697,215733,0,0,0,0,244698,0,828,0,65071,14112,2188051,0,0,2383832,0,7829612,大
利島村,0,0,0,0,0,8742,0,11723,0,0,0,0,0,0,0,0,0,0,0,266636,0,0,72684,0,359785,利
新島村,0,55036,0,0,0,385288,3660,640267,336035,0,0,0,0,380,0,0,0,26681,5311,1069509,0,0,44846,0,2567013,新
神津島村,0,0,840,0,0,75236,0,182274,0,0,0,0,0,0,0,0,0,11744,0,670937,0,0,0,0,941031,神
三宅村,0,5761,0,0,0,261794,20040,0,407596,0,0,0,0,4938,0,0,0,20909,5775,1037463,0,0,56865,0,1821141,三
御蔵島村,0,0,0,0,0,147242,0,0,0,0,0,0,0,0,0,0,0,0,0,335249,0,0,32520,0,515011,御
八丈町,9323,0,0,0,0,1234970,387834,985390,0,0,0,0,0,153257,0,11623,0,59156,12803,2202207,0,0,2114859,106732,7278154,八
青ヶ島村,0,7992,0,0,0,55707,0,0,58342,0,0,0,0,10246,0,0,0,1735,324,100360,0,0,11711,0,246417,青
小笠原村,807954,0,0,0,0,0,0,764710,0,0,0,0,0,628411,0,0,0,3528,0,810162,0,0,195063,0,3209828,小
島しょ町村事務組合,0,0,0,0,0,1447153,0,0,0,0,0,0,0,252337,0,0,0,0,0,0,0,0,6169,0,1705659,島
瑞穂斎場組合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933021,0,933021,瑞
ふじみ衛生組合,0,0,0,0,0,2693975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490222,0,3184197,ふ
柳泉園組合,0,0,0,0,0,87951,424731,0,0,0,0,0,0,21888,0,0,0,0,0,0,0,0,107347,0,641917,柳
湖南衛生組合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,湖
西多摩衛生組合,0,0,0,0,0,865553,0,0,0,0,0,0,0,97300,0,0,0,0,0,0,0,0,138340,0,1101193,西多
多摩川衛生組合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,多
小平・村山・大和衛生組合,0,0,0,0,0,68578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68578,小
東京都市町村職員退職手当組合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,退
東京都十一市競輪事業組合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,十
東京都六市競艇事業組合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,六
東京都四市競艇事業組合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,四
秋川衛生組合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,秋
東京都市町村議会議員公務災害補償等組合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,議
羽村・瑞穂地区学校給食組合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,羽
東京都三市収益事業組合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,三
西秋川衛生組合,0,0,0,0,0,3366030,0,0,0,0,0,0,0,10243,0,0,0,0,0,0,0,0,48839,0,3425112,西秋
南多摩斎場組合,0,0,0,0,0,0,144220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144220,南
東京たま循環組合,0,0,0,0,0,5522475,0,0,0,0,0,0,0,607040,0,0,0,0,0,0,0,0,2417179,0,8546694,た
立川・昭島・国立聖苑組合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258865,0,258865,立
東京市町村総合事務組合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,総
多摩六都科学館組合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512000,0,512000,多
多摩ニュータウン環境組合,0,0,0,0,0,606761,0,0,0,0,0,0,0,120994,0,0,0,0,0,0,0,0,0,0,727755,ニ
秋川流域斎場組合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415187,0,415187,斎
稲城・府中墓苑組合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3536000,0,3536000,墓
