共同処理事務,組合名,事務所・所在地,事務賞・電話,管理者名,設立年月日,構成区市町村名　（）内団体数,議員定数（人）,管理者（人）,副管理者（人）,監査委員（人）,職員・固有職員（人）,職員・派遣職員（人）,職員・臨時職員（長期的）（人）
し尿処理施設・ごみ処理施設の設置管理（３組合）,多摩川衛生組合,〒206-0801　稲城市大丸1528,042-377-3601,髙橋　勝浩（稲城市長）,S39.9.1,府中市・国立市・狛江市・稲城市(4),16,1,3,3,19,7,2（再任用・任意付）
し尿処理施設・ごみ処理施設の設置管理（３組合）,西秋川衛生組合,〒190-0154　あきる野市高尾521,042-596-4418,澤井　敏和（あきる野市長）,S48.7.2,あきる野市、日の出町、檜原村、奥多摩町(4),13,1,3,2,10,2,6（再任用・嘱託）
一般廃棄物最終処分場の設置・管理及び焼却残さ等の処理事業,東京たま広域資源循環組合,〒190-0181　西多摩郡日の出町大久野7642,042-597-6151 ,長友　貴樹（調布市長）,S55.11.1,25市（あきる野市を除く各市）・瑞穂町（26）,26,1,3,2,0,23,2（嘱託）
病院の設置管理（３組合）,阿伎留病院企業団,〒197-0834　あきる野市引田78-1,042-558-0321,荒川　泰行（企業長）,T12.6.9／H25.8.1　企業団移行,あきる野市・日の出町・檜原村(3),10,（企業長１）,0,1（外部）,344,0,10（再任用）
病院の設置管理（３組合）,昭和病院企業団,〒187-8510　小平市花小金井8-1-1,042-461-0052,上西　紀夫（企業長）,S3.7.3／H26.8.1　企業団移行,小金井市・小平市・東村山市・清瀬市・東久留米市・東大和市・武蔵村山市・西東京市(8),16,（企業長１）,0,2,823,5,83（再任用・嘱託）
病院の設置管理（３組合）,福生病院組合,〒197-8511　福生市加美平1-6-1,042-551-1111,加藤　育男（福生市長）,H12.4.1,福生市・羽村市・瑞穂町(3),9,1,2,2,438,4,84（再任用・嘱託）
工業用水道施設の設置管理,青梅、羽村地区工業用水道企業団,〒205-0003　羽村市緑ヶ丘2-18-5,042-579-3217,並木　　心（羽村市長）,S40.2.9,青梅市・羽村市（2）,6,（企業長１）,（副企業長１）,2,0,1,0
組織団体議会議員の公務災害補償等,東京都市町村議会議員公務災害補償等組合,〒183-0052　府中市新町2-77-1（東京自治会館内）,042-384-8041,髙水　永雄（瑞穂町議長）,S43.2.29,福生市・狛江市・東大和市・清瀬市・東久留米市・武蔵村山市・多摩市・稲城市・羽村市・あきる野市・全町村・阿伎留病院企業団他１５一部事務組合(39),10,1,1,2,0,1(兼務職員),0
市町村職員の退職手当の支給,東京都市町村職員退職手当組合,〒183-0052　府中市新町2-77-1（東京自治会館内）,042-384-8041,加藤　育男（福生市長）,S40.4.1,福生市・狛江市・東大和市・清瀬市・東久留米市・武蔵村山市・多摩市・稲城市・羽村市・あきる野市・全町村・阿伎留病院企業団他１３一部事務組合(37),8,1,2,2,2,0,1（再任用）
島嶼町村の振興・会館の設置管理・一般廃棄物最終処分場の設置管理,東京都島嶼町村一部事務組合,〒105-0022　港区海岸1-4-15（島嶼会館内）,03-3432-4961,浜川　謙夫（神津島村長）,S26.9.26,島しょ全町村(9),16,1,1,2,6,3,1（再任用）
火葬場の設置管理（５組合）,臨海部広域斎場組合,〒143-0001　大田区東海1-3-1,03-5755-2835,松原　忠義（大田区長）,H11.10.20,港区・品川区・目黒区・大田区・世田谷区（５）,5,1,2,3,0,4,0
火葬場の設置管理（５組合）,瑞穂斎場組合,〒190-1204　西多摩郡瑞穂町大字富士山栗原新田244,042-557-0064,石塚　幸右衛門（瑞穂町長）,S27.11.10,福生市・武蔵村山市・羽村市・瑞穂町・埼玉県入間市(5),15,1,4,2,0,4,0
火葬場の設置管理（５組合）,南多摩斎場組合,〒194-0201　町田市上小山田町2147,042-797-7641,石阪　丈一（町田市長）,S50.10.1,八王子市・町田市・日野市・多摩市・稲城市(5),10,1,4,2,3,2,1（再任用）
火葬場の設置管理（５組合）,立川・昭島・国立聖苑組合,〒190-0021　立川市羽衣町3-20-18,042-522-2730,清水　庄平（立川市長）,S60.4.1,立川市・昭島市・国立市(3),6,1,2,2,4,0,2（嘱託）
火葬場の設置管理（５組合）,秋川流域斎場組合,〒190-0182　西多摩郡日の出町大字平井3092,042-597-2131,橋本　聖二（日の出町長）,H7.5.1,あきる野市・日の出町・檜原村・奥多摩町(4),12,1,3,2,0,4,0
