規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
30人以上,平成21,2009,6月,101.4,-0.6,98.4,108.8,104.8,115.4,100.3,96.3,104.9,109.4,103.7,82.6,108.3,95.7,97.9,98.8
30人以上,平成21,2009,7月,103.7,-1,101,112.6,107.5,116.6,106.3,97.5,106.5,113.4,107.1,82.9,110,89.4,95,100.9
30人以上,平成21,2009,8月,96,-0.5,88.6,99.9,98.5,102.3,99,96,99.7,104.9,98.9,82.4,105.4,61.3,92.9,95.1
30人以上,平成21,2009,9月,95,-2.5,87,101.8,99.8,100.5,94.6,95.6,99.3,98.4,96.3,81.7,100.9,77.6,82.3,92.7
30人以上,平成21,2009,10月,98.4,-4,95.8,103.5,100.8,111.1,98.9,94.7,100.4,106.9,99.3,83.3,107.2,90.1,94.3,95.6
30人以上,平成21,2009,11月,97.3,0.2,88.4,104.8,104,100.9,95.6,95.6,99.6,101.9,101.1,84,103.1,85.5,92.7,94.5
30人以上,平成21,2009,11月（対前年同月比（％））,－,－,-3.4,-1.2,-1,-1.2,-0.4,2,0.2,1,1.2,-6.4,-1.2,2.6,11,0.4
,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１１月分,,,,,,,,,,,,,,,,,,,
第17表　労働時間指数（総実労働時間）,,,,,,,,,,,,,,,,,,,
（平成１７年平均＝100）,,,,,,,,,,,,,,,,,,,
調査対象事業所の抽出替えに伴い、指数を平成21年１月分確報公表時に過去に遡って改訂しています（賃金指数、労働時間指数は平成19年以降、常用雇用指数は平成17年以降）。,,,,,,,,,,,,,,,,,,,
