 2-(4)入港船舶係留施設別表,,,,,,,,,,,,(単位：隻、総トン)
,合計,,,,外航船,,,,内航船,,,
10号西岸壁,66 ,"727,447 ",183 ,"2,012,026 ",-,-,-,-,66 ,"727,447 ",183 ,"2,012,026 "
10号東岸壁,34 ,"15,033 ",91 ,"40,451 ",-,-,-,-,34 ,"15,033 ",91 ,"40,451 "
東京港フェリーふ頭,31 ,"391,716 ",83 ,"1,048,788 ",-,-,-,-,31 ,"391,716 ",83 ,"1,048,788 "
多目的ふ頭,2 ,"1,362 ",3 ,"3,918 ",-,-,-,-,2 ,"1,362 ",3 ,"3,918 "
辰巳ふ頭,83 ,"29,426 ",214 ,"77,322 ",-,-,-,-,83 ,"29,426 ",214 ,"77,322 "
青海コンテナふ頭（公共）,127 ,"1,437,180 ",353 ,"4,043,979 ",81 ,"1,395,453 ",223 ,"3,926,491 ",46 ,"41,727 ",130 ,"117,488 "
有明ふ頭,1 ,621 ,13 ,"12,538 ",-,-,-,-,1 ,621 ,13 ,"12,538 "
大井水産物ふ頭,1 ,379 ,1 ,379 ,-,-,-,-,1 ,379 ,1 ,379 
大井食品ふ頭（OL）,20 ,"65,494 ",41 ,"182,859 ",3 ,"62,753 ",8 ,"176,573 ",17 ,"2,741 ",33 ,"6,286 "
大井食品ふ頭（OM）,4 ,"35,892 ",12 ,"107,676 ",4 ,"35,892 ",12 ,"107,676 ",-,-,-,-
大井食品ふ頭（ON）,2 ,698 ,2 ,698 ,-,-,-,-,2 ,698 ,2 ,698 
若洲内貿ふ頭,13 ,"130,442 ",36 ,"361,224 ",-,-,-,-,13 ,"130,442 ",36 ,"361,224 "
15号地木材ふ頭,-,-,1 ,"2,838 ",-,-,1 ,"2,838 ",-,-,-,-
若洲建材ふ頭,32 ,"17,570 ",95 ,"54,272 ",-,-,-,-,32 ,"17,570 ",95 ,"54,272 "
大井建材ふ頭,82 ,"46,688 ",205 ,"118,041 ",-,-,-,-,82 ,"46,688 ",205 ,"118,041 "
城南島建設発生土ふ頭,86 ,"62,351 ",256 ,"174,381 ",-,-,-,-,86 ,"62,351 ",256 ,"174,381 "
中央防波堤内側ばら物ふ頭,7 ,"29,777 ",16 ,"61,234 ",2 ,"27,088 ",3 ,"54,558 ",5 ,"2,689 ",13 ,"6,676 "
中央防波堤内側建設発生土ふ頭,5 ,"5,445 ",18 ,"19,275 ",-,-,-,-,5 ,"5,445 ",18 ,"19,275 "
中央防波堤内側内貿ふ頭,23 ,"243,624 ",58 ,"614,115 ",-,-,-,-,23 ,"243,624 ",58 ,"614,115 "
官公庁（晴海）,1 ,"2,570 ",4 ,"13,273 ",-,-,-,-,1 ,"2,570 ",4 ,"13,273 "
官公庁（月島）,4 ,796 ,11 ,"2,183 ",-,-,-,-,4 ,796 ,11 ,"2,183 "
官公庁（有明）,-,-,2 ,"4,994 ",-,-,-,-,-,-,2 ,"4,994 "
東京港埠頭㈱計,365 ,"8,354,363 ","1,047 ","23,743,792 ",230 ,"8,157,831 ",657 ,"23,128,874 ",135 ,"196,532 ",390 ,"614,918 "
青海コンテナふ頭(埠頭㈱),73 ,"1,836,213 ",206 ,"5,242,723 ",62 ,"1,819,806 ",173 ,"5,202,863 ",11 ,"16,407 ",33 ,"39,860 "
お台場ライナーふ頭,32 ,"157,106 ",100 ,"616,587 ",11 ,"93,674 ",31 ,"372,104 ",21 ,"63,432 ",69 ,"244,483 "
大井コンテナふ頭,260 ,"6,361,044 ",741 ,"17,884,482 ",157 ,"6,244,351 ",453 ,"17,553,907 ",103 ,"116,693 ",288 ,"330,575 "
民間計,536 ,"853,958 ","1,566 ","2,498,794 ",25 ,"291,448 ",65 ,"748,092 ",511 ,"562,510 ","1,501 ","1,750,702 "
,,,,,,,,,,,,
(注) 実績の無い係留施設は表示なし,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
