事業階層,事業,Program,施設総数 Total facilities,公営 Public management／施設数 Facilities,公営 Public management／定員 Capacity,公営 Public management／在所者数 Service users,私営 Private management／施設数 Facilities,私営 Private management／定員 Capacity,私営 Private management／在所者数 Service users
2,知的障害者通所更生施設,Rehabilitation for the intellectually disabled (attending),7,5,212,172,2,70,67
2,知的障害者入所授産施設,Vocational aid for the intellectually disabled (inmates),-,-,-,-,-,-,-
2,知的障害者通所授産施設,Vocational aid for the intellectually disabled (attending),24,7,382,313,17,560,588
2,知的障害者小規模通所授産施設  a),VTF for the physically disabled (Only commuting)  a),4,-,-,-,4,72,72
2,知的障害者通勤寮,Commuting dormitories for intellectually disabled,6,6,185,169,-,-,-
2,知的障害者福祉工場,Welfare factories for the intellectually disabled,-,-,-,-,-,-,-
1,旧法指定による精神障害者社会復帰施設,Social rehabilitation facilities for mentally disordered persons under the former law,31,-,-,-,31,616,709
2,精神障害者生活訓練施設,Living training facilities for mentally disordered persons,5,-,-,-,5,95,75
2,精神障害者福祉ホーム,Welfare homes for mentally disordered persons,1,-,-,-,1,20,15
2,精神障害者通所授産施設,Vocational aid for mentally disordered persons (attending),8,-,-,-,8,202,266
2,精神障害者小規模通所授産施設,Welfare homes for mentally disordered persons,17,-,-,-,17,299,353
1,身体障害者社会参加支援施設,Support facilities for social participation of  persons with physical impairments,24,11,-,-,13,-,-
2,身体障害者福祉センター（Ａ型）,Welfare centers (type A),2,2,-,-,-,-,-
2,身体障害者福祉センター（Ｂ型）,Welfare centers (type B),7,7,-,-,-,-,-
2,補装具製作施設,Prosthetic device making facilities,2,-,-,-,2,-,-
2,盲導犬訓練施設,Training facilities for guide dogs,1,-,-,-,1,-,-
2,点字図書館,Braille libraries,6,2,-,-,4,-,-
2,点字出版施設,Braille publishing facilities,5,-,-,-,5,-,-
2,聴覚障害者情報提供施設,Resource centers for persons with hearing impairments,1,-,-,-,1,-,-
1,婦人保護施設,Women's shelters,5,-,-,-,5,230,114
1,児童福祉施設,Child welfare facilities,2484,1600,92840,91621,884,80889,82159
2,助産施設,Midwifery homes,41,11,193,-,30,474,-
2,乳児院,Infant homes,10,-,-,-,10,510,425
2,母子生活支援施設,Living support facilities for single-mother families,37,18,354,654,19,390,781
2,保育所,Day care centers,1644,889,90538,89176,755,76123,77295
2,児童養護施設,Foster homes,54,6,438,390,48,2526,2389
2,知的障害児施設,Homes for mentally retarded children,7,3,436,342,4,130,124
2,自閉症児施設,Homes for autistic children,1,1,40,-,-,-,-
2,知的障害児通園施設,Schools for mentally retarded children,11,6,196,204,5,256,377
2,ろうあ児施設,Homes for deaf and dumb children,1,-,-,-,1,30,16
2,難聴幼児通園施設,Schools for children with difficulty in hearing,2,-,-,-,2,70,86
2,肢体不自由児施設,Homes for children of physical difficulty,3,1,70,57,2,190,95
2,肢体不自由児通園施設,Schools for children of physical difficulty,4,3,120,140,1,40,52
2,重症心身障害児施設,Facilities for severely mentally and physically disabled children,8,4,557,523,4,540,519
2,児童自立支援施設,Homes for pre-delinquent,2,2,252,135,-,-,-
2,児童館,Children's center,560,557,-,-,3,-,-
2,児童遊園,Amusement parks for children,99,99,-,-,-,-,-
1,その他の社会福祉施設,Other social welfare facilities,698,21,1273,680,677,33656,27995
2,授産施設（社会福祉法）,Vocational facilities (Social Welfare Act),12,9,316,230,3,75,75
2,宿泊所,Lodging houses,168,7,833,405,161,4443,3953
2,盲人ホーム,Vocational centers for the visually impaired,4,1,20,-,3,60,-
2,無料低額診療施設,Free or low charge medical facilities,47,-,-,-,47,-,-
2,へき地保育所,Day care centers in remote areas,3,3,90,41,-,-,-
2,地域福祉センター,Welfare centers for the community,-,-,-,-,-,-,-
2,老人憩の家,Recreation homes for the aged,-,-,-,-,-,-,-
2,老人休養ホーム,Rest homes for the aged,-,-,-,-,-,-,-
2,有料老人ホーム,Fee-based nursing homes for the elderly,464,1,14,4,463,29078,23967
2,(別掲）介護老人福祉施設（特別養護老人ホーム）,(Appendix) Long-term care welfare facilities (Special nursing homes for the elderly),396,59,5228,5085,337,30069,29350
,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,
18-1  社会福祉施設数（平成21～23年） 18-1  SOCIAL WELFARE FACILITIES ( 2009-2011 ),,,,,,,,,
10月1日現在休止中の施設を除く。 ,,,,,,,,,
Figures exclude facilities inactive as of Oct. 1 of the year.,,,,,,,,,
a) VTF : Vocational training facilities,,,,,,,,,
注)　総数及び児童福祉施設の「定員」には母子生活支援施設を含まない。,,,,,,,,,
Note: The total number of capacities， and those for child welfare facilities， do not include data for living support facilities for single-mother families.,,,,,,,,,
資料：都福祉保健局総務部総務課 「社会福祉施設等調査報告」    Source : Bureau of Social Welfare and Public Health， TMG,,,,,,,,,
事業階層(0:総数　1:保護施設・老人福祉施設・障害者支援施設等・身体障害者社会参加支援施設・婦人保護施設・児童福祉施設・母子・父子福祉施設・その他の社会福祉施設 2:各事業施設),,,,,,,,,
