大項目,Major item,項番 Item number,項目,Item,平成13年度 FY 2001,平成14年度 FY 2002,平成15年度 FY 2003,平成16年度 FY 2004,平成17年度 FY 2005,平成18年度 FY 2006,平成19年度 FY 2007,平成20年度 FY 2008,平成21年度 FY 2009,平成22年度 FY 2010,平成23年度 FY 2011
実質（固定基準年方式）,Real (Fixed-based),11,都内総生産 (支出側)（実数）,Gross prefectural domestic product (Expenditure approach)  (A real number) ,91478.3,91487.1,92350.8,96987.1,99448.5,100724.5,102042.3,100458.5,95952.3,98879,100194.6
実質（固定基準年方式）,Real (Fixed-based),12,都内総生産 (支出側) (増加率),Gross prefectural domestic product (Expenditure approach)   (Rate of year-to-year increase) ,-,0,0.9,5,2.5,1.3,1.3,-1.6,-4.5,3.1,1.3
実質（固定基準年方式）,Real (Fixed-based),13,国内総生産 (支出側)（実数）,Gross domestic product  (Expenditure approach)  (A real number) ,478473.2,482031.7,491445.5,497508.5,507230.9,516069,526352.9,507025.2,500340.9,527278.5,528782.5
実質（固定基準年方式）,Real (Fixed-based),14,国内総生産 (支出側) (増加率),Gross domestic product  (Expenditure approach)   (Rate of year-to-year increase) ,-,0.7,2,1.2,2,1.7,2,-3.7,-1.3,5.4,0.3
実質（固定基準年方式）,Real (Fixed-based),15,国に対する都の構成比,Tokyo's percentage,19.1,19,18.8,19.5,19.6,19.5,19.4,19.8,19.2,18.8,18.9
名目,At current prices,16,都民総所得 （実数）,Gross income in Tokyo-to (A real number) ,80836.1,79809.3,81481,82784.1,85842.2,87717.6,87939.2,83466.1,77838.8,77638.8,78152
名目,At current prices,17,都民総所得 (増加率),Gross prefectural income (Percent changes from previous fiscal year),-,-1.3,2.1,1.6,3.7,2.2,0.3,-5.1,-6.7,-0.3,0.7
名目,At current prices,18,国民総所得（実数）,Gross national income(A real number),510319.8,505816,510419.9,512591.8,518485.3,524200.6,530752.9,504792.3,487003.8,493356.8,488051.4
名目,At current prices,19,国民総所得 (増加率),Gross national income (Percent changes from previous fiscal year),-,-0.9,0.9,0.4,1.1,1.1,1.2,-4.9,-3.5,1.3,-1.1
名目,At current prices,20,国に対する都の構成比,Tokyo's percentage,15.8,15.8,16,16.2,16.6,16.7,16.6,16.5,16,15.7,16
実質（固定基準年方式）,Real (Fixed-based),21,都民総所得 （実数）,Gross income in Tokyo-to (A real number) ,77647.4,77395.6,78991.8,81863.2,85897.8,88465.4,89781.1,86148.9,81360,83948.1,84755.9
実質（固定基準年方式）,Real (Fixed-based),22,都民総所得 (増加率),Gross income in Tokyo-to(Rate of year-to-year increase) ,-,-0.3,2.1,3.6,4.9,3,1.5,-4,-5.6,3.2,1
実質（固定基準年方式）,Real (Fixed-based),23,国民総所得（実数）,Gross national income (A real number) ,495017.2,497505.8,506859.3,511538.5,518482.1,525467,533219,508705.6,507662.8,530337.7,527294.7
実質（固定基準年方式）,Real (Fixed-based),24,国民総所得 (増加率),Gross national income (Rate of year-to-year increase) ,-,0.5,1.9,0.9,1.4,1.3,1.5,-4.6,-0.2,4.5,-0.6
実質（固定基準年方式）,Real (Fixed-based),25,国に対する都の構成比,Tokyo's percentage,15.7,15.6,15.6,16,16.6,16.8,16.8,16.9,16,15.8,16.1
名目,At current prices,26,都民所得 （実数）,Prefectural income(A real number),60526,59999.7,61839.4,62452.3,65056.6,66502.3,66222.8,61884.8,57251.4,57491.4,57701.4
名目,At current prices,27,都民所得 (増加率),Prefectural income (Percent changes from previous fiscal year),-,-0.9,3.1,1,4.2,2.2,-0.4,-6.6,-7.5,0.4,0.4
名目,At current prices,28,国民所得（実数）,National income(A real number),366783.8,363890.1,368100.9,370116.6,374125.1,378190.3,381239.2,355038,344384.8,352310.3,346755.7
名目,At current prices,29,国民所得 (増加率),National income (Percent changes from previous fiscal year),-,-0.8,1.2,0.5,1.1,1.1,0.8,-6.9,-3,2.3,-1.6
名目,At current prices,30,国に対する都の構成比,Tokyo's percentage,16.5,16.5,16.8,16.9,17.4,17.6,17.4,17.4,16.6,16.3,16.6
,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,,,,,,,,
16-4 都内総生産と国内総生産等の時系列比較 (平成13～23年度） 16-4 TIME-SERIES COMPARISON OF GROSS PREFECTURAL DOMESTIC PRODUCT，GROSS DOMESTIC PRODUCT， ETC.( Fiscal Years 2001-2011 ),,,,,,,,,,,,,,,
資料：都総務局統計部調整課 「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
（単位  金額 10 億円，%）(Value in billions of yen， %),,,,,,,,,,,,,,,
