年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,マーク Mark,人口 (A) Population,総数 Total／施設数 Facilities,総数 Total／計画給水人口 Population planned to be served 3),総数 Total／現在給水人口 (B) Population currently served,総数 Total／給水量（専用水道を除く）Water supplied  (Excluding private waterworks) (1，000m3),上水道 Waterworks／施設数 Facilities,上水道 Waterworks／計画給水人口 Population planned to be served,上水道 Waterworks／現在給水人口 Population currently served,上水道 Waterworks／給水量 Water supplied 4) (1，000m3),簡易水道 Small-scale waterworks／施設数 Facilities,簡易水道 Small-scale waterworks／計画給水人口 Population planned to be served,簡易水道 Small-scale waterworks／現在給水人口 Population currently served,簡易水道 Small-scale waterworks／給水量 Water supplied 4) (1，000m3),専用水道 Private waterworks 2)／施設数 Facilities,専用水道 Private waterworks 2)／確認時給水人口 Population noted in the application,専用水道 Private waterworks 2)／現在給水人口 Population currently served,普及率 (B／A) Coverage rate (%) 
平成24,2012,2,13227,24,羽村市,Hamura-shi,,57133,1,60000,57025,6824,1,60000,57025,6824,-,-,-,-,-,-,-,99.81
平成24,2012,2,13228,25,あきる野市,Akiruno-shi,※,80820,2,0,80820,0,-,-,80820,-,-,-,-,-,2,-,-,100
平成24,2012,2,13229,26,西東京市,Nishitokyo-shi,※,198653,1,7000,198653,0,-,-,198653,-,-,-,-,-,1,7000,-,100
平成24,2012,1,13300,,郡部,All gun,,58258,4,3400,58077,324,0,0,55681,0,1,3400,2396,324,3,0,0,99.69
平成24,2012,2,13303,1,瑞穂町,Mizuho-machi,※,33034,1,0,33034,0,-,-,33034,-,-,-,-,-,1,-,-,100
平成24,2012,2,13305,2,日の出町,Hinode-machi,※,17136,0,0,17136,0,-,-,17136,-,-,-,-,-,-,-,-,100
平成24,2012,2,13307,3,檜原村,Hinohara-mura,,2509,2,3400,2396,324,-,-,-,-,1,3400,2396,324,1,-,-,95.5
平成24,2012,2,13308,4,奥多摩町,Okutama-machi,※,5579,1,0,5511,0,-,-,5511,-,-,-,-,-,1,-,-,98.78
平成24,2012,1,13350,,島部,All islands,,27070,12,36000,26916,4535,2,15750,11978,2281,10,20250,14938,2254,0,0,0,99.43
平成24,2012,2,13361,1,大島町,Oshima-machi,,8213,2,10650,8205,1361,1,6450,5620,941,1,4200,2585,420,-,-,-,99.9
平成24,2012,2,13362,2,利島村,Toshima-mura,,296,1,350,296,40,-,-,-,-,1,350,296,40,-,-,-,100
平成24,2012,2,13363,3,新島村,Niijima-mura,,2904,1,3100,2866,406,-,-,-,-,1,3100,2866,406,-,-,-,98.69
平成24,2012,2,13364,4,神津島村,Kozushima-mura,,1948,1,2150,1944,324,-,-,-,-,1,2150,1944,324,-,-,-,99.79
平成24,2012,2,13381,5,三宅村,Miyake-mura,,2722,1,3920,2722,421,-,-,-,-,1,3920,2722,421,-,-,-,100
平成24,2012,2,13382,6,御蔵島村,Mikurajima-mura,,305,1,500,305,60,-,-,-,-,1,500,305,60,-,-,-,100
平成24,2012,2,13401,7,八丈町,Hachijo-machi,,7990,2,11930,7904,1569,1,9300,6358,1340,1,2630,1546,229,-,-,-,98.92
平成24,2012,2,13402,8,青ヶ島村,Aogashima-mura,,164,1,300,164,33,-,-,-,-,1,300,164,33,-,-,-,100
平成24,2012,2,13421,9,小笠原村,Ogasawara-mura,,2528,2,3100,2510,321,-,-,-,-,2,3100,2510,321,-,-,-,99.29
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　6  電気・上下水道 ６  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,,,,,,,,,,,,
6-４  地域別水道の普及状況（平成20～平成24年度末） 6-４  ＷATER SUPPLY BY DISTRICT ( End of Fiscal Years 2008-2012),,,,,,,,,,,,,,,,,,,,,,,,
注 1) ※印を付した市町の上水道の施設数・計画給水人口及び給水量については，東京都水道局が経営しているため区部に含めた。,,,,,,,,,,,,,,,,,,,,,,,,
2) 専用水道は自己水源によるもののみである。 ,,,,,,,,,,,,,,,,,,,,,,,,
3) 「給水量」は有効水量と無効水量を合わせた配水量である。,,,,,,,,,,,,,,,,,,,,,,,,
4) 総数の計画給水人口には，専用水道の確認時給水人口を含む。 ,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Shi and machi marked with ※ are included in the total for all ku because their waterworks are operated by the Bureau of Waterworks， TMG.,,,,,,,,,,,,,,,,,,,,,,,,
2) “Private waterworks” are only those that have their own water sources．,,,,,,,,,,,,,,,,,,,,,,,,
3) Total population planned to be served includes the population to be served noted in the application for private waterworks. ,,,,,,,,,,,,,,,,,,,,,,,,
4)  “Water supply” is the total water， both revenue and non-revenue water， provided.,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局健康安全部環境保健衛生課 Source: Bureau of Social Welfare and Public Health， TMG               ,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,
