年度,Fiscal year,地域階層,地域コード,地域,District,身体障害者手帳交付台帳  Physical impairment certificate ledger data／年度末現在 As of the end of the fiscal year,身体障害者手帳交付台帳  Physical impairment certificate ledger data／新規交付 New issues,身体障害者手帳交付台帳  Physical impairment certificate ledger data／返還 Returned,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県より転入 In-migrants from other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県へ転出 Out-migrants to other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内より転入 In-migrants  within Tokyo,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内へ転出 Out-migrants within Tokyo,「愛の手帳」交付数 Intellectual impairment certificates issued  1)
平成23,2011,2,13212,日野市,Hino-shi,5689,349,228,30,21,159,144,1030
平成23,2011,2,13213,東村山市,Higashimurayama-shi,6880,313,226,24,20,140,129,1057
平成23,2011,2,13214,国分寺市,Kokubunji-shi,3381,214,144,18,11,73,97,649
平成23,2011,2,13215,国立市,Kunitachi-shi,2460,148,98,6,7,75,64,457
平成23,2011,2,13218,福生市,Fussa-shi,2221,124,80,8,11,62,70,311
平成23,2011,2,13219,狛江市,Komae-shi,2640,159,111,14,2,52,55,403
平成23,2011,2,13220,東大和市,Higashiyamato-shi,3046,209,153,12,8,87,73,529
平成23,2011,2,13221,清瀬市,Kiyose-shi,4262,175,176,15,23,92,69,528
平成23,2011,2,13222,東久留米市,Higashikurume-shi,4203,234,158,18,18,113,111,827
平成23,2011,2,13223,武蔵村山市,Musashimurayama-shi,3068,162,149,9,5,73,70,552
平成23,2011,2,13224,多摩市,Tama-shi,4713,309,201,26,15,147,145,876
平成23,2011,2,13225,稲城市,Inagi-shi,2503,144,91,17,7,61,64,396
平成23,2011,2,13227,羽村市,Hamura-shi,1718,111,70,5,4,60,64,360
平成23,2011,2,13228,あきる野市,Akiruno-shi,2639,167,148,11,5,108,82,583
平成23,2011,2,13229,西東京市,Nishitokyo-shi,6574,383,302,34,27,163,151,1123
平成23,2011,1,13300,郡部,All gun,2751,157,130,11,7,102,59,482
平成23,2011,1,13350,島部,All islands,1706,101,39,11,8,22,25,202
,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,
18-3  身体障害者手帳交付台帳登載状況及び「愛の手帳」交付状況（平成19～23年度末） 18-3  DATA FROM THE PHYSICAL IMPAIRMENT CERTIFICATE ISSUE LEDGER AND ISSUE OF THE INTELLECTUAL IMPAIRMENT CERTIFICATE ( Fiscal Years 2007-2011 ),,,,,,,,,,,,,
注 1) 「愛の手帳」交付数の総数は，都外施設に入所している場合等で管轄区市町村が未定の者を含むため，内訳と一致しない。,,,,,,,,,,,,,
Note: 1) The total number of intellectual impairment certificates issued does not match the breakdown because it includes persons who were not under the jurisdiction of a municipality for reasons such as living in facilities outside Tokyo. ,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,
