年次,Year,総平均 All commodities,食料品 Foodstuffs,繊維品 Textiles,木材・同製品 Wood， lumber & related products,パルプ・紙・同製品 Pulp， paper & related products,化学製品 Chemicals & related products,石油・石炭・同製品 Petroleum， coal & related products,窯業・土石製品 Ceramic， stone & clay products,鉄鋼 Iron & steel,非鉄金属 Nonferrous metals,金属製品 Metal products,機械器具 Machinery & equipment,雑品 Miscellaneous goods
平成2,1990,745.4,979.5,537.7,2453.5,750.6,395.9,1374.9,832.3,645.9,640.4,789.7,340.2,810
平成3,1991,741.3,1003.5,542.1,2408.5,759.8,407.2,1322.3,856.7,644.5,569.1,804.3,332.6,817.1
平成4,1992,729.3,1014.1,528.3,2412.8,747.4,389.3,1220.7,853.3,620.2,525.1,802.2,328.9,822.2
平成5,1993,708.1,1005.2,495.2,2691.3,735.7,374.6,1097.5,838.9,587.8,460.7,788.4,319.6,812.8
平成6,1994,693.7,1002.4,489.1,2558,722.5,366.9,1002.9,820.3,554.4,471.7,775.1,313.1,806.8
平成7,1995,687.2,981.8,483.3,2439.4,751.2,372.4,1010,814.8,555.2,498.7,773.9,305.5,806.3
平成8,1996,688,988.6,498.3,2525,754.5,366.8,1152.1,815,548,490.7,773.3,301.4,814.5
平成9,1997,698.4,1003.6,517.9,2567.3,753.1,375.2,1271.1,828.6,567.3,526.8,784.1,299.3,835.8
平成10,1998,687.5,1003.8,517.1,2307.9,734.1,370.9,1111.5,825.2,548.5,498.6,783.5,298.3,826.1
平成11,1999,664.3,1002.9,493.7,2301.2,714.6,360.2,1104.6,806.6,510.6,455.8,769.2,284.5,802
平成12,2000,664.2,992.3,482.5,2243,730.5,368.5,1393,795,511.2,474.6,762.9,275.3,805.2
平成13,2001,658,991.1,486.2,2242.8,724.4,368.3,1466.6,794.6,501.1,476.6,759.2,267.6,812.2
平成14,2002,645.7,986.3,483.3,2224.9,710.6,360.7,1500.3,781.4,513.8,475.3,754.5,258.2,801.2
平成15,2003,637.3,990.2,476.6,2211.4,721.9,364.3,1595.9,771.8,546.1,478.5,754.3,246.8,791.4
平成16,2004,644.7,1006.9,475.7,2264.7,730,377.8,1771.5,770.5,636,564,773.9,239.1,788
平成17,2005,665,1005.5,481.8,2249.9,724,401.5,2304.9,782.9,721,643.4,803.8,235,788.4
平成18,2006,692.7,1009.8,497.7,2440.6,732.1,419.1,2826.7,799.4,760.7,938.7,823,233.6,815.4
平成19,2007,711.9,1030.8,511.9,2625.9,760,436.5,3036.4,806.5,853.2,1053.7,847.9,231.8,842.9
平成20,2008,736.6,1078.5,507.4,2503,804.5,448.8,3907.8,817.1,1019.5,966.3,879.8,223.1,894.3
平成21,2009,664.4,1057.3,490.4,2296.1,810.6,404.5,2421.2,831.9,833.8,703.2,860.3,216.1,840.4
平成22,2010,668.5,1056.1,496.9,2351.4,796,408,2806.8,823.2,865.1,844.9,845.5,208.3,834.2
平成23,2011,680.9,1083.3,510.4,2415.8,787.5,415,3354.4,795.3,931.9,905.1,854.9,199.7,881.3
平成24,2012,674.3,1091.3,517.4,2340.9,796.4,408.8,3416,786.6,843.9,830.7,857.5,195.4,932.8
,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 13 　物価・地価 13   PRICES,,,,,,,,,,,,,,
13-2  企業物価指数 (4) 戦前基準指数（類別指数） （昭和10～平成24年） 13-2  CORPORATE GOODS PRICE INDEX  (4) PREWAR BASE PRICE INDEX ( INDEXES BY GROUPS ) ( 1935-2012 ),,,,,,,,,,,,,,
注) 雑品は，昭和26年以前と同27年以降とでは概念がかなり異なるので，昭和26年以前指数と同27年以降の指数とは連続しない。,,,,,,,,,,,,,,
"Note: There is no continuity between the indexes for ""Miscellaneous goods"" up to 1951 and from 1952 because of significant change in item structure.",,,,,,,,,,,,,,
資料：日本銀行 「企業物価指数」 Source: The Bank of Japan,,,,,,,,,,,,,,
(昭和9～11年平均＝1) (1934-1936 Average=1),,,,,,,,,,,,,,
