施設の名称,施設所在地,施設所在地ビル名,営業者氏名,営業者住所,営業の種類,施設電話番号,届出日,営業者電話番号,代表者氏名
喫茶・ギャラリー　おいわけ,東京都あきる野市乙津６２８番地,,,,野菜果物販売業(自動車以外),042-596-1003,2021/7/21,,
渓谷BBQ,東京都あきる野市乙津７８９番地１,,株式会社KEIKOKU,東京都あきる野市乙津７８９番地１,その他の食料・飲料販売業(店舗),042-550-0147,2023/1/17,042-550-0147,堀越　由真
レストランフォーレスト,東京都あきる野市乙津８１０番地,,有限会社  松村商店,東京都あきる野市小中野１１６番地,その他の食料・飲料販売業(店舗),042-595-2210,2023/7/24,042-596-0253,松村　兼房
市川商店,東京都あきる野市乙津８６７番地,,,,乳類販売業(ショーケース売り),042-596-2505,2021/6/1,,
市川商店,東京都あきる野市乙津８６７番地,,,,その他の食料・飲料販売業(店舗),042-596-2505,2023/5/23,,
ファミリーマートあきる野下代継店,東京都あきる野市下代継２３番地１,,,,コンビニエンスストア,042-532-2430,2021/11/10,,
珈琲うとと,東京都あきる野市舘谷２１７番地１,,,,コーヒー製造・加工業（飲料の製造を除く。）,,2022/4/1,,
五縁堂,東京都あきる野市舘谷２１７番地１,,,,その他の食料・飲料販売業(店舗),,2024/5/31,,
柳屋,東京都あきる野市舘谷２１８番地,,,,製茶業,042-596-0071,2021/7/15,,
セブン－イレブン　武蔵五日市駅前店,東京都あきる野市舘谷２２５番地１,,株式会社山下,東京都あきる野市戸倉１８３番地,コンビニエンスストア,042-596-2575,2024/7/26,042-596-0209,山下　泰司
マルフジ　舘谷店,東京都あきる野市舘谷２４１番地,,株式会社マルフジ,東京都福生市大字福生９６５番地,百貨店、総合スーパー,042-595-2289,2023/12/1,042-551-0005,菅　明浩
るわん五日市蔵店,東京都あきる野市舘谷８６番地２,,株式会社たんぽぽのわたげ,東京都西多摩郡日の出町大久野６７６１番地２,魚介類販売業（包装済みの魚介類のみの販売）(一般),042-588-4065,2021/11/19,,石谷　太三
ドラッグセイムスあきる野舘谷店,東京都あきる野市舘谷８９番地３,,株式会社富士薬品,埼玉県さいたま市大宮区桜木町４丁目３８３番地,その他の食料・飲料販売業(店舗),042-533-0411,2021/10/27,,
ニューデイズ武蔵五日市,東京都あきる野市舘谷台１６番地,ＪＲ武蔵五日市駅構内,株式会社ＪＲ東日本クロスステーション,東京都渋谷区千駄ヶ谷５丁目３３番８号,コンビニエンスストア,042-595-2684,2021/7/29,,
ファミリーマートあきる野インター店,東京都あきる野市牛沼１３１番地１,,,,コンビニエンスストア,042-532-0031,2021/11/8,,
あきる野ケアセンターそよ風,東京都あきる野市牛沼１５２番地１,,株式会社ＳＯＹＯＫＡＺＥ,東京都港区北青山二丁目７番1３号プラセオ青山ビル,集団給食施設(社会福祉施設Ⅱ),042-532-8341,2021/12/17,,中川　清彦
セブンイレブン　あきる野牛沼店,東京都あきる野市牛沼１５９番地１,,,,魚介類販売業（包装済みの魚介類のみの販売）(一般),042-559-6881,2021/6/1,,
セブンイレブン　あきる野牛沼店,東京都あきる野市牛沼１５９番地１,,,,食肉販売業（包装済みの食肉のみの販売）(一般),042-559-6881,2021/6/1,,
セブンイレブン　あきる野牛沼店,東京都あきる野市牛沼１５９番地１,,,,乳類販売業(ショーケース売り),042-559-6881,2021/6/1,,
サイゼリヤあきる野店,東京都あきる野市牛沼１６６番地１,,株式会社サイゼリヤ,埼玉県吉川市旭2番地5,その他の食料・飲料販売業(電子申請（未区分）),042-532-3638,2022/4/25,,
ベジタブル鈴木,東京都あきる野市原小宮１６８番地,,,,農産保存食料品製造・加工業,042-558-7547,2021/10/6,,
医療法人社団　秀仁会　櫻井病院,東京都あきる野市原小宮１丁目１４番地１１,,医療法人社団　秀仁会,東京都あきる野市原小宮１丁目１４番地１１,集団給食施設(病院・診療所Ⅱ),0425587007,2022/8/29,,
社会福祉法人秋川あすなろ会　あすなろみんなの家,東京都あきる野市原小宮２丁目６番地３,,社会福祉法人秋川あすなろ会,東京都あきる野市原小宮2丁目６番地６,集団給食施設(社会福祉施設Ⅰ),042-558-2688,2023/10/3,042-558-2688,今 裕司
秋川あすなろ保育園,東京都あきる野市原小宮２丁目６番地６,,社会福祉法人秋川あすなろ会,東京都あきる野市原小宮２丁目６番地６,集団給食施設(児童福祉施設Ⅱ),042-558-8299,2023/10/3,042-558-8299,今　裕司
セブンーイレブン　あきる野戸倉店,東京都あきる野市戸倉１８３番地,,,,コンビニエンスストア,042-596-0209,2021/6/10,,
あきる野市自然休養村　山溪,東京都あきる野市戸倉２５０番地,,農事組合法人西坂観光農業センター,東京都あきる野市戸倉２５０番地,その他の食料・飲料販売業(包装),042-595-1177,2023/6/13,042-595-1177,須藤　勝也
戸倉ヴィラ,東京都あきる野市戸倉５１９番地２,,LEA株式会社,東京都八王子市七国６丁目３５番１号,集団給食施設(社会福祉施設Ⅰ),042-588-5215,2021/11/5,042-636-8794,梅本　勝也
バンクーバーコーヒー,東京都あきる野市戸倉５５７番地１,,有限会社セルフィッシュ,神奈川県厚木市関口３２２－１,コーヒー製造・加工業（飲料の製造を除く。）,,2023/8/29,046-204-2610,谷合　智憲
生活クラブ生活協同組合　協同村　「丘の木陰」,東京都あきる野市戸倉８６３番地,,生活クラブ生活協同組合,東京都世田谷区宮坂三丁目１３番１３号,農産保存食料品製造・加工業,042-596-0103,2022/4/25,03-5426-5200,増田　和美
お菓子工房Home,東京都あきる野市戸倉８６３番地,生活クラブ協同村,,,その他の食料・飲料販売業(電子申請（未区分）),,2023/10/17,,
八百竹商店,東京都あきる野市五日市１１２４番地,,,,野菜果物販売業(自動車以外),042-596-0332,2021/6/9,,
グッドエイジング・ダイニング　ハレノヒ食堂,東京都あきる野市五日市１２０７番地２,,,,米穀類販売業,042-588-5939,2024/5/27,,
グッドエイジング・ダイニング　ハレノヒ食堂,東京都あきる野市五日市１２０７番地２,,,,その他の食料品製造・加工業(食料品製造・加工),042-588-5939,2024/5/27,,
あきる野市五日市学校給食センター,東京都あきる野市五日市３１９番地,,あきる野市,東京都あきる野市二宮３５０番地,集団給食施設(学校・幼稚園Ⅲ),042-595-0817,2021/11/25,042-558-1111,村木　英幸
五日市保育園,東京都あきる野市五日市３４５番地,,社会福祉法人  雲柱社,東京都世田谷区上北沢３丁目８番１９号,集団給食施設(児童福祉施設Ⅱ),042-596-0339,2021/10/22,03-3302-2884,服部　栄
社会福祉法人雲柱社　五日市保育園,東京都あきる野市五日市３４５番地,,,,集団給食施設(ボランティア給食Ⅱ),042-596-0339,2022/12/9,,
株式会社　寿美屋,東京都あきる野市五日市６４番地,,株式会社  壽美屋,東京都あきる野市五日市６４番地,調味料製造・加工業,042-596-0018,2021/10/1,042-596-0018,岸　忠史
合資会社平野屋,東京都あきる野市五日市８２６番地,,合資会社平野屋,東京都あきる野市五日市８２６番地,その他の食料・飲料販売業(店舗),042-596-0002,2022/3/10,042-596-0002,平野　方基
いなげや五日市店,東京都あきる野市五日市８４４番地,,株式会社 いなげや,東京都立川市栄町６丁目１番地の１,百貨店、総合スーパー,042-596-3752,2022/10/17,,
ほっこりファーム,東京都あきる野市五日市８７０番地３,,,,農産保存食料品製造・加工業,,2021/6/16,,
丸市屋,東京都あきる野市五日市８７２番地,,,,乳類販売業(ショーケース売り),042-596-0513,2021/6/1,,
丸市屋,東京都あきる野市五日市８７２番地,,,,氷雪販売業,042-596-0513,2021/6/1,,
丸市屋,東京都あきる野市五日市８７２番地,,,,その他の食料・飲料販売業(店舗),042-596-0513,2022/6/23,,
小澤屋商店,東京都あきる野市五日市８８８番地１,,,,その他の食料・飲料販売業(店舗),042-596-0074,2023/5/19,,
五日市ファーマーズセンター,東京都あきる野市高尾３番地１,,秋川農業協同組合,東京都あきる野市秋川３丁目１番地１,野菜果物販売業(自動車以外),042-596-1280,2022/4/8,042-559-5111,坂本　勇
社会福祉法人　清明会五日市ホーム,東京都あきる野市三内４３６番地１,,社会福祉法人　清明会,東京都八王子市長房町９８７番地,集団給食施設(社会福祉施設Ⅱ),042-596-0781,2021/11/19,042-666-8777,齋藤　吉彦
社会福祉法人白百合会　特別養護老人ホーム増戸ホーム,東京都あきる野市三内４８５番地１,,社会福祉法人　白百合会特別養護老人ホーム増戸ホーム,東京都あきる野市三内４３６番地１６,集団給食施設(社会福祉施設Ⅱ),042-596-3456,2021/11/24,042-596-3456,羽生　義昭
社会福祉法人金木星の会障害者支援施設金木星の郷,東京都あきる野市三内４８９番地１,,社会福祉法人金木星の会,東京都あきる野市三内４８９番地１,集団給食施設(社会福祉施設Ⅱ),042-596-3590,2021/11/5,042-596-3590,岩田　信男
セブンイレブン　あきる野増戸店,東京都あきる野市山田５５３番地１,,,,コンビニエンスストア,042-596-4119,2021/6/10,,
橋本機械,東京都あきる野市山田５６５番地,,,,その他の食料・飲料販売業(包装),,2023/7/20,,
ガスト 五日市山田店,東京都あきる野市山田５８５番地１,,株式会社すかいらーくレストランツ,東京都武蔵野市西久保１丁目２５番８号,その他の食料・飲料販売業(電子申請（未区分）),042-533-7051,2021/11/8,,
セブン-イレブン あきる野山田店,東京都あきる野市山田７５８番地,,,,コンビニエンスストア,042-595-3700,2022/6/20,,
誠和保育園,東京都あきる野市山田８８０番地,,社会福祉法人  誠和会,東京都あきる野市山田８８０番地,集団給食施設(児童福祉施設Ⅱ),042-596-3301,2021/11/8,042-596-3301,伊藤　元良
ＥＳＰＲＩＴ,東京都あきる野市秋川１丁目１２番地１,エスポワールⅢ番館１－Ｂ,社会福祉法人ＳＨＩＰ,東京都あきる野市秋川１丁目１２番地１エスポワールⅢ番館１－B,その他の食料・飲料販売業(店舗),042-696-3381,2021/9/29,042-696-3381,臼井　大悟
小僧寿し秋川店,東京都あきる野市秋川１丁目１４番地７,,株式会社　小僧寿し,東京都中央区日本橋蛎殻町一丁目５番６号,その他の食料・飲料販売業(店舗),0425595486,2021/12/9,,
ドミノ・ピザ　あきる野店,東京都あきる野市秋川１丁目１４番地９,,株式会社ドミノ・ピザジャパン,東京都品川区上大崎2丁目13番30号,その他の食料・飲料販売業(電子申請（未区分）),050-3662-0485,2023/8/10,,
ファミリーマート　あきる野滝山街道,東京都あきる野市秋川１丁目１５番地１,,有限会社大黒屋丸義商店,東京都八王子市並木町３９番３４号,コンビニエンスストア,042-532-0606,2024/4/30,042-668-8819,北出　義則
サンジェルマン　あきる野店,東京都あきる野市秋川１丁目１７番地１,あきる野とうきゅう１階,株式会社サンジェルマン,神奈川県横浜市港北区新羽町６８８号,その他の食料・飲料販売業(店舗),042-550-4109,2021/9/28,045-716-8501,濱埜　直人
ツルハドラッグあきる野とうきゅう店,東京都あきる野市秋川１丁目１７番地１,,株式会社ツルハ,北海道札幌市東区北二十四条東二十丁目1番21号,百貨店、総合スーパー,042-532-3268,2021/12/1,,
ドトールコーヒーショップあきる野とうきゅう店,東京都あきる野市秋川１丁目１７番地１,あきる野とうきゅう１Ｆ,株式会社ミヤタ,東京都昭島市松原町５丁目５番２－２０２号,その他の食料・飲料販売業(店舗),042-550-4444,2021/9/15,042-549-0515,宮田　政彦
魚力　あきる野店,東京都あきる野市秋川１丁目１７番地１,あきる野とうきゅう１Ｆ,株式会社魚力,東京都立川市曙町２丁目８番３号,その他の食料・飲料販売業(店舗),042-550-4111,2021/10/21,042-525-5600,?川　隆英
ダイソー　あきる野とうきゅう店,東京都あきる野市秋川１丁目１７番地１,あきる野とうきゅう４階,株式会社大創産業,広島県東広島市西条吉行東一丁目４番１４号,その他の食料・飲料販売業(電子申請（未区分）),,2021/10/29,,
あきる野とうきゅう,東京都あきる野市秋川１丁目１７番地１,（１Ｆ）,株式会社東急ストア,東京都目黒区上目黒１丁目２１番１２号,百貨店、総合スーパー,042-550-0109,2021/9/24,,
肉処　壱丁田,東京都あきる野市秋川１丁目１７番地１,,明治屋産業株式会社,福岡市博多区博多駅東二丁目１４番１号,その他の食料・飲料販売業(店舗),042-550-3266,2022/3/10,092-432-9529,谷尾　一也
創作和食料理店　明かり,東京都あきる野市秋川１丁目５番地１２,１F,,,その他の食料・飲料販売業(店舗),042-595-5797,2022/2/21,,
はま寿司あきる野秋川店,東京都あきる野市秋川１丁目５番地３,,株式会社はま寿司,東京都港区港南２丁目１８番１号,その他の食料・飲料販売業(店舗),042-532-7400,2021/12/9,03-6833-8032,町野　岳
マクドナルド秋川店,東京都あきる野市秋川１丁目５番地５,,株式会社豊昇,埼玉県本庄市南１丁目２番１０号,乳類販売業(ショーケース売り),042-553-2564,2024/4/12,0492-98-6145,田中　智行
コメダ珈琲店　あきる野店,東京都あきる野市秋川１丁目６番地４,,ＮＭＣ株式会社,東京都あきる野市秋川１丁目６番地４,その他の食料・飲料販売業(店舗),042-533-2040,2021/9/7,042-533-2030,中村　正美
株式会社パラディアム,東京都あきる野市秋川１丁目７番地７,エスポワールⅡ番館　３階,株式会社　パラディアム,東京都あきる野市秋川１丁目７番７号,いわゆる健康食品の製造・加工業,042-532-5919,2022/4/15,042-532-5919,笹森　俊夫
いろどり屋,東京都あきる野市秋川１丁目８番地,あきる野ルピア１階,あきる野商工会,東京都あきる野市秋川１丁目８番地,その他の食料・飲料販売業(店舗),042-550-4552,2021/12/23,042-559-4511,松村　博文
コスト　ラボ,東京都あきる野市秋川１丁目８番地,,株式会社TUF,東京都青梅市新町１丁目１９番４５,その他の食料・飲料販売業(店舗),,2024/5/28,0428-33-1600,中野　孔生
中島屋,東京都あきる野市秋川１丁目８番地,ルピア１Ｆ,有限会社  中島屋,東京都あきる野市二宮１２６１番地,その他の食料・飲料販売業(店舗),042-550-4577,2021/9/21,042-558-0277,石川　和助
ファミリーマート秋川駅前店,東京都あきる野市秋川２丁目１番地１,,株式会社こうとく,東京都日野市多摩平三丁目２番地の１,コンビニエンスストア,042-532-4431,2021/8/24,042-514-9261,上田　富穂
NACHAN　AKIGAWA,東京都あきる野市秋川２丁目１番地６,キャッスル田村,TRANG　TRANG合同会社,東京都あきる野市秋川２丁目１番地６-1FB,食肉販売業（包装済みの食肉のみの販売）(一般),,2022/8/30,,チャン・ヴァン・ティェン
NACHAN　AKIGAWA,東京都あきる野市秋川２丁目１番地６,キャッスル田村,TRANG　TRANG合同会社,東京都あきる野市秋川２丁目１番地６-1FB,その他の食料・飲料販売業(店舗),,2022/8/30,,チャン・ヴァン・ティェン
あきる野こどもの家ＤＵＥ,東京都あきる野市秋川３丁目７番地１７,,社会福祉法人　和の会,東京都あきる野市秋川３丁目７番１７,集団給食施設(児童福祉施設Ⅱ),042-550-6245,2021/9/30,042-550-6245,今野　和代
あきる野こどもの家,東京都あきる野市秋川３丁目７番地９,,社会福祉法人　和の会,東京都あきる野市秋川３丁目７番１７,集団給食施設(児童福祉施設Ⅱ),042-550-6245,2021/9/30,042-550-6245,今野　和代
フルーツ処　滝見,東京都あきる野市秋川３丁目８番地４,ザグローリー１０１,,,野菜果物販売業(自動車以外),042-559-6911,2021/6/9,,
海鮮ごはん　ECHIGO,東京都あきる野市秋川３丁目８番地６,サンハイツナガツカ　1号,株式会社ジェイアールシー,東京都あきる野市瀬戸岡３４２番地５,魚介類販売業（包装済みの魚介類のみの販売）(一般),,2023/2/28,042-559-3922,吉野　隆宏
ドラッグセイムス秋川店,東京都あきる野市秋川４丁目１２番地６,,株式会社富士薬品,埼玉県さいたま市大宮区桜木町４丁目３８３番地,その他の食料・飲料販売業(電子申請（未区分）),042-532-7281,2021/10/28,,
ほっともっと秋川店,東京都あきる野市秋川４丁目１３番地１３,,株式会社プレナス,福岡県福岡市博多区上牟田１丁目１９番２１号,その他の食料・飲料販売業(店舗),042-532-4381,2024/1/17,092-452-3625,塩井　辰男
モスバーガー  秋川店,東京都あきる野市秋川４丁目１４番地７,,有限会社ババコーポレーション,東京都あきる野市秋川４丁目１４番地７,その他の食料・飲料販売業(店舗),042-559-4811,2021/8/11,042-559-4811,馬場  俊宏
サンドラッグ秋川店,東京都あきる野市秋川４丁目１番地１,,株式会社サンドラッグ,東京都府中市若松町１丁目３８番地の１,百貨店、総合スーパー,042-518-2790,2021/9/1,,
デニーズ秋川店,東京都あきる野市秋川４丁目５番地６,,株式会社セブン＆アイ・フードシステムズ,東京都千代田区二番町８番地８,その他の食料・飲料販売業(電子申請（未区分）),,2021/10/26,,
秋川市場,東京都あきる野市秋川４丁目５番地８,,,,その他の食料・飲料販売業(店舗),042-559-9222,2021/11/9,,
ドラッグコスモス秋川店,東京都あきる野市秋川４丁目７番地２,,株式会社コスモス薬品,福岡県福岡市博多区博多駅東２丁目１０番１号第一福岡ビルＳ館４階,百貨店、総合スーパー,042-533-3305,2022/4/20,,
岡野酒店,東京都あきる野市秋川５丁目１２番地４,,,,米穀類販売業,042-558-7295,2022/3/25,,
岡野酒店,東京都あきる野市秋川５丁目１２番地４,,,,その他の食料・飲料販売業(店舗),042-558-7295,2022/3/25,,
株式会社梅林堂　秋川店,東京都あきる野市秋川５丁目９番地１,,株式会社梅林堂,埼玉県熊谷市本石１丁目３０４番地,その他の食料・飲料販売業(店舗),042-533-2811,2022/8/16,,
魚屋路 秋川店,東京都あきる野市秋川６丁目１６番地１,,株式会社すかいらーくレストランツ,東京都武蔵野市西久保１丁目２５番８号,その他の食料・飲料販売業(電子申請（未区分）),042-532-7101,2021/11/9,,
クッキングサポート　秋川店,東京都あきる野市秋川６丁目１６番地９,,株式会社チェッカーサポート,東京都中央区新川１丁目２８番２４号,その他の食料・飲料販売業(店舗),042-550-6670,2023/4/28,03-6332-7800,伏見　啓史
ウッディキッズ,東京都あきる野市秋川６丁目１８番地８,,,,集団給食施設(児童福祉施設Ⅰ),042-550-0330,2022/1/28,,
クリエイトS・Dあきる野秋川店,東京都あきる野市秋川６丁目１番地４,,株式会社クリエイトエス・ディー,神奈川県横浜市青葉区荏田西二丁目3番地2,百貨店、総合スーパー,042-532-3728,2022/8/18,,
バーミヤン　秋川店,東京都あきる野市秋川６丁目３番地２,,株式会社すかいらーくレストランツ,東京都武蔵野市西久保１丁目２５番８号,その他の食料・飲料販売業(電子申請（未区分）),042-532-7229,2021/10/29,,
夢庵　秋川店,東京都あきる野市秋川６丁目３番地３,,株式会社すかいらーくレストランツ,東京都武蔵野市西久保１丁目２５番８号,その他の食料・飲料販売業(電子申請（未区分）),042-559-3611,2021/10/29,,
いなげやあきる野雨間店,東京都あきる野市秋留１丁目２番地８,,株式会社いなげや,東京都立川市栄町６丁目１番地の１,百貨店、総合スーパー,042-559-8061,2024/2/6,,
サンドラッグあきる野店,東京都あきる野市秋留１丁目６番地８,,株式会社　サンドラッグ,東京都府中市若松町一丁目３８番地の１,百貨店、総合スーパー,042-550-6441,2021/12/16,,
ローソンあきる野雨間店,東京都あきる野市秋留２丁目１番地１,,有限会社マイサークル,東京都あきる野市二宮東２丁目６番地１４,コンビニエンスストア,042-550-3273,2021/11/25,042-558-2339,丸山　大介
すき家　あきる野睦橋通り店,東京都あきる野市秋留２丁目１番地５,,株式会社すき家,東京都港区港南二丁目18番1号,その他の食料・飲料販売業(電子申請（未区分）),,2021/12/1,,
スーパーアルプス　あきる野店,東京都あきる野市秋留２丁目３番地２,,株式会社  スーパーアルプス,東京都八王子市滝山町２丁目３５１番地,百貨店、総合スーパー,0425506333,2021/7/21,,
みどりの園,東京都あきる野市秋留２丁目８番地１５,,,,集団給食施設(児童福祉施設Ⅰ),042-550-9570,2022/8/24,,
ファミリーマートあきる野秋留店,東京都あきる野市秋留３丁目３番地５,,株式会社Ｆ・スタイル,山梨県中巨摩郡昭和町清水新居１５０３番地NKビル２０３,コンビニエンスストア,042-532-8810,2021/11/18,,
高倉町珈琲あきる野店,東京都あきる野市秋留５丁目１番地３,,株式会社高倉町珈琲,東京都国立市東１丁目１６番１７号ポポロショッピングセンター３階,その他の食料品製造・加工業(食料品製造・加工),042-518-7161,2021/9/7,042-505-4317,横川　竟
小規模多機能型居宅介護　サンライズむつみ橋,東京都あきる野市小川１０５０番地１,,社会福祉法人サンライズ,東京都西多摩郡日の出町平井３０７６番地,集団給食施設(社会福祉施設Ⅰ),042-533-2308,2021/11/11,042-597-2021,神田　明啓
セブン－イレブン　あきる野小川店,東京都あきる野市小川５１番地１,,,,魚介類販売業（包装済みの魚介類のみの販売）(一般),042-550-3707,2021/6/1,,
