区分・年,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年比／総数（％）,対前年比／15～24歳（％）,対前年比／25～34歳（％）,対前年比／35～44歳（％）,対前年比／45～54歳（％）,対前年比／55～64歳（％）,対前年比／65歳以上（％）
労働力人口／平成13年平均,2001,6511,594,1780,1279,1373,1044,442,-13,-45,29,37,-10,-39,16,-0.2,-7,1.7,3,-0.7,-3.6,3.8
労働力人口／平成14年平均,2002,6702,681,1781,1343,1355,1059,483,191,87,1,64,-18,15,41,2.9,14.6,0.1,5,-1.3,1.4,9.3
労働力人口／平成15年平均,2003,6724,634,1780,1383,1312,1109,506,22,-47,-1,40,-43,50,23,0.3,-6.9,-0.1,3,-3.2,4.7,4.8
労働力人口／平成16年平均,2004,6714,594,1784,1426,1242,1157,511,-10,-40,4,43,-70,48,5,-0.1,-6.3,0.2,3.1,-5.3,4.3,1
労働力人口／平成17年平均,2005,6772,591,1766,1501,1209,1184,522,58,-3,-18,75,-33,27,11,0.9,-0.5,-1,5.3,-2.7,2.3,2.2
労働力人口／平成18年平均,2006,6844,571,1752,1557,1211,1177,576,72,-20,-14,56,2,-7,54,1.1,-3.4,-0.8,3.7,0.2,-0.6,10.3
労働力人口／平成19年平均,2007,7105,645,1692,1642,1274,1237,615,261,74,-60,85,63,60,39,3.8,13,-3.4,5.5,5.2,5.1,6.8
労働力人口／平成20年平均,2008,7158,631,1678,1706,1287,1235,621,53,-14,-14,64,13,-2,6,0.7,-2.2,-0.8,3.9,1,-0.2,1
労働力人口／平成21年平均,2009,7115,566,1650,1768,1327,1184,620,-43,-65,-28,62,40,-51,-1,-0.6,-10.3,-1.7,3.6,3.1,-4.1,-0.2
就業者数／平成９年平均,1997,6371,778,1591,1154,1431,1017,401,…,…,…,…,…,…,…,-,-,-,-,-,-,-
就業者数／平成10年平均,1998,6322,697,1609,1166,1403,1028,419,-49,-81,18,12,-28,11,18,-0.8,-10.4,1.1,1,-2,1.1,4.5
就業者数／平成11年平均,1999,6227,621,1621,1156,1362,1044,422,-95,-76,12,-10,-41,16,3,-1.5,-10.9,0.7,-0.9,-2.9,1.6,0.7
就業者数／平成12年平均,2000,6196,586,1652,1191,1330,1022,415,-31,-35,31,35,-32,-22,-7,-0.5,-5.6,1.9,3,-2.3,-2.1,-1.7
就業者数／平成13年平均,2001,6175,540,1675,1227,1322,981,430,-21,-46,23,36,-8,-41,15,-0.3,-7.8,1.4,3,-0.6,-4,3.6
就業者数／平成14年平均,2002,6330,613,1663,1282,1304,996,472,155,73,-12,55,-18,15,42,2.5,13.5,-0.7,4.5,-1.4,1.5,9.8
就業者数／平成15年平均,2003,6385,583,1678,1324,1263,1048,488,55,-30,15,42,-41,52,16,0.9,-4.9,0.9,3.3,-3.1,5.2,3.4
就業者数／平成16年平均,2004,6379,543,1674,1366,1193,1106,497,-6,-40,-4,42,-70,58,9,-0.1,-6.9,-0.2,3.2,-5.5,5.5,1.8
就業者数／平成17年平均,2005,6453,543,1667,1441,1168,1127,507,74,0,-7,75,-25,21,10,1.2,0,-0.4,5.5,-2.1,1.9,2
就業者数／平成18年平均,2006,6557,537,1655,1504,1171,1128,563,104,-6,-12,63,3,1,56,1.6,-1.1,-0.7,4.4,0.3,0.1,11
就業者数／平成19年平均,2007,6832,605,1612,1583,1237,1194,601,275,68,-43,79,66,66,38,4.2,12.7,-2.6,5.3,5.6,5.9,6.7
就業者数／平成20年平均,2008,6885,592,1594,1647,1252,1198,603,53,-13,-18,64,15,4,2,0.8,-2.1,-1.1,4,1.2,0.3,0.3
就業者数／平成21年平均,2009,6781,528,1547,1690,1278,1138,601,-104,-64,-47,43,26,-60,-2,-1.5,-10.8,-2.9,2.6,2.1,-5,-0.3
完全失業者数／平成９年平均,1997,275,59,81,40,46,41,7,…,…,…,…,…,…,…,-,-,-,-,-,-,-
完全失業者数／平成10年平均,1998,328,61,96,50,47,59,15,53,2,15,10,1,18,8,19.3,3.4,18.5,25,2.2,43.9,114.3
完全失業者数／平成11年平均,1999,360,63,110,53,50,67,17,32,2,14,3,3,8,2,9.8,3.3,14.6,6,6.4,13.6,13.3
完全失業者数／平成12年平均,2000,328,53,99,51,53,60,11,-32,-10,-11,-2,3,-7,-6,-8.9,-15.9,-10,-3.8,6,-10.4,-35.3
完全失業者数／平成13年平均,2001,336,54,105,51,51,62,12,8,1,6,0,-2,2,1,2.4,1.9,6.1,0,-3.8,3.3,9.1
完全失業者数／平成14年平均,2002,372,67,118,61,51,63,11,36,13,13,10,0,1,-1,10.7,24.1,12.4,19.6,0,1.6,-8.3
完全失業者数／平成15年平均,2003,339,51,102,59,48,61,18,-33,-16,-16,-2,-3,-2,7,-8.9,-23.9,-13.6,-3.3,-5.9,-3.2,63.6
完全失業者数／平成16年平均,2004,335,51,110,60,49,52,14,-4,0,8,1,1,-9,-4,-1.2,0,7.8,1.7,2.1,-14.8,-22.2
完全失業者数／平成17年平均,2005,320,48,99,60,41,58,15,-15,-3,-11,0,-8,6,1,-4.5,-5.9,-10,0,-16.3,11.5,7.1
完全失業者数／平成18年平均,2006,286,34,97,53,40,49,13,-34,-14,-2,-7,-1,-9,-2,-10.6,-29.2,-2,-11.7,-2.4,-15.5,-13.3
完全失業者数／平成19年平均,2007,273,41,79,59,37,43,14,-13,7,-18,6,-3,-6,1,-4.5,20.6,-18.6,11.3,-7.5,-12.2,7.7
完全失業者数／平成20年平均,2008,273,39,84,59,35,37,18,0,-2,5,0,-2,-6,4,0,-4.9,6.3,0,-5.4,-14,28.6
完全失業者数／平成21年平均,2009,334,38,104,78,48,47,19,61,-1,20,19,13,10,1,22.3,-2.6,23.8,32.2,37.1,27,5.6
非労働力人口／平成９年平均,1997,3646,930,358,298,332,480,1248,…,…,…,…,…,…,…,-,-,-,-,-,-,-
非労働力人口／平成10年平均,1998,3691,924,382,285,327,475,1299,45,-6,24,-13,-5,-5,51,1.2,-0.6,6.7,-4.4,-1.5,-1,4.1
非労働力人口／平成11年平均,1999,3750,902,391,310,310,475,1362,59,-22,9,25,-17,0,63,1.6,-2.4,2.4,8.8,-5.2,0,4.8
非労働力人口／平成12年平均,2000,3842,875,384,319,325,492,1448,92,-27,-7,9,15,17,86,2.5,-3,-1.8,2.9,4.8,3.6,6.3
非労働力人口／平成13年平均,2001,3905,855,396,310,331,497,1516,63,-20,12,-9,6,5,68,1.6,-2.3,3.1,-2.8,1.8,1,4.7
非労働力人口／平成14年平均,2002,4013,878,384,335,312,520,1584,108,23,-12,25,-19,23,68,2.8,2.7,-3,8.1,-5.7,4.6,4.5
非労働力人口／平成15年平均,2003,4082,887,381,366,279,528,1641,69,9,-3,31,-33,8,57,1.7,1,-0.8,9.3,-10.6,1.5,3.6
非労働力人口／平成16年平均,2004,4151,881,359,382,287,540,1703,69,-6,-22,16,8,12,62,1.7,-0.7,-5.8,4.4,2.9,2.3,3.8
非労働力人口／平成17年平均,2005,4162,852,360,366,275,542,1767,11,-29,1,-16,-12,2,64,0.3,-3.3,0.3,-4.2,-4.2,0.4,3.8
非労働力人口／平成18年平均,2006,4175,873,347,368,249,541,1797,13,21,-13,2,-26,-1,30,0.3,2.5,-3.6,0.5,-9.5,-0.2,1.7
非労働力人口／平成19年平均,2007,4163,796,349,401,237,507,1873,-12,-77,2,33,-12,-34,76,-0.3,-8.8,0.6,9,-4.8,-6.3,4.2
非労働力人口／平成20年平均,2008,4176,777,316,401,245,483,1953,13,-19,-33,0,8,-24,80,0.3,-2.4,-9.5,0,3.4,-4.7,4.3
非労働力人口／平成21年平均,2009,4252,795,294,380,241,497,2045,76,18,-22,-21,-4,14,92,1.8,2.3,-7,-5.2,-1.6,2.9,4.7
労働力人口比率／平成９年平均,1997,64.5,47.3,82.1,79.9,81.5,68.7,24.6,…,…,…,…,…,…,…,,,,,,,
労働力人口比率／平成10年平均,1998,64.2,45,81.5,80.9,81.5,69.5,25,-0.3,-2.3,-0.6,1,0,0.8,0.4,,,,,,,
労働力人口比率／平成11年平均,1999,63.6,43,81.4,79.3,81.8,70,24.3,-0.6,-2,-0.1,-1.6,0.3,0.5,-0.7,,,,,,,
労働力人口比率／平成12年平均,2000,62.9,42.2,81.8,79.5,80.9,68.7,22.7,-0.7,-0.8,0.4,0.2,-0.9,-1.3,-1.6,,,,,,,
労働力人口比率／平成13年平均,2001,62.4,40.9,81.7,80.4,80.4,67.7,22.6,-0.5,-1.3,-0.1,0.9,-0.5,-1,-0.1,,,,,,,
労働力人口比率／平成14年平均,2002,62.5,43.6,82.1,79.9,81.2,67.1,23.4,0.1,2.7,0.4,-0.5,0.8,-0.6,0.8,,,,,,,
労働力人口比率／平成15年平均,2003,62.2,41.7,82.3,79,82.4,67.7,23.6,-0.3,-1.9,0.2,-0.9,1.2,0.6,0.2,,,,,,,
労働力人口比率／平成16年平均,2004,61.7,40.2,83.1,78.8,81.2,68.1,23.1,-0.5,-1.5,0.8,-0.2,-1.2,0.4,-0.5,,,,,,,
労働力人口比率／平成17年平均,2005,61.9,40.9,82.9,80.3,81.4,68.6,22.8,0.2,0.7,-0.2,1.5,0.2,0.5,-0.3,,,,,,,
労働力人口比率／平成18年平均,2006,62.1,39.5,83.4,80.8,82.8,68.5,24.3,0.2,-1.4,0.5,0.5,1.4,-0.1,1.5,,,,,,,
労働力人口比率／平成19年平均,2007,63,44.7,82.8,80.3,84.3,70.9,24.7,0.9,5.2,-0.6,-0.5,1.5,2.4,0.4,,,,,,,
労働力人口比率／平成20年平均,2008,63.1,44.8,84.1,80.9,84,71.9,24.1,0.1,0.1,1.3,0.6,-0.3,1,-0.6,,,,,,,
労働力人口比率／平成21年平均,2009,62.6,41.5,84.8,82.3,84.6,70.4,23.3,-0.5,-3.3,0.7,1.4,0.6,-1.5,-0.8,,,,,,,
完全失業率／平成９年平均,1997,4.1,7,4.8,3.4,3.1,3.9,1.7,…,…,…,…,…,…,…,,,,,,,
完全失業率／平成10年平均,1998,4.9,8,5.6,4.1,3.2,5.4,3.5,0.8,1,0.8,0.7,0.1,1.5,1.8,,,,,,,
完全失業率／平成11年平均,1999,5.5,9.2,6.4,4.4,3.5,6,3.9,0.6,1.2,0.8,0.3,0.3,0.6,0.4,,,,,,,
完全失業率／平成12年平均,2000,5,8.3,5.7,4.1,3.8,5.5,2.6,-0.5,-0.9,-0.7,-0.3,0.3,-0.5,-1.3,,,,,,,
完全失業率／平成13年平均,2001,5.2,9.1,5.9,4,3.7,5.9,2.7,0.2,0.8,0.2,-0.1,-0.1,0.4,0.1,,,,,,,
完全失業率／平成14年平均,2002,5.6,9.8,6.6,4.5,3.8,5.9,2.3,0.4,0.7,0.7,0.5,0.1,0,-0.4,,,,,,,
完全失業率／平成15年平均,2003,5,8,5.7,4.3,3.7,5.5,3.6,-0.6,-1.8,-0.9,-0.2,-0.1,-0.4,1.3,,,,,,,
完全失業率／平成16年平均,2004,5,8.6,6.2,4.2,3.9,4.5,2.7,0,0.6,0.5,-0.1,0.2,-1,-0.9,,,,,,,
完全失業率／平成17年平均,2005,4.7,8.1,5.6,4,3.4,4.9,2.9,-0.3,-0.5,-0.6,-0.2,-0.5,0.4,0.2,,,,,,,
完全失業率／平成18年平均,2006,4.2,6,5.5,3.4,3.3,4.2,2.3,-0.5,-2.1,-0.1,-0.6,-0.1,-0.7,-0.6,,,,,,,
完全失業率／平成19年平均,2007,3.8,6.4,4.7,3.6,2.9,3.5,2.3,-0.4,0.4,-0.8,0.2,-0.4,-0.7,0,,,,,,,
完全失業率／平成20年平均,2008,3.8,6.2,5,3.5,2.7,3,2.9,0,-0.2,0.3,-0.1,-0.2,-0.5,0.6,,,,,,,
完全失業率／平成21年平均,2009,4.7,6.7,6.3,4.4,3.6,4,3.1,0.9,0.5,1.3,0.9,0.9,1,0.2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成21年平均）,,,,,,,,,,,,,,,,,,,,,,
第３表　年齢階級別就業状態（男女計）,,,,,,,,,,,,,,,,,,,,,,
