区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,183,202,-19,-9.4,88,111,-23,-20.7,95,91,4,4.4
〔就業者の活動状態別内訳〕／就業者数（再掲）／休業者数,170,138,32,23.2,80,72,8,11.1,90,66,24,36.4
〔就業者の主な産業別内訳〕／建設業,463,494,-31,-6.3,395,420,-25,-6,68,74,-6,-8.1
〔就業者の主な産業別内訳〕／製造業,808,866,-58,-6.7,589,633,-44,-7,219,233,-14,-6
〔就業者の主な産業別内訳〕／情報通信業,561,538,23,4.3,414,397,17,4.3,147,141,6,4.3
〔就業者の主な産業別内訳〕／運輸業，郵便業,363,334,29,8.7,286,276,10,3.6,77,59,18,30.5
〔就業者の主な産業別内訳〕／卸売業，小売業,1151,1193,-42,-3.5,617,643,-26,-4,534,550,-16,-2.9
〔就業者の主な産業別内訳〕／金融業，保険業,268,275,-7,-2.5,143,151,-8,-5.3,125,124,1,0.8
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,208,217,-9,-4.1,126,133,-7,-5.3,82,84,-2,-2.4
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,387,380,7,1.8,244,241,3,1.2,143,139,4,2.9
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,496,483,13,2.7,237,232,5,2.2,259,251,8,3.2
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,275,271,4,1.5,124,126,-2,-1.6,152,145,7,4.8
〔就業者の主な産業別内訳〕／教育，学習支援業,321,302,19,6.3,143,128,15,11.7,178,173,5,2.9
〔就業者の主な産業別内訳〕／医療，福祉,554,536,18,3.4,157,143,14,9.8,397,393,4,1
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,594,643,-49,-7.6,313,358,-45,-12.6,281,286,-5,-1.7
〔雇用者の主な産業別内訳〕／建設業,392,419,-27,-6.4,328,352,-24,-6.8,63,67,-4,-6
〔雇用者の主な産業別内訳〕／製造業,766,811,-45,-5.5,566,599,-33,-5.5,200,212,-12,-5.7
〔雇用者の主な産業別内訳〕／情報通信業,539,512,27,5.3,399,378,21,5.6,141,134,7,5.2
〔雇用者の主な産業別内訳〕／運輸業，郵便業,337,305,32,10.5,261,247,14,5.7,75,58,17,29.3
〔雇用者の主な産業別内訳〕／卸売業，小売業,1050,1094,-44,-4,558,588,-30,-5.1,493,505,-12,-2.4
〔雇用者の主な産業別内訳〕／金融業，保険業,263,272,-9,-3.3,140,149,-9,-6,124,122,2,1.6
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,175,190,-15,-7.9,110,118,-8,-6.8,65,71,-6,-8.5
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,273,277,-4,-1.4,171,172,-1,-0.6,102,106,-4,-3.8
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,404,403,1,0.2,191,189,2,1.1,214,214,0,0
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,212,208,4,1.9,93,95,-2,-2.1,119,113,6,5.3
〔雇用者の主な産業別内訳〕／教育，学習支援業,285,272,13,4.8,136,124,12,9.7,150,148,2,1.4
〔雇用者の主な産業別内訳〕／医療，福祉,507,498,9,1.8,127,121,6,5,380,377,3,0.8
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,552,598,-46,-7.7,284,327,-43,-13.1,268,271,-3,-1.1
〔非農林業雇用者の従業者規模別内訳〕／総数,6030,6148,-118,-1.9,3551,3656,-105,-2.9,2480,2492,-12,-0.5
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1778,1868,-90,-4.8,1026,1076,-50,-4.6,752,792,-40,-5.1
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1885,1950,-65,-3.3,1073,1152,-79,-6.9,812,798,14,1.8
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1936,1898,38,2,1215,1194,21,1.8,721,704,17,2.4
〔完全失業率（年齢階級別）(%)〕／総数,4.7,3.8,0.9,,4.4,3.6,0.8,,5,4.1,0.9,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,6.7,6.2,0.5,,6.6,6.2,0.4,,6.8,6.1,0.7,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,6.3,5,1.3,,6,4.8,1.2,,6.7,5.3,1.4,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,4.4,3.5,0.9,,3.7,2.9,0.8,,5.6,4.3,1.3,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,3.6,2.7,0.9,,3.5,2.6,0.9,,4,2.9,1.1,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,4,3,1,,4.1,3.2,0.9,,3.7,2.7,1,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,3.1,2.9,0.2,,3.8,3.2,0.6,,1.8,2.3,-0.5,
〔労働力人口比率(%)〕／総数,62.6,63.1,-0.5,,74.5,76,-1.5,,50.9,50.5,0.4,
,,,,,,,,,,,,
東京の労働力統計データ（平成21年平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成21年平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても総数と一致しない。,,,,,,,,,,,,
注3)「雇用者の主な産業別内訳」は平成17年集計から追加した。,,,,,,,,,,,,
