"施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"医療法人社団友徳会つつじクリニックＡｋａｓａｋａ","東京都港区赤坂三丁目9番2号","No.R赤坂見附4階","03-6277-8580","2017/3/1","皮膚科、形成外科、アレルギー科、美容皮膚科","35.677282","139.736203"
"ｅ：Ｔｏｐ　ｃｌｉｎｉｃ","東京都港区赤坂三丁目9番5号","マーブル赤坂3階","03-5544-8528","2021/10/18","美容外科、美容皮膚科、形成外科、産婦人科","35.676921","139.736423"
"医療法人和楽会　心療内科・神経科赤坂クリニック","東京都港区赤坂三丁目9番18号","B.I.C赤坂ビル6階","03-5575-8198","1998/12/1","心療内科、精神科、神経科、小児科、小児神経科、児童精神科","35.677553","139.736163"
"医療法人社団健若会赤坂スキンクリニック美容皮膚科","東京都港区赤坂三丁目13番10号","新赤坂ビル6～7階","03-3585-5330","2021/7/1","皮膚科、美容皮膚科","35.673016","139.737281"
"医療法人社団健若会東京予防医療クリニック","東京都港区赤坂三丁目13番10号","新赤坂ビル3～5階","03-3585-1211","2012/4/1","内科、心療内科、整形外科","35.673016","139.737281"
"美馬レディースクリニック","東京都港区赤坂三丁目13番13号","赤坂中村ビル4階","03-6277-7397","2013/11/6","婦人科（不妊治療）、心療内科","35.673378","139.737201"
"赤坂診療所","東京都港区赤坂三丁目14番8号","赤坂相模屋ビル4階","03-6277-8258","2015/2/23","心療内科、精神科","35.673813","139.737121"
"赤坂こころのクリニック「ケイローン」","東京都港区赤坂三丁目15番4号","赤坂バリ島ビル5階","03-5575-5575","2020/1/1","心療内科、精神科","35.674260","139.737274"
"ふなきクリニック","東京都港区赤坂三丁目15番9号","萬屋ビル5階","03-3505-0300","2009/1/1","内科、消化器・肝臓内科、循環器内科、糖尿病・脂質代謝内科","35.674415","139.736565"
"赤坂一ツ木通りクリニック","東京都港区赤坂三丁目15番9号","ACRビル3階","03-5544-8205","2014/2/1","皮膚科、内科、循環器内科、心臓血管外科、外科","35.674340","139.736645"
"赤坂メディカルＭクリニック","東京都港区赤坂三丁目15番9号","ACRビル2階","03-6426-5563","2011/6/8","皮膚科、形成外科、美容皮膚科、美容外科","35.674340","139.736645"
"医療法人社団秀愛会　赤坂ビューティークリニック","東京都港区赤坂三丁目21番3号","赤坂牧野ビル4階","03-5545-8187","2014/11/1","美容皮膚科、美容外科","35.677036","139.735855"
"湘南美容クリニック赤坂見附院","東京都港区赤坂三丁目21番13号","キーストーン赤坂ビル6階","050-5576-1291","2019/7/17","美容外科、美容皮膚科","35.676685","139.735666"
"医療法人社団東京桜十字　赤坂桜十字クリニック","東京都港区赤坂三丁目21番13号","キーストーン赤坂ビル2階","03-5549-1901","2014/9/16","内科、婦人科","35.676685","139.735666"
"医療法人社団泰山会　赤坂中央クリニック","東京都港区赤坂三丁目21番16号","SKI赤坂ビル2階","03-3582-4991","2000/5/1","内科、整形外科、消化器科、リウマチ科、糖尿病内科","35.677039","139.735465"
"医療法人財団順和会　赤坂山王メディカルセンター","東京都港区赤坂四丁目1番26号","国際医療福祉大学 赤坂キャンパスW棟内 4階・5階・6階・7階・8階","03-6230-3701","2020/8/1","内科、消化器内科、循環器内科、リウマチ科、脳神経内科、糖尿病内分泌代謝内科、小児科、整形外科、リハビリテーション科、放射線科、婦人科","35.676499","139.734379"
"東桜クリニック赤坂見附","東京都港区赤坂四丁目2番1号","JFBビル2階","03-5570-8711","2022/9/21","耳鼻咽喉科、アレルギー科","35.675182","139.735443"
"清水クリニック","東京都港区赤坂四丁目4番11号","赤坂丹後町ビル1階","03-6441-0358","2015/10/1","内科","35.673606","139.734371"
"ラソワレディースクリニック赤坂","東京都港区赤坂四丁目5番6号","クレアツィオーネ赤坂","03-6230-9990","2020/4/1","婦人科","35.674491","139.734623"
"赤ちゃんのあたまのかたちクリニック","東京都港区赤坂四丁目7番15号","赤坂丹後ビル1階、2階","03-6230-9972","2019/8/1","形成外科、小児形成外科、皮膚科、小児脳神経外科、リハビリテーション科、児童精神科","35.675587","139.733929"
"港区立健康増進センター診療所","東京都港区赤坂四丁目18番13号","赤坂コミュニティープラザ6階","03-5413-2717","1996/4/1","内科","35.674707","139.731475"
"菅原クリニック東京脳ドック","東京都港区赤坂五丁目2番20号","赤坂パークビル2階","03-5573-8822","2005/4/1","脳神経外科、内科、神経内科","35.671857","139.733682"
"医療法人順齡會赤坂おだやかクリニック","東京都港区赤坂五丁目3番1号","赤坂Bizタワー2階","03-6234-0511","2010/11/1","内科、循環器内科、呼吸器内科、アレルギー科、リハビリテーション科、整形外科","35.673175","139.736359"
"坦誠会　赤坂内科クリニック","東京都港区赤坂五丁目4番6号","赤坂三辻ビル4階","03-5545-3500","2009/9/18","内科、消化器内科、内視鏡内科","35.672202","139.736034"
"医療法人社団眞鋼会　赤坂耳鼻咽喉科クリニック","東京都港区赤坂五丁目4番8号","クレールタイヨー2階","03-3585-3387","2020/10/1","耳鼻いんこう科、アレルギー科","35.671918","139.735774"
"医療法人社団瑶哲会島崎眼科","東京都港区赤坂五丁目4番8号","クレールタイヨー8階","03-3589-3518","2022/12/24","眼科","35.671918","139.735774"
"医療法人社団裕祥会赤坂胃腸クリニック","東京都港区赤坂五丁目5番18号","AUSPICE赤坂8階","03-3560-1123","2018/11/1","消化器内科（胃腸内科）","35.670392","139.733564"
"赤坂プレミアクリニック","東京都港区赤坂六丁目3番1号","アスモビル6階","03-6441-0808","2015/4/1","美容外科、整形外科、リウマチ科、美容皮膚科","35.67145","139.735814"
"よしもとブレストクリニック","東京都港区赤坂六丁目3番20号",,"03-3568-1155","2012/1/4","乳腺外科、乳腺内科、内科、循環器内科","35.671452","139.735714"
"東京先進医療クリニック赤坂院","東京都港区赤坂六丁目6番3号","赤坂IDEAビル2階から6階","03-3585-1377","2021/6/10","形成外科、美容外科、美容皮膚科、歯科、矯正歯科、歯科口腔外科","35.670522","139.737465"
"港区立特別養護老人ホーム　サン・サン赤坂","東京都港区赤坂六丁目6番14号",,"03-5561-7833","2003/5/1","内科","35.669759","139.737502"
"赤坂ロイヤルクリニック","東京都港区赤坂七丁目6番15号","赤坂ロイヤルビルA302",,"2002/6/1","内科、心療内科","35.671279","139.73313"
"花輪診療所","東京都港区赤坂七丁目6番41号","赤坂七番館501.502","03-3583-9030","1999/8/18","内科","35.670337","139.731633"
"七番館クリニック","東京都港区赤坂七丁目6番41号","赤坂七番館1階","03-3584-7177","1989/9/15","消化器科、内科","35.670337","139.731633"
"医療法人社団栄和会　谷村クリニック","東京都港区赤坂七丁目6番52号","ハイツ赤坂112","03-3587-1239","1999/12/31","内科、胃腸科、小児科","35.670128","139.730755"
"Ｓｋｉｎ　Ｓｏｌｕｔｉｏｎ　Ｃｌｉｎｉｃ　ＡＯＹＡＭＡ－ＤＯＲＩ","東京都港区赤坂八丁目3番12号","AMSビル1階、2階","03-6455-5561","2021/10/27","皮膚科、美容皮膚科","35.672054","139.727737"
"医療法人財団順和会　山王メディカルセンター","東京都港区赤坂八丁目5番35号",,"03-3402-5581","2001/1/4","内科、循環器内科、消化器内科、呼吸器内科、腎臓内科（人工透析）、内分泌内科、脳神経内科、リウマチ科、外科、消化器外科、血管外科、乳腺外科、婦人科、放射線科、脳神経外科、心療内科、産婦人科、耳鼻咽喉科","35.672336","139.726317"
"南青山ホームクリニック","東京都港区赤坂八丁目6番13号","新坂マンション404","03-6321-3696","2017/9/1","内科","35.670993","139.728441"
"医療法人財団順和会　山王バースセンター","東京都港区赤坂八丁目10番16号","2階及び3階","03-3402-3150","2015/2/1","産科","35.669683","139.727256"
"高沢内科クリニック","東京都港区赤坂八丁目13番12号",,"03-3401-9630","1997/10/1","内科、小児科","35.669068","139.730299"
"医療法人社団美匠会　シエルクリニック","東京都港区赤坂九丁目5番12号","パークサイドシックス1階","03-5775-3341","2012/7/3","美容外科、形成外科、皮膚科","35.667463","139.729698"
"乃木坂ＡＣクリニック","東京都港区赤坂九丁目6番28号","アルベルゴ乃木坂408","03-5414-1192","2022/4/1","内科、美容外科、形成外科、整形外科、麻酔科","35.666545","139.728445"
"ＱＵＩＣ　ＢＥＡＵＴＹ　ＣＬＩＮＩＣ","東京都港区赤坂九丁目6番28号","アルベルゴ乃木坂804号室","03-6756-5181","2023/5/10","内科、精神科、皮膚科、美容皮膚科","35.666545","139.728445"
"赤坂慶友クリニック","東京都港区赤坂九丁目6番30号","ルイマーブル乃木坂1階109号室","03-5772-1419","2006/4/18","内科、消化器科","35.666968","139.7286"
"医療法人社団ミッドタウンクリニック　東京ミッドタウンクリニック","東京都港区赤坂九丁目7番1号","ミッドタウン・タワー6階","03-5413-0080","2007/2/1","内科、神経内科、リウマチ科、消化器内科、循環器内科、整形外科、婦人科、眼科、放射線科、乳腺外科、脳神経外科、糖尿病内科、肝臓内科、呼吸器内科","35.666126","139.731247"
"医療法人社団ミッドタウンクリニック　東京ミッドタウンクリニック　健診センター","東京都港区赤坂九丁目7番1号","ミッドタウン・タワー6階","03-5413-7935","2008/4/1","内科、婦人科","35.666126","139.731247"
"医療法人社団ミッドタウンクリニック　東京ミッドタウン皮膚科形成外科ノアージュ","東京都港区赤坂九丁目7番1号","ミッドタウン・タワー6階","03-5413-0082","2007/9/7","形成外科、皮膚科、美容外科、内科、外科、婦人科","35.666126","139.731247"
"富士ゼロックス　本社　健康推進室","東京都港区赤坂九丁目7番3号","東京ミッドタウン5階","03-6271-5136","2007/3/1","内科","35.665548","139.730402"
"富士フイルム株式会社　健康管理室","東京都港区赤坂九丁目7番3号","東京ミッドタウン・ウエスト4階","03-6271-3450","2007/3/23","内科","35.665548","139.730402"
"麻布アムールクリニック","東京都港区麻布十番一丁目4番7号","麻布マスターズビル5階",,"2022/7/22","形成外科、美容外科、皮膚科、美容皮膚科","35.656991","139.734886"
"医療法人社団みなとあおば　あおば皮フ科クリニック","東京都港区麻布十番一丁目5番8号","ヴェスタビル2階","03-6447-1290","2021/4/1","皮膚科、小児皮膚科、美容皮膚科、アレルギー科、内科","35.657048","139.733330"
"ホロン鳥居坂クリニック耳鼻咽喉科アレルギー科","東京都港区麻布十番一丁目5番8号","ヴェスタビル4階","03-5770-8733","2015/1/26","耳鼻いんこう科、アレルギー科","35.657048","139.733330"
"大森真帆麻布十番クリニック","東京都港区麻布十番一丁目5番9号","高橋ビル2階","03-6455-4317","2014/9/1","内科、腎臓内科、アレルギー科","35.656973","139.733409"
"アイリスター麻布クリニック","東京都港区麻布十番一丁目5番10号","アトラスビル3階","03-5772-3205","2004/7/28","眼科、美容外科、内科、皮膚科","35.656853","139.733649"
"麻布モンテアールレディースクリニック","東京都港区麻布十番一丁目5番18号","カートブラン麻布十番3階・5階","03-6804-3208","2020/8/1","婦人科","35.656595","139.733809"
"東京ブランシェクリニック","東京都港区麻布十番一丁目5番18号","カートブラン麻布十番7階","03-6721-1647","2023/1/1","皮膚科、美容皮膚科、美容外科、形成外科","35.656595","139.733809"
"医療法人社団まなみウィメンズ　麻布十番まなみウィメンズクリニック","東京都港区麻布十番一丁目5番19号","ラトリエ・メモワールビル2階","03-3405-0928","2015/10/1","産婦人科","35.656613","139.733699"
"一般社団法人橘麗会　Ｍａｓｔ　Ｂｅａｕｔｙ　クリニック　麻布十番","東京都港区麻布十番一丁目6番5号","ラミュウーズビル5階","03-3478-1107","2022/4/1","皮膚科、美容皮膚科、精神科、内科","35.656378","139.734238"
"ＭｅｄｉＬｏｔｕｓ　ｃｌｉｎｉｃ","東京都港区麻布十番一丁目7番1号","ヨーロッパハウス9階","03-6804-1559","2020/12/1","内科、心療内科、美容内科、リウマチ科、神経内科、漢方内科、整形外科、リハビリテーション科、精神科、アレルギー科、小児科、皮膚科、美容皮膚科、小児皮膚科、泌尿器科","35.656628","139.734607"
"たくま内科・神経内科クリニック","東京都港区麻布十番一丁目7番1号","MGB麻布十番ビル4階","03-6434-7478","2015/4/1","内科、神経内科","35.656668","139.734527"
"なかむらそうクリニック","東京都港区麻布十番一丁目7番1号","MGB麻布十番ビル5階","03-6434-7828","2015/7/27","内科、泌尿器科","35.656668","139.734527"
"イーメディカルクリニック麻布","東京都港区麻布十番一丁目7番11号","麻布井上ビル2階","050-5530-0965","2022/8/20","美容皮膚科、美容外科","35.656315","139.734587"
"ＨＥＡＬＴＨ　ＰＡＬＡＣＥ　ＣＬＩＮＩＣ","東京都港区麻布十番一丁目8番1号","EX麻布十番5階",,"2024/2/22","美容内科","35.656212","139.735173"
"美容皮膚科エルムクリニック　麻布院","東京都港区麻布十番一丁目9番7号","4F","03-6807-4171","2022/7/16","美容皮膚科、歯科","35.656341","139.735932"
"プリモ麻布十番クリニック","東京都港区麻布十番一丁目10番10号","ジュールAB1階","0120-062-069","2022/5/30","内科、皮膚科、形成外科、美容外科、麻酔科","35.656052","139.736702"
"医療法人社団Ｖｅｒｉｔａｓ　Ｍｅｄｉｃａｌ　Ｐａｒｔｎｅｒｓ　麻布医院","東京都港区麻布十番一丁目11番1号","エスティメゾン麻布十番3階","03-5545-8177","2007/5/1","内科、消化器内科、アレルギー科、皮膚科、肝臓内科、婦人科","35.655889","139.736163"
"みのやまクリニック","東京都港区麻布十番二丁目1番1号","あべちゃんビル4階","03-6459-2686","2020/10/1","内科、消化器内科（胃腸内科）、アレルギー科","35.655509","139.735954"
"麻布十番こころメンタルクリニック","東京都港区麻布十番二丁目2番7号","野口ビル2階","03-6665-8901","2024/3/7","精神科、心療内科","35.655289","139.735645"
"医療法人社団　慶希佑会　中村麻布十番クリニック","東京都港区麻布十番二丁目2番10号","麻布十番スクエア2階","03-5419-7300","2018/11/1","内科、消化器内科、アレルギー科","35.655586","139.735625"
"医療法人敬愛会ザナチュラルビューティクリニック麻布十番","東京都港区麻布十番二丁目3番12号","ベルフォーレ麻布4階","03-6438-9567","2020/9/16","皮膚科、形成外科、美容外科、美容皮膚科","35.655708","139.735086"
"麻布ウィメンズクリニック","東京都港区麻布十番二丁目3番12号","ベルフォーレ麻布3階","03-6809-3103","2020/8/3","産科、婦人科、小児科、内科","35.655708","139.735086"
"筋肉・美容クリニック","東京都港区麻布十番二丁目3番12号","5階","03-3454-1975","2021/10/1","内科、男性内科、女性内科、消化器内科（胃腸内科）、糖尿病内科（代謝内科）、美容内科、美容皮膚科、美容外科、整形外科、ペインクリニック内科、ペインクリニック外科","35.655708","139.735086"
"麻布十番駅前クリニック","東京都港区麻布十番二丁目8番6号","ラベイユ麻布十番3階A","03-6435-2202","2023/12/1","皮膚科、美容皮膚科","35.655631","139.734632"
"麻布十番皮フ形成外科クリニック","東京都港区麻布十番二丁目12番4号","AZABU PARKHAUS201","03-5419-1103","2014/4/1","皮膚科、形成外科、美容皮膚科","35.654264","139.735087"
"馬場クリニック","東京都港区麻布十番二丁目13番2号",,"03-3454-7788","1989/4/1","内科、小児科","35.655013","139.735228"
"ＮＳ　Ｃｌｉｎｉｃ","東京都港区麻布十番二丁目13番9号","COCOハウス十番401",,"2023/9/15","美容皮膚科、皮膚科","35.654609","139.734916"
"東京タワーヴュークリニック麻布十番","東京都港区麻布十番二丁目14番6号","イイダビル1階","03-6809-3207","2022/6/1","内科、心療内科","35.654802","139.735729"
"麻布ビューティクリニック","東京都港区麻布十番二丁目14番11号","ルート麻布ビル5階、6階","03-6400-5511","2015/10/1","美容皮膚科","35.654968","139.735565"
"サニーガーデンこどもクリニック","東京都港区麻布十番二丁目16番4号","プラスワンビル3階","03-6722-6623","2021/5/1","小児科、アレルギー科","35.654197","139.735591"
"麻布十番眼科","東京都港区麻布十番二丁目18番8号","ABAアサミビル4階","03-5442-3543","2015/3/1","眼科、小児眼科","35.654248","139.735894"
"麻布十番内科ブリッジヒルクリニック","東京都港区麻布十番二丁目18番8号","ABAアサミビル2階","03-3455-5577","2023/11/1","内科、内分泌・代謝内科、腎臓内科","35.654248","139.735894"
"麻布十番たちばな泌尿器科・皮膚科クリニック","東京都港区麻布十番二丁目20番6号","麻布十番エムエービルディング4階","03-6665-8648","2023/11/1","泌尿器科、男性泌尿器科、女性泌尿器科、小児泌尿器科、皮膚科","35.654950","139.736682"
"麻布十番内科・血液内科クリニック","東京都港区麻布十番二丁目20番6号","麻布十番エムエービルディング2階","03-6722-0258","2023/2/21","内科、血液内科、老年内科、精神科","35.654950","139.736682"
"麻布十番整形外科","東京都港区麻布十番二丁目20番10号","グランドメゾン麻布一の橋1階","03-3452-5546","2005/8/1","整形外科、リハビリテーション科、リウマチ科","35.654667","139.736602"
"医療法人社団香明会　草間かほるクリニック","東京都港区麻布十番三丁目5番1号","バルゴ麻布ビル5階","03-5730-1926","2008/8/1","肛門外科、胃腸外科、内科","35.653263","139.735248"
"麻布ビューティクリニックＡＮＮＥＸ","東京都港区麻布十番三丁目6番2号","NS麻布十番ビル6階、7階","03-6435-4980","2022/6/20","美容皮膚科","35.653284","139.734766"
"医療法人社団桜倫会　麻布整形外科クリニック","東京都港区麻布十番三丁目6番9号","ヒルサイド麻布1階","03-5765-2020","2005/1/4","整形外科、リウマチ科、リハビリテーション科、放射線科","35.653081","139.734527"
"ココクリニック","東京都港区麻布十番三丁目10番1号","デルプレシアード401号","03-6275-1866","2019/8/17","美容皮膚科、形成外科","35.652878","139.734647"
"ＣＺＥＮ　ＳＫＩＮ　ＣＬＩＮＩＣ","東京都港区麻布十番三丁目11番11号","airビル4階・5階","03-5484-5757","2022/8/1","美容皮膚科","35.652722","139.735184"
"小田原医院","東京都港区麻布十番三丁目11番12号",,"03-3451-4595","1999/2/1","小児科、耳鼻いんこう科、内科、皮膚科","35.652734","139.735130"
"医療法人邦寿会ＮＥＷ　ＦＡＣＥ　ＡＥＳＴＨＥＴＩＣ　ＣＬＩＮＩＣ","東京都港区麻布十番四丁目1番1号","MAXPLAN AZABU10 5階","03-6722-6795","2021/3/1","皮膚科、形成外科","35.655238","139.737424"
"スタートクリニック麻布十番","東京都港区麻布十番四丁目1番1号","MAXPLANAZABU10　7階","03-6722-0341","2024/3/25","美容皮膚科","35.655238","139.737424"
"麻布十番えむスキンクリニック","東京都港区麻布十番四丁目1番9号","麻布十番エムビル7F","03-6453-6558","2022/1/1","美容皮膚科、皮膚科、形成外科","35.655130","139.737401"
"医療法人社団なかよし会　麻布台クリニック","東京都港区麻布台一丁目3番1号","麻布台ヒルズ森JPタワー4階","03-5544-9390","2023/10/2","内科、消化器内科、リウマチ科、皮膚科、美容皮膚科","35.660882","139.740657"
"慶應義塾大学予防医療センター","東京都港区麻布台一丁目3番1号","麻布台ヒルズ森JPタワー5階・6階","03-5843-6085","2023/9/1","内科、婦人科、眼科、放射線科、歯科","35.660882","139.740657"
"Ａｒｔ　Ｌｏｕｎｇｅ　Ｃｌｉｎｉｃ","東京都港区麻布台一丁目5番9号","55-1麻布台2階","03-5544-8648","2022/3/28","美容皮膚科","35.661225","139.738303"
"Ｎｕ　ｃｌｉｎｉｃ","東京都港区麻布台一丁目5番9号-3階",,"03-6823-8706","2022/12/1","美容内科、美容皮膚科","35.661225","139.738303"
"銘煌ＣＩＴクリニック","東京都港区麻布台一丁目7番1号","菅野ビル3階","03-6277-6871","2018/8/20","腫瘍内科","35.661184","139.743227"
"海渡医院","東京都港区麻布台一丁目10番11号",,"03-3583-0265","1989/9/21","内科、小児科、リウマチ科","35.660443","139.742620"
"医療法人社団創輝会　東京国際美容クリニック","東京都港区麻布台二丁目3番5号","ノアビル9階","03-6435-5356","2014/11/7","美容外科、美容内科、美容皮膚科","35.659191","139.742650"
"ラヴィエクリニック","東京都港区麻布台三丁目1番6号","BLUE BLDG.AZABUDAI3階","03-4400-2749","2024/2/12","美容皮膚科、美容内科","35.660800","139.738491"
"祐ホームクリニック麻布台","東京都港区麻布台三丁目4番18号","クリーデンス麻布台101","050-3823-0159","2016/8/18","内科、緩和ケア内科、精神科","35.660007","139.738558"
"虎ノ門ヒルズレジデンシャルタワー健康相談クリニック","東京都港区愛宕一丁目1番1号","虎ノ門ヒルズレジデンシャルタワー2階","03-5422-1056","2022/9/1","内科","35.665986","139.748567"
"医療法人社団穆心会　クリントエグゼクリニック","東京都港区愛宕二丁目5番1号","愛宕グリーンヒルズMORIタワー 4階","03-5405-1095","2001/12/3","内科、皮膚科、形成外科、放射線科、産婦人科、脳神経外科","35.662142","139.748881"
