[資料21]　大気　ダイオキシン類異性体等分析結果（第３回調査　 ２０２２(令和４)年１１月：区部）,,,,,,,,,,,,,,,[資料21]　大気　ダイオキシン類異性体等分析結果（第３回調査　 ２０２２(令和４)年１１月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2022(令和4）年　11月15日～11月22日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2022(令和4）年　11月15日～11月22日）,,,,単位：pg/m3,,,,,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,Total PCDDs,,―,―,0.81,0.56,0.56,0.65,0.64,1.1,1,1.1,,,,Total PCDDs,,,,0.27,0.29,,―,―,0.33,0.51,7.2,0.27,0.56,0.72,,0.74,―,―
PCDFs,,"1,2,7,8TeCDF",0,0.003,0.0009,0.016,0.013,0.012,0.011,0.0093,0.015,0.02,0.019,,PCDFs,,"1,2,7,8TeCDF",0,0.005,0.002,0.007,0.005,,0.003,0.0009,0.007,0.0084,0.0078,0.0057,0.0062,0.012,,0.015,0.001,0.0003
,,"2,3,7,8TeCDF",0.1,0.003,0.0009,0.0095,0.0067,0.0059,0.0046,0.0054,0.01,0.012,0.012,,,,"2,3,7,8TeCDF",0.1,0.005,0.002,0.004,0.003,,0.003,0.0009,0.0033,0.0044,0.0045,0.0035,0.003,0.0072,,0.0087,0.001,0.0003
,,"1,3,6,8TeCDF",0,0.003,0.0009,0.021,0.015,0.015,0.013,0.011,0.021,0.026,0.026,,,,"1,3,6,8TeCDF",0,0.005,0.002,0.01,0.008,,0.003,0.0009,0.0083,0.012,0.011,0.0073,0.0081,0.016,,0.015,0.001,0.0003
,,TeCDFs,,―,―,0.46,0.34,0.32,0.3,0.27,0.49,0.52,0.56,,,,TeCDFs,,,,0.18,0.13,,―,―,0.19,0.26,0.22,0.15,0.16,0.35,,0.35,―,―
,,"1,2,3,7,8PeCDF",0.03,0.006,0.002,0.015,0.009,0.007,0.008,0.007,0.013,0.015,0.017,,,,"1,2,3,7,8PeCDF",0.03,0.006,0.002,0.003,0.003,,0.006,0.002,0.004,0.006,0.006,0.004,0.004,0.01,,0.0093,0.0019,0.0006
,,"2,3,4,7,8PeCDF",0.3,0.004,0.001,0.017,0.012,0.008,0.012,0.011,0.018,0.02,0.022,,,,"2,3,4,7,8PeCDF",0.3,0.004,0.001,0.006,0.004,,0.004,0.001,0.005,0.009,0.009,0.004,0.005,0.012,,0.013,0.0014,0.0004
,,PeCDFs,,―,―,0.3,0.23,0.18,0.18,0.16,0.31,0.34,0.37,,,,PeCDFs,,,,0.091,0.076,,―,―,0.095,0.15,0.13,0.078,0.084,0.22,,0.21,―,―
,,"1,2,3,4,7,8HxCDF",0.1,0.0033,0.0009,0.032,0.021,0.013,0.016,0.015,0.025,0.029,0.034,,,,"1,2,3,4,7,8HxCDF",0.1,0.01,0.003,0.007,0.005,,0.0033,0.0009,0.007,0.011,0.01,0.0057,0.0076,0.02,,0.011,0.0011,0.0003
,,"1,2,3,6,7,8HxCDF",0.1,0.005,0.001,0.03,0.018,0.012,0.016,0.015,0.026,0.029,0.032,,,,"1,2,3,6,7,8HxCDF",0.1,0.009,0.003,0.008,0.007,,0.005,0.001,0.007,0.011,0.009,0.006,0.008,0.02,,0.012,0.0017,0.0005
,,"1,2,3,7,8,9HxCDF",0.1,0.008,0.002,0.005,0.003,0.002,0.002,0.002,0.005,0.004,0.005,,,,"1,2,3,7,8,9HxCDF",0.1,0.013,0.004,ND,ND,,0.008,0.002,ND,ND,ND,ND,ND,ND,,0.001,0.0027,0.0008
,,"2,3,4,6,7,8HxCDF",0.1,0.005,0.001,0.03,0.021,0.014,0.017,0.019,0.028,0.03,0.033,,,,"2,3,4,6,7,8HxCDF",0.1,0.01,0.003,0.007,0.006,,0.005,0.001,0.008,0.012,0.01,0.008,0.009,0.023,,0.012,0.0016,0.0005
,,HxCDFs,,―,―,0.29,0.2,0.14,0.16,0.16,0.26,0.29,0.32,,,,HxCDFs,,,,0.057,0.044,,―,―,0.067,0.12,0.098,0.055,0.076,0.2,,0.13,―,―
,,"1,2,3,4,6,7,8HpCDF",0.01,0.008,0.002,0.13,0.1,0.055,0.072,0.069,0.1,0.11,0.16,,,,"1,2,3,4,6,7,8HpCDF",0.01,0.01,0.003,0.028,0.028,,0.008,0.002,0.036,0.051,0.04,0.024,0.037,0.084,,0.04,0.0028,0.0008
,,"1,2,3,4,7,8,9HpCDF",0.01,0.009,0.003,0.021,0.019,0.012,0.013,0.012,0.025,0.022,0.031,,,,"1,2,3,4,7,8,9HpCDF",0.01,0.011,0.003,0.004,ND,,0.009,0.003,ND,0.01,0.008,0.005,0.007,0.013,,0.004,0.003,0.001
,,HpCDFs,,―,―,0.22,0.17,0.094,0.12,0.11,0.2,0.2,0.26,,,,HpCDFs,,,,0.046,0.042,,―,―,0.053,0.087,0.074,0.042,0.062,0.13,,0.057,―,―
,,OCDF,0.0003,0.01,0.003,0.12,0.1,0.045,0.053,0.049,0.099,0.1,0.24,,,,OCDF,0.0003,0.023,0.007,0.029,0.029,,0.01,0.003,0.029,0.053,0.05,0.018,0.024,0.047,,0.018,0.0032,0.0009
,,Total PCDFs,,―,―,1.4,1,0.77,0.82,0.75,1.4,1.5,1.7,,,,Total PCDFs,,,,0.4,0.32,,―,―,0.44,0.66,0.58,0.35,0.41,0.95,,0.77,―,―
コプラナーPCBs,,"3,4,4',5TeCB (#81)",0.0003,0.008,0.002,0.022,0.017,0.037,0.014,0.011,0.019,0.018,0.019,,コプラナーPCBs,,"3,4,4',5TeCB (#81)",0.0003,0.008,0.002,0.008,0.006,,0.008,0.002,0.007,0.009,0.008,0.007,0.006,0.013,,0.011,0.0026,0.0008
,,"3,3',4,4'TeCB (#77)",0.0001,0.007,0.002,0.2,0.14,0.48,0.11,0.07,0.13,0.11,0.13,,,,"3,3',4,4'TeCB (#77)",0.0001,0.009,0.003,0.059,0.05,,0.007,0.002,0.061,0.094,0.059,0.083,0.051,0.066,,0.04,0.0023,0.0007
,,"3,3'4,4',5PeCB (#126)",0.1,0.004,0.001,0.019,0.014,0.012,0.011,0.009,0.017,0.019,0.021,,,,"3,3'4,4',5PeCB (#126)",0.1,0.008,0.003,0.006,0.005,,0.004,0.001,0.007,0.01,0.008,0.008,0.006,0.013,,0.014,0.0014,0.0004
,,"3,3',4,4',5,5'HxCB (#169)",0.03,0.008,0.002,0.005,0.003,0.003,ND,ND,0.006,0.007,0.006,,,,"3,3',4,4',5,5'HxCB (#169)",0.03,0.01,0.003,ND,ND,,0.008,0.002,ND,0.002,0.002,ND,ND,0.004,,0.0036,0.0028,0.0008
,,"2',3,4,4',5PeCB (#123)",0.00003,0.007,0.002,0.036,0.026,0.087,0.016,0.013,0.018,0.016,0.016,,,,"2',3,4,4',5PeCB (#123)",0.00003,0.008,0.002,0.01,0.009,,0.007,0.002,0.011,0.018,0.012,0.012,0.011,0.014,,0.0063,0.0022,0.0006
,,"2,3',4,4',5PeCB (#118)",0.00003,0.009,0.003,1.7,1.1,4.3,0.61,0.34,0.54,0.61,0.56,,,,"2,3',4,4',5PeCB (#118)",0.00003,0.019,0.006,0.34,0.29,,0.009,0.003,0.38,0.54,0.33,0.41,0.32,0.33,,0.092,0.003,0.001
,,"2,3,3',4,4'PeCB (#105)",0.00003,0.006,0.002,0.55,0.34,1.1,0.21,0.12,0.21,0.24,0.19,,,,"2,3,3',4,4'PeCB (#105)",0.00003,0.01,0.003,0.12,0.095,,0.006,0.002,0.13,0.18,0.11,0.15,0.11,0.12,,0.035,0.002,0.0006
,,"2,3,4,4',5PeCB (#114)",0.00003,0.006,0.002,0.057,0.039,0.13,0.021,0.014,0.026,0.027,0.023,,,,"2,3,4,4',5PeCB (#114)",0.00003,0.009,0.003,0.014,0.009,,0.006,0.002,0.013,0.022,0.014,0.016,0.013,0.015,,0.007,0.002,0.0006
,,"2,3',4,4',5,5'HxCB (#167)",0.00003,0.005,0.001,0.039,0.021,0.042,0.018,0.009,0.02,0.029,0.02,,,,"2,3',4,4',5,5'HxCB (#167)",0.00003,0.007,0.002,0.009,0.008,,0.005,0.001,0.011,0.012,0.011,0.012,0.009,0.014,,0.0057,0.0016,0.0005
,,"2,3,3',4,4',5HxCB (#156)",0.00003,0.0027,0.0009,0.067,0.045,0.082,0.026,0.018,0.044,0.063,0.04,,,,"2,3,3',4,4',5HxCB (#156)",0.00003,0.009,0.003,0.016,0.014,,0.0027,0.0009,0.02,0.025,0.02,0.018,0.017,0.023,,0.0093,0.0009,0.0003
,,"2,3,3',4,4',5'HxCB (#157)",0.00003,0.005,0.001,0.022,0.011,0.02,0.008,0.006,0.015,0.018,0.012,,,,"2,3,3',4,4',5'HxCB (#157)",0.00003,0.01,0.003,0.005,0.004,,0.005,0.001,0.005,0.008,0.006,0.006,0.005,0.008,,0.0052,0.0016,0.0005
,,"2,3,3',4,4',5,5'HpCB (#189)",0.00003,0.007,0.002,0.01,0.007,0.006,0.004,0.005,0.009,0.009,0.012,,,,"2,3,3',4,4',5,5'HpCB (#189)",0.00003,0.01,0.003,0.004,ND,,0.007,0.002,0.004,0.006,0.004,ND,0.003,0.007,,0.0053,0.0025,0.0008
,,Total CoPCBs,,,,2.8,1.7,6.4,1,0.62,1.1,1.2,1,,,,Total CoPCBs,,,,0.59,0.49,,―,―,0.65,0.92,0.58,0.72,0.55,0.63,,0.24,―,
Total (PCDDs+PCDFs+CoPCBs),,,,,,5,3.3,7.7,2.5,2,3.5,3.6,3.9,,Total (PCDDs+PCDFs+CoPCBs),,,,,,1.3,1.1,,―,―,1.4,2.1,8.3,1.3,1.5,2.3,,1.7,―,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毒性等量,,,,,,,,,,,,,単位：pgTEQ/m3,,毒性等量,,,,,,,単位：pgTEQ/m3,,,,,,,,,単位：pg/m3,,,,単位：pgTEQ/m3
PCDDs ,,,,,,0.0097,0.0065,0.0042,0.0069,0.0064,0.01,0.015,0.012,,PCDDs,,,,,,0.0022,0.0023,,,,0.002,0.0028,0.021,0.002,0.0041,0.0061,,0.0061,,
PCDFs,,,,,,0.018,0.012,0.008,0.01,0.01,0.016,0.018,0.021,,PCDFs,,,,,,0.005,0.0039,,,,0.0046,0.0074,0.0068,0.004,0.0049,0.012,,0.0091,,
coPCBs,,,,,,0.0022,0.0016,0.0015,0.0012,0.00096,0.0019,0.0022,0.0023,,coPCBs,,,,,,0.00067,0.00056,,,,0.00076,0.0011,0.00088,0.00086,0.00065,0.0014,,0.0015,,
Total DXN,,,,,,0.03,0.02,0.014,0.018,0.017,0.029,0.035,0.035,,Total DXN,,,,,,0.0079,0.0068,,,,0.0074,0.011,0.029,0.0069,0.0096,0.02,,0.017,,
備考：,,(1)毒性等価係数：WHOTEF 2006,,,,,,,,,,,,,備考：,,(1)毒性等価係数：WHOTEF 2006,,,,,,,,,,,,,,,,,,
,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,,,,
,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,
,,(4)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,(4)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,(5)西多摩郡檜原局については、吸引量を300L/minとして採取した。,,,,,,,,,,,,,,,,,,
