大気　ダイオキシン類異性体等分析結果（第２回調査　 ２０２１(令和３)年８月：区部）,,,,,,,,,,,,,,,大気　ダイオキシン類異性体等分析結果（第２回調査　 ２０２１(令和３)年８月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2021(令和3）年　8月18日～8月25日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2021(令和3）年　8月18日～8月25日）,,,,単位：pg/m3,,,,,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","⑩八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,Total PCDDs,－,―,―,0.22,0.27,0.25,0.34,0.28,0.41,0.54,0.48,,,,Total PCDDs,－,－,－,0.32,0.23,,―,―,0.44,0.28,0.41,0.29,0.38,0.4,,2.2,―,―
PCDFs,,"1,2,7,8-TeCDF",0,0.0021,0.0006,0.0087,0.016,ND,0.0087,0.0069,0.011,0.012,0.013,,PCDFs,,"1,2,7,8-TeCDF",0,0.005,0.002,0.01,0.007,,0.0021,0.0006,0.012,0.0084,0.0086,0.0091,0.01,0.01,,0.077,0.0007,0.0002
,,"2,3,7,8-TeCDF",0.1,0.0021,0.0006,0.006,0.0089,0.0043,0.0043,0.0038,0.0065,0.0064,0.0075,,,,"2,3,7,8-TeCDF",0.1,0.005,0.002,0.004,0.003,,0.0021,0.0006,0.0062,0.0036,0.0054,0.0052,0.0059,0.0058,,0.042,0.0007,0.0002
,,"1,3,6,8-TeCDF",0,0.0021,0.0006,0.0097,0.017,0.0096,0.011,0.008,0.015,0.011,0.015,,,,"1,3,6,8-TeCDF",0,0.005,0.002,0.013,0.012,,0.0021,0.0006,0.013,0.0095,0.012,0.011,0.013,0.013,,0.056,0.0007,0.0002
,,TeCDFs,－,―,―,0.29,0.54,0.21,0.19,0.2,0.32,0.39,0.31,,,,TeCDFs,－,－,－,0.28,0.14,,―,―,0.48,0.17,0.22,0.21,0.27,0.26,,2.2,―,―
,,"1,2,3,7,8-PeCDF",0.03,0.007,0.002,0.006,0.008,0.005,0.006,0.005,0.01,0.008,0.008,,,,"1,2,3,7,8-PeCDF",0.03,0.004,0.001,0.007,0.004,,0.007,0.002,0.01,0.005,0.006,0.006,0.008,0.007,,0.052,0.0024,0.0007
,,"2,3,4,7,8-PeCDF",0.3,0.007,0.002,0.005,0.007,0.005,0.006,0.005,0.011,0.012,0.01,,,,"2,3,4,7,8-PeCDF",0.3,0.007,0.002,0.006,0.005,,0.007,0.002,0.01,0.006,0.006,0.009,0.007,0.008,,0.068,0.0022,0.0007
,,PeCDFs,－,―,―,0.32,0.64,0.14,0.15,0.13,0.25,0.54,0.19,,,,PeCDFs,－,－,－,0.13,0.091,,―,―,0.73,0.14,0.15,0.15,0.16,0.17,,1.1,―,―
,,"1,2,3,4,7,8-HxCDF",0.1,0.0024,0.0006,0.0052,0.0066,0.0054,0.0052,0.0038,0.012,0.014,0.0081,,,,"1,2,3,4,7,8-HxCDF",0.1,0.008,0.002,0.008,0.005,,0.0024,0.0006,0.011,0.0053,0.0061,0.0066,0.0075,0.0069,,0.052,0.0008,0.0002
,,"1,2,3,6,7,8-HxCDF",0.1,0.0033,0.0009,0.005,0.0066,0.0051,0.0052,0.0044,0.013,0.016,0.0087,,,,"1,2,3,6,7,8-HxCDF",0.1,0.007,0.002,0.01,0.007,,0.0033,0.0009,0.01,0.0059,0.0058,0.0066,0.0075,0.007,,0.054,0.0011,0.0003
,,"1,2,3,7,8,9-HxCDF",0.1,0.0012,0.0003,ND,ND,0.001,0.0011,0.0013,0.0026,0.0036,0.0021,,,,"1,2,3,7,8,9-HxCDF",0.1,0.009,0.003,      ND,      ND,,0.0012,0.0003,0.0023,0.0014,ND,0.0013,0.0016,0.0017,,0.0055,0.0004,0.0001
,,"2,3,4,6,7,8-HxCDF",0.1,0.004,0.001,0.005,0.005,0.003,0.005,0.004,0.012,0.017,0.008,,,,"2,3,4,6,7,8-HxCDF",0.1,0.009,0.003,0.009,0.006,,0.004,0.001,0.013,0.005,0.005,0.006,0.007,0.008,,0.054,0.0012,0.0004
,,HxCDFs,－,―,―,0.11,0.18,0.056,0.064,0.05,0.15,0.23,0.093,,,,HxCDFs,－,－,－,0.094,0.053,,―,―,0.25,0.064,0.069,0.079,0.073,0.079,,0.52,―,―
,,"1,2,3,4,6,7,8-HpCDF",0.01,0.007,0.002,0.016,0.018,0.013,0.017,0.012,0.042,0.051,0.026,,,,"1,2,3,4,6,7,8-HpCDF",0.01,0.009,0.003,0.025,0.014,,0.007,0.002,0.049,0.014,0.017,0.022,0.02,0.023,,0.095,0.0023,0.0007
,,"1,2,3,4,7,8,9-HpCDF",0.01,0.0027,0.0009,0.0027,ND,0.003,0.0032,0.0026,0.0099,0.0094,0.005,,,,"1,2,3,4,7,8,9-HpCDF",0.01,0.012,0.004,0.005,      ND,,0.0027,0.0009,0.007,0.0031,0.0033,0.0041,0.004,0.0053,,0.012,0.0009,0.0003
,,HpCDFs,－,―,―,0.028,0.03,0.025,0.03,0.021,0.081,0.084,0.043,,,,HpCDFs,－,－,－,0.045,0.022,,―,―,0.079,0.026,0.03,0.035,0.035,0.04,,0.15,―,―
,,OCDF,0.0003,0.015,0.006,0.017,0.019,0.012,0.016,0.012,0.044,0.059,0.025,,,,OCDF,0.0003,0.022,0.007,0.023,0.016,,0.015,0.006,0.036,0.018,0.021,0.029,0.027,0.024,,0.038,0.005,0.002
,,Total PCDFs,－,―,―,0.76,1.4,0.44,0.45,0.42,0.85,1.3,0.66,,,,Total PCDFs,－,－,－,0.57,0.32,,―,―,1.6,0.42,0.49,0.5,0.57,0.57,,4,―,―
コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.005,0.001,0.022,0.029,0.043,0.024,0.017,0.033,0.022,0.02,,コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.008,0.002,0.014,0.012,,0.005,0.001,0.02,0.021,0.019,0.02,0.021,0.017,,0.052,0.0016,0.0005
,,"3,3',4,4'-TeCB (#77)",0.0001,0.007,0.002,0.42,0.44,0.75,0.38,0.26,0.53,0.32,0.24,,,,"3,3',4,4'-TeCB (#77)",0.0001,0.006,0.002,0.19,0.2,,0.007,0.002,0.31,0.33,0.26,0.29,0.31,0.25,,0.21,0.0022,0.0007
,,"3,3'4,4',5-PeCB (#126)",0.1,0.004,0.001,0.018,0.025,0.02,0.02,0.016,0.029,0.027,0.021,,,,"3,3'4,4',5-PeCB (#126)",0.1,0.009,0.003,0.019,0.017,,0.004,0.001,0.022,0.019,0.018,0.022,0.024,0.017,,0.081,0.0012,0.0004
,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.009,0.003,ND,0.003,ND,ND,ND,ND,0.007,0.004,,,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.007,0.002,0.003,      ND,,0.009,0.003,0.003,ND,ND,0.003,0.003,ND,,0.017,0.003,0.0009
,,"2',3,4,4',5-PeCB (#123)",0.00003,0.007,0.002,0.064,0.077,0.15,0.066,0.041,0.085,0.051,0.041,,,,"2',3,4,4',5-PeCB (#123)",0.00003,0.009,0.003,0.042,0.034,,0.007,0.002,0.052,0.044,0.055,0.044,0.053,0.038,,0.024,0.0022,0.0007
,,"2,3',4,4',5-PeCB (#118)",0.00003,0.009,0.003,3,3.7,6.8,2.7,1.6,3.8,2.3,1.6,,,,"2,3',4,4',5-PeCB (#118)",0.00003,0.016,0.005,1.6,1.5,,0.009,0.003,2.3,1.8,2.4,1.9,2.4,1.5,,0.46,0.0029,0.0009
,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.007,0.002,1.1,1.4,2.3,0.99,0.62,1.5,0.87,0.56,,,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.012,0.003,0.55,0.55,,0.007,0.002,0.78,0.63,0.83,0.7,0.84,0.57,,0.2,0.0022,0.0007
,,"2,3,4,4',5-PeCB (#114)",0.00003,0.007,0.002,0.089,0.12,0.23,0.085,0.052,0.13,0.074,0.05,,,,"2,3,4,4',5-PeCB (#114)",0.00003,0.009,0.003,0.051,0.051,,0.007,0.002,0.069,0.059,0.075,0.054,0.074,0.049,,0.026,0.0022,0.0007
,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.005,0.001,0.077,0.09,0.086,0.059,0.038,0.09,0.069,0.041,,,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.008,0.002,0.037,0.043,,0.005,0.001,0.055,0.044,0.052,0.053,0.062,0.041,,0.022,0.0017,0.0005
,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.006,0.002,0.14,0.19,0.17,0.11,0.07,0.17,0.14,0.072,,,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.01,0.003,0.075,0.082,,0.006,0.002,0.11,0.077,0.095,0.088,0.11,0.073,,0.044,0.0021,0.0006
,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.004,0.001,0.032,0.042,0.036,0.026,0.019,0.039,0.037,0.019,,,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.008,0.002,0.021,0.022,,0.004,0.001,0.025,0.019,0.024,0.022,0.028,0.018,,0.026,0.0014,0.0004
,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.006,0.002,0.007,0.009,0.007,0.005,ND,0.008,0.017,0.01,,,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.009,0.003,0.005,0.005,,0.006,0.002,0.009,0.006,0.008,ND,0.009,0.005,,0.018,0.0021,0.0006
,,Total Co-PCBs,－,―,―,4.9,6.1,11,4.5,2.7,6.4,3.9,2.7,,,,Total Co-PCBs,－,－,－,2.6,2.5,,―,―,3.8,3,3.9,3.2,4,2.6,,1.2,―,―
Total (PCDDs+PCDFs+Co-PCBs),,,－,―,―,5.9,7.8,11,5.3,3.4,7.7,5.8,3.8,,Total (PCDDs+PCDFs+Co-PCBs),,,－,－,－,3.5,3.1,,―,―,5.8,3.7,4.8,4,4.9,3.6,,7.4,―,―
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毒性等量,,,,,,,,,,,,,単位：pgTEQ/m3,,毒性等量,,,,,,,単位：pgTEQ/m3,,,,,,,,,単位：pgTEQ/m3,,,,単位：pg-TEQ/m3
PCDDs ,,,－,－,－,0.0027,0.0029,0.0021,0.0028,0.0013,0.0044,0.0056,0.0021,,PCDDs,,,－,－,－,0.002,0.0015,,－,－,0.0033,0.0024,0.0022,0.0032,0.0028,0.003,,0.03,－,－
PCDFs,,,－,－,－,0.004,0.0053,0.0037,0.0043,0.0035,0.0087,0.01,0.007,,PCDFs,,,－,－,－,0.0056,0.004,,－,－,0.0081,0.0042,0.0044,0.0057,0.0055,0.0058,,0.044,－,－
co-PCBs,,,－,－,－,0.002,0.0028,0.0024,0.0022,0.0017,0.0032,0.0031,0.0023,,co-PCBs,,,－,－,－,0.0021,0.0018,,－,－,0.0024,0.0021,0.002,0.0024,0.0026,0.0018,,0.0087,－,－
Total DXN,,,－,－,－,0.0087,0.011,0.0082,0.0093,0.0065,0.016,0.019,0.011,,Total DXN,,,－,－,－,0.0097,0.0073,,－,－,0.014,0.009,0.0086,0.011,0.011,0.011,,0.083,－,－
備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,,,,,,
,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,,,,
,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,
,,(4)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,(4)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,(5)西多摩郡檜原局については、吸引量を300L/minとして採取した。,,,,,,,,,,,,,,,,,,
