測定年度,測定局,"測定局
の区分",4月(μｇ/m3）,5月(μｇ/m3）,6月(μｇ/m3）,7月(μｇ/m3）,8月(μｇ/m3）,9月(μｇ/m3）,10月(μｇ/m3）,11月(μｇ/m3）,12月(μｇ/m3）,1月(μｇ/m3）,2月(μｇ/m3）,3月(μｇ/m3）,年間(μｇ/m3）,"環境
基準等
注1(μｇ/m3）","定量
下限値
注2(μｇ/m3）","検出
下限値
注2(μｇ/m3）","公定法
毎月24時間
注3(μｇ/m3）"
"1,3-ﾌﾞﾀｼﾞｴﾝ",大田局,一般,,,,0.18,0.25,0.41,0.17,0.21,0.25,0.27,0.21,,0.24,2.5　*,0.043/0.019,0.013/0.006,0.38
"1,3-ﾌﾞﾀｼﾞｴﾝ",板橋局,一般,0.11,0.15,,0.09,,0.09,0.17,0.36,0.63,0.17,0.18,0.09,0.19,2.5　*,0.38,0.11,0.15
"1,3-ﾌﾞﾀｼﾞｴﾝ",八幡山局,自排,0.21,0.16,0.08,0.16,0.21,0.19,0.2,0.6,0.59,0.67,0.6,0.34,0.33,2.5　*,0.072/0.15,0.022/0.04,0.16
ｱｸﾘﾛﾆﾄﾘﾙ,江東局,一般,0.2,0.1,0.22,0.2,0.15,0.06,0.05,0.09,0.06,0.06,0.09,0.08,0.11,2　*,0.1,0.03,0.12
ｱｸﾘﾛﾆﾄﾘﾙ,大田局,一般,,,,0.33,0.38,0.27,0.08,0.12,0.13,0.15,0.11,,0.23,2　*,0.045/0.044,0.014/0.013,0.24
ｱｸﾘﾛﾆﾄﾘﾙ,板橋局,一般,0.12,0.08,,0.07,,0.04,0.1,0.24,0.24,0.07,0.09,0.05,0.11,2　*,0.054,0.016,0.11
ｱｸﾘﾛﾆﾄﾘﾙ,八幡山局,自排,0.17,0.12,0.12,0.08,0.12,0.19,0.16,0.2,0.24,0.25,0.16,0.04,0.15,2　*,0.027/0.11,0.008/0.03,0.12
ｸﾛﾛﾎﾙﾑ,江東局,一般,0.14,0.1,0.1,0.12,0.13,0.1,0.11,0.14,0.12,0.1,0.09,0.1,0.11,18　*,0.04,0.01,0.26
ｸﾛﾛﾎﾙﾑ,大田局,一般,,,,0.17,0.2,0.34,0.3,0.39,0.35,0.25,0.31,,0.29,18　*,0.041/0.15,0.012/0.04,0.29
ｸﾛﾛﾎﾙﾑ,板橋局,一般,0.32,0.3,,0.25,,0.21,0.55,0.61,0.38,0.35,0.27,0.24,0.34,18　*,0.18,0.06,0.27
ｸﾛﾛﾎﾙﾑ,八幡山局,自排,0.21,0.2,0.15,0.12,0.19,0.2,0.25,0.27,0.18,0.22,0.19,0.18,0.19,18　*,0.057/0.11,0.017/0.03,0.19
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",江東局,一般,0.09,0.08,0.09,0.06,0.07,0.06,0.06,0.13,0.08,0.07,0.08,0.08,0.08,1.6　*,0.02,0.006,0.1
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",大田局,一般,,,,0.14,0.13,0.13,0.11,0.18,0.14,0.12,0.13,,0.14,1.6　*,0.034/0.054,0.010/0.016,0.12
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",板橋局,一般,0.18,0.17,,0.1,,0.1,0.2,0.37,0.22,0.16,0.12,0.16,0.17,1.6　*,0.14,0.04,0.1
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",八幡山局,自排,0.15,0.15,0.11,0.09,0.12,0.1,0.11,0.19,0.1,0.14,0.12,0.12,0.12,1.6　*,0.063/0.067,0.019/0.020,0.1
ﾄﾙｴﾝ,江東局,一般,2.9,2.3,3.1,2.2,2,2.3,4.9,8.6,6.5,4.4,3.7,2.9,3.7,,0.1,0.03,6.1
ﾄﾙｴﾝ,大田局,一般,,,,3.7,3.46,3.82,5.91,8.69,8.55,6.37,6.18,,5.78,,0.089/0.076,0.027/0.023,6.9
ﾄﾙｴﾝ,板橋局,一般,5.11,4.7,,4.11,,5.24,19.7,22.74,15.54,7.27,6.18,5.7,9.27,,0.037,0.011,7.4
ﾄﾙｴﾝ,八幡山局,自排,4.74,3.52,4.28,2.83,3.77,4.06,6.02,8.32,6.35,5.48,4.6,3.93,4.82,,0.015/0.026,0.004/0.008,5.3
m+p-ｷｼﾚﾝ,江東局,一般,0.57,0.47,0.76,0.64,0.55,0.46,0.83,1.4,1.1,0.74,0.56,0.5,0.7,,0.1,0.03,1.2
m+p-ｷｼﾚﾝ,大田局,一般,,,,1.33,1.11,0.91,1.57,1.85,2.05,1.42,1.16,,1.45,,0.13/0.068,0.04/0.020,1.7
m+p-ｷｼﾚﾝ,板橋局,一般,0.97,1.03,,1.51,,2.06,2.38,2.41,1.13,0.89,0.68,0.77,1.37,,0.086,0.026,1.3
m+p-ｷｼﾚﾝ,八幡山局,自排,1.62,2.76,1.65,0.78,1.03,0.81,0.87,1.36,1.32,1.1,0.79,0.66,1.22,,0.030/0.043,0.009/0.013,1.5
o-ｷｼﾚﾝ,江東局,一般,0.23,0.2,0.3,0.26,0.23,0.19,0.32,0.52,0.43,0.29,0.22,0.2,0.28,,0.1,0.03,0.44
o-ｷｼﾚﾝ,大田局,一般,,,,0.56,0.46,0.37,0.5,0.65,0.74,0.55,0.45,,0.56,,0.051/0.048,0.015/0.014,0.6
o-ｷｼﾚﾝ,板橋局,一般,0.44,0.5,,0.88,,1.4,1.07,0.9,0.4,0.32,0.26,0.34,0.65,,0.048,0.014,0.46
o-ｷｼﾚﾝ,八幡山局,自排,0.58,0.86,0.57,0.28,0.36,0.33,0.32,0.48,0.52,0.41,0.3,0.27,0.44,,0.027/0.048,0.008/0.014,0.51
総ｷｼﾚﾝ,江東局,一般,0.8,0.67,1.1,0.9,0.78,0.65,1.2,1.9,1.5,1,0.79,0.7,0.98,,0.2,0.06,1.6
総ｷｼﾚﾝ,大田局,一般,,,,1.89,1.57,1.28,2.07,2.5,2.8,1.97,1.61,,2.01,,0.18/0.12,0.05/0.03,2.3
総ｷｼﾚﾝ,板橋局,一般,1.41,1.53,,2.39,,3.46,3.45,3.31,1.53,1.21,0.94,1.11,2.03,,0.13,0.04,1.7
総ｷｼﾚﾝ,八幡山局,自排,2.19,3.61,2.22,1.07,1.39,1.14,1.19,1.83,1.84,1.52,1.09,0.93,1.66,,0.057/0.091,0.017/0.027,2
ｴﾁﾙﾍﾞﾝｾﾞﾝ,江東局,一般,0.74,0.61,0.91,0.72,0.61,0.59,1.1,1.9,1.4,0.94,0.77,0.68,0.9,,0.1,0.02,1.4
ｴﾁﾙﾍﾞﾝｾﾞﾝ,大田局,一般,,,,1.17,1.09,0.99,1.8,2.11,2.23,1.54,1.35,,1.55,,0.083/0.057,0.025/0.017,1.8
ｴﾁﾙﾍﾞﾝｾﾞﾝ,板橋局,一般,1.41,1.52,,2.02,,2.87,3.36,3.25,1.35,1.23,0.99,1.01,1.9,,0.033,0.01,1.4
ｴﾁﾙﾍﾞﾝｾﾞﾝ,八幡山局,自排,1.76,2.68,1.78,0.86,1.3,0.88,0.94,1.5,1.26,1.1,0.94,0.81,1.31,,0.028/0.016,0.008/0.005,1.5
ｽﾁﾚﾝ,江東局,一般,0.11,0.1,0.17,0.18,0.14,0.12,0.18,0.31,0.27,0.21,0.14,0.14,0.17,,0.05,0.02,0.12
ｽﾁﾚﾝ,大田局,一般,,,,0.35,0.2,0.18,0.14,0.18,0.19,0.14,0.11,,0.21,,0.12/0.12,0.04/0.04,0.2
ｽﾁﾚﾝ,板橋局,一般,0.1,0.11,,0.14,,0.23,0.25,0.19,0.09,0.1,0.06,0.06,0.13,,0.01,0.003,0.13
ｽﾁﾚﾝ,八幡山局,自排,0.13,0.39,0.1,0.07,0.08,0.08,0.07,0.14,0.13,0.1,0.05,0.02,0.11,,0.044/0.012,0.013/0.004,0.13
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",江東局,一般,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.05,0.02,<0.02
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",大田局,一般,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,,0.029/0.025,0.009/0.007,<0.02
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",板橋局,一般,0.03,0.03,,0.03,,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,,0.21,0.06,<0.02
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",八幡山局,自排,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.040/0.026,0.012/0.008,<0.02
四塩化炭素,江東局,一般,0.41,0.4,0.41,0.48,0.46,0.42,0.43,0.65,0.47,0.44,0.37,0.38,0.44,,0.3,0.09,0.64
四塩化炭素,大田局,一般,,,,0.61,0.57,0.8,0.86,0.7,0.87,0.79,0.69,,0.76,,0.030/0.020,0.009/0.006,0.59
四塩化炭素,板橋局,一般,0.77,0.78,,0.79,,0.7,1.56,1.52,1.07,1.18,0.92,0.71,0.98,,0.049,0.015,0.61
四塩化炭素,八幡山局,自排,0.61,0.71,0.52,0.63,0.75,0.6,0.39,0.74,0.58,0.96,0.99,1.8,0.78,,0.081/0.095,0.024/0.028,0.6
,注1：,環境基本法第16条に基づく大気環境基準　　*付きは環境中の有害大気汚染物質による健康リスクの提言を図るための指針となる数値（指針値）,,,,,,,,,,,,,,,,,
,注2：,大田局、江東局についてはVOC連続計稼働当初より使用してきた定量下限値及び検出下限値　板橋局はS/N比より、八幡山局は低濃度試料を測定し標準偏差より定量下限値及び検出下限値を算出した。,,,,,,,,,,,,,,,,,
,注3：,江東局のデータは、有害モニタリング調査に準じて測定した値,,,,,,,,,,,,,,,,,
