大気　ダイオキシン類異性体等分析結果（第１回調査　 ２０２１(令和３)年５月：区部）,,,,,,,,,,,,,,,大気　ダイオキシン類異性体等分析結果（第１回調査　 ２０２１(令和３)年５月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2021(令和3)年　5月19日～5月26日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2021(令和3)年　5月19日～5月26日）,,,,単位：pg/m3,,,,,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","⑩八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,Total PCDDs,－,―,―,0.3,0.34,0.25,0.4,0.3,0.46,0.41,0.37,,,,Total PCDDs,－,－,－,0.54,0.32,,―,―,0.43,0.33,0.36,0.52,0.36,0.53,,1.8,―,―
PCDFs,,"1,2,7,8-TeCDF",0,0.003,0.0009,0.013,0.018,0.0093,0.013,0.0071,0.014,0.012,0.011,,PCDFs,,"1,2,7,8-TeCDF",0,0.005,0.002,0.008,0.007,,0.003,0.0009,0.0096,0.0087,0.0073,0.012,0.0081,0.012,,0.022,0.001,0.0003
,,"2,3,7,8-TeCDF",0.1,0.003,0.0009,0.0077,0.0084,0.0058,0.0077,0.0047,0.009,0.0076,0.0063,,,,"2,3,7,8-TeCDF",0.1,0.005,0.002,0.004,0.005,,0.003,0.0009,0.0056,0.005,0.0039,0.0068,0.0044,0.0052,,0.011,0.001,0.0003
,,"1,3,6,8-TeCDF",0,0.003,0.0009,0.015,0.018,0.011,0.017,0.011,0.018,0.013,0.013,,,,"1,3,6,8-TeCDF",0,0.005,0.002,0.013,0.013,,0.003,0.0009,0.012,0.0095,0.011,0.014,0.011,0.015,,0.038,0.001,0.0003
,,TeCDFs,－,―,―,0.37,0.48,0.24,0.38,0.22,0.38,0.34,0.34,,,,TeCDFs,－,－,－,0.24,0.23,,―,―,0.27,0.24,0.22,0.33,0.24,0.34,,0.97,―,―
,,"1,2,3,7,8-PeCDF",0.03,0.005,0.001,0.008,0.011,0.007,0.011,0.006,0.011,0.009,0.007,,,,"1,2,3,7,8-PeCDF",0.03,0.004,0.001,0.006,0.006,,0.005,0.001,0.008,0.006,0.006,0.008,0.005,0.007,,0.016,0.0018,0.0005
,,"2,3,4,7,8-PeCDF",0.3,0.005,0.001,0.009,0.011,0.006,0.01,0.006,0.014,0.008,0.01,,,,"2,3,4,7,8-PeCDF",0.3,0.007,0.002,0.008,0.007,,0.005,0.001,0.007,0.006,0.008,0.009,0.007,0.008,,0.02,0.0017,0.0005
,,PeCDFs,－,―,―,0.23,0.36,0.16,0.23,0.13,0.26,0.23,0.24,,,,PeCDFs,－,－,－,0.15,0.14,,―,―,0.16,0.16,0.14,0.18,0.13,0.17,,0.51,―,―
,,"1,2,3,4,7,8-HxCDF",0.1,0.004,0.001,0.009,0.011,0.006,0.012,0.006,0.014,0.009,0.009,,,,"1,2,3,4,7,8-HxCDF",0.1,0.008,0.002,0.009,0.009,,0.004,0.001,0.008,0.006,0.007,0.008,ND,0.008,,0.017,0.0015,0.0005
,,"1,2,3,6,7,8-HxCDF",0.1,0.008,0.002,0.01,0.01,0.006,0.011,0.005,0.012,0.008,0.009,,,,"1,2,3,6,7,8-HxCDF",0.1,0.007,0.002,0.01,0.009,,0.008,0.002,0.007,0.006,0.007,0.009,0.006,0.008,,0.017,0.0027,0.0008
,,"1,2,3,7,8,9-HxCDF",0.1,0.008,0.002,ND,ND,ND,0.002,ND,ND,ND,0.002,,,,"1,2,3,7,8,9-HxCDF",0.1,0.009,0.003,      ND,      ND,,0.008,0.002,0.002,ND,ND,0.002,ND,ND,,0.0024,0.0027,0.0008
,,"2,3,4,6,7,8-HxCDF",0.1,0.007,0.002,0.009,0.01,0.005,0.01,ND,0.011,0.007,0.006,,,,"2,3,4,6,7,8-HxCDF",0.1,0.009,0.003,0.012,0.009,,0.007,0.002,0.007,0.005,0.005,ND,0.005,0.007,,0.018,0.0023,0.0007
,,HxCDFs,－,―,―,0.1,0.14,0.063,0.12,0.053,0.14,0.093,0.1,,,,HxCDFs,－,－,－,0.095,0.076,,―,―,0.075,0.057,0.065,0.1,0.059,0.077,,0.22,―,―
,,"1,2,3,4,6,7,8-HpCDF",0.01,0.005,0.001,0.033,0.03,0.02,0.037,0.017,0.036,0.028,0.026,,,,"1,2,3,4,6,7,8-HpCDF",0.01,0.009,0.003,0.042,0.035,,0.005,0.001,0.029,0.018,0.02,0.037,0.023,0.027,,0.053,0.0018,0.0005
,,"1,2,3,4,7,8,9-HpCDF",0.01,0.009,0.003,0.005,0.005,0.004,0.008,0.004,0.007,0.004,0.005,,,,"1,2,3,4,7,8,9-HpCDF",0.01,0.012,0.004,0.009,0.005,,0.009,0.003,0.006,0.004,0.004,0.005,0.004,0.004,,0.005,0.003,0.001
,,HpCDFs,－,―,―,0.055,0.057,0.035,0.068,0.03,0.067,0.046,0.047,,,,HpCDFs,－,－,－,0.071,0.055,,―,―,0.051,0.032,0.035,0.061,0.038,0.045,,0.074,―,―
,,OCDF,0.0003,0.015,0.003,0.036,0.031,0.017,0.035,0.019,0.032,0.025,0.05,,,,OCDF,0.0003,0.022,0.007,0.04,0.03,,0.015,0.003,0.03,0.019,0.021,0.028,0.024,0.024,,0.021,0.005,0.001
,,Total PCDFs,－,―,―,0.79,1.1,0.52,0.83,0.45,0.88,0.73,0.78,,,,Total PCDFs,－,－,－,0.6,0.53,,―,―,0.59,0.5,0.49,0.7,0.5,0.66,,1.8,―,―
コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.006,0.002,0.02,0.022,0.05,0.02,0.012,0.021,0.018,0.015,,コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.008,0.002,0.011,0.01,,0.006,0.002,0.012,0.013,0.011,0.018,0.014,0.014,,0.047,0.002,0.0006
,,"3,3',4,4'-TeCB (#77)",0.0001,0.007,0.002,0.28,0.25,0.74,0.23,0.14,0.26,0.18,0.18,,,,"3,3',4,4'-TeCB (#77)",0.0001,0.006,0.002,0.12,0.12,,0.007,0.002,0.14,0.18,0.13,0.2,0.18,0.16,,0.12,0.0024,0.0007
,,"3,3'4,4',5-PeCB (#126)",0.1,0.004,0.001,0.018,0.021,0.016,0.018,0.011,0.017,0.016,0.015,,,,"3,3'4,4',5-PeCB (#126)",0.1,0.009,0.003,0.014,0.014,,0.004,0.001,0.013,0.011,0.012,0.016,0.012,0.013,,0.037,0.0012,0.0004
,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.012,0.003,ND,ND,ND,ND,ND,0.004,ND,ND,,,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.007,0.002,0.003,      ND,,0.012,0.003,ND,ND,ND,ND,ND,ND,,0.007,0.004,0.001
,,"2',3,4,4',5-PeCB (#123)",0.00003,0.006,0.002,0.042,0.044,0.14,0.039,0.022,0.041,0.031,0.027,,,,"2',3,4,4',5-PeCB (#123)",0.00003,0.009,0.003,0.02,0.02,,0.006,0.002,0.019,0.022,0.024,0.026,0.026,0.025,,0.019,0.002,0.0006
,,"2,3',4,4',5-PeCB (#118)",0.00003,0.009,0.003,1.9,2,6.7,1.6,0.76,1.6,1.2,1.2,,,,"2,3',4,4',5-PeCB (#118)",0.00003,0.016,0.005,0.76,0.77,,0.009,0.003,0.8,0.9,0.96,0.99,0.99,0.9,,0.35,0.003,0.001
,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.009,0.003,0.66,0.69,1.9,0.57,0.28,0.61,0.41,0.39,,,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.012,0.003,0.26,0.28,,0.009,0.003,0.29,0.31,0.32,0.35,0.35,0.34,,0.14,0.003,0.001
,,"2,3,4,4',5-PeCB (#114)",0.00003,0.007,0.002,0.06,0.067,0.21,0.052,0.027,0.054,0.037,0.038,,,,"2,3,4,4',5-PeCB (#114)",0.00003,0.009,0.003,0.03,0.029,,0.007,0.002,0.029,0.031,0.029,0.035,0.033,0.034,,0.033,0.0023,0.0007
,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.006,0.002,0.038,0.042,0.076,0.034,0.021,0.038,0.034,0.028,,,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.008,0.002,0.019,0.021,,0.006,0.002,0.025,0.024,0.026,0.03,0.028,0.024,,0.017,0.0019,0.0006
,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.007,0.002,0.085,0.11,0.15,0.076,0.04,0.074,0.064,0.06,,,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.01,0.003,0.038,0.039,,0.007,0.002,0.04,0.044,0.049,0.05,0.046,0.044,,0.039,0.0023,0.0007
,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.005,0.001,0.019,0.023,0.034,0.02,0.01,0.019,0.016,0.015,,,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.008,0.002,0.011,0.011,,0.005,0.001,0.012,0.013,0.013,0.013,0.011,0.01,,0.02,0.0016,0.0005
,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.012,0.003,0.007,0.011,0.006,0.007,ND,0.007,0.006,0.008,,,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.009,0.003,0.006,0.006,,0.012,0.003,0.006,0.004,0.004,0.007,0.003,ND,,0.014,0.004,0.001
,,Total Co-PCBs,－,―,―,3.2,3.2,10,2.6,1.3,2.7,2,2,,,,Total Co-PCBs,－,－,－,1.3,1.3,,―,―,1.4,1.6,1.6,1.7,1.7,1.6,,0.85,―,―
Total (PCDDs+PCDFs+Co-PCBs),,,－,―,―,4.2,4.6,11,3.9,2.1,4.1,3.1,3.1,,Total (PCDDs+PCDFs+Co-PCBs),,,－,－,－,2.4,2.2,,―,―,2.4,2.4,2.4,3,2.5,2.7,,4.4,―,―
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毒性等量,,,,,,,,,,,,,単位：pgTEQ/m3,,毒性等量,,,,,,,単位：pgTEQ/m3,,,,,,,,,単位：pgTEQ/m3,,,,単位：pg-TEQ/m3
PCDDs ,,,－,－,－,0.0038,0.0038,0.0021,0.0034,0.0015,0.0034,0.0039,0.0033,,PCDDs,,,－,－,－,0.004,0.0016,,－,－,0.0024,0.0017,0.0022,0.0044,0.0016,0.0042,,0.013,－,－
PCDFs,,,－,－,－,0.007,0.008,0.0046,0.0081,0.004,0.0097,0.0063,0.0068,,PCDFs,,,－,－,－,0.0068,0.006,,－,－,0.0057,0.0045,0.0052,0.006,0.0042,0.0058,,0.014,－,－
co-PCBs,,,－,－,－,0.002,0.0023,0.002,0.0019,0.0012,0.0019,0.0017,0.0016,,co-PCBs,,,－,－,－,0.0015,0.0015,,－,－,0.0014,0.0012,0.0013,0.0017,0.0013,0.0014,,0.004,－,－
Total DXN,,,－,－,－,0.013,0.014,0.0087,0.013,0.0067,0.015,0.012,0.012,,Total DXN,,,－,－,－,0.012,0.0091,,－,－,0.0095,0.0074,0.0087,0.012,0.0071,0.011,,0.031,－,－
備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,,,,,,
,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,,,,
,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,
,,(4)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,(4)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,(5)西多摩郡檜原局については、吸引量を300L/minとして採取した。,,,,,,,,,,,,,,,,,,
