[資料21]　大気　ダイオキシン類異性体等分析結果（第４回調査　 ２０２３(令和５)年２月：区部）,,,,,,,,,,,,,,,[資料21]　大気　ダイオキシン類異性体等分析結果（第４回調査　 ２０２３(令和５)年２月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2023(令和5）年　2月3日～2月10日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2023(令和5）年　2月3日～2月10日）,,,,単位：pg/m3,,,,（2023(令和5）年　2月3日～2月10日）,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,"1,2,3,7,8,9HxCDF",0.1,0.008,0.002,ND,0.002,ND,0.004,0.003,0.004,0.003,0.003,,,,"1,2,3,7,8,9HxCDF",0.1,0.013,0.004,ND,ND,,0.008,0.002,ND,ND,0.002,ND,0.003,ND,,0.0015,0.0028,0.0008
,,"2,3,4,6,7,8HxCDF",0.1,0.005,0.001,0.015,0.013,0.012,0.02,0.015,0.023,0.024,0.018,,,,"2,3,4,6,7,8HxCDF",0.1,0.01,0.003,0.009,0.008,,0.005,0.001,0.007,0.011,0.011,0.01,0.011,0.015,,0.014,0.0016,0.0005
,,HxCDFs,,―,―,0.15,0.14,0.13,0.19,0.13,0.22,0.24,0.16,,,,HxCDFs,,,,0.073,0.06,,―,―,0.068,0.11,0.12,0.089,0.11,0.17,,0.14,―,―
,,"1,2,3,4,6,7,8HpCDF",0.01,0.008,0.002,0.051,0.046,0.045,0.068,0.043,0.072,0.074,0.057,,,,"1,2,3,4,6,7,8HpCDF",0.01,0.01,0.003,0.033,0.028,,0.008,0.002,0.029,0.042,0.04,0.037,0.04,0.062,,0.052,0.0029,0.0008
,,"1,2,3,4,7,8,9HpCDF",0.01,0.009,0.003,0.009,0.008,0.009,0.012,0.008,0.013,0.012,0.011,,,,"1,2,3,4,7,8,9HpCDF",0.01,0.011,0.003,ND,0.005,,0.009,0.003,0.004,0.009,0.006,0.008,0.008,0.013,,0.006,0.003,0.001
,,HpCDFs,,―,―,0.082,0.076,0.077,0.12,0.075,0.13,0.12,0.099,,,,HpCDFs,,,,0.053,0.045,,―,―,0.049,0.077,0.072,0.066,0.07,0.11,,0.08,―,―
,,OCDF,0.0003,0.01,0.003,0.032,0.039,0.033,0.058,0.03,0.11,0.092,0.075,,,,OCDF,0.0003,0.023,0.007,0.028,0.022,,0.01,0.003,0.025,0.031,0.035,0.036,0.027,0.051,,0.027,0.0033,0.0009
,,Total PCDFs,,―,―,0.73,0.72,0.71,0.99,0.65,1.1,1.2,0.88,,,,Total PCDFs,,,,0.49,0.42,,―,―,0.4,0.54,0.6,0.52,0.53,0.81,,0.63,―,―
コプラナーPCBs,,"3,4,4',5TeCB (#81)",0.0003,0.008,0.002,0.01,0.009,0.028,0.011,0.006,0.009,0.01,0.008,,コプラナーPCBs,,"3,4,4',5TeCB (#81)",0.0003,0.008,0.002,0.005,0.005,,0.008,0.002,0.006,0.008,0.007,0.008,0.006,0.009,,0.0062,0.0027,0.0008
,,"3,3',4,4'TeCB (#77)",0.0001,0.007,0.002,0.083,0.074,0.41,0.079,0.04,0.061,0.075,0.063,,,,"3,3',4,4'TeCB (#77)",0.0001,0.009,0.003,0.043,0.037,,0.007,0.002,0.034,0.046,0.043,0.049,0.035,0.053,,0.022,0.0024,0.0007
,,"3,3'4,4',5PeCB (#126)",0.1,0.004,0.001,0.009,0.008,0.01,0.013,0.008,0.01,0.012,0.01,,,,"3,3'4,4',5PeCB (#126)",0.1,0.008,0.003,0.007,0.006,,0.004,0.001,0.005,0.006,0.007,0.007,0.007,0.009,,0.0065,0.0014,0.0004
,,"3,3',4,4',5,5'HxCB (#169)",0.03,0.008,0.002,0.003,0.002,0.002,ND,ND,0.003,0.004,0.003,,,,"3,3',4,4',5,5'HxCB (#169)",0.03,0.01,0.003,ND,ND,,0.008,0.002,ND,0.003,ND,ND,0.002,0.003,,0.0025,0.0029,0.0008
,,"2',3,4,4',5PeCB (#123)",0.00003,0.007,0.002,0.017,0.016,0.074,0.014,0.006,0.01,0.008,0.009,,,,"2',3,4,4',5PeCB (#123)",0.00003,0.008,0.002,0.006,0.005,,0.007,0.002,0.005,0.008,0.007,0.009,0.008,0.009,,0.0038,0.0023,0.0006
,,"2,3',4,4',5PeCB (#118)",0.00003,0.009,0.003,0.61,0.53,3.7,0.43,0.18,0.27,0.26,0.22,,,,"2,3',4,4',5PeCB (#118)",0.00003,0.019,0.006,0.19,0.16,,0.009,0.003,0.16,0.27,0.22,0.21,0.24,0.23,,0.067,0.003,0.001
,,"2,3,3',4,4'PeCB (#105)",0.00003,0.006,0.002,0.21,0.17,0.9,0.16,0.065,0.1,0.097,0.086,,,,"2,3,3',4,4'PeCB (#105)",0.00003,0.01,0.003,0.066,0.06,,0.006,0.002,0.063,0.094,0.089,0.073,0.088,0.085,,0.029,0.002,0.0006
,,"2,3,4,4',5PeCB (#114)",0.00003,0.006,0.002,0.022,0.018,0.11,0.019,0.008,0.012,0.012,0.011,,,,"2,3,4,4',5PeCB (#114)",0.00003,0.009,0.003,0.008,0.006,,0.006,0.002,0.008,0.01,0.011,0.009,0.009,0.011,,0.0041,0.002,0.0006
,,"2,3',4,4',5,5'HxCB (#167)",0.00003,0.005,0.001,0.016,0.014,0.031,0.012,0.007,0.009,0.012,0.009,,,,"2,3',4,4',5,5'HxCB (#167)",0.00003,0.007,0.002,0.008,0.004,,0.005,0.001,0.006,0.009,0.008,0.007,0.01,0.008,,0.0042,0.0016,0.0005
,,"2,3,3',4,4',5HxCB (#156)",0.00003,0.0027,0.0009,0.036,0.028,0.055,0.025,0.012,0.019,0.022,0.018,,,,"2,3,3',4,4',5HxCB (#156)",0.00003,0.009,0.003,0.017,0.012,,0.0027,0.0009,0.013,0.02,0.014,0.013,0.024,0.018,,0.0066,0.0009,0.0003
,,"2,3,3',4,4',5'HxCB (#157)",0.00003,0.005,0.001,0.009,0.008,0.013,0.007,0.004,0.007,0.007,0.006,,,,"2,3,3',4,4',5'HxCB (#157)",0.00003,0.01,0.003,0.005,0.004,,0.005,0.001,0.004,0.006,0.005,0.005,0.006,0.006,,0.0038,0.0016,0.0005
,,"2,3,3',4,4',5,5'HpCB (#189)",0.00003,0.007,0.002,0.004,0.005,0.006,0.006,ND,0.006,0.007,0.006,,,,"2,3,3',4,4',5,5'HpCB (#189)",0.00003,0.01,0.003,ND,ND,,0.007,0.002,0.002,0.004,0.003,0.004,0.006,0.007,,0.0031,0.0026,0.0008
,,Total CoPCBs,,―,―,1,0.88,5.3,0.78,0.33,0.52,0.53,0.45,,,,Total CoPCBs,,,,0.36,0.3,,―,―,0.31,0.49,0.42,0.39,0.45,0.45,,0.16,―,―
Total (PCDDs+PCDFs+CoPCBs),,,,―,―,2.1,2,6.5,2.3,1.4,2.1,2.3,1.8,,Total (PCDDs+PCDFs+CoPCBs),,,,,,1.1,0.92,,―,―,0.97,1.3,1.4,1.2,1.3,1.8,,1.1,―,―
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毒性等量,,,,,,,,,,,,,単位：pgTEQ/m3,,毒性等量,,,,,,,単位：pgTEQ/m3,,,,,,,,,,,,,単位：pgTEQ/m3
PCDDs ,,,,,,0.0058,0.0038,0.0061,0.0056,0.0041,0.0067,0.0091,0.0063,,PCDDs,,,,,,0.0022,0.0021,,,,0.0036,0.0036,0.0036,0.0035,0.0037,0.0052,,0.0043,,
PCDFs,,,,,,0.0099,0.0088,0.0082,0.013,0.0085,0.014,0.016,0.011,,PCDFs,,,,,,0.0068,0.0057,,,,0.005,0.0068,0.0075,0.006,0.0073,0.01,,0.0087,,
coPCBs,,,,,,0.001,0.00089,0.0013,0.0014,0.00084,0.0011,0.0013,0.0011,,coPCBs,,,,,,0.00076,0.00066,,,,0.00054,0.00071,0.00075,0.00075,0.00078,0.001,,0.00073,,
Total DXN,,,,,,0.017,0.013,0.016,0.02,0.013,0.022,0.026,0.018,,Total DXN,,,,,,0.0098,0.0085,,,,0.0091,0.011,0.012,0.01,0.012,0.016,,0.014,,
備考：,,(1)毒性等価係数：WHOTEF 2006,,,,,,,,,,,,,備考：,,(1)毒性等価係数：WHOTEF 2006,,,,,,,,,,,,,,,,,,
,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,,,,
,,(3)毒性等量(TEQ)は計量法第107条の計量証明対象外,,,,,,,,,,,,,,,(3)毒性等量(TEQ)は計量法第107条の計量証明対象外,,,,,,,,,,,,,,,,,,
,,"(4)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,"(4)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,
,,(5)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,(5)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,(6)西多摩郡檜原局については、吸引量を300L/minとして採取した。,,,,,,,,,,,,,,,,,,
