[資料21]　大気　ダイオキシン類異性体等分析結果（第２回調査　 ２０２２(令和４)年８月：区部）,,,,,,,,,,,,,,,[資料21]　大気　ダイオキシン類異性体等分析結果（第２回調査　 ２０２２(令和４)年８月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2022(令和4）年　8月17日～8月24日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2022(令和4）年　8月17日～8月24日）,,,,単位：pg/m3,,,,,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,HxCDDs,,,,0.049,0.045,0.050,0.061,0.044,0.048,0.070,0.045,,,,HxCDDs,,,,0.045,0.017,,,,0.050,0.034,0.039,0.032,0.032,0.040,,0.0082,,
,,"1,2,3,4,6,7,8HpCDD",0.01,0.009,0.003,0.014,0.013,0.016,0.021,0.017,0.016,0.020,0.015,,,,"1,2,3,4,6,7,8HpCDD",0.01,0.012,0.003,0.025,(0.012),,0.009,0.003,0.019,0.012,0.015,0.012,0.013,0.015,,0.0055,0.0030,0.0009
,,HpCDDs,,,,0.032,0.032,0.037,0.052,0.034,0.033,0.043,0.033,,,,HpCDDs,,,,0.053,0.026,,,,0.036,0.026,0.033,0.026,0.027,0.031,,0.012,,
,,OCDD,0.0003,0.021,0.006,0.039,0.033,0.071,0.052,0.046,0.046,0.063,0.044,,,,OCDD,0.0003,0.024,0.007,0.051,0.026,,0.021,0.006,0.050,0.036,0.035,0.036,0.035,0.052,,0.024,0.007,0.002
,,Total PCDDs,,,,0.38,0.32,0.38,0.43,0.37,0.42,0.54,0.38,,,,Total PCDDs,,,,0.31,0.19,,,,0.36,0.29,0.30,0.27,0.28,0.41,,0.097,,
PCDFs,,"1,2,7,8TeCDF",0,0.0030,0.0009,0.014,0.016,0.012,0.011,0.010,0.012,0.014,0.011,,PCDFs,,"1,2,7,8TeCDF",0,0.005,0.002,0.013,0.007,,0.0030,0.0009,0.012,0.011,0.0083,0.0085,0.0081,0.0094,,0.0027,0.0010,0.0003
,,"2,3,7,8TeCDF",0.1,0.0030,0.0009,0.0086,0.0090,0.0072,0.0066,0.0054,0.0058,0.0083,0.0062,,,,"2,3,7,8TeCDF",0.1,0.005,0.002,(0.005),(0.003),,0.0030,0.0009,0.0070,0.0055,0.0035,0.0049,0.0046,0.0057,,0.0013,0.0010,0.0003
,,"1,3,6,8TeCDF",0,0.0030,0.0009,0.017,0.017,0.013,0.015,0.013,0.019,0.018,0.015,,,,"1,3,6,8TeCDF",0,0.005,0.002,0.017,0.012,,0.0030,0.0009,0.015,0.011,0.011,0.012,0.012,0.016,,0.0098,0.0010,0.0003
,,TeCDFs,,,,0.41,0.42,0.34,0.34,0.31,0.35,0.41,0.33,,,,TeCDFs,,,,0.37,0.19,,,,0.35,0.29,0.22,0.28,0.27,0.29,,0.082,,
,,"1,2,3,7,8PeCDF",0.03,0.006,0.002,0.009,0.007,0.008,ND,0.007,0.008,0.009,0.007,,,,"1,2,3,7,8PeCDF",0.03,0.006,0.002,0.007,(0.004),,0.006,0.002,0.007,(0.005),(0.005),0.007,(0.006),0.007,,(0.0014),0.0019,0.0006
,,"2,3,4,7,8PeCDF",0.3,0.004,0.001,0.008,0.009,0.008,0.010,0.009,0.012,0.013,0.008,,,,"2,3,4,7,8PeCDF",0.3,0.004,0.001,0.012,0.004,,0.004,0.001,0.011,0.008,0.008,0.008,0.006,0.008,,0.0017,0.0014,0.0004
,,PeCDFs,,,,0.23,0.22,0.18,0.18,0.19,0.19,0.25,0.19,,,,PeCDFs,,,,0.20,0.086,,,,0.20,0.14,0.12,0.15,0.14,0.15,,0.033,,
,,"1,2,3,4,7,8HxCDF",0.1,0.0033,0.0009,0.011,0.0089,0.0081,0.011,0.0064,0.0090,0.012,0.0083,,,,"1,2,3,4,7,8HxCDF",0.1,0.010,0.003,(0.012),(0.006),,0.0033,0.0009,0.010,0.0059,0.0062,0.0074,0.0068,0.0079,,0.0020,0.0011,0.0003
,,"1,2,3,6,7,8HxCDF",0.1,0.005,0.001,0.010,0.009,0.008,0.011,0.007,0.009,0.011,0.008,,,,"1,2,3,6,7,8HxCDF",0.1,0.009,0.003,(0.011),(0.006),,0.005,0.001,0.010,0.006,0.005,0.008,0.007,0.007,,0.0019,0.0017,0.0005
,,"1,2,3,7,8,9HxCDF",0.1,0.008,0.002,ND,ND,ND,ND,ND,ND,ND,ND,,,,"1,2,3,7,8,9HxCDF",0.1,0.013,0.004,ND,ND,,0.008,0.002,ND,ND,ND,ND,ND,ND,,ND,0.0027,0.0008
,,"2,3,4,6,7,8HxCDF",0.1,0.005,0.001,0.008,0.007,0.006,0.011,0.005,0.006,0.009,0.007,,,,"2,3,4,6,7,8HxCDF",0.1,0.010,0.003,0.011,(0.004),,0.005,0.001,0.008,0.005,(0.005),0.006,0.005,0.006,,0.0016,0.0016,0.0005
,,HxCDFs,,,,0.12,0.097,0.090,0.12,0.073,0.095,0.13,0.090,,,,HxCDFs,,,,0.12,0.042,,,,0.091,0.056,0.056,0.061,0.054,0.064,,0.016,,
,,"1,2,3,4,6,7,8HpCDF",0.01,0.008,0.002,0.027,0.026,0.022,0.036,0.017,0.027,0.033,0.029,,,,"1,2,3,4,6,7,8HpCDF",0.01,0.010,0.003,0.045,0.016,,0.008,0.002,0.030,0.018,0.019,0.024,0.017,0.020,,0.0087,0.0028,0.0008
,,"1,2,3,4,7,8,9HpCDF",0.01,0.009,0.003,(0.006),ND,ND,(0.008),(0.004),ND,(0.005),(0.003),,,,"1,2,3,4,7,8,9HpCDF",0.01,0.011,0.003,(0.007),ND,,0.009,0.003,(0.004),(0.004),(0.003),(0.005),(0.003),(0.003),,ND,0.003,0.001
,,HpCDFs,,,,0.049,0.038,0.027,0.069,0.026,0.040,0.046,0.046,,,,HpCDFs,,,,0.079,0.022,,,,0.048,0.032,0.030,0.042,0.031,0.033,,0.013,,
,,OCDF,0.0003,0.010,0.003,0.029,0.026,ND,0.038,0.020,0.019,0.022,0.021,,,,OCDF,0.0003,0.023,0.007,0.045,(0.015),,0.010,0.003,0.024,0.019,0.013,0.023,0.023,0.029,,0.012,0.0032,0.0009
,,Total PCDFs,,,,0.84,0.80,0.63,0.75,0.62,0.69,0.86,0.67,,,,Total PCDFs,,,,0.81,0.36,,,,0.72,0.54,0.43,0.56,0.51,0.56,,0.16,,
コプラナーPCBs,,"3,4,4',5TeCB (#81)",0.0003,0.008,0.002,0.040,0.030,0.046,0.025,0.020,0.028,0.023,0.026,,コプラナーPCBs,,"3,4,4',5TeCB (#81)",0.0003,0.008,0.002,0.021,0.013,,0.008,0.002,0.018,0.021,0.018,0.022,0.020,0.019,,0.011,0.0026,0.0008
,,"3,3',4,4'TeCB (#77)",0.0001,0.007,0.002,0.56,0.41,0.72,0.46,0.30,0.42,0.33,0.40,,,,"3,3',4,4'TeCB (#77)",0.0001,0.009,0.003,0.25,0.22,,0.007,0.002,0.24,0.35,0.23,0.30,0.31,0.28,,0.12,0.0023,0.0007
,,"3,3'4,4',5PeCB (#126)",0.1,0.004,0.001,0.028,0.025,0.022,0.020,0.017,0.021,0.024,0.017,,,,"3,3'4,4',5PeCB (#126)",0.1,0.008,0.003,0.020,0.015,,0.004,0.001,0.017,0.018,0.014,0.024,0.018,0.017,,0.0051,0.0014,0.0004
,,"3,3',4,4',5,5'HxCB (#169)",0.03,0.008,0.002,(0.004),(0.004),(0.003),(0.003),(0.003),ND,(0.005),(0.003),,,,"3,3',4,4',5,5'HxCB (#169)",0.03,0.010,0.003,(0.003),ND,,0.008,0.002,(0.002),(0.003),ND,ND,ND,ND,,ND,0.0028,0.0008
,,"2',3,4,4',5PeCB (#123)",0.00003,0.007,0.002,0.096,0.073,0.15,0.067,0.045,0.062,0.056,0.049,,,,"2',3,4,4',5PeCB (#123)",0.00003,0.008,0.002,0.046,0.033,,0.007,0.002,0.038,0.049,0.043,0.051,0.046,0.040,,0.020,0.0022,0.0006
,,"2,3',4,4',5PeCB (#118)",0.00003,0.009,0.003,4.5,3.2,6.5,2.8,1.8,2.6,2.0,2.1,,,,"2,3',4,4',5PeCB (#118)",0.00003,0.019,0.006,1.7,1.6,,0.009,0.003,1.6,1.8,1.7,2.1,2.0,1.5,,0.52,0.003,0.001
,,"2,3,3',4,4'PeCB (#105)",0.00003,0.006,0.002,1.6,1.1,2.1,1.0,0.64,0.92,0.79,0.72,,,,"2,3,3',4,4'PeCB (#105)",0.00003,0.010,0.003,0.60,0.54,,0.006,0.002,0.56,0.64,0.59,0.74,0.70,0.55,,0.18,0.0020,0.0006
,,"2,3,4,4',5PeCB (#114)",0.00003,0.006,0.002,0.13,0.099,0.22,0.095,0.057,0.087,0.065,0.063,,,,"2,3,4,4',5PeCB (#114)",0.00003,0.009,0.003,0.053,0.041,,0.006,0.002,0.049,0.054,0.057,0.064,0.056,0.048,,0.019,0.0020,0.0006
,,"2,3',4,4',5,5'HxCB (#167)",0.00003,0.005,0.001,0.091,0.082,0.089,0.068,0.045,0.058,0.064,0.049,,,,"2,3',4,4',5,5'HxCB (#167)",0.00003,0.007,0.002,0.041,0.038,,0.005,0.001,0.039,0.050,0.040,0.063,0.052,0.039,,0.013,0.0016,0.0005
,,"2,3,3',4,4',5HxCB (#156)",0.00003,0.0027,0.0009,0.18,0.15,0.16,0.11,0.075,0.11,0.11,0.090,,,,"2,3,3',4,4',5HxCB (#156)",0.00003,0.009,0.003,0.078,0.071,,0.0027,0.0009,0.076,0.077,0.070,0.10,0.086,0.072,,0.018,0.0009,0.0003
,,"2,3,3',4,4',5'HxCB (#157)",0.00003,0.005,0.001,0.041,0.035,0.043,0.027,0.019,0.027,0.029,0.022,,,,"2,3,3',4,4',5'HxCB (#157)",0.00003,0.010,0.003,0.020,0.016,,0.005,0.001,0.020,0.021,0.017,0.030,0.022,0.019,,0.0048,0.0016,0.0005
,,"2,3,3',4,4',5,5'HpCB (#189)",0.00003,0.007,0.002,0.008,0.008,(0.006),(0.006),ND,ND,0.007,ND,,,,"2,3,3',4,4',5,5'HpCB (#189)",0.00003,0.010,0.003,(0.007),(0.004),,0.007,0.002,(0.006),ND,(0.004),(0.006),(0.005),(0.005),,ND,0.0025,0.0008
,,Total CoPCBs,,,,7.2,5.2,10,4.7,3.1,4.3,3.5,3.5,,,,Total CoPCBs,,,,2.9,2.5,,,,2.6,3.1,2.8,3.5,3.4,2.6,,0.92,,
Total (PCDDs+PCDFs+CoPCBs),,,,,,8.4,6.3,11,5.9,4.1,5.4,4.9,4.6,,Total (PCDDs+PCDFs+CoPCBs),,,,,,4.0,3.1,,,,3.7,3.9,3.6,4.4,4.1,3.5,,1.2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毒性等量,,,,,,,,,,,,,単位：pgTEQ/m3,,毒性等量,,,,,,,単位：pgTEQ/m3,,,,,,,,,単位：pgTEQ/m3,,,,単位：pgTEQ/m3
PCDDs ,,,,,,0.0037,0.0031,0.0033,0.0035,0.0032,0.0031,0.0041,0.0033,,PCDDs,,,,,,0.0024,0.0020,,,,0.0022,0.0015,0.0016,0.0019,0.0019,0.0030,,0.00055,,
PCDFs,,,,,,0.0069,0.0067,0.0059,0.0075,0.0056,0.0072,0.0087,0.0060,,PCDFs,,,,,,0.0084,0.0036,,,,0.0075,0.0051,0.0048,0.0056,0.0046,0.0056,,0.0014,,
coPCBs,,,,,,0.0032,0.0028,0.0027,0.0023,0.0019,0.0023,0.0027,0.0019,,coPCBs,,,,,,0.0022,0.0016,,,,0.0019,0.0020,0.0015,0.0026,0.0020,0.0018,,0.00056,,
Total DXN,,,,,,0.014,0.013,0.012,0.013,0.011,0.013,0.015,0.011,,Total DXN,,,,,,0.013,0.0072,,,,0.011,0.0086,0.0080,0.010,0.0085,0.010,,0.0025,,
備考：,,(1)毒性等価係数：WHOTEF 2006,,,,,,,,,,,,,備考：,,(1)毒性等価係数：WHOTEF 2006,,,,,,,,,,,,,,,,,,
,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,,,,
,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,
,,(4)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,(4)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,(5)西多摩郡檜原局については、吸引量を300L/minとして採取した。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
