測定年度,測定局,"測定局
の区分",測定年度,4月(μｇ/ｍ3）,5月(μｇ/ｍ3）,6月(μｇ/ｍ3）,7月(μｇ/ｍ3）,8月(μｇ/ｍ3）,9月(μｇ/ｍ3）,10月(μｇ/ｍ3）,11月(μｇ/ｍ3）,12月(μｇ/ｍ3）,1月(μｇ/ｍ3）,2月(μｇ/ｍ3）,3月(μｇ/ｍ3）,年間(μｇ/ｍ3）,環境基準等(μｇ/ｍ3）注1,定量下限値(μｇ/ｍ3）注2,検出下限値(μｇ/ｍ3）注2,"公定法(μｇ/ｍ3） 毎月24時間
"
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,板橋局,一般,2020(R2),,,,,,,0.18,0.35,0.38,,,0.22,0.27,200,0.048,0.014,0.19
ﾃﾄﾗｸﾛﾛｴﾁﾚﾝ,八幡山局,自排,2020(R2),0.08,0.1,0.17,0.11,0.07,0.07,0.11,0.12,0.22,0.12,0.09,0.08,0.11,200,0.2,0.06,0.12
ｼﾞｸﾛﾛﾒﾀﾝ,江東局,一般,2020(R2),1,1.1,1.2,1.1,0.77,1.2,2,2.4,2.7,2,1.3,1.4,1.5,150,0.05,0.02,―
ｼﾞｸﾛﾛﾒﾀﾝ,大田局,一般,2020(R2),1.4,1,1.2,0.84,0.77,0.85,1.3,1.7,1.8,1.5,1.1,1.1,1.2,150,0.05,0.02,1.3
ｼﾞｸﾛﾛﾒﾀﾝ,板橋局,一般,2020(R2),,,,,,,1.5,1.7,2.3,,,3.9,2.4,150,0.53,0.16,1.2
ｼﾞｸﾛﾛﾒﾀﾝ,八幡山局,自排,2020(R2),0.75,0.78,1.1,0.78,0.6,0.68,0.91,1.1,1.5,1.1,0.87,0.83,0.89,150,0.05,0.02,1.1
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,江東局,一般,2020(R2),0.02,0.09,0.38,0.06,0.07,0.02,0.02,0.04,0.03,0.02,0.04,0.02,0.07,*10,0.03,0.01,―
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,大田局,一般,2020(R2),0.04,0.09,0.14,0.04,0.07,0.02,0.02,0.09,0.09,0.04,0.06,0.03,0.06,*10,0.03,0.01,0.04
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,板橋局,一般,2020(R2),,,,,,,0.014,0.04,0.062,,,0.063,0.051,*10,0.039,0.012,0.03
塩化ﾋﾞﾆﾙﾓﾉﾏｰ,八幡山局,自排,2020(R2),0.01,0.03,0.05,0.02,0.03,0.01,0.01,0.03,0.04,0.02,0.02,0.01,0.02,*10,0.03,0.01,<0.02
"1,3-ﾌﾞﾀｼﾞｴﾝ",江東局,一般,2020(R2),0.045,0.44,0.12,0.18,0.69,0.059,0.049,0.083,0.093,0.068,0.12,0.05,0.16,*2.5,0.02,0.006,―
"1,3-ﾌﾞﾀｼﾞｴﾝ",大田局,一般,2020(R2),0.22,0.35,0.23,0.31,0.52,0.17,0.13,0.17,0.2,0.19,0.21,0.26,0.25,*2.5,0.02,0.006,0.27
"1,3-ﾌﾞﾀｼﾞｴﾝ",板橋局,一般,2020(R2),,,,,,,0.08,0.14,0.21,,,0.31,0.2,*2.5,0.38,0.11,0.09
"1,3-ﾌﾞﾀｼﾞｴﾝ",八幡山局,自排,2020(R2),0.086,0.083,0.14,0.075,0.088,0.091,0.093,0.13,0.23,0.14,0.1,0.1,0.11,*2.5,0.02,0.006,0.12
ｱｸﾘﾛﾆﾄﾘﾙ,江東局,一般,2020(R2),0.09,0.47,0.28,0.17,0.14,0.08,0.02,0.06,0.03,0.03,0.04,0.04,0.12,*2,0.1,0.03,―
ｱｸﾘﾛﾆﾄﾘﾙ,大田局,一般,2020(R2),0.49,0.76,0.62,0.31,0.57,0.22,0.14,0.22,0.21,0.15,0.23,0.18,0.35,*2,0.1,0.03,0.17
ｱｸﾘﾛﾆﾄﾘﾙ,板橋局,一般,2020(R2),,,,,,,0.016,0.038,0.057,,,0.095,0.057,*2,0.054,0.016,0.06
ｱｸﾘﾛﾆﾄﾘﾙ,八幡山局,自排,2020(R2),0.11,0.12,0.1,0.05,0.1,0.05,0.04,0.08,0.09,0.06,0.06,0.05,0.08,*2,0.1,0.03,0.1
ｸﾛﾛﾎﾙﾑ,江東局,一般,2020(R2),0.1,0.11,0.13,0.11,0.1,0.09,0.11,0.12,0.11,0.11,0.11,0.1,0.11,*18,0.04,0.01,―
ｸﾛﾛﾎﾙﾑ,大田局,一般,2020(R2),0.19,0.14,0.27,0.21,0.21,0.48,0.59,0.81,0.42,0.2,0.2,0.14,0.32,*18,0.04,0.01,0.35
ｸﾛﾛﾎﾙﾑ,板橋局,一般,2020(R2),,,,,,,0.26,0.32,0.34,,,0.35,0.31,*18,0.18,0.05,0.2
ｸﾛﾛﾎﾙﾑ,八幡山局,自排,2020(R2),0.1,0.11,0.15,0.11,0.1,0.1,0.11,0.11,0.14,0.12,0.1,0.1,0.11,*18,0.04,0.01,0.16
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",江東局,一般,2020(R2),0.092,0.14,0.17,0.082,0.083,0.077,0.078,0.1,0.081,0.082,0.088,0.18,0.1,*1.6,0.02,0.006,―
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",大田局,一般,2020(R2),0.13,0.13,0.16,0.1,0.1,0.086,0.086,0.1,0.1,0.1,0.099,0.13,0.11,*1.6,0.02,0.006,0.13
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",板橋局,一般,2020(R2),,,,,,,0.12,0.16,0.16,,,0.22,0.16,*1.6,0.14,0.04,0.12
"1,2-ｼﾞｸﾛﾛｴﾀﾝ",八幡山局,自排,2020(R2),0.1,0.12,0.18,0.088,0.088,0.079,0.075,0.089,0.1,0.095,0.092,0.11,0.1,*1.6,0.02,0.006,0.12
ﾄﾙｴﾝ,江東局,一般,2020(R2),2.4,2.6,3,2.4,1.8,2.2,4.4,6.8,6.9,5.1,3.6,2.9,3.6,,0.1,0.03,―
ﾄﾙｴﾝ,大田局,一般,2020(R2),4.5,3.2,3.8,3.5,3,3.4,5.5,6.7,8.4,7.9,4.5,3.9,4.8,,0.1,0.03,5.3
ﾄﾙｴﾝ,板橋局,一般,2020(R2),,,,,,,9.5,13,16,,,8.1,11,,0.037,0.011,6.8
ﾄﾙｴﾝ,八幡山局,自排,2020(R2),2.4,2.8,5.3,3.6,2.7,3.1,4.4,5.3,8.2,5.5,4.1,2.9,4.1,,0.1,0.03,4.9
m+p-ｷｼﾚﾝ,江東局,一般,2020(R2),0.44,0.65,0.78,0.7,0.54,0.48,0.7,1.1,1.2,0.81,0.62,0.47,0.7,,0.1,0.03,―
m+p-ｷｼﾚﾝ,大田局,一般,2020(R2),0.92,0.71,0.95,1,0.83,0.76,1.1,1.3,1.8,1.4,0.9,0.74,1,,0.1,0.03,1.2
m+p-ｷｼﾚﾝ,板橋局,一般,2020(R2),,,,,,,2.1,2.2,2.5,,,1.1,1.8,,0.086,0.026,0.98
m+p-ｷｼﾚﾝ,八幡山局,自排,2020(R2),0.44,0.46,1,0.7,0.64,0.74,0.96,1.1,2.1,1.2,0.74,0.55,0.87,,0.1,0.03,1
o-ｷｼﾚﾝ,江東局,一般,2020(R2),0.17,0.27,0.33,0.3,0.23,0.19,0.27,0.4,0.43,0.3,0.23,0.18,0.27,,0.1,0.03,―
o-ｷｼﾚﾝ,大田局,一般,2020(R2),0.35,0.29,0.43,0.4,0.39,0.3,0.4,0.48,0.62,0.51,0.35,0.31,0.4,,0.1,0.03,0.45
o-ｷｼﾚﾝ,,一般,2020(R2),,,,,,,1,0.91,0.87,,,0.42,0.74,,0.048,0.014,0.36
o-ｷｼﾚﾝ,八幡山局,自排,2020(R2),0.18,0.19,0.41,0.27,0.25,0.29,0.37,0.43,0.8,0.47,0.3,0.22,0.34,,0.1,0.03,0.39
総ｷｼﾚﾝ,江東局,一般,2020(R2),0.61,0.92,1.11,1,0.77,0.67,0.97,1.51,1.59,1.11,0.85,0.65,0.98,,0.2,0.06,―
総ｷｼﾚﾝ,大田局,一般,2020(R2),1.3,1,1.4,1.4,1.2,1.1,1.5,1.8,2.4,1.9,1.3,1,1.4,,0.2,0.06,1.7
総ｷｼﾚﾝ,板橋局,一般,2020(R2),,,,,,,3.1,3.1,3.4,,,1.5,2.6,,0.13,0.04,1.3
総ｷｼﾚﾝ,八幡山局,自排,2020(R2),0.62,0.65,1.4,0.97,0.89,1,1.3,1.5,2.9,1.7,1,0.77,1.2,,0.2,0.06,1.4
ｴﾁﾙﾍﾞﾝｾﾞﾝ,江東局,一般,2020(R2),0.6,0.8,1,0.83,0.61,0.58,0.91,1.4,1.4,1,0.82,0.64,0.89,,0.1,0.02,―
ｴﾁﾙﾍﾞﾝｾﾞﾝ,大田局,一般,2020(R2),1.3,0.95,1.3,1.2,0.96,0.92,1.4,1.6,2.1,1.6,1.1,0.96,1.3,,0.1,0.02,1.5
ｴﾁﾙﾍﾞﾝｾﾞﾝ,板橋局,一般,2020(R2),,,,,,,2.6,2.8,2.9,,,1.4,2.2,,0.033,0.01,1.2
ｴﾁﾙﾍﾞﾝｾﾞﾝ,八幡山局,自排,2020(R2),0.56,0.55,1.2,0.79,0.6,0.66,0.92,1.2,1.9,1.2,0.8,0.62,0.89,,0.1,0.02,1
ｽﾁﾚﾝ,江東局,一般,2020(R2),0.18,0.28,0.29,0.23,0.15,0.13,0.17,0.24,0.29,0.29,0.21,0.17,0.22,,0.05,0.02,―
ｽﾁﾚﾝ,大田局,一般,2020(R2),0.29,0.32,0.41,0.34,0.25,0.2,0.19,0.24,0.34,0.32,0.25,0.21,0.28,,0.05,0.02,0.18
ｽﾁﾚﾝ,板橋局,一般,2020(R2),,,,,,,0.19,0.2,0.28,,,0.11,0.19,,0.01,0.003,0.13
ｽﾁﾚﾝ,八幡山局,自排,2020(R2),0.2,0.22,0.28,0.2,0.18,0.18,0.21,0.23,0.44,0.34,0.24,0.2,0.24,,0.05,0.02,0.12
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",江東局,一般,2020(R2),0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.05,0.02,―
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",大田局,一般,2020(R2),0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.05,0.02,<0.03
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",板橋局,一般,2020(R2),,,,,,,0.03,0.03,0.03,,,0.03,0.03,,0.21,0.06,<0.03
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",八幡山局,自排,2020(R2),0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.05,0.02,<0.03
四塩化炭素,江東局,一般,2020(R2),0.37,0.44,0.43,0.38,0.4,0.38,0.38,0.39,0.36,0.38,0.38,0.37,0.39,,0.3,0.09,―
四塩化炭素,大田局,一般,2020(R2),0.53,0.46,0.43,0.43,0.43,0.41,0.41,0.39,0.43,0.45,0.44,0.44,0.44,,0.3,0.09,0.57
四塩化炭素,板橋局,一般,2020(R2),,,,,,,0.56,0.71,0.71,,,0.97,0.76,,0.049,0.015,0.57
四塩化炭素,八幡山局,自排,2020(R2),0.41,0.4,0.57,0.39,0.4,0.38,0.36,0.34,0.48,0.42,0.41,0.4,0.41,,0.3,0.09,0.58
,,,,注１：環境基本法第１６条に基づく大気環境基準　　　*付きは環境中の有害大気汚染物質による健康リスクの低減を図るための指針となる数値（指針値）,,,,,,,,,,,,,,,,
,,,,注２：VOC連続計稼働当初より使用してきた定量下限値および検出下限値(江東局、大田局、八幡山局）,,,,,,,,,,,,,,,,
,,,,　　　VOC連続計においてはデータ収集率を確保するため下限値設定のための測定を行わず、稼動当初に測定した定量下限値、検出下限値を採用していた。,,,,,,,,,,,,,,,,
,,,,注３：江東区大島局では測定を行っていないため「－」と表記,,,,,,,,,,,,,,,,
