大気　ダイオキシン類異性体等分析結果（第３回調査　 ２０２１(令和３)年１１月：区部）,,,,,,,,,,,,,,,大気　ダイオキシン類異性体等分析結果（第３回調査　 ２０２１(令和３)年１１月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2021(令和3）年　11月12日～11月19日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2021(令和3）年　11月12日～11月19日）,,,,単位：pg/m3,,,,,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","⑩八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
PCDFs,,"1,2,7,8-TeCDF",0,0.0021,0.0006,0.019,0.014,0.013,0.015,0.0088,0.022,0.019,0.022,,PCDFs,,"1,2,7,8-TeCDF",0,0.005,0.002,0.007,0.007,,0.0021,0.0006,0.011,0.0086,0.011,0.0062,0.0055,0.032,,0.014,0.0007,0.0002
,,"2,3,7,8-TeCDF",0.1,0.0021,0.0006,0.012,0.0092,0.0074,0.0086,0.0066,0.011,0.012,0.014,,,,"2,3,7,8-TeCDF",0.1,0.005,0.002,0.004,0.003,,0.0021,0.0006,0.0073,0.0056,0.0067,0.0039,0.003,0.02,,0.0064,0.0007,0.0002
,,"1,3,6,8-TeCDF",0,0.0021,0.0006,0.026,0.017,0.017,0.02,0.014,0.028,0.026,0.031,,,,"1,3,6,8-TeCDF",0,0.005,0.002,0.009,0.009,,0.0021,0.0006,0.014,0.012,0.014,0.0081,0.0093,0.042,,0.017,0.0007,0.0002
,,TeCDFs,－,―,―,0.55,0.4,0.38,0.4,0.28,0.61,0.52,0.63,,,,TeCDFs,－,－,－,0.17,0.14,,―,―,0.31,0.24,0.29,0.18,0.15,0.84,,0.37,―,―
,,"1,2,3,7,8-PeCDF",0.03,0.007,0.002,0.014,0.009,0.011,0.011,0.008,0.016,0.015,0.017,,,,"1,2,3,7,8-PeCDF",0.03,0.004,0.001,0.004,0.004,,0.007,0.002,0.008,0.007,0.007,0.004,0.004,0.02,,0.0086,0.0024,0.0007
,,"2,3,4,7,8-PeCDF",0.3,0.007,0.002,0.016,0.011,0.013,0.014,0.011,0.023,0.02,0.019,,,,"2,3,4,7,8-PeCDF",0.3,0.007,0.002,0.006,0.005,,0.007,0.002,0.009,0.01,0.008,0.006,0.006,0.026,,0.0096,0.0022,0.0007
,,PeCDFs,－,―,―,0.31,0.21,0.23,0.23,0.18,0.37,0.32,0.36,,,,PeCDFs,－,－,－,0.075,0.072,,―,―,0.16,0.15,0.14,0.099,0.09,0.44,,0.2,―,―
,,"1,2,3,4,7,8-HxCDF",0.1,0.0024,0.0006,0.027,0.016,0.018,0.019,0.017,0.031,0.031,0.028,,,,"1,2,3,4,7,8-HxCDF",0.1,0.008,0.002,0.009,0.007,,0.0024,0.0006,0.014,0.016,0.011,0.0088,0.0073,0.035,,0.0098,0.0008,0.0002
,,"1,2,3,6,7,8-HxCDF",0.1,0.0033,0.0009,0.026,0.016,0.02,0.019,0.017,0.033,0.03,0.027,,,,"1,2,3,6,7,8-HxCDF",0.1,0.007,0.002,0.008,0.007,,0.0033,0.0009,0.014,0.014,0.011,0.009,0.0075,0.033,,0.011,0.0011,0.0003
,,"1,2,3,7,8,9-HxCDF",0.1,0.0012,0.0003,0.0037,0.0034,0.0047,0.0051,0.0049,0.0063,0.0059,0.0058,,,,"1,2,3,7,8,9-HxCDF",0.1,0.009,0.003,      ND,      ND,,0.0012,0.0003,0.0037,0.004,ND,ND,0.0026,0.0059,,0.0023,0.0004,0.0001
,,"2,3,4,6,7,8-HxCDF",0.1,0.004,0.001,0.03,0.016,0.021,0.019,0.02,0.037,0.031,0.029,,,,"2,3,4,6,7,8-HxCDF",0.1,0.009,0.003,0.01,0.007,,0.004,0.001,0.016,0.017,0.012,0.01,0.009,0.029,,0.011,0.0012,0.0004
,,HxCDFs,－,―,―,0.27,0.16,0.19,0.19,0.17,0.33,0.3,0.29,,,,HxCDFs,－,－,－,0.081,0.052,,―,―,0.13,0.14,0.12,0.084,0.082,0.31,,0.1,―,―
,,"1,2,3,4,6,7,8-HpCDF",0.01,0.007,0.002,0.099,0.054,0.064,0.068,0.061,0.11,0.098,0.084,,,,"1,2,3,4,6,7,8-HpCDF",0.01,0.009,0.003,0.039,0.027,,0.007,0.002,0.057,0.055,0.044,0.035,0.035,0.1,,0.022,0.0023,0.0007
,,"1,2,3,4,7,8,9-HpCDF",0.01,0.0027,0.0009,0.023,0.0095,0.01,0.012,0.011,0.022,0.017,0.018,,,,"1,2,3,4,7,8,9-HpCDF",0.01,0.012,0.004,0.005,      ND,,0.0027,0.0009,0.0071,0.011,0.007,0.006,0.0071,0.017,,0.0015,0.0009,0.0003
,,HpCDFs,－,―,―,0.19,0.091,0.1,0.11,0.1,0.2,0.17,0.15,,,,HpCDFs,－,－,－,0.058,0.039,,―,―,0.085,0.092,0.07,0.058,0.056,0.16,,0.029,―,―
,,OCDF,0.0003,0.015,0.006,0.12,0.052,0.057,0.058,0.063,0.13,0.092,0.12,,,,OCDF,0.0003,0.022,0.007,0.031,0.024,,0.015,0.006,0.05,0.047,0.038,0.03,0.029,0.12,,0.007,0.005,0.002
,,Total PCDFs,－,―,―,1.4,0.92,0.96,1,0.79,1.6,1.4,1.5,,,,Total PCDFs,－,－,－,0.42,0.33,,―,―,0.74,0.68,0.66,0.45,0.41,1.9,,0.71,―,―
コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.005,0.001,0.019,0.014,0.038,0.014,0.009,0.017,0.015,0.017,,コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.008,0.002,0.006,0.006,,0.005,0.001,0.009,0.01,0.009,0.008,0.006,0.018,,0.013,0.0016,0.0005
,,"3,3',4,4'-TeCB (#77)",0.0001,0.007,0.002,0.19,0.12,0.51,0.12,0.06,0.11,0.097,0.11,,,,"3,3',4,4'-TeCB (#77)",0.0001,0.006,0.002,0.065,0.055,,0.007,0.002,0.078,0.07,0.06,0.051,0.053,0.12,,0.037,0.0022,0.0007
,,"3,3'4,4',5-PeCB (#126)",0.1,0.004,0.001,0.018,0.013,0.015,0.014,0.01,0.02,0.016,0.021,,,,"3,3'4,4',5-PeCB (#126)",0.1,0.009,0.003,0.008,0.006,,0.004,0.001,0.011,0.009,0.009,0.006,0.006,0.023,,0.02,0.0012,0.0004
,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.009,0.003,0.005,0.003,0.004,0.004,0.003,0.006,0.004,0.004,,,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.007,0.002,      ND,      ND,,0.009,0.003,ND,ND,ND,ND,ND,0.005,,0.006,0.003,0.0009
,,"2',3,4,4',5-PeCB (#123)",0.00003,0.007,0.002,0.037,0.025,0.11,0.023,0.012,0.02,0.019,0.02,,,,"2',3,4,4',5-PeCB (#123)",0.00003,0.009,0.003,0.016,0.008,,0.007,0.002,0.012,0.012,0.012,0.009,0.009,0.021,,0.0064,0.0022,0.0007
,,"2,3',4,4',5-PeCB (#118)",0.00003,0.009,0.003,1.7,0.99,5.1,0.82,0.35,0.62,0.6,0.62,,,,"2,3',4,4',5-PeCB (#118)",0.00003,0.016,0.005,0.62,0.3,,0.009,0.003,0.44,0.38,0.38,0.29,0.33,0.53,,0.079,0.0029,0.0009
,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.007,0.002,0.57,0.34,1.4,0.28,0.12,0.24,0.22,0.24,,,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.012,0.003,0.19,0.1,,0.007,0.002,0.16,0.13,0.14,0.096,0.1,0.2,,0.039,0.0022,0.0007
,,"2,3,4,4',5-PeCB (#114)",0.00003,0.007,0.002,0.051,0.037,0.14,0.03,0.013,0.026,0.021,0.025,,,,"2,3,4,4',5-PeCB (#114)",0.00003,0.009,0.003,0.024,0.01,,0.007,0.002,0.018,0.014,0.014,0.011,0.013,0.023,,0.0058,0.0022,0.0007
,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.005,0.001,0.035,0.022,0.052,0.017,0.01,0.019,0.02,0.02,,,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.008,0.002,0.014,0.007,,0.005,0.001,0.012,0.01,0.011,0.008,0.008,0.018,,0.0061,0.0017,0.0005
,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.006,0.002,0.064,0.046,0.094,0.034,0.016,0.035,0.039,0.045,,,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.01,0.003,0.026,0.014,,0.006,0.002,0.025,0.019,0.022,0.015,0.016,0.038,,0.0092,0.0021,0.0006
,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.004,0.001,0.018,0.013,0.022,0.012,0.007,0.013,0.012,0.013,,,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.008,0.002,0.007,0.004,,0.004,0.001,0.007,0.007,0.007,0.006,0.004,0.012,,0.0096,0.0014,0.0004
,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.006,0.002,0.009,0.006,0.009,0.007,0.006,0.009,0.007,0.009,,,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.009,0.003,0.004,      ND,,0.006,0.002,0.005,0.004,0.005,0.004,0.003,0.01,,0.0063,0.0021,0.0006
,,Total Co-PCBs,－,―,―,2.7,1.6,7.5,1.4,0.62,1.1,1.1,1.1,,,,Total Co-PCBs,－,－,－,0.98,0.51,,―,―,0.77,0.67,0.66,0.5,0.55,1,,0.24,―,―
Total (PCDDs+PCDFs+Co-PCBs),,,－,―,―,6.1,3.4,9.3,3.4,2.8,4.6,5.7,5.9,,Total (PCDDs+PCDFs+Co-PCBs),,,－,－,－,2.1,1.3,,―,―,2.6,2.3,2.6,1.5,2,5.3,,1.3,―,―
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毒性等量,,,,,,,,,,,,,単位：pgTEQ/m3,,毒性等量,,,,,,,単位：pgTEQ/m3,,,,,,,,,単位：pgTEQ/m3,,,,単位：pg-TEQ/m3
PCDDs ,,,－,－,－,0.013,0.0037,0.0076,0.0096,0.0089,0.014,0.02,0.018,,PCDDs,,,--,--,--,0.003,0.0021,,－,－,0.0062,0.0069,0.0063,0.0038,0.0044,0.018,,0.005,－,－
PCDFs,,,－,－,－,0.016,0.01,0.012,0.012,0.011,0.021,0.019,0.018,,PCDFs,,,--,--,--,0.0056,0.0045,,－,－,0.0091,0.0095,0.0072,0.0055,0.0053,0.022,,0.0074,－,－
co-PCBs,,,－,－,－,0.002,0.0015,0.0019,0.0016,0.0011,0.0022,0.0018,0.0023,,co-PCBs,,,--,--,--,0.00087,0.00065,,－,－,0.0012,0.00097,0.00097,0.00067,0.00067,0.0025,,0.0022,－,－
Total DXN,,,－,－,－,0.032,0.015,0.022,0.024,0.021,0.036,0.041,0.038,,Total DXN,,,--,--,--,0.0095,0.0072,,－,－,0.017,0.017,0.014,0.01,0.01,0.043,,0.015,－,－
備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,,,,,,
,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,,,,
,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,
,,(4)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,(4)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,(5)西多摩郡檜原局については、吸引量を300L/minとして採取した。,,,,,,,,,,,,,,,,,,
