大気　ダイオキシン類異性体等分析結果（第４回調査　 ２０２２(令和４)年２月：区部）,,,,,,,,,,,,,,,大気　ダイオキシン類異性体等分析結果（第４回調査　 ２０２２(令和４)年２月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2022(令和4）年　2月3日～2月9日*）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2022(令和4）年　2月3日～2月10日）,,,,単位：pg/m3,,,,（2022(令和4）年　2月3日～2月9日*）,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","⑩八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,OCDD,0.0003,0.017,0.007,0.059,0.14,0.093,0.084,0.063,0.21,0.14,0.11,,,,OCDD,0.0003,0.024,0.007,0.059,0.04,,0.017,0.007,0.052,0.074,0.072,0.041,0.073,0.094,,0.025,0.006,0.002
,,Total PCDDs,－,―,―,0.29,0.42,0.32,0.37,0.22,0.55,0.48,0.48,,,,Total PCDDs,－,－,－,0.23,0.16,,―,―,0.24,0.23,0.27,0.15,0.24,0.63,,0.088,―,―
PCDFs,,"1,2,7,8-TeCDF",0,0.0024,0.0007,0.0081,0.0083,0.0072,0.0068,0.0053,0.0092,0.0094,0.011,,PCDFs,,"1,2,7,8-TeCDF",0,0.005,0.002,0.006,0.006,,0.0024,0.0007,0.0059,0.0047,0.0061,0.0039,0.0052,0.01,,0.0028,0.0008,0.0002
,,"2,3,7,8-TeCDF",0.1,0.0024,0.0007,0.0066,0.004,0.0055,0.0053,0.0037,0.0043,0.006,0.0092,,,,"2,3,7,8-TeCDF",0.1,0.005,0.002,0.003,0.004,,0.0024,0.0007,0.0045,0.0029,0.0043,0.0036,0.0042,0.0073,,0.0015,0.0008,0.0002
,,"1,3,6,8-TeCDF",0,0.0024,0.0007,0.0091,0.0087,0.0074,0.0086,0.0049,0.0099,0.0099,0.016,,,,"1,3,6,8-TeCDF",0,0.005,0.002,0.006,0.006,,0.0024,0.0007,0.0075,0.0054,0.0058,0.0043,0.0059,0.011,,0.0037,0.0008,0.0002
,,TeCDFs,－,―,―,0.21,0.19,0.18,0.19,0.12,0.23,0.24,0.31,,,,TeCDFs,－,－,－,0.15,0.15,,―,―,0.17,0.13,0.14,0.099,0.13,0.29,,0.072,―,―
,,"1,2,3,7,8-PeCDF",0.03,0.008,0.002,0.008,0.006,0.007,0.008,0.005,0.007,0.009,0.013,,,,"1,2,3,7,8-PeCDF",0.03,0.004,0.001,0.005,0.004,,0.008,0.002,0.005,0.004,0.007,0.004,0.004,0.009,,0.0023,0.0028,0.0008
,,"2,3,4,7,8-PeCDF",0.3,0.008,0.002,0.01,0.009,0.009,0.009,0.007,0.011,0.013,0.016,,,,"2,3,4,7,8-PeCDF",0.3,0.007,0.002,0.006,0.006,,0.008,0.002,0.007,0.006,0.008,0.006,0.006,0.014,,0.0033,0.0025,0.0008
,,PeCDFs,－,―,―,0.16,0.13,0.14,0.14,0.096,0.16,0.18,0.23,,,,PeCDFs,－,－,－,0.1,0.085,,―,―,0.12,0.092,0.12,0.077,0.095,0.22,,0.043,―,―
,,"1,2,3,4,7,8-HxCDF",0.1,0.0028,0.0007,0.014,0.01,0.011,0.013,0.0079,0.016,0.017,0.02,,,,"1,2,3,4,7,8-HxCDF",0.1,0.008,0.002,0.008,0.009,,0.0028,0.0007,0.01,0.0086,0.0092,0.0089,0.011,0.017,,0.0041,0.0009,0.0002
,,"1,2,3,6,7,8-HxCDF",0.1,0.004,0.001,0.013,0.01,0.011,0.012,0.009,0.016,0.016,0.021,,,,"1,2,3,6,7,8-HxCDF",0.1,0.007,0.002,0.007,0.007,,0.004,0.001,0.01,0.009,0.009,0.008,0.01,0.018,,0.0042,0.0013,0.0003
,,"1,2,3,7,8,9-HxCDF",0.1,0.0014,0.0003,0.0022,0.0017,ND,0.002,0.0016,0.0022,0.0023,0.0033,,,,"1,2,3,7,8,9-HxCDF",0.1,0.009,0.003,      ND,      ND,,0.0014,0.0003,0.0017,0.0016,0.0018,0.0015,0.0024,0.0049,,0.0011,0.0005,0.0001
,,"2,3,4,6,7,8-HxCDF",0.1,0.004,0.001,0.014,0.009,0.011,0.011,0.009,0.015,0.014,0.018,,,,"2,3,4,6,7,8-HxCDF",0.1,0.009,0.003,0.008,0.007,,0.004,0.001,0.01,0.009,0.009,0.009,0.009,0.018,,0.0048,0.0014,0.0005
,,HxCDFs,－,―,―,0.14,0.1,0.11,0.12,0.077,0.15,0.15,0.19,,,,HxCDFs,－,－,－,0.061,0.056,,―,―,0.098,0.089,0.097,0.067,0.092,0.17,,0.045,―,―
,,"1,2,3,4,6,7,8-HpCDF",0.01,0.008,0.002,0.037,0.03,0.029,0.038,0.024,0.053,0.043,0.067,,,,"1,2,3,4,6,7,8-HpCDF",0.01,0.009,0.003,0.027,0.024,,0.008,0.002,0.03,0.025,0.029,0.027,0.028,0.059,,0.016,0.0027,0.0008
,,"1,2,3,4,7,8,9-HpCDF",0.01,0.003,0.001,0.008,0.006,0.004,0.006,0.005,0.011,0.007,0.011,,,,"1,2,3,4,7,8,9-HpCDF",0.01,0.012,0.004,0.005,0.005,,0.003,0.001,0.005,0.005,0.004,0.005,0.005,0.01,,0.0042,0.001,0.0003
,,HpCDFs,－,―,―,0.071,0.052,0.05,0.066,0.041,0.1,0.073,0.11,,,,HpCDFs,－,－,－,0.047,0.042,,―,―,0.05,0.047,0.05,0.045,0.048,0.097,,0.029,―,―
,,OCDF,0.0003,0.017,0.007,0.035,0.025,0.022,0.032,0.015,0.062,0.035,0.05,,,,OCDF,0.0003,0.022,0.007,0.024,0.021,,0.017,0.007,0.019,0.022,0.021,0.016,0.022,0.037,,0.016,0.006,0.002
,,Total PCDFs,－,―,―,0.61,0.5,0.5,0.56,0.35,0.69,0.68,0.89,,,,Total PCDFs,－,－,－,0.38,0.35,,―,―,0.46,0.38,0.43,0.3,0.39,0.82,,0.2,―,―
コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.006,0.002,0.007,0.006,0.02,0.005,0.003,0.006,0.005,0.008,,コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.008,0.002,0.004,0.004,,0.006,0.002,0.005,0.004,0.004,0.003,0.004,0.007,,0.0023,0.0019,0.0006
,,"3,3',4,4'-TeCB (#77)",0.0001,0.008,0.002,0.058,0.044,0.27,0.036,0.015,0.031,0.032,0.038,,,,"3,3',4,4'-TeCB (#77)",0.0001,0.006,0.002,0.027,0.026,,0.008,0.002,0.023,0.021,0.022,0.021,0.025,0.038,,0.012,0.0025,0.0008
,,"3,3'4,4',5-PeCB (#126)",0.1,0.004,0.001,0.009,0.007,0.008,0.008,0.005,0.006,0.007,0.011,,,,"3,3'4,4',5-PeCB (#126)",0.1,0.009,0.003,0.005,0.004,,0.004,0.001,0.007,0.005,0.007,0.005,0.006,0.012,,0.0023,0.0014,0.0005
,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.01,0.003,ND,ND,ND,ND,ND,ND,ND,ND,,,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.007,0.002,      ND,      ND,,0.01,0.003,ND,ND,ND,ND,ND,ND,,ND,0.003,0.001
,,"2',3,4,4',5-PeCB (#123)",0.00003,0.008,0.002,0.01,0.008,0.05,0.005,0.003,0.005,0.005,0.007,,,,"2',3,4,4',5-PeCB (#123)",0.00003,0.009,0.003,0.005,0.004,,0.008,0.002,0.003,0.004,ND,0.003,0.005,0.008,,0.0019,0.0025,0.0008
,,"2,3',4,4',5-PeCB (#118)",0.00003,0.01,0.003,0.44,0.29,2.5,0.17,0.078,0.14,0.14,0.18,,,,"2,3',4,4',5-PeCB (#118)",0.00003,0.016,0.005,0.15,0.15,,0.01,0.003,0.12,0.1,0.1,0.092,0.17,0.16,,0.047,0.003,0.001
,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.008,0.002,0.15,0.099,0.61,0.068,0.037,0.047,0.047,0.073,,,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.012,0.003,0.054,0.055,,0.008,0.002,0.045,0.042,0.039,0.04,0.064,0.073,,0.019,0.0025,0.0008
,,"2,3,4,4',5-PeCB (#114)",0.00003,0.008,0.002,0.015,0.012,0.069,0.008,0.003,0.006,0.007,0.009,,,,"2,3,4,4',5-PeCB (#114)",0.00003,0.009,0.003,0.006,0.006,,0.008,0.002,0.005,0.004,0.003,0.004,0.007,0.007,,0.0024,0.0025,0.0008
,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.006,0.002,0.011,0.009,0.029,0.005,0.005,0.005,0.006,0.008,,,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.008,0.002,0.005,0.006,,0.006,0.002,0.007,0.005,0.004,0.005,0.008,0.01,,0.0019,0.002,0.0006
,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.007,0.002,0.025,0.022,0.053,0.014,0.012,0.011,0.013,0.02,,,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.01,0.003,0.011,0.011,,0.007,0.002,0.012,0.009,0.011,0.012,0.016,0.023,,0.0039,0.0024,0.0007
,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.005,0.001,0.008,0.006,0.014,0.005,0.004,0.004,0.006,0.007,,,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.008,0.002,0.003,0.004,,0.005,0.001,0.004,0.004,0.005,0.004,0.006,0.009,,0.0017,0.0016,0.0005
,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.007,0.002,0.006,0.005,0.004,0.005,0.003,0.005,0.005,0.007,,,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.009,0.003,0.003,      ND,,0.007,0.002,ND,0.003,0.004,0.003,0.003,0.008,,0.0017,0.0024,0.0007
,,Total Co-PCBs,－,－,－,0.74,0.51,3.6,0.33,0.17,0.26,0.27,0.36,,,,Total Co-PCBs,－,－,－,0.27,0.27,,－,－,0.23,0.2,0.2,0.19,0.31,0.36,,0.095,－,－
Total (PCDDs+PCDFs+Co-PCBs),,,－,－,－,1.6,1.4,4.4,1.3,0.73,1.5,1.4,1.7,,Total (PCDDs+PCDFs+Co-PCBs),,,－,－,－,0.88,0.78,,－,－,0.93,0.81,0.9,0.65,0.94,1.8,,0.39,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毒性等量,,,,,,,,,,,,,単位：pgTEQ/m3,,毒性等量,,,,,,,単位：pgTEQ/m3,,,,,,,,,単位：pgTEQ/m3,,,,単位：pg-TEQ/m3
PCDDs ,,,－,－,－,0.0038,0.0051,0.0039,0.0039,0.0032,0.0056,0.0082,0.0042,,PCDDs,,,－,－,－,0.002,0.0017,,－,－,0.0031,0.0034,0.0037,0.0029,0.0031,0.0088,,0.0014,－,－
PCDFs,,,－,－,－,0.0087,0.0067,0.0071,0.0077,0.0057,0.0095,0.01,0.013,,PCDFs,,,－,－,－,0.005,0.0051,,－,－,0.0062,0.0053,0.0063,0.0053,0.0059,0.012,,0.0028,－,－
co-PCBs,,,－,－,－,0.00097,0.00076,0.00098,0.00086,0.00055,0.00076,0.00076,0.0012,,co-PCBs,,,－,－,－,0.00054,0.00044,,－,－,0.00075,0.00055,0.00075,0.00055,0.00066,0.0013,,0.00025,－,－
Total DXN,,,－,－,－,0.013,0.013,0.012,0.012,0.0095,0.016,0.019,0.018,,Total DXN,,,－,－,－,0.0076,0.0072,,－,－,0.01,0.0093,0.011,0.0088,0.0096,0.022,,0.0045,－,－
備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,,,,,,
,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,,,,
,,(3)毒性等量(TEQ)は計量法第107条の計量証明対象外,,,,,,,,,,,,,,,(3)毒性等量(TEQ)は計量法第107条の計量証明対象外,,,,,,,,,,,,,,,,,,
,,"(4)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,"(4)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,
,,(5)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,(5)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,,,,
,,(6)西多摩郡檜原局については、吸引量を300L/minとして採取した。,,,,,,,,,,,,,,,(6)西多摩郡檜原局については、吸引量を300L/minとして採取した。,,,,,,,,,,,,,,,,,,
,,*調査期間は令和4年2月3日（木）～2月10日（木）の予定であったが、2月10日(木)について関東地方に大雪の予報が出たため、安全性を考慮し2月9日(水)に試料回収、調査機器撤去を行った。,,,,,,,,,,,,,,,*調査期間は令和4年2月3日（木）～2月10日（木）の予定であったが、2月10日(木)について関東地方に大雪の予報が出たため、安全性を考慮し2月9日(水)に試料回収、調査機器撤去を行った。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, ただし、八王子市片倉町局及び大楽寺町局は令和4年2月3日（木）～2月10日（木）で試料採取を行った。,,,,,,,,,,,,,,,,,,
