事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,令和３,2021,年平均,18.6,156.5,140.2,16.3,12.6,82.8,79.2,3.6
500人以上,令和４,2022,年平均,18.5,157.1,140.1,17,12.7,83.5,80,3.5
500人以上,令和４,2022,1月,17.8,150.7,134.4,16.3,11.7,77.3,73.7,3.6
500人以上,令和４,2022,2月,17.3,147.3,130.5,16.8,11.9,78.7,75.1,3.6
500人以上,令和４,2022,3月,18.9,161.1,142.8,18.3,12.5,82.1,78.2,3.9
500人以上,令和４,2022,4月,19.3,164.4,146.3,18.1,13.1,86.4,82.7,3.7
500人以上,令和４,2022,5月,18,152.3,135.9,16.4,12.7,83.3,79.9,3.4
500人以上,令和４,2022,6月,19.4,163.4,146.5,16.9,13.5,89.3,85.4,3.9
500人以上,令和４,2022,7月,19.2,162,144.9,17.1,13,84.4,81.1,3.3
500人以上,令和４,2022,8月,18.5,156,139.9,16.1,12.6,83.8,80.5,3.3
500人以上,令和４,2022,9月,18.3,154.8,138.5,16.3,12.8,84.7,81.3,3.4
500人以上,令和４,2022,10月,18.7,157.8,140.5,17.3,12.9,83.9,80.8,3.1
500人以上,令和４,2022,11月,18.7,158.2,140.9,17.3,13.2,85.8,82.6,3.2
500人以上,令和４,2022,12月,18.6,157.1,140.1,17,12.7,82.7,79.4,3.3
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和４年年報,,,,,,,,,,,
第９表　規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間（調査産業計）,,,,,,,,,,,
