設置主体,名称,郵便番号,住所,電話番号,ＦＡX番号
大田区,大田区保健所（蒲田地域健康課）,144-0053,大田区蒲田本町２－１－１,03-5713-1701,03-5713-0290
大田区,大田区保健所（糀谷・羽田地域健康課）,144-0033,大田区東糀谷１－２１－１５,03-3743-4161,03-6423-8838
世田谷区,世田谷保健所,154-0017,世田谷区世田谷４－２４－１,03-5432-2432,03-5432-3019
世田谷区,世田谷総合支所保健福祉センター（健康づくり課）,154-8504,世田谷区世田谷４－２２－３３,03-5432-2893,03-5432-3074
世田谷区,北沢総合支所保健福祉センター（健康づくり課）,155-8666,世田谷区北沢２－８－１８,03-6804-9355,03-6804-9044
世田谷区,玉川総合支所保健福祉センター（健康づくり課）,158-8503,世田谷区等々力３－４－１,03-3702-1948,03-3705-9203
世田谷区,砧総合支所保健福祉センター（健康づくり課）,157-8501,世田谷区成城６－２－１,03-3483-3161,03-3483-3167
世田谷区,烏山総合支所保健福祉センター（健康づくり課）,157-8555,世田谷区南烏山６－２２－１４,03-3308-8228,03-3308-3036
渋谷区,渋谷区保健所,150-8010,渋谷区宇田川町１－１,03-3463-1211,03-5458-4943
渋谷区,中央保健相談所,150-0042,渋谷区宇田川町５－６,03-3463-1211,03-5458-4944
渋谷区,恵比寿保健相談所,150-0013,渋谷区恵比寿２－２７－１８,03-3443-6251,03-3443-6253
渋谷区,幡ケ谷保健相談所,151-0072,渋谷区幡ケ谷３－３９－１,03-3374-7591,03-3374-5985
中野区,中野区保健所,164-0001,中野区中野２－１７－４,03-3382-6661,03-3382-6667
中野区,中部すこやか福祉センター,164-0011,中野区中央３－１９－１,03-3367-7788,03-3367-7789
中野区,北部すこやか福祉センター,165-0022,中野区江古田４－３１－１０,03-3389-4321,03-3389-4339
中野区,南部すこやか福祉センター,164-0013,中野区弥生町５－１１－２６,03-3382-1750,03-3382-1766
中野区,鷺宮すこやか福祉センター,165-0033,中野区若宮３－５８－１０,03-3336-7111,03-3336-7134
杉並区,杉並保健所（健康推進課）,167-0051,杉並区荻窪５－２０－１,03-3391-1355,03-3391-1377
杉並区,杉並保健所（生活衛生課）,167-0051,杉並区荻窪５－２０－１,03-3391-1991,03-3391-1926
杉並区,杉並保健所（保健予防課）,167-0051,杉並区荻窪５－２０－１,03-3391-1025,03-3391-1927
杉並区,荻窪保健センター,167-0051,杉並区荻窪５－２０－１,03-3391-0015,03-3391-1926
杉並区,高井戸保健センター,168-0072,杉並区高井戸東３－２０－３,03-3334-4304,03-3334-4525
杉並区,高円寺保健センター,166-0003,杉並区高円寺南３－２４－１５,03-3311-0116,03-3311-4871
杉並区,上井草保健センター,167-0023,杉並区上井草３－８－１９,03-3394-1212,03-3394-6330
杉並区,和泉保健センター,168-0063,杉並区和泉４－５０－６,03-3313-9331,03-3313-4384
豊島区,池袋保健所（地域保健課）,170-0013,豊島区東池袋４－４２－１６,03-3987-4203,03-3987-4110
豊島区,池袋保健所（保健予防課）,170-0013,豊島区東池袋４－４２－１６,03-4566-4115,03-3987-4178
豊島区,池袋保健所（生活衛生課）,170-0013,豊島区東池袋４－４２－１６,03-3987-4175,03-3981-5452
豊島区,池袋保健所（健康推進課）,170-0013,豊島区東池袋４－４２－１６,03-3987-4172,03-3987-4178
豊島区,長崎健康相談所,171-0051,豊島区長崎３－６－２４,03-3957-1191,03-3958-2188
北区,北区保健所（生活衛生課）,114-0001,北区東十条２－７－３,03-3919-0376,03-3919-3308
北区,北区保健所（保健予防課）,114-0001,北区東十条２－７－３,03-3919-3101,03-3919-5163
北区,王子健康支援センター,114-0001,北区東十条２－７－３,03-3919-7588,03-3919-5163
北区,赤羽健康支援センター,115-0044,北区赤羽南１－１３－１　赤羽会館６階,03-3903-6481,03-3903-6486
北区,滝野川健康支援センター,114-0024,北区西ケ原１－１９－１２,03-3915-0184,03-3915-0171
荒川区,荒川区保健所（生活衛生課）,116-8502,荒川区荒川２－１１－１,03-3802-4216,03-3806-2976
荒川区,荒川区保健所（健康推進課）,116-8502,荒川区荒川２－１１－１,03-3802-4247,03-3806-0364
荒川区,荒川区保健所（保健予防課）,116-8502,荒川区荒川２－１１－１,03-3802-4243,03-3807-1504
板橋区,板橋区保健所（健康推進課）,173-8501,板橋区板橋２－６６－１,03-3579-2302,03-3962-7834
板橋区,板橋区保健所（予防対策課）,173-0014,板橋区大山東町３２－１５,03-3579-2329,03-3579-1337
板橋区,板橋区保健所（生活衛生課）,173-0014,板橋区大山東町３２－１５,03-3579-2332,03-3579-1337
板橋区,板橋健康福祉センター,173-0014,板橋区大山東町３２－１５,03-3579-2333,03-3579-2345
板橋区,上板橋健康福祉センター,174-0075,板橋区桜川３－１８－６,03-3937-1041,03-3937-1058
板橋区,赤塚健康福祉センター,175-0092,板橋区赤塚１－１０－１３,03-3979-0511,03-3979-0581
板橋区,志村健康福祉センター,174-0046,板橋区蓮根２－５－５,03-3969-3836,03-3969-2251
板橋区,高島平健康福祉センター,175-0082,板橋区高島平３－１３－２８,03-3938-8621,03-3938-8640
練馬区,練馬区保健所（生活衛生課）,176-8501,練馬区豊玉北６－１２－１,03-5984-2483,03-5984-1211
練馬区,練馬区保健所（保健予防課）,176-8501,練馬区豊玉北６－１２－１,03-5984-1017,03-3993-6553
練馬区,豊玉保健相談所,176-0012,練馬区豊玉北５－１５－１９,03-3992-1188,03-3992-1187
練馬区,北保健相談所,179-0081,練馬区北町６－３５－７,03-3931-1347,03-3931-0851
練馬区,光が丘保健相談所,179-0072,練馬区光が丘２－９－６,03-5997-7722,03-5997-7719
練馬区,石神井保健相談所,177-0041,練馬区石神井町７－３－２８,03-3996-0634,03-3996-0590
練馬区,大泉保健相談所,178-0061,練馬区大泉学園町５－８－８,03-3921-0217,03-3921-0106
練馬区,関保健相談所,177-0052,練馬区関町東１－２７－４,03-3929-5381,03-3929-0787
足立区,足立保健所（生活衛生課）,120-0011,足立区中央本町１－５－３,03-3880-5361,03-3880-6998
足立区,足立保健所（感染症対策課）,120-0011,足立区中央本町１－５－３,03-3880-5372,03-3880-5371
足立区,足立保健所（中央本町地域・保健総合支援課）,120-0011,足立区中央本町１－５－３,03-3880-5351,03-3880-6998
足立区,足立保健所（衛生試験所）,120-0011,足立区中央本町１－５－３,03-3880-5370,03-3880-5455
足立区,竹の塚保健センター,121-0822,足立区西竹の塚１－１１－２　エミエルタワー竹の塚２階,03-3855-5082,03-3855-5089
足立区,江北保健センター,123-0845,足立区西新井本町２－３０－４０,03-3896-4004,03-3856-5529
足立区,千住保健センター,120-0036,足立区千住仲町１９－３　千住庁舎４階,03-3888-4277,03-3888-5396
足立区,東部保健センター,120-0001,足立区大谷田３－１１－１３,03-3606-4171,03-5697-6561
葛飾区,葛飾区保健所（地域保健課）,125-0062,葛飾区青戸４－１５－１４,03-3602-1231,03-3602-1298
葛飾区,葛飾区保健所（生活衛生課）,125-0062,葛飾区青戸４－１５－１４,03-3602-1242,03-3602-1298
葛飾区,葛飾区保健所（健康推進課）,125-0062,葛飾区青戸４－１５－１４,03-3602-1268,03-3602-1298
葛飾区,葛飾区保健所（保健予防課）,125-0062,葛飾区青戸４－１５－１４,03-3602-1274,03-3602-1298
葛飾区,青戸保健センター,125-0062,葛飾区青戸４－１５－１４,03-3602-1284,03-3602-1298
葛飾区,金町保健センター,125-0042,葛飾区金町４－１８－１９,03-3607-4141,03-3609-6795
葛飾区,新小岩保健センター,124-0025,葛飾区西新小岩４－３３－２,03-3696-3781,03-5698-1759
葛飾区,水元保健センター,125-0033,葛飾区東水元１－７－３,03-3627-1911,03-5699-1649
江戸川区,江戸川保健所（生活衛生課）,133-0052,江戸川区東小岩３－２３－３,03-3658-3177,03-3671-5798
江戸川区,江戸川保健所（保健予防課）,132-8507,江戸川区中央４－２４－１９,03-5661-2464,03-3655-9925
江戸川区,中央健康サポートセンター,132-8507,江戸川区中央４－２４－１９,03-5661-2467,03-3655-9925
江戸川区,小岩健康サポートセンター,133-0052,江戸川区東小岩３－２３－３,03-3658-3171,03-3671-5221
江戸川区,東部健康サポートセンター,132-0011,江戸川区瑞江２－５－７,03-3678-6441,03-3678-6444
江戸川区,清新町健康サポートセンター,134-0087,江戸川区清新町１－３－１１,03-3878-1221,03-3878-9847
江戸川区,葛西健康サポートセンター,134-0083,江戸川区中葛西３－１０－１,03-3688-0154,03-3878-9834
江戸川区,鹿骨健康サポートセンター,133-0073,江戸川区鹿骨１－５５－１０,03-3678-8711,03-3678-8714
江戸川区,小松川健康サポートセンター,132-0034,江戸川区小松川３－６－１,03-3683-5531,03-3683-5664
江戸川区,なぎさ健康サポートセンター,134-0085,江戸川区南葛西７－１－２７,03-5675-2515,03-5675-2519
