年・期平均,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,"運輸業,郵便業（千人）","卸売業,小売業（千人）","金融業,保険業（千人）","不動産業,物品賃貸業（千人）","学術研究,専門･技術ｻｰﾋﾞｽ業（千人）","宿泊業,飲食ｻｰﾋﾞｽ業（千人）","生活関連ｻｰﾋﾞｽ業,娯楽業（千人）","教育,学習支援業（千人）","医療,福祉（千人）",ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／女／令和３年10～12月,2021,10～12,83,201,317,103,645,198,139,233,289,166,248,666,289
実数／女／令和４年１～３月,2022,01～03,90,212,290,95,707,149,112,283,268,198,212,656,260
実数／女／令和４年４～６月,2022,04～06,82,190,305,98,672,166,121,225,294,168,232,717,299
実数／女／令和４年７～９月,2022,07～09,84,185,334,86,602,201,143,226,305,158,261,669,284
実数／女／令和４年10～12月,2022,10～12,62,203,286,85,635,178,118,229,292,187,248,715,339
実数／女／令和５年１～３月,2023,01～03,95,237,310,121,588,183,131,240,279,161,241,690,306
実数／女／令和５年４～６月,2023,04～06,88,231,308,96,627,157,137,249,321,172,231,703,290
実数／女／令和５年７～９月,2023,07～09,89,232,280,87,631,182,132,238,310,183,253,673,317
実数／女／令和５年10～12月,2023,10～12,82,205,319,71,697,174,129,257,299,180,240,658,280
実数／女／令和６年１～３月,2024,01～03,97,222,323,105,554,182,117,224,316,168,260,674,310
対前年・対前年同期増減数／男女計／令和３年,2021,,-8,-26,72,28,21,11,-8,23,-1,-1,3,44,-40
対前年・対前年同期増減数／男女計／令和４年,2022,,9,-18,71,-19,8,-2,-2,17,26,30,-38,36,4
対前年・対前年同期増減数／男女計／令和５年,2023,,24,44,-1,-12,-48,-20,5,29,28,-5,2,-6,28
対前年・対前年同期増減数／男女計／令和３年10～12月,2021,10～12,-40,-80,93,87,-25,34,12,12,11,-11,-19,37,0
対前年・対前年同期増減数／男女計／令和４年１～３月,2022,01～03,32,7,51,-12,12,-5,8,77,1,10,-78,-4,-3
対前年・対前年同期増減数／男女計／令和４年４～６月,2022,04～06,-25,-17,142,39,39,-23,50,56,68,27,-52,52,-12
対前年・対前年同期増減数／男女計／令和４年７～９月,2022,07～09,43,-33,106,-47,-7,-1,3,-42,43,46,-18,12,8
対前年・対前年同期増減数／男女計／令和４年10～12月,2022,10～12,-14,-29,-13,-55,-14,22,-68,-20,-7,34,-7,84,24
対前年・対前年同期増減数／男女計／令和５年１～３月,2023,01～03,7,-9,32,-7,-107,26,14,-36,36,-27,38,23,68
対前年・対前年同期増減数／男女計／令和５年４～６月,2023,04～06,39,95,-20,-11,-94,-13,11,45,22,12,-3,-28,7
対前年・対前年同期増減数／男女計／令和５年７～９月,2023,07～09,16,46,-77,21,-16,-45,-26,35,57,15,-28,36,57
対前年・対前年同期増減数／男女計／令和５年10～12月,2023,10～12,33,44,59,-53,29,-49,19,71,-5,-20,1,-54,-19
対前年・対前年同期増減数／男女計／令和６年１～３月,2024,01～03,-51,-27,81,-32,-57,24,-34,15,40,8,46,-19,44
対前年・対前年同期増減数／男／令和３年,2021,,-11,-7,49,20,13,2,2,1,-7,-8,3,9,-37
対前年・対前年同期増減数／男／令和４年,2022,,16,-13,54,-11,6,9,-3,4,2,7,-15,7,-3
対前年・対前年同期増減数／男／令和５年,2023,,14,16,-2,-16,-29,-21,-4,24,15,-1,0,2,26
対前年・対前年同期増減数／男／令和３年10～12月,2021,10～12,-41,-32,57,71,5,11,9,-11,3,-24,1,-13,19
対前年・対前年同期増減数／男／令和４年１～３月,2022,01～03,36,9,40,7,-2,-9,2,13,-11,-3,-44,-23,-6
対前年・対前年同期増減数／男／令和４年４～６月,2022,04～06,-12,-16,113,25,1,-6,42,38,14,-3,7,6,-4
対前年・対前年同期増減数／男／令和４年７～９月,2022,07～09,32,-11,44,-41,27,6,-7,-17,19,20,-15,10,26
対前年・対前年同期増減数／男／令和４年10～12月,2022,10～12,7,-32,18,-37,-3,42,-47,-17,-12,14,-7,35,-26
対前年・対前年同期増減数／男／令和５年１～３月,2023,01～03,0,-33,12,-33,12,-8,-4,8,26,9,10,-11,23
対前年・対前年同期増減数／男／令和５年４～６月,2023,04～06,33,55,-24,-9,-50,-3,-5,22,-7,8,-2,-14,16
対前年・対前年同期増減数／男／令和５年７～９月,2023,07～09,12,-1,-22,20,-45,-27,-14,22,52,-11,-20,31,24
対前年・対前年同期増減数／男／令和５年10～12月,2023,10～12,13,43,26,-39,-34,-45,8,43,-11,-13,9,2,40
対前年・対前年同期増減数／男／令和６年１～３月,2024,01～03,-53,-12,68,-16,-23,24,-20,30,3,1,26,-2,39
対前年・対前年同期増減数／女／令和３年,2021,,3,-18,23,8,8,7,-10,22,6,7,-1,35,-3
対前年・対前年同期増減数／女／令和４年,2022,,-7,-5,18,-8,2,-10,1,13,24,23,-24,29,7
対前年・対前年同期増減数／女／令和５年,2023,,10,28,0,3,-18,1,8,5,12,-4,3,-8,2
対前年・対前年同期増減数／女／令和３年10～12月,2021,10～12,1,-47,36,15,-29,24,4,22,9,13,-20,50,-19
対前年・対前年同期増減数／女／令和４年１～３月,2022,01～03,-3,-2,11,-19,15,4,5,64,11,14,-34,19,3
対前年・対前年同期増減数／女／令和４年４～６月,2022,04～06,-14,-2,30,13,39,-17,7,17,55,30,-59,45,-8
対前年・対前年同期増減数／女／令和４年７～９月,2022,07～09,11,-22,62,-7,-34,-6,9,-24,24,26,-3,3,-18
対前年・対前年同期増減数／女／令和４年10～12月,2022,10～12,-21,2,-31,-18,-10,-20,-21,-4,3,21,0,49,50
対前年・対前年同期増減数／女／令和５年１～３月,2023,01～03,5,25,20,26,-119,34,19,-43,11,-37,29,34,46
対前年・対前年同期増減数／女／令和５年４～６月,2023,04～06,6,41,3,-2,-45,-9,16,24,27,4,-1,-14,-9
対前年・対前年同期増減数／女／令和５年７～９月,2023,07～09,5,47,-54,1,29,-19,-11,12,5,25,-8,4,33
対前年・対前年同期増減数／女／令和５年10～12月,2023,10～12,20,2,33,-14,62,-4,11,28,7,-7,-8,-57,-59
対前年・対前年同期増減数／女／令和６年１～３月,2024,01～03,2,-15,13,-16,-34,-1,-14,-16,37,7,19,-16,4
,,,,,,,,,,,,,,,
東京の労働力統計データ（令和６年１～３月期平均）,,,,,,,,,,,,,,,
第４表　主な産業別就業者数  ,,,,,,,,,,,,,,,
