年・期平均,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,"運輸業,郵便業（千人）","卸売業,小売業（千人）","金融業,保険業（千人）","不動産業,物品賃貸業（千人）","学術研究,専門･技術ｻｰﾋﾞｽ業（千人）","宿泊業,飲食ｻｰﾋﾞｽ業（千人）","生活関連ｻｰﾋﾞｽ業,娯楽業（千人）","教育,学習支援業（千人）","医療,福祉（千人）",ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男／令和４年４～６月,2022,04～06,274,443,680,262,604,169,169,273,188,94,175,211,356
実数／男／令和４年７～９月,2022,07～09,286,458,630,232,641,176,141,266,190,91,191,193,350
実数／男／令和４年10～12月,2022,10～12,298,423,620,287,603,217,121,255,202,93,174,207,349
実数／男／令和５年１～３月,2023,01～03,322,452,615,250,611,137,159,266,197,111,162,196,338
実数／男／令和５年４～６月,2023,04～06,293,488,658,248,562,167,172,298,172,90,168,203,369
実数／男／令和５年７～９月,2023,07～09,299,458,601,242,589,150,130,283,234,82,171,221,371
実数／男／令和５年10～12月,2023,10～12,292,464,655,244,580,172,132,297,194,92,180,201,380
実数／男／令和６年１～３月,2024,01～03,284,435,675,237,602,162,145,291,206,117,189,181,368
実数／男／令和６年４～６月,2024,04～06,285,454,651,227,550,158,153,294,237,101,212,226,318
実数／女／令和３年,2021,,82,195,272,97,620,182,105,181,239,123,239,640,273
実数／女／令和４年,2022,,73,189,291,90,622,171,104,183,266,140,211,673,281
実数／女／令和５年,2023,,81,213,290,92,608,173,116,191,282,135,215,663,280
実数／女／令和４年１～３月,2022,01～03,86,203,272,95,675,146,94,220,242,157,186,644,248
実数／女／令和４年４～６月,2022,04～06,77,183,293,97,635,165,101,161,273,138,204,695,286
実数／女／令和４年７～９月,2022,07～09,75,179,324,83,576,198,118,175,279,121,235,659,267
実数／女／令和４年10～12月,2022,10～12,56,189,274,85,604,177,105,175,270,146,218,694,322
実数／女／令和５年１～３月,2023,01～03,91,225,295,120,565,183,115,177,258,121,217,685,282
実数／女／令和５年４～６月,2023,04～06,83,220,298,95,600,156,121,207,298,138,202,681,269
実数／女／令和５年７～９月,2023,07～09,80,222,261,84,598,179,118,184,282,138,223,654,299
実数／女／令和５年10～12月,2023,10～12,70,187,306,69,669,174,111,196,288,144,218,631,269
実数／女／令和６年１～３月,2024,01～03,85,206,308,103,533,182,100,179,293,127,243,656,288
実数／女／令和６年４～６月,2024,04～06,78,232,298,81,613,150,110,222,287,141,239,729,284
対前年・対前年同期増減数／男女計／令和３年,2021,,3,-3,61,26,11,10,0,24,-13,-11,2,39,-15
対前年・対前年同期増減数／男女計／令和４年,2022,,8,-20,71,-22,8,-4,-7,3,37,21,-35,40,3
対前年・対前年同期増減数／男女計／令和５年,2023,,12,38,-2,-18,-42,-18,12,30,27,-2,1,-7,20
対前年・対前年同期増減数／男女計／令和４年１～３月,2022,01～03,29,18,64,-16,14,-7,2,37,9,-6,-77,5,-1
対前年・対前年同期増減数／男女計／令和４年４～６月,2022,04～06,-21,-17,136,25,33,-26,39,35,69,28,-42,63,1
対前年・対前年同期増減数／男女計／令和４年７～９月,2022,07～09,47,-40,99,-40,-8,-5,-7,-43,43,35,-15,26,0
対前年・対前年同期増減数／男女計／令和４年10～12月,2022,10～12,-23,-41,-16,-58,-9,22,-60,-16,26,25,-7,65,13
対前年・対前年同期増減数／男女計／令和５年１～３月,2023,01～03,-3,-11,38,-8,-104,31,16,-41,42,-9,38,39,56
対前年・対前年同期増減数／男女計／令和５年４～６月,2023,04～06,26,82,-18,-16,-78,-10,23,71,9,-4,-9,-22,-4
対前年・対前年同期増減数／男女計／令和５年７～９月,2023,07～09,18,43,-92,12,-29,-45,-10,26,47,9,-32,23,52
対前年・対前年同期増減数／男女計／令和５年10～12月,2023,10～12,8,39,67,-59,42,-47,18,63,10,-3,7,-68,-23
対前年・対前年同期増減数／男女計／令和６年１～３月,2024,01～03,-43,-36,73,-31,-41,25,-29,27,45,11,53,-44,36
対前年・対前年同期増減数／男女計／令和６年４～６月,2024,04～06,-13,-22,-7,-35,2,-15,-29,11,53,14,81,70,-37
対前年・対前年同期増減数／男／令和３年,2021,,-3,3,44,18,8,3,7,4,-15,-11,0,8,-18
対前年・対前年同期増減数／男／令和４年,2022,,16,-14,52,-15,5,7,-5,2,10,3,-6,7,-4
対前年・対前年同期増減数／男／令和５年,2023,,4,14,-1,-20,-27,-20,-1,21,11,3,-4,3,21
対前年・対前年同期増減数／男／令和４年１～３月,2022,01～03,33,16,49,0,2,-9,0,-4,-5,-16,-37,-21,-4
対前年・対前年同期増減数／男／令和４年４～６月,2022,04～06,-9,-16,111,11,-12,-6,33,38,15,-1,21,15,3
対前年・対前年同期増減数／男／令和４年７～９月,2022,07～09,39,-16,40,-33,29,4,-12,-17,17,15,-6,15,17
対前年・対前年同期増減数／男／令和４年10～12月,2022,10～12,2,-38,8,-40,1,42,-44,-11,14,15,-4,21,-33
対前年・対前年同期増減数／男／令和５年１～３月,2023,01～03,-8,-33,14,-33,6,-6,-5,2,26,26,7,-2,21
対前年・対前年同期増減数／男／令和５年４～６月,2023,04～06,19,45,-22,-14,-42,-2,3,25,-16,-4,-7,-8,13
対前年・対前年同期増減数／男／令和５年７～９月,2023,07～09,13,0,-29,10,-52,-26,-11,17,44,-9,-20,28,21
対前年・対前年同期増減数／男／令和５年10～12月,2023,10～12,-6,41,35,-43,-23,-45,11,42,-8,-1,6,-6,31
対前年・対前年同期増減数／男／令和６年１～３月,2024,01～03,-38,-17,60,-13,-9,25,-14,25,9,6,27,-15,30
対前年・対前年同期増減数／男／令和６年４～６月,2024,04～06,-8,-34,-7,-21,-12,-9,-19,-4,65,11,44,23,-51
対前年・対前年同期増減数／女／令和３年,2021,,7,-5,18,8,2,7,-8,21,2,2,3,31,2
対前年・対前年同期増減数／女／令和４年,2022,,-9,-6,19,-7,2,-11,-1,2,27,17,-28,33,8
対前年・対前年同期増減数／女／令和５年,2023,,8,24,-1,2,-14,2,12,8,16,-5,4,-10,-1
対前年・対前年同期増減数／女／令和４年１～３月,2022,01～03,-5,1,16,-16,12,3,2,42,13,10,-40,26,4
対前年・対前年同期増減数／女／令和４年４～６月,2022,04～06,-12,-1,24,14,45,-18,6,-3,55,29,-63,48,-2
対前年・対前年同期増減数／女／令和４年７～９月,2022,07～09,9,-24,59,-7,-37,-9,4,-26,26,21,-9,11,-18
対前年・対前年同期増減数／女／令和４年10～12月,2022,10～12,-25,-3,-24,-18,-11,-19,-16,-5,12,10,-2,45,46
対前年・対前年同期増減数／女／令和５年１～３月,2023,01～03,5,22,23,25,-110,37,21,-43,16,-36,31,41,34
対前年・対前年同期増減数／女／令和５年４～６月,2023,04～06,6,37,5,-2,-35,-9,20,46,25,0,-2,-14,-17
対前年・対前年同期増減数／女／令和５年７～９月,2023,07～09,5,43,-63,1,22,-19,0,9,3,17,-12,-5,32
対前年・対前年同期増減数／女／令和５年10～12月,2023,10～12,14,-2,32,-16,65,-3,6,21,18,-2,0,-63,-53
対前年・対前年同期増減数／女／令和６年１～３月,2024,01～03,-6,-19,13,-17,-32,-1,-15,2,35,6,26,-29,6
対前年・対前年同期増減数／女／令和６年４～６月,2024,04～06,-5,12,0,-14,13,-6,-11,15,-11,3,37,48,15
,,,,,,,,,,,,,,,
東京の労働力統計データ（令和６年(2024年)４～６月期平均）,,,,,,,,,,,,,,,
第５表　主な産業別雇用者数,,,,,,,,,,,,,,,
