年・期平均,西暦(年),四半期,東京都／男女計（％、ポイント）,東京都／男（％、ポイント）,東京都／女（％、ポイント）,南関東／男女計（％、ポイント）,南関東／男（％、ポイント）,南関東／女（％、ポイント）,全国／男女計（％、ポイント）,全国／男（％、ポイント）,全国／女（％、ポイント）
対前年・対前年同期増減数／令和２年４～６月,2020,04～06,0.8,1.1,0.6,0.8,0.9,0.5,0.4,0.6,0.2
対前年・対前年同期増減数／令和２年７～９月,2020,07～09,1.3,1.1,1.7,1,0.9,1.2,0.7,0.6,0.7
対前年・対前年同期増減数／令和２年10～12月,2020,10～12,0.6,0.6,0.6,1,1.2,0.6,0.7,0.9,0.5
対前年・対前年同期増減数／令和３年１～３月,2021,01～03,0.1,0,0.4,0.4,0.4,0.5,0.4,0.4,0.4
対前年・対前年同期増減数／令和３年４～６月,2021,04～06,0.6,1,0,0.1,0.3,0,0.2,0.2,0.2
対前年・対前年同期増減数／令和３年７～９月,2021,07～09,-0.4,0,-1,-0.2,0,-0.5,-0.2,-0.1,-0.3
対前年・対前年同期増減数／令和３年10～12月,2021,10～12,-0.6,-0.7,-0.6,-0.3,-0.3,-0.1,-0.3,-0.4,-0.2
対前年・対前年同期増減数／令和４年１～３月,2022,01～03,0.1,0,0.1,0,-0.1,0,-0.1,-0.1,-0.2
対前年・対前年同期増減数／令和４年４～６月,2022,04～06,-1,-1.8,-0.1,-0.5,-0.9,0,-0.3,-0.4,-0.2
対前年・対前年同期増減数／令和４年７～９月,2022,07～09,-0.6,-0.8,-0.3,-0.5,-0.6,-0.3,-0.2,-0.2,-0.2
対前年・対前年同期増減数／令和４年10～12月,2022,10～12,0,0,0,-0.4,-0.3,-0.5,-0.2,-0.2,-0.2
対前年・対前年同期増減数／令和５年１～３月,2023,01～03,-0.2,-0.1,-0.4,-0.1,0.1,-0.2,-0.1,-0.1,-0.1
対前年・対前年同期増減数／令和５年４～６月,2023,04～06,-0.2,-0.3,0.1,0,0,0,0,-0.1,0
対前年・対前年同期増減数／令和５年７～９月,2023,07～09,0.1,0,0.1,0.2,-0.1,0.4,0,0,0.2
対前年・対前年同期増減数／令和５年10～12月,2023,10～12,-0.3,-0.3,0,0.1,-0.1,0.3,0,-0.1,0.1
対前年・対前年同期増減数／令和６年１～３月,2024,01～03,-0.1,-0.2,0.1,-0.1,-0.4,0.3,-0.1,-0.2,0.2
,,,,,,,,,,,
東京の労働力統計データ（令和６年１～３月期平均）,,,,,,,,,,,
参考表　東京都、南関東及び全国の完全失業率,,,,,,,,,,,
注）南関東：埼玉県、千葉県、東京都、神奈川県,,,,,,,,,,,
