"年月[西暦]","調査項目","設問","方法","調査回答者の属性種別","調査回答者の属性","調査数[人]","利用したことがある[人]","実際に利用したことはないが、利用すると思う","利用しないと思う[人]","無回答[人]"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","居住地区別","赤坂地区","81","13","16","45","7"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","居住地区別","高輪地区","149","21","27","86","15"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","居住地区別","芝浦港南地区","141","23","34","66","18"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","居住地区別","無回答","19","0","0","6","13"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","住居形態別","持家（一戸建）","65","7","14","34","10"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","住居形態別","持家（マンション）","269","36","48","157","28"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","住居形態別","借家（一戸建）","9","1","0","8","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","住居形態別","民間の賃貸マンション・アパート","153","34","33","70","16"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","住居形態別","都営住宅・区営住宅・区立住宅","26","3","4","16","3"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","12","1","2","7","2"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","住居形態別","社宅・公務員宿舎","10","0","6","4","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","住居形態別","寮・寄宿舎・住み込み・間借り","4","0","1","2","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","住居形態別","その他","5","0","0","5","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","住居形態別","無回答","11","0","0","0","11"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","定住意向別","ずっと住み続けていたい","280","27","52","163","38"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","定住意向別","当分は住んでいたい","205","43","40","98","24"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","47","8","11","24","4"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","1","1","3","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","定住意向別","近いうちに区外に転居する予定である","14","3","3","5","3"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","定住意向別","わからない","10","0","1","8","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","４　LINEなどの SNS ソーシャル・ネットワーク・サービス）を利用して相談する","定住意向別","無回答","3","0","0","2","1"

"第33回港区民世論調査クロス集計表・自殺対策Q29-4","Ver202203",,,,,,,,,
