No.,,医療機関名,郵便番号,所在地,,,電話番号,心療に当たる科,"発達障害児を対象にした
プログラム",実施曜日,,,,,,,実施時間,,対象年齢,,,,,,"留意事項等
（プログラムの内容）","発達障害者を対象にした
プログラム",実施曜日,,,,,,,実施時間,,対象年齢,,,,,,"留意事項等
（プログラムの内容）"
15,診療所,茅場町こころのケアクリニック,103-0025,中央区日本橋茅場町２－８－１０　碧山ビル２Ｆ,35.6793,139.779,03-5643-9855,精神科・心療内科,○,－,－,－,－,－,○,－,10時半,14時半,－,－,○,○,○,○,集団心理療法または個別心理療法：アサーション。集団心理療法は事前に詳細の説明があります。,○,－,－,－,○,○,○,－,"木：10時
金：15時
土：10時半","木：20時
金：20時
土：14時",－,－,○,○,○,○,患者/家族の方対象で臨床心理士による心理療法を実施：簡易検査及び作業含む
16,診療所,医療法人社団雄仁会メディカルケア虎ノ門,105-0001,港区虎ノ門１－１６－１６　虎ノ門１丁目ＭＧビル３Ｆ,35.6684,139.7486,03-5510-3898,精神科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,－,－,－,－,－,○,－,13時,16時,－,－,－,－,○,○,ショートケア、心理士のレクチャー＋グループワーク
17,診療所,品川心療内科,108-0075,港区港南２－１４－１０　品川駅前港南ビル１０Ｆ,35.6287,139.742,03-6712-9474,心療内科・精神科,○,○,○,○,○,○,○,－,10時,19時,○,○,○,○,○,○,個別プログラム,○,○,○,○,○,○,○,－,10時,19時,○,○,○,○,○,○,個別プログラム
18,診療所,赤坂ファミリークリニック,107-0052,港区赤坂２－１５－１５　赤坂プラザビル３Ｆ,35.6716,139.7378,03-5562-8825,小児科,○,－,－,－,○,○,○,－,10時,17時,○,○,○,○,○,○,－,○,－,－,－,○,○,○,－,10時,17時,○,○,○,○,○,○,－
19,診療所,医療法人社団真貴志会南青山アンティーク通りクリニック,107-0062,港区南青山５－１４－１　グリーンビル３０２号,35.6607,139.7133,03-3400-0611,精神科・心療内科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,－,○,○,○,○,○,－,11時,9時,－,－,○,○,○,○,カウンセリング（認知行動療法を中心として）
20,診療所,加藤プラチナクリニック,108-0071,港区白金台３－１４－３５　白金台ドルチェ７０１,35.6371,139.7247,03-5422-8565,小児科・内科,○,－,○,○,○,○,○,－,10時,18時半,○,○,○,○,○,○,MRIを参照した脳トレ,○,－,○,○,○,○,○,－,10時,18時半,○,○,○,○,○,○,MRIを参照した脳トレ
21,診療所,たまきクリニック,160-0023,新宿区西新宿１－１２－１２　河西ビル２Ｆ,35.69,139.6973,03-3348-5888,精神科,○,○,○,○,－,○,○,－,－,－,○,○,○,○,○,○,状況に応じて実施していますので、時間の設定はなし。投薬への説明、休薬日の設定、マインドフルネスの施行、認知行動療法、スキーマ療法、夢を利用した精神療法、就学前の幼児や子供には漢方を処方する。,○,○,○,○,－,○,○,－,－,－,○,○,○,○,○,○,発達障害児の場合と同じ。
22,診療所,医療法人社団エムアイプラン１９９６西新宿メンタルクリニック,160-0023,新宿区西新宿１－５－１２　ニューセントラルビル３Ｆ,35.6927,139.698,03-3344-2137,精神科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,○,○,○,○,○,○,－,11時,17時,－,－,－,－,－,○,昼休み（13時～16時）除く
23,診療所,吉川クリニック,112-0001,文京区白山５－３６－９　白山麻の実ビル４Ｆ,35.7207,139.7517,03-5840-5677,精神科・児童精神科,○,○,○,○,○,○,－,－,9時,19時,－,－,○,○,○,○,コミュニケーションプログラム、作業療法,○,○,○,○,○,○,－,－,9時,19時,－,－,○,○,○,○,コミュニケーションプログラム、作業療法
24,診療所,ストレスケア東京上野駅前クリニック,110-0005,台東区上野７－７－７　早稲田ビルヂング6階,35.7141,139.7784,03-3842-7730,心療内科・精神科,○,○,－,－,－,○,○,－,12時,18時,－,－,○,○,○,○,認知行動療法、ソーシャルスキルトレーニング、アートセラピー（芸術療法）、運動療法。祝日も実施。,○,○,－,－,－,○,○,－,12時,18時,－,－,○,○,○,○,認知行動療法、ソーシャルスキルトレーニング、アートセラピー（芸術療法）、運動療法。祝日も実施。
25,診療所,医療法人社団草思会錦糸町クボタクリニック,130-0013,墨田区錦糸３－５－１　,35.6983,139.8142,03-3623-3031,精神科・心療内科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
26,診療所,医療法人社団浅川クリニック,135-0004,江東区森下３－２０－６,35.688,139.8026,03-5600-0033,心療内科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,○,○,○,－,○,○,－,9時,18時,－,－,○,○,○,○,学習、運動、調理、SCT、アサーション、ミーティング等
27,診療所,医療法人社団洗松会洗足心療内科クリニック,152-0012,目黒区洗足２－２６－１５－１０５,35.6097,139.695,03-3785-7672,精神科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,○,－,－,－,－,－,－,－,－,－,－,－,○,○,○,大人の発達障害プログラム不定期開催
28,診療所,ソアレメディカルクリニック,152-0032,目黒区平町１－２６－３　スミール都立大２０１号,35.618,139.6774,03-6909-2761,心療内科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,○,○,－,○,○,－,－,9時,16時,－,－,－,○,○,○,ASRS－v.1.1
29,診療所,医療法人社団オーシーエフシー会大川こども＆内科クリニック,146-0095,大田区多摩川１－６－１６　大川ビル,35.5628,139.7002,03-3758-0920,育児・発達支援外来,○,○,○,○,○,○,○,－,9時,17時,○,○,○,－,－,－,－,○,○,○,○,○,○,○,－,9時,17時,○,○,○,－,－,－,－
30,診療所,みくりキッズくりにっく,158-0093,世田谷区上野毛２－２２－１４　ＣＯＲＴＩＬＥ　ＴＡＭＡＧＡＷＡＢ棟,35.6094,139.6351,03-3701-1010,小児科・小児神経科・児童精神科・アレルギー科・内科・リハビリテーション,○,○,○,○,○,○,○,○,9時,18時,○,○,○,－,－,－,時間は曜日、担当によって変更有。,○,○,○,○,○,○,○,○,9時,18時,○,○,○,－,－,－,－
31,診療所,医療法人社団洗松会三軒茶屋神経科心療内科クリニック,154-0004,世田谷区太子堂４－２７－１１　,35.6455,139.6701,03-3795-7744,精神科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,○,○,○,○,○,－,－,10時,14時,－,－,－,○,○,○,SST
32,診療所,どんぐり発達クリニック,157-0062,世田谷区南烏山４－１４－５　世田谷テラス１Ｆ,35.6702,139.6005,03-5314-3288,小児神経科・児童精神科,○,－,－,－,－,－,－,－,－,－,○,○,－,－,－,－,SST（金）、ペアトレ（金）、母の会（水）、父の会（土）。学習支援（水、金、土）。プログラムによって実施曜日・時間は異なります。,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
33,診療所,千歳烏山メンタルクリニック,157-0062,世田谷区南烏山６－４－２９　４Ｆ,35.6685,139.6003,03-3308-8708,精神科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,○,－,－,－,－,－,－,－,－,－,－,－,○,○,○,個別・集団でプログラムを実施。詳しくはお問い合わせください。
34,診療所,青山渋谷メディカルクリニック,150-0002,渋谷区渋谷１－２４－６　マトリックス・ツービル７Ｆ,35.6606,139.702,03-5464-5467,精神科,○,－,－,－,－,○,－,－,10時半,16時半,－,－,○,○,○,○,担当制デイケア,○,－,－,－,－,○,－,－,－,－,－,－,○,○,○,－,担当制デイケア
35,診療所,医療法人社団ＳＥＲＥＮＴＥＭｅｄｉｃａｌＳｗｉｔｃｈｉｎｃｌｉｎｉｃ,150-0002,渋谷区渋谷１－９－５　高橋ビル３Ｆ,35.6604,139.7046,03-5778-3600,児童精神科,○,○,○,○,○,○,－,－,14時,18時,○,○,○,○,○,○,－,○,○,○,○,○,○,－,－,14時,18時,－,○,○,○,○,○,－
36,診療所,花クリニック,151-0053,渋谷区代々木１－３８－１１,35.6826,139.7007,"03-3375-1161（代表）
03-3375-1153（精神科直通）",児童精神科,○,－,○,－,－,－,○,－,9時半,12時,○,○,－,－,－,－,学習困難障害への対応・SST等,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
37,診療所,医療法人社団ｍＨＩ市橋クリニック,151-0063,渋谷区富ケ谷１－１３－９　フォンテ西原宿４Ａ,35.6674,139.6912,03-5454-1849,精神科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,－,○,－,－,－,○,－,－,－,－,－,－,○,○,○,発達障害に特化したSST。火曜は16時30分～17時45分、土曜は9時30分～10時45分、11時00分～12時15分。
38,診療所,医療法人社団榎会榎本クリニック,171-0021,豊島区西池袋１－２－５,35.7278,139.7091,03-3982-5321,精神科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,○,○,○,○,○,○,－,17時,18時,－,－,○,○,○,○,不定期ではありますが、CPが入ってSST、マインドフルネス実施。実施曜日等みついて詳しくはお問い合わせください。
39,診療所,櫻和メンタルクリニック,170-0002,豊島区巣鴨１－１９－１２　八木下ビル３Ｆ,35.7318,139.7401,03-5319-1908,精神科・児童精神科,○,○,○,○,○,○,○,－,－,－,○,○,－,－,－,－,個別面接、小学生SST。ペアレントトレーニング、親の会。実施時間は診療時間内。,○,○,○,○,○,○,○,－,－,－,－,－,－,－,○,○,デイケア、親の会。実施時間は診療時間内。
40,診療所,医療法人社団榎会新大塚榎本クリニック,170-0005,豊島区南大塚３－１１－９,35.7283,139.729,03-6907-8061,精神科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,○,○,○,○,○,○,－,9時,19時,－,－,－,○,○,○,グループワーク、レクリエーション、工作等
41,診療所,全国療育相談センター,170-0005,豊島区南大塚３－４３－１１,35.729,139.7289,03-5927-1280,小児科・児童精神科,○,－,○,－,○,○,－,－,"①10時～
②14時半～","①～12時
②～16時半",○,○,○,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
42,診療所,公益社団法人発達協会王子クリニック,115-0044,北区赤羽南２－１０－２０,35.7743,139.7229,03-3903-3311,神経小児科・精神科,○,○,○,○,○,○,○,－,9時20分,17時,○,○,○,○,－,－,主にSTによるコミュニケーション指導。プログラムは療育部との連携のもとあるが、希望が多くプログラムに入るのは難しい。,○,○,○,○,○,○,○,－,9時20分,17時,－,－,－,－,○,○,プログラム開始年齢は30歳未満である必要がある。内容は発達障害児のプログラムと同じ。
43,診療所,医療法人社団讃友会あべクリニック,116-0014,荒川区東日暮里６－６０－１０　日暮里駅前中央ビル５Ｆ,35.7287,139.7726,03-5810-7808,精神科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,－,－,－,○,－,－,－,－,－,－,－,－,○,○,○,広汎性発達障害の小グループでの集団療法
44,診療所,ねづクリニック,174-0042,板橋区東坂下２－３－６　メゾン太陽１０１,35.7825,139.6889,03-5914-0236,小児科・内科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,個別面接を医師、発達児童心理学者でしています,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,個別面接を医師、発達児童心理学者でしています
45,診療所,医療法人社団仁恕会メンタルクリニックいたばし,173-0004,板橋区板橋１－２１－５　１Ｆ・２Ｆ,35.7473,139.7185,03-3961-9603,精神科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,○,－,○,－,○,－,－,16時,19時,－,－,－,－,－,○,"SST,問題解決技法、認知行動療法"
46,診療所,野口クリニック,177-0032,練馬区谷原５－２７－５,35.7533,139.6077,03-5387-1105,小児科,○,○,○,○,－,○,－,－,13時,16時,○,○,－,－,－,－,療育（個別に個人の状況に応じて行っている）、言語訓練（個別に個人の状況に応じて行っている）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
47,診療所,医療法人社団柔和会藤澤こどもクリニック,176-0012,練馬区豊玉北６－６－６,35.7344,139.6525,03-3557-7950,小児科,○,－,－,○,－,○,○,－,9時,19時,○,○,○,○,○,○,土曜日は15時まで,○,－,－,○,－,○,○,－,9時,19時,○,○,○,○,○,○,土曜日は15時まで
48,診療所,まちどりクリニック,120-0005,足立区綾瀬３－６－２,35.7634,139.8241,03-5673-0555,精神科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,－,○,－,－,－,○,－,－,－,－,－,－,－,－,○,居場所・人間関係を考えるグループ（2：00～3：30（火曜））、就労を目指すグル―プ、就労を維持するグループ（3：00～4：30（土））の三つ
49,診療所,医療法人社団広洋会ほしの小児科クリニック,133-0056,江戸川区南小岩３－２８－１,35.7271,139.8877,03-5612-2205,小児科,,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,プログラムはありませんが発達障害のあるお子さんが来院されましたら、まず一般外来でできるだけお話を伺い、必要があれば毎週土曜日の午後に面談しています。投薬は用いず1時間ほどの時間をかけてカウンセリング、認知行動療法を主とした対応を行っています。なお、3000円の実費を頂いております。,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,原則として持ち上がった例以外は成人は対象としていません。
50,診療所,久田医院,132-0035,江戸川区平井１－２７－７,35.7025,139.8513,03-3681-0081,小児科,○,－,－,○,－,－,－,－,13時,15時,○,○,○,－,－,－,個別心理面接・養育者に向けての支援、症状によっては専門医に紹介します。,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
51,診療所,八王子中町メンタルクリニック,192-0085,八王子市中町５－１　八王子中町ビル３Ｆ　３０８,35.6579,139.3365,042-655-7321,精神科,,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,○,－,○,－,○,－,○,10時,18時,－,○,○,○,○,○,○
52,診療所,立川相互病院付属子ども診療所,190-0022,立川市錦町１－２３－２５　１Ｆ,35.6957,139.4222,042-525-6555,小児科,○,－,－,－,－,－,－,－,－,－,○,－,－,－,－,－,機能性構音障害。実施については診察で決まります。,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
53,診療所,おざき心のクリニック,180-0004,武蔵野市吉祥寺本町１－３５－１４　ユニアス七井ビル２Ｆ,35.7037,139.5848,0422-20-5587,心療内科・精神科,○,－,－,○,－,－,－,－,15時,16時,－,－,－,－,○,○,小集団精神療法,○,－,－,○,－,－,－,－,15時,16時,－,－,－,－,○,○,小集団精神療法
54,診療所,石田医院,183-0034,府中市住吉町５－１－４　Ｍビル２Ｆ・３Ｆ,35.6593,139.457,042-334-2223,精神科・小児神経科,○,○,－,○,－,○,－,－,13時,19時,○,○,○,○,○,○,認知行動療法、家族療法,○,○,－,○,－,○,－,－,13時,19時,○,○,○,○,○,○,認知行動療法、家族療法
55,診療所,医療法人社団佐々木こどもクリニック,182-0006,調布市西つつじケ丘３－３７－２－１０７,35.6589,139.575,042-487-2433,小児科,○,－,－,－,－,－,－,－,－,－,○,○,○,－,－,－,ADHDやASDのお子さんの周囲の方への対応の助言（SST）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
56,診療所,医療法人社団まごころ会町田まごころクリニック,194-0022,町田市森野２－８－１５　ＡＷＡ渋谷ビル地下１階,35.548,139.438,042-851-7824,精神科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,○,－,○,－,－,○,－,－,10時,12時,－,－,－,－,○,○,受け入れ可能ではあるが、発達障害に特化したものではない。
57,診療所,やまだこどもクリニック,189-0001,東村山市秋津町５－１３－３　セゾン新秋津ビル１Ｆ,35.7784,139.4941,042-399-2285,小児科・精神科・リハ科,○,○,○,○,○,○,○,○,9時,18時,○,○,○,○,－,－,入学前療育指導（心理、OT、PT、ST）、就学前指導（心理）、学習指導（小学生を対象）,○,○,○,○,○,○,○,○,9時,18時,○,○,○,○,－,－,入学前は本人に対する療育指導とともに親指導もあわせて行う
