年度末(平成),End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,理容所 Barber,美容所  Beauty salon,クリーニング所 Dry-cleaner,公衆浴場 Public baths／総数 Total,公衆浴場 Public baths／普通 General,公衆浴場 Public baths／その他 Others,温泉利用施設 Hot springs,旅館等  Hotels and inns／総数 Total,旅館等 Hotels and inns／旅館・ホテル Japanese-style hotels & inns (ryokan) and hotel 1)  ／(旅館) (Japanese-style hotels & inns (ryokan)) ,旅館等 Hotels and inns／旅館・ホテル Japanese-style hotels & inns (ryokan) and hotel 1) ／(ホテル) (Hotel),旅館等 Hotels and inns／簡易宿所 Budget hotel,旅館等  Hotels and inns／下宿 Boarding houses and lodgings,常設興業場 Entertainment places／総数 Total,常設興業場 Entertainment places／映画館 Cinemas,常設興業場 Entertainment places／スポーツ施設 Sports center,常設興業場 Entertainment places／その他 Others,プール Swimming pool
30,2018,2,13204,5,三鷹市,Mitaka-shi,78,161,81,17,4,13,1,2,,1,1,-,4,-,-,4,37
30,2018,2,13205,6,青梅市,Ome-shi,103,158,60,18,-,18,7,44,,23,21,-,-,-,-,-,43
30,2018,2,13206,7,府中市,Fuchu-shi,122,258,140,29,5,24,1,23,,23,-,-,18,9,3,6,59
30,2018,2,13207,8,昭島市,Akishima-shi,69,129,51,9,3,6,1,13,,12,1,-,3,1,-,2,27
30,2018,2,13208,9,調布市,Chofu-shi,101,292,134,18,5,13,8,6,,6,-,-,24,11,5,8,48
30,2018,2,13209,10,町田市,Machida-shi,185,540,197,27,2,25,3,31,,28,3,-,14,10,-,4,19
30,2018,2,13210,11,小金井市,Koganei-shi,54,111,58,4,1,3,1,2,,2,-,-,2,-,-,2,29
30,2018,2,13211,12,小平市,Kodaira-shi,107,167,79,16,2,14,2,5,,4,1,-,3,-,-,3,42
30,2018,2,13212,13,日野市,Hino-shi,77,173,61,4,-,4,-,3,,3,-,-,2,-,-,2,39
30,2018,2,13213,14,東村山市,Higashimurayama-shi,70,171,79,8,2,6,-,17,,17,-,-,1,-,-,1,31
30,2018,2,13214,15,国分寺市,Kokubunji-shi,48,150,47,8,2,6,-,10,,10,-,-,2,-,-,2,23
30,2018,2,13215,16,国立市,Kunitachi-shi,47,136,35,9,1,8,1,6,,6,-,-,1,-,-,1,25
30,2018,2,13218,17,福生市,Fussa-shi,41,108,29,3,-,3,-,3,,2,1,-,1,-,-,1,14
30,2018,2,13219,18,狛江市,Komae-shi,38,80,43,6,4,2,-,2,,2,-,-,2,-,-,2,19
30,2018,2,13220,19,東大和市,Higashiyamato-shi,51,89,33,9,2,7,-,4,,4,-,-,2,-,-,2,20
30,2018,2,13221,20,清瀬市,Kiyose-shi,41,80,35,5,3,2,-,-,,-,-,-,3,-,-,3,22
30,2018,2,13222,21,東久留米市,Higashikurume-shi,51,112,61,13,2,11,2,2,,2,-,-,1,-,-,1,28
30,2018,2,13223,22,武蔵村山市,Musashimurayama-shi,36,64,27,5,1,4,2,3,,3,-,-,14,12,-,2,24
30,2018,2,13224,23,多摩市,Tama-shi,53,148,60,23,-,23,1,7,,7,-,-,20,9,-,11,42
30,2018,2,13225,24,稲城市,Inagi-shi,38,62,40,10,1,9,1,3,,3,-,-,2,-,-,2,31
30,2018,2,13227,25,羽村市,Hamura-shi,43,106,25,5,-,5,6,4,,4,-,-,3,-,-,3,16
30,2018,2,13228,26,あきる野市,Akiruno-shi,59,93,30,10,-,10,6,28,,10,18,-,6,-,-,6,28
30,2018,2,13229,,西東京市,Nishitokyo-shi,103,239,119,18,4,14,-,4,,4,-,-,6,-,1,5,43
30,2018,1,13300,,郡部,All gun,45,57,23,22,-,22,41,79,,27,52,-,10,9,-,1,20
30,2018,1,13500,,島部,All islands,35,57,13,28,-,28,37,566,,104,462,-,2,-,-,2,43
,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,
19-7  環境衛生営業施設数 (平成26～30年度末) 19-7  BUSINESS FACILITIES REGULATED BY THE ENVIRONMENT AND HEALTH ACT( End of Fiscal Years 2014-2018 )   ,,,,,,,,,,,,,,,,,,,,,,,
注 1) 平成30年6月の旅館業法改正により，旅館・ホテル営業に統合された。,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Ryokan and hotels were integrated into one category following amendment of the Hotel Business Act in June 2018.,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG ,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,
