年度(平成),Fiscal Year,地域階層,地域コード,地域,District,総数 Total,大気汚染 Air pollution,水質汚濁 Water pollution,土壌汚染 Soil pollution,騒音 Noises,振動 Vibration,地盤沈下 Ground Subsidence,悪臭 Offensive odors,典型7公害以外計 Other pollution
30,2018,2,13303,瑞穂町,Mizuho-machi,76,18,-,2,9,1,-,5,41
30,2018,2,13305,日の出町,Hinode-machi,53,-,2,-,3,-,-,-,48
30,2018,2,13307,檜原村,Hinohara-mura,-,-,-,-,-,-,-,-,-
30,2018,2,13308,奥多摩町,Okutama-machi,-,-,-,-,-,-,-,-,-
30,2018,1,13350,島部,All islands,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,
19-11 公害の種類別苦情件数（平成26～30年度） 19-11 COMPLAINTS ABOUT POLLUTIONS BY KIND  ( Fiscal Years 2014-2018 ),,,,,,,,,,,,,,
資料：都環境局総務部総務課 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,
