年度(平成),Fiscal Year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Assemblies,総務費 General administration,民生費 Social welfare,衛生費 Sanitation,労働費 Labor administration,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Public works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt service,諸支出金 Miscellaneous
30,2018,13225,23,稲城市,Inagi-shi,33681,314,2642,14114,2861,97,61,255,4056,1067,6187,27,1999,-
30,2018,13227,24,羽村市,Hamura-shi,22898,249,2672,10572,1955,148,43,327,2775,775,2258,-,1123,-
30,2018,13228,25,あきる野市,Akiruno-shi,29202,281,2538,13070,3110,186,354,337,2514,1401,2689,25,2696,-
30,2018,13229,26,西東京市,Nishitokyo-shi,74451,443,8611,37590,4855,365,127,200,2873,2316,11146,-,5924,-
28,2016,13300,,郡部,All gun,32389,465,4850,10404,2959,329,1564,725,5221,1452,2967,27,1426,-
29,2017,13300,,郡部,All gun,33512,465,5286,10600,3106,334,1748,776,5338,1382,3091,5,1382,-
30,2018,13300,,郡部,All gun,33937,465,5928,10489,3022,333,1713,922,5261,1431,2978,55,1338,-
30,2018,13303,1,瑞穂町,Mizuho-machi,15329,167,2890,5025,1521,132,55,86,2742,607,1603,-,501,-
30,2018,13305,2,日の出町,Hinode-machi,8718,134,1277,3708,741,83,205,184,789,376,681,7,531,-
30,2018,13307,3,檜原村,Hinohara-mura,3493,72,731,614,288,62,533,177,562,134,207,20,94,-
30,2018,13308,4,奥多摩町,Okutama-machi,6397,92,1030,1142,473,57,919,475,1168,314,487,28,212,-
28,2016,13350,,島部,All islands,36814,422,9075,5779,5519,434,1998,1920,4059,1181,2874,688,2678,187
29,2017,13350,,島部,All islands,38112,411,9355,5599,6550,403,2689,1895,3499,1100,3265,177,2969,201
30,2018,13350,,島部,All islands,35716,415,7961,5471,6799,394,2033,1847,3830,1661,2582,37,2517,168
30,2018,13361,1,大島町,Oshima-machi,8405,78,1433,1494,1325,69,396,468,1264,398,627,-,787,66
30,2018,13362,2,利島村,Toshima-mura,1613,19,526,149,447,29,112,101,26,91,81,-,31,-
30,2018,13363,3,新島村,Niijima-mura,4474,54,778,586,1085,61,504,236,474,131,293,-,271,-
30,2018,13364,4,神津島村,Kouzushima-mura,2543,39,530,428,252,63,172,294,258,67,318,27,97,-
30,2018,13381,5,三宅村,Miyake-mura,4525,50,1013,650,1038,45,157,282,423,300,318,9,202,37
30,2018,13382,6,御蔵島村,Mikurajima-mura,1569,14,990,92,101,-,50,64,137,6,68,-,47,-
30,2018,13401,7,八丈町,Hachijo-machi,7343,85,1212,1348,1159,126,497,203,998,363,571,1,716,65
30,2018,13402,8,青ヶ島村,Aogashima-mura,765,19,345,45,88,-,57,47,70,18,53,-,25,-
30,2018,13421,9,小笠原村,Ogasawara-mura,4478,58,1133,681,1305,-,88,153,181,287,252,-,342,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,   ,
21-6  市町村普通会計決算額 (2) 歳出 (平成28～30年度) 21-6  SETTLED ACCOUNT OF ORDINARY ACCOUNT OF Shi， Machi， AND Mura (2) EXPENDITURE ( Fiscal Years 2016-2018),,,,,,,,,,,,,,,,,,,
資料：都総務局行政部市町村課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,
