年度(平成),Fiscal year,地域階層,地域コード,地域,District,住民税負担額 (百万円) Liability of inhabitants' tax (millions yen)／計 Total,住民税負担額 (百万円) Liability of inhabitants' tax (millions yen)／道府県民税分 Prefectural,住民税負担額 (百万円) Liability of inhabitants' tax (millions yen)／市町村民税分 Municipal,1人当たり負担額 (円) Liability per capita (yen)／計 Total,1人当たり負担額 (円) Liability per capita (yen)／道府県民税分 Prefectural,1人当たり負担額 (円) Liability per capita (yen)／市町村民税分 Municipal,1世帯当たり負担額 (円) Liability per household (yen)／計 Total,1世帯当たり負担額 (円) Liability per household (yen)／道府県民税分 Prefectural,1世帯当たり負担額 (円) Liability per household (yen)／市町村民税分 Municipal
29,2017,2,13109,品川区,Shinagawa-ku,71668,28545,43123,180527,71902,108625,327181,130313,196868
29,2017,2,13110,目黒区,Meguro-ku,69866,27856,42010,247065,98507,148558,467496,186395,281102
29,2017,2,13111,大田区,Ota-ku,113517,44982,68535,155856,61759,94097,297148,117747,179400
29,2017,2,13112,世田谷区,Setagaya-ku,190839,76074,114765,207182,82589,124593,400870,159799,241071
29,2017,2,13113,渋谷区,Shibuya-ku,77170,30735,46435,336226,133909,202316,554252,220743,333509
29,2017,2,13114,中野区,Nakano-ku,52709,20972,31737,157163,62532,94631,259470,103238,156232
29,2017,2,13115,杉並区,Suginami-ku,102035,40630,61406,177352,70621,106732,318026,126636,191390
29,2017,2,13116,豊島区,Toshima-ku,47262,18815,28447,158724,63188,95536,258664,102974,155690
29,2017,2,13117,北区,Kita-ku,44050,17520,26529,126425,50285,76140,237296,94383,142914
29,2017,2,13118,荒川区,Arakawa-ku,25463,10129,15334,117957,46922,71034,238816,94999,143817
29,2017,2,13119,板橋区,Itabashi-ku,69629,27683,41946,121376,48256,73120,230036,91457,138579
29,2017,2,13120,練馬区,Nerima-ku,103092,41030,62062,141013,56122,84891,296125,117855,178270
29,2017,2,13121,足立区,Adachi-ku,70737,28110,42627,104523,41536,62987,219929,87397,132532
29,2017,2,13122,葛飾区,Katsushika-ku,49794,19825,29968,110649,44055,66594,237931,94733,143198
29,2017,2,13123,江戸川区,Edogawa-ku,79927,31799,48128,115649,46011,69638,250229,99553,150676
29,2017,1,13200,市部,All shi,505745,201177,304568,120648,47992,72656,264771,105321,159450
29,2017,2,13201,八王子市,Hachioji-shi,59946,23838,36108,103665,41223,62441,231484,92052,139432
29,2017,2,13202,立川市,Tachikawa-shi,21446,8537,12909,119510,47572,71938,248943,99093,149850
29,2017,2,13203,武蔵野市,Musashino-shi,28730,11446,17284,196118,78134,117984,381225,151881,229344
29,2017,2,13204,三鷹市,Mitaka-shi,28974,11536,17437,152142,60577,91565,313389,124780,188609
29,2017,2,13205,青梅市,Ome-shi,12671,5030,7642,93281,37026,56255,229243,90994,138249
29,2017,2,13206,府中市,Fuchu-shi,32904,13094,19810,125257,49846,75412,269293,107164,162129
29,2017,2,13207,昭島市,Akishima-shi,11583,4602,6981,103728,41215,62512,236028,93784,142244
29,2017,2,13208,調布市,Chofu-shi,33308,13265,20043,141932,56523,85409,290987,115883,175104
29,2017,2,13209,町田市,Machida-shi,51084,20314,30770,117592,46761,70831,267796,106491,161306
29,2017,2,13210,小金井市,Koganei-shi,17899,7125,10774,144897,57682,87216,292086,116275,175810
29,2017,2,13211,小平市,Kodaira-shi,22555,8975,13580,116881,46509,70372,264456,105231,159225
29,2017,2,13212,日野市,Hino-shi,21725,8639,13085,115472,45919,69552,249817,99344,150473
29,2017,2,13213,東村山市,Higashimurayama-shi,15468,6144,9324,103148,40972,62176,234485,93141,141343
29,2017,2,13214,国分寺市,Kokubunji-shi,18042,7180,10862,145034,57718,87316,299003,118992,180011
29,2017,2,13215,国立市,Kunitachi-shi,11560,4608,6952,154974,61771,93203,330395,131692,198702
29,2017,2,13218,福生市,Fussa-shi,5680,2256,3424,97447,38701,58746,204305,81139,123166
29,2017,2,13219,狛江市,Komae-shi,10624,4227,6397,129248,51423,77824,259728,103337,156391
29,2017,2,13220,東大和市,Higashiyamato-shi,8859,3521,5338,104460,41517,62943,244990,97369,147620
29,2017,2,13221,清瀬市,Kiyose-shi,7304,2904,4401,96927,38531,58396,220004,87456,132548
29,2017,2,13222,東久留米市,Higashikurume-shi,12419,4937,7482,106678,42410,64268,245073,97428,147645
29,2017,2,13223,武蔵村山市,Musashimurayama-shi,6154,2443,3711,86065,34166,51899,211795,84078,127717
29,2017,2,13224,多摩市,Tama-shi,17497,6957,10541,118400,47074,71326,259844,103309,156535
29,2017,2,13225,稲城市,Inagi-shi,11412,4543,6870,126645,50411,76234,298515,118823,179692
29,2017,2,13227,羽村市,Hamura-shi,5853,2326,3528,105582,41951,63631,246069,97770,148299
29,2017,2,13228,あきる野市,Akiruno-shi,7418,2941,4477,92127,36522,55605,236112,93602,142510
29,2017,2,13229,西東京市,Nishitokyo-shi,24630,9791,14839,121954,48478,73475,267592,106371,161221
29,2017,1,13300,郡部,All gun,4843,1924,2919,83838,33305,50533,217591,86438,131153
29,2017,2,13303,瑞穂町,Mizuho-machi,3001,1194,1808,90464,35977,54487,222182,88360,133822
29,2017,2,13305,日の出町,Hinode-machi,1368,543,825,78476,31144,47332,231236,91768,139468
29,2017,2,13307,檜原村,Hinohara-mura,132,52,80,62514,24719,37795,155914,61651,94263
29,2017,2,13308,奥多摩町,Okutama-machi,342,135,207,67722,26795,40926,172027,68066,103961
29,2017,1,13350,島部,All islands,2439,969,1470,94784,37650,57134,183563,72915,110648
29,2017,2,13361,大島町,Oshima-machi,656,261,395,86200,34257,51943,169965,67546,102419
29,2017,2,13362,利島村,Toshima-mura,38,15,23,112123,44587,67535,196504,78143,118361
29,2017,2,13363,新島村,Niijima-mura,212,84,128,80323,31873,48450,168024,66674,101350
29,2017,2,13364,神津島村,Kouzushima-mura,168,66,102,91097,35937,55161,208755,82351,126404
29,2017,2,13381,三宅村,Miyake-mura,257,102,154,107105,42769,64336,177963,71064,106899
29,2017,2,13382,御蔵島村,Mikurajima-mura,43,17,26,127599,50655,76944,220694,87613,133082
29,2017,2,13401,八丈町,Hachijo-machi,573,227,346,78126,30997,47130,148771,59025,89746
29,2017,2,13402,青ヶ島村,Aogashima-mura,27,11,17,155248,60442,94806,219100,85301,133798
29,2017,2,13421,小笠原村,Ogasawara-mura,464,185,280,152328,60628,91700,299450,119184,180266
,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,
21-8  地域別個人住民税負担額 (平成25～29年度) 21-8  INDIVIDUAL LIABILITY OF INHABITANTS' TAX BY DISTRICT ( Fiscal Years 2013-2017 ),,,,,,,,,,,,,,
この表の住民負担額のうち特別区の区域分は都民税及び特別区民税の収入額，その他の区域分は都民税及び市町村税の収入額による。また，負担額の算出に用いた人口及び世帯数は各年度とも10月1日現在のものである。,,,,,,,,,,,,,,
The liability of inhabitants' tax refers to the revenue from the metropolitan and the ku inhabitants' tax for the area of ku and to the revenue from the metropolitan and the shi， machi and mura for the other area. “Liability per capita” and “Liability per household” were calculated by using the estimates of population and households as of Oct.1 of the fiscal year stated.,,,,,,,,,,,,,,
資料：都主税局税制部歳入課 Source: Bureau of Taxation， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市町村部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,
