年次(平成),Year,地域階層,地域コード,地域,District,第1号被保険者数 (1月末) Primary insured persons (as of the end of  January),要介護(要支援)認定者数 (1月末) Persons certified for LTC/support (as of the end of January) ／第1号 Primary,要介護(要支援)認定者数 (1月末) Persons certified for LTC/support (as of the end of January) ／第2号 Secondary,居宅介護(支援)サービス受給者数 (3月分) Recipients of in-home LTC services (for March)／第1号 Primary,居宅介護(支援)サービス受給者数 (3月分) Recipients of in-home LTC services (for March)／第2号 Secondary,地域密着型サービス受給者数 (3月分) Recipient of communitybased LTC services (for March)／第1号 Primary,地域密着型サービス受給者数 (3月分) Recipient of communitybased LTC services (for March)／第2号 Secondary,施設介護サービス受給者数 (3月分) Recipients of LTC services in facilities (for March)／第1号 Primary,施設介護サービス受給者数 (3月分) Recipient of long-term care facilities (for March)／第2号 Secondary
30,2018,2,13215,国立市,Kunitachi-shi,17550,3515,81,1972,53,350,11,442,6
30,2018,2,13218,福生市,Fussa-shi,14718,2140,62,1227,37,157,3,481,6
30,2018,2,13219,狛江市,Komae-shi,19924,4124,73,2539,44,475,7,475,3
30,2018,2,13220,東大和市,Higashiyamato-shi,22964,4168,89,2218,47,263,7,649,5
30,2018,2,13221,清瀬市,Kiyose-shi,20752,4163,90,2450,53,377,11,612,9
30,2018,2,13222,東久留米市,Higashikurume-shi,32942,5883,124,3380,73,585,6,798,7
30,2018,2,13223,武蔵村山市,Musashimurayama-shi,18786,2710,86,1656,50,330,4,485,8
30,2018,2,13224,多摩市,Tama-shi,41774,5521,131,3554,100,767,13,795,11
30,2018,2,13225,稲城市,Inagi-shi,19094,2683,86,1520,60,346,7,420,6
30,2018,2,13227,羽村市,Hamura-shi,14123,2093,52,1063,24,142,2,409,2
30,2018,2,13228,あきる野市,Akiruno-shi,22969,3426,84,1790,53,318,8,877,10
30,2018,2,13229,西東京市,Nishitokyo-shi,48568,10100,239,6429,149,1427,15,1308,11
30,2018,1,13300,郡部,All gun,17496,2613,71,1248,42,208,4,726,7
30,2018,1,13350,島部,All islands,9033,1727,30,898,14,215,1,396,2
,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,
18-9  介護保険被保険者数 ・認定者・受給者の状況（平成28～30年度） 18-9  PERSONS INSURED BY LONG-TERM CARE (LTC) INSURANCE， CERTIFIED FOR LTC/SUPPORT， AND BENEFICIARIES OF LTC SERVICES ( Fiscal Years 2016-2018 ) ,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,
