会計,Account,会計階層,区分,Classification,当初予算額 Original budget,最終予算額 Final budget,決算額 Settled account
林業・木材産業改善資金助成,Forestry ･ timber improvement subsidy,1,助成費,Grants-in-aid,52,52,-
沿岸漁業改善資金助成,Coastal fishery development subsidy,0,歳入,Revenue,48,48,154
沿岸漁業改善資金助成,Coastal fishery development subsidy,1,事業収入,Enterprises,23,23,23
沿岸漁業改善資金助成,Coastal fishery development subsidy,1,繰入金,Transferred,1,1,0
沿岸漁業改善資金助成,Coastal fishery development subsidy,1,諸収入,Miscellaneous,0,0,0
沿岸漁業改善資金助成,Coastal fishery development subsidy,1,繰越金,Brought forward,24,24,131
沿岸漁業改善資金助成,Coastal fishery development subsidy,0,歳出,Expenditure,48,48,0
沿岸漁業改善資金助成,Coastal fishery development subsidy,1,助成費,Grants-in-aid,48,48,0
と場,Slaughter house,0,歳入,Revenue,6366,6366,5837
と場,Slaughter house,1,使用料及手数料,Fees and charges,1430,1430,1323
と場,Slaughter house,1,繰入金,Transferred,4127,4127,3803
と場,Slaughter house,1,諸収入,Miscellaneous,51,51,103
と場,Slaughter house,1,都債,Metropolitan debt,758,758,608
と場,Slaughter house,1,繰越金,Brought forward,0,0,-
と場,Slaughter house,0,歳出,Expenditure,6366,6366,5837
と場,Slaughter house,1,と場事業費,Slaughter house development,6366,6366,5837
都営住宅等事業,Metropolitan dwelling,0,歳入,Revenue,173697,188769,161493
都営住宅等事業,Metropolitan dwelling,1,分担金及負担金,Allotments,1444,1444,74
都営住宅等事業,Metropolitan dwelling,1,使用料及手数料,Fees and charges,68816,68816,67558
都営住宅等事業,Metropolitan dwelling,1,国庫支出金,National grants-in-aid,33121,39480,28104
都営住宅等事業,Metropolitan dwelling,1,財産収入,Property,1919,1919,2278
都営住宅等事業,Metropolitan dwelling,1,繰入金,Transferred,27607,28368,27495
都営住宅等事業,Metropolitan dwelling,1,諸収入,Miscellaneous,5700,6029,6013
都営住宅等事業,Metropolitan dwelling,1,都債,Metropolitan debt,35090,42633,28818
都営住宅等事業,Metropolitan dwelling,1,繰越金,Brought forward,0,79,1152
都営住宅等事業,Metropolitan dwelling,0,歳出,Expenditure,173697,188769,160581
都営住宅等事業,Metropolitan dwelling,1,都営住宅等事業費,Metropolitan dwelling,173697,188769,160581
都営住宅等保証金,Caution money of metropolitan dwelling house,0,歳入,Revenue,7731,7731,8736
都営住宅等保証金,Caution money of metropolitan dwelling house,1,保証金収入,Guarantee money,618,618,442
都営住宅等保証金,Caution money of metropolitan dwelling house,1,繰入金,Transferred,1692,1692,1691
都営住宅等保証金,Caution money of metropolitan dwelling house,1,諸収入,Miscellaneous,1,1,1
都営住宅等保証金,Caution money of metropolitan dwelling house,1,繰越金,Brought forward,5420,5420,6603
都営住宅等保証金,Caution money of metropolitan dwelling house,0,歳出,Expenditure,1454,1454,1380
都営住宅等保証金,Caution money of metropolitan dwelling house,1,返還金,Repayment,654,654,580
都営住宅等保証金,Caution money of metropolitan dwelling house,1,繰出金,Disbursed,800,800,800
都市開発資金,Urban development fund,0,歳入,Revenue,4057,4057,3391
都市開発資金,Urban development fund,1,財産収入,Property,3052,3052,3391
都市開発資金,Urban development fund,1,繰入金,Transferred,4,4,-
都市開発資金,Urban development fund,1,諸収入,Miscellaneous,1,1,0
都市開発資金,Urban development fund,1,都債,Metropolitan debt,1000,1000,-
都市開発資金,Urban development fund,1,繰越金,Brought forward,0,0,-
都市開発資金,Urban development fund,0,歳出,Expenditure,4057,4057,3391
都市開発資金,Urban development fund,1,用地費,Land,4057,4057,3391
用地,Land acquisition,0,歳入,Revenue,42290,18300,14355
用地,Land acquisition,1,財産収入,Property,5301,5301,5296
用地,Land acquisition,1,繰入金,Transferred,24608,608,348
用地,Land acquisition,1,諸収入,Miscellaneous,0,0,0
用地,Land acquisition,1,都債,Metropolitan debt,9457,9467,1604
用地,Land acquisition,1,繰越金,Brought forward,2924,2924,7107
用地,Land acquisition,0,歳出,Expenditure,42290,18300,7319
用地,Land acquisition,1,用地費,Land,42290,18300,7319
公債費,Debt service,0,歳入,Revenue,1172906,1172906,1167171
公債費,Debt service,1,財産収入,Property,1658,1658,1840
公債費,Debt service,1,繰入金,Transferred,977237,977237,971524
公債費,Debt service,1,諸収入,Miscellaneous,383,383,391
公債費,Debt service,1,都債,Metropolitan debt,193628,193628,193416
公債費,Debt service,0,歳出,Expenditure,1172906,1172906,1167171
公債費,Debt service,1,公債費,Debt service,1172906,1172906,1167171
臨海都市基盤整備事業,Waterfront urban infrastructure development,0,歳入,Revenue,5394,5524,4207
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,分担金及負担金,Allotments and shares,7,7,7
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,使用料及手数料,Fees and charges,0,0,0
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,繰入金,Transferred,1626,1707,633
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,諸収入,Miscellaneous,0,0,0
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,繰越金,Brought forward,3761,3810,3567
臨海都市基盤整備事業,Waterfront urban infrastructure development,0,歳出,Expenditure,2363,2492,964
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,臨海都市基盤整備費,Waterfront urban infrastructure development,2363,2492,964
,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-3  特別会計予算，決算額 (平成30年度) 21-3  BUDGET AND SETTLED ACCOUNT OF SPECIAL ACCOUNT ( Fiscal Year 2018 ),,,,,,,
注) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,
Note: The final budget includes the account brought from the previous fiscal year.  ,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,
会計階層（0:歳入・歳出　1:会計）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
