年次(平成),年度 FY,地域階層,地域コード,地域,District,病院病床  Beds／総数 Total,病院病床  Beds／精神病床 Psychiatric ,病院病床  Beds／結核病床 Tuberculosis,病院病床  Beds／感染症病床 Infectious diseases beds,病院病床  Beds ／療養病床 Long-term care,病院病床  Beds／一般病床 General,患者延数 Total number of patients／在院患者 Inpatients,患者延数 Total number of patients／新入院患者数 New inpatients,患者延数 Total number of patients／外来患者数 Outpatients
29,2017,2,13111,大田区,Ota-ku,5010,128,-,20,1028,3834,1415689,77625,2709495
29,2017,2,13112,世田谷区,Setagaya-ku,5626,1204,20,10,880,3512,1524164,62436,1857667
29,2017,2,13113,渋谷区,Shibuya-ku,3126,53,2,-,964,2107,891597,50640,1736025
29,2017,2,13114,中野区,Nakano-ku,1797,-,-,-,413,1384,511683,25115,733773
29,2017,2,13115,杉並区,Suginami-ku,2712,-,-,-,948,1764,834087,41576,1022246
29,2017,2,13116,豊島区,Toshima-ku,1639,-,-,-,287,1352,473478,22724,596909
29,2017,2,13117,北区,Kita-ku,2588,203,-,-,490,1895,804160,29449,1129480
29,2017,2,13118,荒川区,Arakawa-ku,1530,-,-,-,490,1040,453542,20777,621232
29,2017,2,13119,板橋区,Itabashi-ku,9852,1947,12,20,2456,5417,2924297,109130,3110984
29,2017,2,13120,練馬区,Nerima-ku,3118,1012,-,-,714,1392,943401,37986,1116804
29,2017,2,13121,足立区,Adachi-ku,6738,1232,-,-,1454,4052,1973310,57607,1984020
29,2017,2,13122,葛飾区,Katsushika-ku,2621,217,36,5,373,1990,768164,41659,1355651
29,2017,2,13123,江戸川区,Edogawa-ku,2926,-,50,-,744,2132,844164,48554,1353351
29,2017,1,13200,市部,All shi,47481,15345,337,44,10143,21612,14438197,426386,12100204
29,2017,2,13201,八王子市,Hachioji-shi,8897,4063,34,8,1998,2794,2795603,62744,1734328
29,2017,2,13202,立川市,Tachikawa-shi,1590,38,-,6,166,1380,482857,32156,654320
29,2017,2,13203,武蔵野市,Musashino-shi,1125,-,-,20,128,977,345359,22943,556237
29,2017,2,13204,三鷹市,Mitaka-shi,2778,1133,-,-,227,1418,833679,32363,967242
29,2017,2,13205,青梅市,Ome-shi,4588,2442,-,4,1430,712,1444219,17663,518977
29,2017,2,13206,府中市,Fuchu-shi,3621,935,60,-,238,2388,1044024,50883,1034917
29,2017,2,13207,昭島市,Akishima-shi,1223,-,-,-,489,734,374811,13128,460889
29,2017,2,13208,調布市,Chofu-shi,1609,829,-,-,279,501,464833,8068,380610
29,2017,2,13209,町田市,Machida-shi,4190,1592,-,-,1065,1533,1318281,26315,966400
29,2017,2,13210,小金井市,Koganei-shi,1142,510,-,-,384,248,378832,5088,169537
29,2017,2,13211,小平市,Kodaira-shi,2364,750,-,6,561,1047,733416,21617,564571
29,2017,2,13212,日野市,Hino-shi,1210,316,-,-,446,448,353985,9062,293783
29,2017,2,13213,東村山市,Higashimurayama-shi,2431,670,8,-,432,1321,681086,15243,502739
29,2017,2,13214,国分寺市,Kokubunji-shi,251,-,-,-,209,42,83381,1083,21870
29,2017,2,13215,国立市,Kunitachi-shi,66,-,-,-,-,66,15805,1668,90173
29,2017,2,13218,福生市,Fussa-shi,688,-,-,-,96,592,188600,9202,270487
29,2017,2,13219,狛江市,Komae-shi,717,20,27,-,136,534,204191,12626,380966
29,2017,2,13220,東大和市,Higashiyamato-shi,412,-,-,-,-,412,133196,8275,95934
29,2017,2,13221,清瀬市,Kiyose-shi,2090,255,208,-,675,952,618405,14262,453744
29,2017,2,13222,東久留米市,Higashikurume-shi,330,183,-,-,-,147,104273,3939,182594
29,2017,2,13223,武蔵村山市,Musashimurayama-shi,839,-,-,-,216,623,260569,9559,319060
29,2017,2,13224,多摩市,Tama-shi,2248,852,-,-,250,1146,685415,21782,534248
29,2017,2,13225,稲城市,Inagi-shi,927,318,-,-,319,290,255099,7626,168895
29,2017,2,13227,羽村市,Hamura-shi,246,-,-,-,186,60,81186,435,11960
29,2017,2,13228,あきる野市,Akiruno-shi,583,113,-,-,100,370,162419,4983,228074
29,2017,2,13229,西東京市,Nishitokyo-shi,1316,326,-,-,113,877,394673,13673,537649
29,2017,1,13300,郡部,All gun,584,60,-,-,425,99,182055,1571,44151
29,2017,2,13303,瑞穂町,Mizuho-machi,120,-,-,-,120,-,41209,226,6964
29,2017,2,13305,日の出町,Hinode-machi,421,60,-,-,305,56,132556,1027,25264
29,2017,2,13307,檜原村,Hinohara-mura,-,-,-,-,-,-,-,-,-
29,2017,2,13308,奥多摩町,Okutama-machi,43,-,-,-,-,43,8290,318,11923
29,2017,1,13350,島部,All islands,54,-,-,2,-,52,9499,598,54703
,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,
19-3  種類別病床数及び患者延数 (平成25～29年度) 19-3  NUMBER OF BEDS AND PATIENTS BY TYPE OF CARE ( Fiscal Years 2013-2017 ),,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課「東京都の医療施設」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,
