男女 ,Gender,就業状態,Labour force status,項番 Item number,就業状態，就職希望意識，就業希望の有無，求職活動の有無,Labour force status， wish for work，  whether wishing to work ， whether seeking a job,項番,就業状態，就業希望の有無,Labour force status， whether wishing to work,項番,求職活動の有無,Whether seeking a job,総数 Total,総数 Total／平均年齢 Average age,15～19歳 years old,20～24歳 years old,25～29歳 years old,30～34歳 years old,35～39歳 years old,40～44歳 years old,45～49歳 years old,50～54歳 years old,55～59歳 years old,60～64歳 years old,65～69歳 years old,70～74歳 years old,75～79歳 years old,80～84歳 years old,85歳以上 years old and over
男 ,Male,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,5,家事･通学以外が主な者 ,Mainly doing something else,,,,43200,61.7,-,2800,2600,1500,500,1100,1800,1600,1400,2800,8200,8400,5500,3700,1400
男 ,Male,有業者 ,Engaged in work,,（就職希望意識）,（Wish for work）,6,継続就業希望者 ,Wishing to continue the present job,,,,3385400,46.3,33500,176500,275800,327100,358800,414600,439000,381300,306300,236600,210900,122700,65700,22800,13800
男 ,Male,有業者 ,Engaged in work,,（就職希望意識）,（Wish for work）,7,追加就業希望者 ,Wishing to have an additional job,,,,384500,39.1,9600,35800,54300,52600,63300,50400,40100,33100,21100,11200,7700,3300,1100,800,200
男 ,Male,有業者 ,Engaged in work,,（就職希望意識）,（Wish for work）,8,転職希望者 ,Wishing to switch to another job,,,,431200,39,3600,46400,65700,66700,59000,57900,42400,36100,21500,19200,6900,4500,1200,300,-
男 ,Male,有業者 ,Engaged in work,,（就職希望意識）,（Wish for work）,9,就業休止希望者 ,Wishing to stop working,,,,152600,51,900,9400,11800,18300,7800,12500,14300,9900,8700,13600,15000,14900,9200,5700,600
男 ,Male,無業者 ,Not engaged in work,,,,,,,,,,1534400,55.7,235900,156100,41500,29800,29400,38400,35200,32200,39500,62000,168500,179700,190100,165300,130900
男 ,Male,無業者 ,Not engaged in work,10,家事をしている者 ,Keeping house　　,,,,,,,195400,66.7,300,4600,2400,4700,3700,7600,6700,7000,8400,14600,37800,30300,30300,18900,18200
男 ,Male,無業者 ,Not engaged in work,11,通学している者 ,Attending school　,,,,,,,378900,19,228000,132200,14500,1600,2000,-,-,500,-,-,-,-,-,-,-
男 ,Male,無業者 ,Not engaged in work,12,その他 ,Others,,,,,,,957600,68.1,7300,19200,24600,23400,23300,30800,27900,24700,30600,47500,130700,149100,159400,146400,112700
男 ,Male,無業者 ,Not engaged in work,,(就業希望の有無・求職活動の有無),（Whether wishing to work ， whether seeking a job）,13,就業希望者 ,Wishing to work,,,,374900,48.1,35400,47000,21000,17500,21900,26100,22300,25500,23400,20700,38000,31400,26500,14400,3800
男 ,Male,無業者 ,Not engaged in work,,(就業希望の有無・求職活動の有無),（Whether wishing to work ， whether seeking a job）,13,就業希望者 ,Wishing to work,14,求職者 ,Seeking a job,157100,42.9,14700,25000,12200,10400,9400,10700,11600,15300,12700,9300,12900,6100,4500,1400,1000
男 ,Male,無業者 ,Not engaged in work,,(就業希望の有無・求職活動の有無),（Whether wishing to work ， whether seeking a job）,13,就業希望者 ,Wishing to work,15,非求職者 ,Not seeking a job,212900,51.5,20300,22000,8800,7100,12500,15200,10700,9800,10700,11400,24600,23500,21000,12700,2500
男 ,Male,無業者 ,Not engaged in work,,(就業希望の有無・求職活動の有無),（Whether wishing to work ， whether seeking a job）,16,非就業希望者,Not wishing to work,,,,1121000,57.9,198200,107500,18800,11700,7500,11500,11400,6200,15800,39700,128600,144200,157100,145700,117100
女 ,Female,総数,Total,,,,,,,,,,6209800,50.5,272600,415800,441200,477300,500900,558600,562000,467500,378200,342600,437600,384800,354300,295500,320700
女 ,Female,有業者 ,Engaged in work,,,,,,,,,,3454000,43.5,55100,290000,376500,374600,366100,419700,423800,358400,248500,199100,166900,90100,53000,21100,11000
女 ,Female,有業者 ,Engaged in work,1,仕事が主な者 ,Mainly engaged in work,,,,,,,2390000,41.7,7300,200600,359100,324600,269900,284100,267700,233100,154900,121400,83600,44900,25100,8900,4900
女 ,Female,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,,,,,,,1063200,47.6,47800,89000,17200,50000,96200,135600,156100,125300,93700,77600,83400,45200,27900,12100,6100
女 ,Female,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,3,家事が主な者 ,Mainly keeping house,,,,894300,51.5,400,6700,13800,44000,91400,131100,153100,122700,91100,74300,78700,43800,26800,11200,5300
女 ,Female,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,4,通学が主な者 ,Mainly attending school,,,,131700,20.7,47400,78500,1100,2400,900,400,-,-,400,-,300,300,-,-,-
女 ,Female,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,5,家事･通学以外が主な者 ,Mainly doing something else,,,,37100,48.2,-,3800,2200,3600,3800,4100,3000,2700,2200,3300,4400,1100,1200,1000,800
女 ,Female,有業者 ,Engaged in work,,（就職希望意識）,（Wish for work）,6,継続就業希望者 ,Wishing to continue the present job,,,,2535400,44.5,30600,181000,256800,255200,273200,312200,321800,274600,200300,159500,138500,70100,37300,15900,8300
女 ,Female,有業者 ,Engaged in work,,（就職希望意識）,（Wish for work）,7,追加就業希望者 ,Wishing to have an additional job,,,,292200,38.3,12700,36000,33800,42300,32800,38000,38400,26600,16400,8400,3200,1800,1800,-,-
女 ,Female,有業者 ,Engaged in work,,（就職希望意識）,（Wish for work）,8,転職希望者 ,Wishing to switch to another job,,,,440000,37.9,8100,57400,71900,64900,49700,54900,49100,43300,17000,13200,6200,1000,1800,1100,500
女 ,Female,有業者 ,Engaged in work,,（就職希望意識）,（Wish for work）,9,就業休止希望者 ,Wishing to stop working,,,,137300,49.5,1700,13300,12300,9000,9000,10000,9300,10300,14000,13000,14400,13300,5600,1700,400
女 ,Female,無業者 ,Not engaged in work,,,,,,,,,,2755900,59.3,217500,125800,64700,102700,134800,138900,138200,109100,129600,143500,270700,294700,301300,274400,309700
女 ,Female,無業者 ,Not engaged in work,10,家事をしている者 ,Keeping house　　,,,,,,,1860200,62.2,500,10600,40000,90200,126700,126800,125500,95200,112400,127700,227500,237200,231200,180000,128800
女 ,Female,無業者 ,Not engaged in work,11,通学している者 ,Attending school　,,,,,,,329100,19.1,211100,102700,10600,1100,500,500,900,-,500,600,-,700,-,-,-
女 ,Female,無業者 ,Not engaged in work,12,その他 ,Others,,,,,,,565300,73.4,6000,12600,14100,11400,7600,11600,11800,13900,16800,14900,43300,56700,69800,94400,180300
女 ,Female,無業者 ,Not engaged in work,,(就業希望の有無・求職活動の有無),（Whether wishing to work ， whether seeking a job）,13,就業希望者 ,Wishing to work,,,,646800,46.7,30200,41100,34600,56500,81900,73700,73500,54500,45200,33900,43000,32700,23800,15900,6300
女 ,Female,無業者 ,Not engaged in work,,(就業希望の有無・求職活動の有無),（Whether wishing to work ， whether seeking a job）,13,就業希望者 ,Wishing to work,14,求職者 ,Seeking a job,228000,42.3,14100,27200,16800,17200,25200,26300,27500,23700,17300,11600,9800,6200,3800,400,800
女 ,Female,無業者 ,Not engaged in work,,(就業希望の有無・求職活動の有無),（Whether wishing to work ， whether seeking a job）,13,就業希望者 ,Wishing to work,15,非求職者 ,Not seeking a job,410900,48.7,16100,13700,17800,38800,56700,47000,45700,30800,27900,21900,32900,24900,17700,14200,5000
女 ,Female,無業者 ,Not engaged in work,,(就業希望の有無・求職活動の有無),（Whether wishing to work ， whether seeking a job）,16,非就業希望者,Not wishing to work,,,,2033100,62.6,186700,84300,30100,45200,52800,65300,64400,53600,83800,109000,222200,255500,264400,241900,274000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-13  男女， 就業状態，　就業希望意識・就業希望の有無， 求職活動の有無，年齢別15歳以上人口 (平成29年10月1日) 7-13  POPULATION OF 15 YEARS OLD AND OVER BY GENDER， LABOUR FORCE STATUS， WISH FOR WORK， WHETHER WISHING TO WORK， WHETHER SEEKING A JOB AND AGE ( Oct. 1， 2017 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
就業構造基本調査は標本調査であって，15歳以上の者について，ふだんの就業状態を調査している。「有業者」とは，就業者と休業者を合わせたもので， 収入を得るために一定の仕事に継続的に従事し，今後もその仕事を継続することになっている者。 総数には不詳の者が含まれているので， 総数の数字はその内訳の合計に必ずしも一致しない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Employment Status Survey is a sample survey on the employment status of persons 15 years old and over. Working persons are a total of persons who are usually engaged in work for pay or profit and expected to be in the same status after the date of survey， and persons with a job but not working at present. The totals may not necessarily add up as they include those of unknown status.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：総務省 「就業構造基本調査報告」 Source: Ministry of Internal Affairs and Communications ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
