男女 ,Gender,項番 Item number,産業,Industry,総数 Total,総数 Total／平均年齢 Average age,15～19歳 years old,20～24歳 years old,25～29歳 years old,30～34歳 years old,35～39歳 years old,40～44歳 years old,45～49歳 years old,50～54歳 years old,55～59歳 years old,60～64歳 years old,65～69歳 years old,70～74歳 years old,75歳以上 years old and over
女 ,Female,6,電気・ガス・熱供給・水道業,Electricity，  gas，  heat supply and water,6000,43.7,-,-,400,700,1000,700,1900,-,1200,-,-,-,-
女 ,Female,7,情報通信業,Information and communications,225400,37.9,600,23400,38000,39000,28500,37000,22400,20700,6300,5200,1900,1200,1200
女 ,Female,8,運輸業， 郵便業 ,Transport and postal activities,83700,40.3,300,8400,15300,8800,6800,12600,11100,8800,4300,2600,2800,1800,200
女 ,Female,9,卸売， 小売業 ,Wholesale and retail trade,582300,42.7,13900,66200,56300,55000,62500,63900,75900,58500,40500,41100,26100,10900,11500
女 ,Female,10,金融， 保険業,Finance and insurance,144500,41.3,-,10900,15300,23400,20100,14900,18900,21800,10900,3900,3200,1200,-
女 ,Female,11,不動産業， 物品賃貸業,Real estate and goods rental and leasing,126100,51.8,300,7000,12100,7700,10200,10900,9900,10300,11400,11000,12300,6600,16300
女 ,Female,12,学術研究， 専門・技術サービス業,Scientific research， professional and technical services,203000,42.1,400,12000,24400,25900,29600,25400,30000,22400,13500,9200,5000,2500,2600
女 ,Female,13,宿泊業， 飲食サービス業,Accommodations， eating and drinking services,249100,39.9,21100,47000,16700,19300,17500,29500,31000,17800,10400,12300,14200,7700,4600
女 ,Female,14,生活関連サービス業， 娯楽業,Living-related and personal services and amusement services,158300,44.7,5000,15800,11800,21300,15000,15300,18600,11100,10300,8900,8300,7800,9100
女 ,Female,15,教育， 学習支援業,Education， learning support,224600,43.2,7000,17000,23500,22600,22400,28300,26800,24500,24000,14800,8400,1600,3800
女 ,Female,16,医療， 福祉,Medical， health care and welfare,577100,43.7,1400,36800,75000,64600,64900,67500,64400,65700,55300,36300,27200,11500,6500
女 ,Female,17,複合サービス事業,Compound services,13200,42.5,-,1000,1300,1600,1100,1900,2000,2300,1500,500,-,-,-
女 ,Female,18,サービス業 (他に分類されないもの),Services， n.e.c.,276700,47.2,700,12900,27500,24600,22600,34100,37900,35600,17400,17400,21900,13800,10100
女 ,Female,19,公務 (他に分類されるものを除く),Government， except elsewhere classified,87200,41.4,-,7100,14200,8500,10300,8800,13900,10100,7000,4800,2100,500,-
女 ,Female,20,分類不能の産業,Industries unable to classify,161800,45.4,3500,12100,18000,16800,16200,15900,18100,12800,12700,7300,13500,8900,5900
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,
7-14  男女， 産業，年齢別有業者数 (平成29年10月1日) 7-14  PERSONS ENGAGED IN WORK BY GENDER， INDUSTRY， AND AGE (Oct. 1， 2017 ),,,,,,,,,,,,,,,,,,,
就業構造基本調査は標本調査であって，15歳以上の者について，ふだんの就業状態を調査している。「有業者」とは，就業者と休業者を合わせたもので， 収入を得るために一定の仕事に継続的に従事し，今後もその仕事を継続することになっている者。 総数には不詳の者が含まれているので， 総数の数字はその内訳の合計に必ずしも一致しない。,,,,,,,,,,,,,,,,,,,
The Employment Status Survey is a sample survey on the employment status of persons 15 years old and over. Working persons are a total of persons who are usually engaged in work for pay or profit and expected to be in the same status after the date of survey， and persons with a job but not working at present. The totals may not necessarily add up as they include those of unknown status.,,,,,,,,,,,,,,,,,,,
資料：総務省 「就業構造基本調査報告」 Source: Ministry of Internal Affairs and Communications ,,,,,,,,,,,,,,,,,,,
