年次(平成),Year,地域階層,地域コード,地域,District,施設数 Facilities／総数 Total,施設数 Facilities／公立 Public,施設数 Facilities／私立 Private,児童定員 Capacity／総数 Total,児童定員 Capacity／公立 Public,児童定員 Capacity／私立 Private,入所児童数 Children enrolled／総数 Total,入所児童数 Children enrolled／公立 Public,入所児童数 Children enrolled／私立 Private
30,2018,2,13212,日野市,Hino-shi,35,10,25,3614,1025,2589,3528,993,2535
30,2018,2,13213,東村山市,Higashimurayama-shi,21,7,14,2161,710,1451,2318,764,1554
30,2018,2,13214,国分寺市,Kokubunji-shi,31,5,26,2740,575,2165,2559,554,2005
30,2018,2,13215,国立市,Kunitachi-shi,15,4,11,1351,424,927,1380,407,973
30,2018,2,13218,福生市,Fussa-shi,14,-,14,1347,-,1347,1325,-,1325
30,2018,2,13219,狛江市,Komae-shi,18,4,14,1689,439,1250,1568,448,1120
30,2018,2,13220,東大和市,Higashiyamato-shi,16,1,15,2011,105,1906,1919,88,1831
30,2018,2,13221,清瀬市,Kiyose-shi,15,5,10,1367,328,1039,1283,297,986
30,2018,2,13222,東久留米市,Higashikurume-shi,20,9,11,2022,869,1153,2008,864,1144
30,2018,2,13223,武蔵村山市,Musashimurayama-shi,13,1,12,1979,146,1833,1900,129,1771
30,2018,2,13224,多摩市,Tama-shi,20,2,18,2593,218,2375,2485,188,2297
30,2018,2,13225,稲城市,Inagi-shi,15,4,11,1867,408,1459,1873,412,1461
30,2018,2,13227,羽村市,Hamura-shi,12,-,12,1122,-,1122,1154,-,1154
30,2018,2,13228,あきる野市,Akiruno-shi,15,3,12,1779,200,1579,1687,142,1545
30,2018,2,13229,西東京市,Nishitokyo-shi,35,17,18,3286,1732,1554,3332,1802,1530
30,2018,1,13300,郡部,All gun,15,2,13,1341,230,1111,1324,231,1093
30,2018,1,13350,島部,All islands,15,13,2,1086,966,120,665,560,105
,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,
18-4  地域別保育所の状況（平成26～30年） 18-4  CHILDREN DAY CARE CENTERS BY DISTRICT ( 2014-2018 ) ,,,,,,,,,,,,,,
各年4月1日現在。休止中の施設を除く。 ,,,,,,,,,,,,,,
As of April 1 of the year noted．Figures exclude facilities currently inactive.,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,
