地域階層,地域コード,項番 Item number,地域,District,出生 Live-births／計 Total,出生 Live-births／男 Male,出生 Live-births／女 Female,死亡 Deaths／計 Total,死亡 Deaths／男 Male,死亡 Deaths／女 Female,自然増減 Natural change／計 Total,自然増減 Natural change／男 Male,自然増減 Natural change／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／女 Female,死産 Foetal deaths／計 Total,死産 Foetal deaths／自然 Spontaneous,死産 Foetal deaths／人工 Artificial,合計特殊出生率 Total fertility rate,婚姻 Marriages,離婚 Divorces
2,13110,10,目黒区,Meguro-ku,2458,1254,1204,2023,936,1087,435,318,117,4,…,…,2,…,…,55,25,30,1.06,2370,503
2,13111,11,大田区,Ota-ku,5794,2936,2858,6467,3396,3071,-673,-460,-213,9,…,…,4,…,…,132,48,84,1.19,4909,1124
2,13112,12,世田谷区,Setagaya-ku,7371,3790,3581,6837,3382,3455,534,408,126,10,…,…,4,…,…,147,70,77,1.08,5936,1398
2,13113,13,渋谷区,Shibuya-ku,2037,1052,985,1598,763,835,439,289,150,6,…,…,4,…,…,63,36,27,1.08,2118,438
2,13114,14,中野区,Nakano-ku,2525,1311,1214,2737,1376,1361,-212,-65,-147,1,…,…,-,…,…,70,37,33,1,2699,562
2,13115,15,杉並区,Suginami-ku,4584,2344,2240,4518,2233,2285,66,111,-45,6,…,…,4,…,…,90,47,43,1.03,3878,765
2,13116,16,豊島区,Toshima-ku,2009,1040,969,2455,1232,1223,-446,-192,-254,4,…,…,2,…,…,48,17,31,0.99,2168,477
2,13117,17,北区,Kita-ku,2703,1403,1300,3763,2011,1752,-1060,-608,-452,3,…,…,-,…,…,51,28,23,1.18,2289,509
2,13118,18,荒川区,Arakawa-ku,1568,769,799,2097,1119,978,-529,-350,-179,-,…,…,-,…,…,26,8,18,1.19,1391,383
2,13119,19,板橋区,Itabashi-ku,4377,2192,2185,5000,2688,2312,-623,-496,-127,10,…,…,7,…,…,73,31,42,1.16,3384,944
2,13120,20,練馬区,Nerima-ku,5703,2918,2785,6134,3251,2883,-431,-333,-98,12,…,…,3,…,…,124,62,62,1.16,3920,1197
2,13121,21,足立区,Adachi-ku,4946,2543,2403,7093,3921,3172,-2147,-1378,-769,12,…,…,4,…,…,114,53,61,1.31,3762,1314
2,13122,22,葛飾区,Katsushika-ku,3423,1704,1719,4577,2409,2168,-1154,-705,-449,7,…,…,1,…,…,67,36,31,1.34,2456,822
2,13123,23,江戸川区,Edogawa-ku,5610,2914,2696,5933,3319,2614,-323,-405,82,13,…,…,4,…,…,122,39,83,1.39,3784,1380
1,13200,,市部,All shi,29334,15221,14113,37847,19874,17973,-8513,-4653,-3860,51,…,…,20,…,…,577,279,298,1.27,18218,6301
2,13201,1,八王子市,Hachioji-shi,3275,1711,1564,5448,2867,2581,-2173,-1156,-1017,6,…,…,2,…,…,86,33,53,1.19,2068,970
2,13202,2,立川市,Tachikawa-shi,1435,734,701,1706,899,807,-271,-165,-106,2,…,…,-,…,…,21,10,11,1.36,944,297
2,13203,3,武蔵野市,Musashino-shi,1206,634,572,1171,595,576,35,39,-4,1,…,…,-,…,…,11,7,4,1.15,955,178
2,13204,4,三鷹市,Mitaka-shi,1565,836,729,1524,794,730,41,42,-1,2,…,…,1,…,…,32,14,18,1.29,1052,239
2,13205,5,青梅市,Ome-shi,650,338,312,1705,864,841,-1055,-526,-529,2,…,…,-,…,…,15,8,7,1.08,496,226
2,13206,6,府中市,Fuchu-shi,1961,1032,929,2121,1119,1002,-160,-87,-73,5,…,…,2,…,…,39,26,13,1.3,1227,408
2,13207,7,昭島市,Akishima-shi,850,442,408,1159,614,545,-309,-172,-137,4,…,…,2,…,…,21,10,11,1.41,540,183
2,13208,8,調布市,Chofu-shi,1964,998,966,1825,961,864,139,37,102,3,…,…,3,…,…,39,17,22,1.26,1282,334
2,13209,9,町田市,Machida-shi,2589,1317,1272,3865,2020,1845,-1276,-703,-573,5,…,…,3,…,…,51,27,24,1.22,1527,603
2,13210,10,小金井市,Koganei-shi,1063,551,512,895,478,417,168,73,95,1,…,…,-,…,…,10,6,4,1.3,675,153
2,13211,11,小平市,Kodaira-shi,1606,833,773,1618,851,767,-12,-18,6,3,…,…,1,…,…,23,12,11,1.45,776,260
2,13212,12,日野市,Hino-shi,1392,707,685,1581,873,708,-189,-166,-23,3,…,…,1,…,…,27,15,12,1.36,890,262
2,13213,13,東村山市,Higashimurayama-shi,968,515,453,1536,798,738,-568,-283,-285,1,…,…,1,…,…,11,4,7,1.24,551,244
2,13214,14,国分寺市,Kokubunji-shi,958,502,456,964,500,464,-6,2,-8,-,…,…,-,…,…,14,8,6,1.24,631,168
2,13215,15,国立市,Kunitachi-shi,567,293,274,670,340,330,-103,-47,-56,1,…,…,-,…,…,11,6,5,1.3,342,109
2,13218,16,福生市,Fussa-shi,370,197,173,643,323,320,-273,-126,-147,1,…,…,1,…,…,11,4,7,1.3,333,147
2,13219,17,狛江市,Komae-shi,662,352,310,731,379,352,-69,-27,-42,-,…,…,-,…,…,11,7,4,1.2,434,95
2,13220,18,東大和市,Higashiyamato-shi,646,339,307,806,448,358,-160,-109,-51,2,…,…,1,…,…,9,2,7,1.47,375,157
2,13221,19,清瀬市,Kiyose-shi,459,239,220,860,444,416,-401,-205,-196,-,…,…,-,…,…,11,4,7,1.19,275,109
2,13222,20,東久留米市,Higashikurume-shi,778,408,370,1149,665,484,-371,-257,-114,3,…,…,-,…,…,11,7,4,1.34,422,183
2,13223,21,武蔵村山市,Musashimurayama-shi,539,293,246,705,367,338,-166,-74,-92,1,…,…,-,…,…,14,4,10,1.55,265,124
2,13224,22,多摩市,Tama-shi,854,452,402,1339,664,675,-485,-212,-273,4,…,…,1,…,…,28,13,15,1.11,449,196
2,13225,23,稲城市,Inagi-shi,717,373,344,645,337,308,72,36,36,-,…,…,-,…,…,13,7,6,1.42,392,139
2,13227,24,羽村市,Hamura-shi,340,174,166,494,249,245,-154,-75,-79,-,…,…,-,…,…,11,4,7,1.32,204,115
2,13228,25,あきる野市,Akiruno-shi,493,237,256,961,506,455,-468,-269,-199,-,…,…,-,…,…,11,4,7,1.33,270,131
2,13229,26,西東京市,Nishitokyo-shi,1427,714,713,1726,919,807,-299,-205,-94,1,…,…,1,…,…,36,20,16,1.24,843,271
1,13300,,郡部,All gun,312,158,154,935,455,480,-623,-297,-326,-,…,…,-,…,…,4,-,4,1.32,140,82
2,13303,1,瑞穂町,Mizuho-machi,183,89,94,356,194,162,-173,-105,-68,-,…,…,-,…,…,4,-,4,1.24,84,51
2,13305,2,日の出町,Hinode-machi,92,49,43,332,146,186,-240,-97,-143,-,…,…,-,…,…,-,-,-,1.37,44,28
2,13307,3,檜原村,Hinohara-mura,18,11,7,82,39,43,-64,-28,-36,-,…,…,-,…,…,-,-,-,3.07,6,2
2,13308,4,奥多摩町,Okutama-machi,19,9,10,165,76,89,-146,-67,-79,-,…,…,-,…,…,-,-,-,1.31,6,1
1,13350,,島部,All islands,169,94,75,380,189,191,-211,-95,-116,2,…,…,-,…,…,1,-,1,1.63,105,44
2,13361,1,大島町,Oshima-machi,34,19,15,144,71,73,-110,-52,-58,2,…,…,-,…,…,1,-,1,1.21,33,8
2,13362,2,利島村,Toshima-mura,3,1,2,4,3,1,-1,-2,1,-,…,…,-,…,…,-,-,-,1.44,1,3
2,13363,3,新島村,Niijima-mura,13,4,9,36,17,19,-23,-13,-10,-,…,…,-,…,…,-,-,-,1.22,6,5
2,13364,4,神津島村,Kozushima-mura,14,10,4,21,11,10,-7,-1,-6,-,…,…,-,…,…,-,-,-,1.61,10,5
2,13381,5,三宅村,Miyake-mura,21,12,9,52,21,31,-31,-9,-22,-,…,…,-,…,…,-,-,-,1.88,11,1
2,13382,6,御蔵島村,Mikurajima-mura,4,1,3,-,-,-,4,1,3,-,…,…,-,…,…,-,-,-,1.69,-,-
2,13401,7,八丈町,Hachijo-machi,57,35,22,115,60,55,-58,-25,-33,-,…,…,-,…,…,-,-,-,2.36,23,16
2,13402,8,青ヶ島村,Aogashima-mura,-,-,-,-,-,-,-,-,-,-,…,…,-,…,…,-,-,-,-,1,-
2,13421,9,小笠原村,Ogasawara-mura,23,12,11,8,6,2,15,6,9,-,…,…,-,…,…,-,-,-,1.32,20,6
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,,,,,,,,,
2-7  人口動態  (3) 地域，男女別（平成30年）  2-7  VITAL STATISTICS  (3) BY DISTRICT AND GENDER ( 2018 ),,,,,,,,,,,,,,,,,,,,,,,,,
「人口動態調査」 による。 数字は日本における日本人に関するもので， その年に発生し， 翌年1月末 （明治34年～大正11年及び昭和19年～46年はその年に発生し翌年3月末） までに届け出のあったものを， 昭和24年以前は発生地， 昭和25年以降は住所地により表章した。,,,,,,,,,,,,,,,,,,,,,,,,,
Data are based on the Vital Statistics Survey. Figures are only for Japanese nationals in Japan. Occurrences during the year stated that had been reported by the end of the following January (by the end of March for 1901～1922 and 1944～1971) are tabulated up to 1949 by place of occurrence， and from 1950 by place of residence. ,,,,,,,,,,,,,,,,,,,,,,,,,
a) Deaths of the newborn babies (under 4 weeks),,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,,
