年,地域,事業費a（億円）,用地費ｂ（億円）,ｂ／ａ（%）,買収面積（千m2）,1m2単価（万円）
13,多摩,332.4,170.9,51.4,66.0,25.9
13,島しょ,16.9,0.8,4.7,3.3,2.4
13,計,834.4,397.5,47.6,99.7,39.9
14,区部,503.8,192.0,38.1,65.2,29.4
14,多摩,452.2,192.2,42.5,121.2,15.9
14,島しょ,15.9,0.7,4.4,4.8,1.5
14,計,971.9,384.9,39.6,191.2,20.1
15,区部,512.2,297.4,58.1,51.5,57.7
15,多摩,493.5,303.9,61.6,111.6,27.2
15,島しょ,10.9,1.0,9.2,13.3,0.8
15,計,1016.6,602.3,59.2,176.4,34.1
16,区部,462.8,113.8,24.6,18.0,63.2
16,多摩,269.1,106.0,39.4,63.3,16.7
16,島しょ,19.2,1.1,5.7,6.1,1.8
16,計,751.1,220.9,29.4,87.4,25.3
17,区部,552.2,99.7,18.1,15.5,64.3
17,多摩,253.0,94.4,37.3,94.6,10.0
17,島しょ,19.2,1.6,8.3,13.2,1.2
17,計,824.4,195.7,23.7,123.3,15.9
18,区部,354.7,140.4,39.6,23.0,61.0
18,多摩,308.2,118.0,38.3,73.4,16.1
18,島しょ,22.4,1.4,6.3,7.5,1.9
18,計,685.3,259.8,37.9,103.9,25.0
19,区部,472.9,292.6,61.9,42.2,69.3
19,多摩,337.4,153.9,45.6,61.1,25.2
19,島しょ,6.8,0.3,4.4,2.4,1.3
19,計,817.1,446.8,54.7,105.7,42.3
20,区部,673.5,402.7,59.8,49.5,81.4
20,多摩,377.9,158.4,41.9,55.8,28.4
20,島しょ,6.7,23.0,343.3,6.7,34.3
20,計,1058.1,584.1,55.2,112.0,52.2
21,区部,586.8,344.3,58.7,46.6,73.9
21,多摩,339.9,147.7,43.5,60.4,24.5
21,島しょ,4.5,0.1,2.2,3.5,0.3
21,計,931.2,492.1,52.8,110.5,44.5
22,区部,414.7,191.2,46.1,20.4,93.7
22,多摩,233.7,69.9,29.9,24.9,28.1
22,島しょ,19.8,0.5,2.5,2.2,2.3
22,計,668.2,261.6,39.1,47.5,55.1
23,区部,445.6,187.8,42.1,27.1,69.3
23,多摩,334.1,136.4,40.8,58.5,23.3
23,島しょ,20.7,0.7,3.4,3.2,2.2
23,計,800.4,324.9,40.6,88.8,36.6
24,区部,510.0,279.8,54.9,26.3,106.4
24,多摩,296.9,116.4,39.2,51.4,22.6
24,島しょ,10.3,0.8,7.7,3.6,2.2
24,計,817.2,397.0,48.6,81.3,48.8
25,区部,526.8,297.3,56.4,25.4,117.0
25,多摩,206.6,68.2,33.0,40.2,17.0
25,島しょ,9.3,0.6,6.5,1.1,5.5
25,計,742.7,366.1,49.3,66.7,54.9
26,区部,404.9,160.1,39.5,33.7,47.5
26,多摩,208.7,73.3,35.1,40.5,18.1
26,島しょ,13.1,0.5,3.8,1.4,3.6
26,計,626.7,233.9,37.3,75.6,30.9
27,区部,493.3,227.3,46.1,30.9,73.6
27,多摩,210.0,78.8,37.5,35.0,22.5
27,島しょ,12.0,0.6,5.0,3.4,1.8
27,計,715.3,306.7,42.9,69.3,44.3
28,区部,457.2,214.5,46.9,35.5,60.4
28,多摩,169.1,65.5,38.7,35.6,18.4
28,島しょ,7.6,0.5,6.6,5.1,1.0
28,計,633.9,280.5,44.2,76.2,36.8
29,区部,478.4,227.8,47.6,35.0,65.1
29,多摩,162.5,60.0,36.9,40.3,14.9
29,島しょ,9.8,0.4,4.1,3.2,1.3
29,計,650.7,288.2,44.3,78.5,36.7
30,予算／区部,976.1,548.5,56.2,102.6,53.5
30,予算／多摩,338.6,144.0,42.5,63.9,22.5
30,予算／島しょ,13.5,0.7,5.2,4.2,1.7
30,予算／計,1328.2,693.2,52.2,170.7,40.6
31,予算／区部,963.8,485.1,50.3,96.9,50.1
31,予算／多摩,318.4,148.0,46.5,63.4,23.3
31,予算／島しょ,13.6,0.7,5.1,5.2,1.3
31,予算／計,1295.8,633.8,48.9,165.5,38.3
